Options:
Model:                           Discrete: Independent
Tree File Name:                  ./data/bantu-omaha-matri.anvunclocalresidence.bttrees
Data File Name:                  ./data/bantu-omaha-matri.anvunclocalresidence.btdata
Log File Name:                   ./output/bantu-omaha-matri.anvunclocalresidence-indep1.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            3109948096
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      10010000
Burn in:                         10000
MCMC ML Start:                   False
Schedule File:                   ./output/bantu-omaha-matri.anvunclocalresidence-indep1.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     4
Base frequency (PI's):           Empirical: (0.579710,0.304348,0.115942,0.000000)
Character Symbols:               00,01,10,11
Using a covarion model:          False
Normalise Q Matrix:              False
Scale Tree:                      0.100855
Restrictions:
    alpha1                       None
    beta1                        None
    alpha2                       None
    beta2                        None
Prior Information:
    Prior Categories:            100
    Priors
        alpha1 - exp 10.00 
        beta1 - exp 10.00 
        alpha2 - exp 10.00 
        beta2 - exp 10.00 
Tree Information
     Trees:                      1000
     Taxa:                       69
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	alpha1	beta1	alpha2	beta2	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	
11000	-67.686443	789	2.145760	11.592959	5.027170	8.794160	0.579948	0.304217	0.115834	0.000000	
12000	-67.290848	810	6.178786	29.497645	4.342515	7.778218	0.580004	0.303995	0.116001	0.000000	
13000	-67.705824	671	3.805172	15.992700	5.196912	10.855540	0.579729	0.304333	0.115938	0.000000	
14000	-67.600077	6	2.036782	18.188459	6.490815	18.183728	0.579710	0.304348	0.115942	0.000000	
15000	-69.260042	73	5.045493	20.098797	4.552023	9.585633	0.579713	0.304344	0.115943	0.000000	
16000	-69.981611	958	1.832901	3.311202	2.390011	4.886486	0.608951	0.318058	0.072991	0.000000	
17000	-67.836604	308	1.426338	4.968216	1.320462	5.474382	0.535247	0.371098	0.093655	0.000000	
18000	-67.626952	178	2.105494	8.789735	7.027011	15.141340	0.580247	0.304630	0.115124	0.000000	
19000	-68.607079	292	2.633108	14.236444	7.688130	10.907063	0.579727	0.304340	0.115933	0.000000	
20000	-68.322692	91	0.463700	1.409333	5.659276	10.321632	0.634787	0.333237	0.031976	0.000000	
21000	-66.444826	335	1.795275	12.660812	2.274168	3.242817	0.602951	0.276509	0.120540	0.000000	
22000	-66.214480	30	0.567538	6.955608	1.937013	2.900442	0.605129	0.275311	0.119560	0.000000	
23000	-69.682503	573	1.920247	4.784121	6.209944	10.970750	0.587716	0.308536	0.103748	0.000000	
24000	-67.447479	19	2.649113	23.141425	4.911382	9.732857	0.579743	0.304308	0.115949	0.000000	
25000	-67.646599	830	2.544488	27.615820	12.314556	35.323869	0.579710	0.304348	0.115942	0.000000	
26000	-67.249184	855	1.775434	18.271256	8.354323	18.571494	0.579707	0.304346	0.115947	0.000000	
27000	-65.647314	792	1.831790	14.734287	3.304010	5.461566	0.583069	0.300308	0.116622	0.000000	
28000	-67.363987	107	1.192550	3.967190	8.684835	17.397840	0.595566	0.312672	0.091762	0.000000	
29000	-66.562218	615	1.148434	7.534128	2.484379	3.184776	0.612503	0.268276	0.119221	0.000000	
30000	-67.769474	808	1.662875	10.066274	1.657360	6.877629	0.559300	0.329267	0.111433	0.000000	
31000	-66.241568	949	1.995461	14.864339	1.978279	3.093393	0.609419	0.268697	0.121884	0.000000	
32000	-67.522110	796	0.562531	0.155349	8.354218	16.416586	0.655258	0.344011	0.000731	0.000000	
33000	-67.532201	964	5.295810	34.845449	1.479489	2.015453	0.660196	0.207765	0.132039	0.000000	
34000	-66.882914	739	0.743246	4.933521	2.826683	5.616240	0.590359	0.308992	0.100649	0.000000	
35000	-66.734943	311	2.808735	19.483085	9.758238	19.949024	0.579710	0.304348	0.115942	0.000000	
36000	-67.250481	445	1.531770	12.726321	5.924949	16.301353	0.579689	0.304339	0.115972	0.000000	
37000	-68.868490	970	5.043202	19.148754	3.204844	5.590851	0.583316	0.300021	0.116663	0.000000	
38000	-66.149503	785	2.916814	20.923052	2.085111	3.575316	0.589414	0.292703	0.117883	0.000000	
39000	-66.885700	813	3.580633	23.768550	4.429796	6.678332	0.580524	0.303371	0.116105	0.000000	
40000	-68.326920	177	2.698636	15.594668	9.757179	30.413046	0.579714	0.304350	0.115936	0.000000	
41000	-67.037749	783	1.063715	6.350803	5.099984	13.384622	0.583708	0.306455	0.109837	0.000000	
42000	-67.255385	745	3.081192	20.041771	5.945338	10.421552	0.579715	0.304342	0.115943	0.000000	
43000	-66.804075	607	2.764073	32.027880	2.587495	4.611917	0.587746	0.294704	0.117549	0.000000	
44000	-65.440159	859	0.814093	6.697193	4.260622	7.543713	0.583925	0.305494	0.110581	0.000000	
45000	-68.532280	114	1.106589	18.205519	5.163556	10.738339	0.579708	0.304344	0.115948	0.000000	
46000	-66.787606	678	2.970873	30.161024	3.197472	4.373719	0.588515	0.293781	0.117703	0.000000	
47000	-67.243017	978	1.124797	6.777774	2.838177	3.576225	0.606131	0.279401	0.114468	0.000000	
48000	-66.450998	494	1.417219	9.832831	2.479864	6.517143	0.575697	0.309835	0.114468	0.000000	
49000	-67.584916	36	4.156697	22.216874	13.673711	29.676849	0.579710	0.304348	0.115942	0.000000	
50000	-69.029831	107	3.912647	24.940739	9.084797	12.310379	0.579711	0.304347	0.115942	0.000000	
51000	-68.261813	307	2.900357	37.894850	6.529675	11.634896	0.579717	0.304340	0.115943	0.000000	
52000	-69.515380	459	6.370182	28.957631	2.061905	7.184138	0.569633	0.316440	0.113927	0.000000	
53000	-65.972167	967	2.026934	17.278258	6.938831	15.112300	0.579709	0.304347	0.115943	0.000000	
54000	-68.371777	365	1.618005	21.878424	3.793294	12.733796	0.579645	0.304425	0.115930	0.000000	
55000	-66.729077	174	1.220043	6.185150	5.063944	11.817995	0.587617	0.308526	0.103857	0.000000	
