Rate	71.43
Rev Jump	14.29
Tree Move	14.29
Rate Tried	% Accepted	Rev Jump Tried	% Accepted	Tree Move Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
744	0.295699	110	0.127273	146	0.609589	2.595554	744	0.295699	0.323000	0.256249	
721	0.285714	126	0.111111	153	0.588235	2.595554	721	0.285714	0.310000	0.260728	
740	0.340541	114	0.157895	146	0.568493	2.595554	740	0.340541	0.353000	0.267826	
718	0.332869	129	0.062016	153	0.535948	2.595554	718	0.332869	0.329000	0.272195	
722	0.329640	134	0.074627	144	0.500000	2.595554	722	0.329640	0.320000	0.275382	
748	0.355615	107	0.037383	145	0.613793	2.595554	748	0.355615	0.359000	0.280607	
734	0.336512	110	0.090909	156	0.512821	2.595554	734	0.336512	0.337000	0.283924	
733	0.317872	109	0.082569	158	0.537975	2.595554	733	0.317872	0.327000	0.286317	
752	0.312500	110	0.127273	138	0.500000	2.595554	752	0.312500	0.318000	0.287985	
737	0.331072	128	0.101562	135	0.540741	2.595554	737	0.331072	0.330000	0.290085	
717	0.291492	120	0.166667	163	0.674847	2.595554	717	0.291492	0.339000	0.292415	
763	0.325033	116	0.120690	121	0.396694	2.595554	763	0.325033	0.310000	0.293214	
736	0.319293	124	0.137097	140	0.528571	2.595554	736	0.319293	0.326000	0.294639	
741	0.284750	107	0.037383	152	0.355263	2.595554	741	0.284750	0.269000	0.293571	
738	0.318428	112	0.044643	150	0.526667	2.595554	738	0.318428	0.319000	0.294588	
730	0.335616	126	0.047619	144	0.520833	2.595554	730	0.335616	0.326000	0.295796	
756	0.329365	99	0.070707	145	0.365517	2.595554	756	0.329365	0.309000	0.296285	
734	0.260218	110	0.045455	156	0.423077	2.595554	734	0.260218	0.262000	0.295061	
708	0.365819	133	0.060150	159	0.515723	2.595554	708	0.365819	0.349000	0.296921	
729	0.303155	115	0.078261	156	0.435897	2.595554	729	0.303155	0.298000	0.296957	
735	0.346939	111	0.099099	154	0.415584	2.595554	735	0.346939	0.330000	0.298023	
732	0.301913	117	0.111111	151	0.377483	2.595554	732	0.301913	0.291000	0.297803	
738	0.329268	109	0.100917	153	0.549020	2.595554	738	0.329268	0.338000	0.299021	
728	0.343407	139	0.093525	133	0.533835	2.595554	728	0.343407	0.334000	0.300050	
753	0.329349	112	0.080357	135	0.496296	2.595554	753	0.329349	0.324000	0.300734	
699	0.343348	117	0.094017	184	0.505435	2.595554	699	0.343348	0.344000	0.301936	
728	0.321429	114	0.078947	158	0.468354	2.595554	728	0.321429	0.317000	0.302343	
719	0.280946	123	0.113821	158	0.531646	2.595554	719	0.280946	0.300000	0.302282	
743	0.329744	111	0.072072	146	0.500000	2.595554	743	0.329744	0.326000	0.302890	
743	0.329744	123	0.138211	134	0.492537	2.595554	743	0.329744	0.328000	0.303517	
735	0.304762	122	0.106557	143	0.384615	2.595554	735	0.304762	0.292000	0.303237	
741	0.338731	102	0.127451	157	0.464968	2.595554	741	0.338731	0.337000	0.304040	
738	0.292683	116	0.129310	146	0.452055	2.595554	738	0.292683	0.297000	0.303877	
753	0.265604	109	0.119266	138	0.427536	2.595554	753	0.265604	0.272000	0.303152	
746	0.328418	128	0.070312	126	0.373016	2.595554	746	0.328418	0.301000	0.303104	
724	0.352210	105	0.019048	171	0.555556	2.595554	724	0.352210	0.352000	0.304167	
727	0.390646	114	0.087719	159	0.522013	2.595554	727	0.390646	0.377000	0.305717	
736	0.332880	118	0.076271	146	0.431507	2.595554	736	0.332880	0.317000	0.305952	
729	0.297668	117	0.128205	154	0.525974	2.595554	729	0.297668	0.313000	0.306096	
716	0.347765	128	0.093750	156	0.506410	2.595554	716	0.347765	0.340000	0.306774	
744	0.341398	107	0.074766	149	0.489933	2.595554	744	0.341398	0.335000	0.307327	
751	0.294274	99	0.202020	150	0.513333	2.595554	751	0.294274	0.318000	0.307533	
740	0.336486	112	0.089286	148	0.547297	2.595554	740	0.336486	0.340000	0.308145	
740	0.379730	106	0.056604	154	0.558442	2.595554	740	0.379730	0.373000	0.309346	
714	0.331933	118	0.093220	168	0.523810	2.595554	714	0.331933	0.336000	0.309831	
725	0.358621	116	0.094828	159	0.578616	2.595554	725	0.358621	0.363000	0.310780	
737	0.339213	131	0.061069	132	0.553030	2.595554	737	0.339213	0.331000	0.311135	
738	0.308943	131	0.083969	131	0.625954	2.595554	738	0.308943	0.321000	0.311305	
749	0.316422	110	0.118182	141	0.517730	2.595554	749	0.316422	0.323000	0.311503	
742	0.343666	108	0.064815	150	0.613333	2.595554	742	0.343666	0.354000	0.312211	
722	0.343490	120	0.133333	158	0.531646	2.595554	722	0.343490	0.348000	0.312798	
747	0.302544	109	0.119266	144	0.451389	2.595554	747	0.302544	0.304000	0.312656	
711	0.343179	119	0.067227	170	0.470588	2.595554	711	0.343179	0.332000	0.312963	
731	0.324213	111	0.090090	158	0.550633	2.595554	731	0.324213	0.334000	0.313292	
708	0.299435	126	0.103175	166	0.493976	2.595554	708	0.299435	0.307000	0.313195	
722	0.295014	127	0.062992	151	0.437086	2.595554	722	0.295014	0.287000	0.312798	
752	0.313830	105	0.152381	143	0.580420	2.595554	752	0.313830	0.335000	0.313130	
719	0.340751	119	0.067227	162	0.487654	2.595554	719	0.340751	0.332000	0.313407	
745	0.252349	107	0.149533	148	0.378378	2.595554	745	0.252349	0.260000	0.312633	
737	0.295794	113	0.053097	150	0.560000	2.595554	737	0.295794	0.308000	0.312567	
729	0.264746	134	0.089552	137	0.693431	2.595554	729	0.264746	0.300000	0.312390	
722	0.335180	130	0.046154	148	0.614865	2.595554	722	0.335180	0.339000	0.312760	
713	0.192146	129	0.116279	158	0.512658	2.595554	713	0.192146	0.233000	0.311667	
788	0.274112	85	0.082353	127	0.417323	2.238340	788	0.274112	0.276000	0.311185	
731	0.348837	120	0.100000	149	0.563758	2.238340	731	0.348837	0.351000	0.311716	
753	0.410359	108	0.111111	139	0.532374	2.238340	753	0.410359	0.395000	0.312812	
728	0.244505	116	0.146552	156	0.519231	3.877027	728	0.244505	0.276000	0.312334	
717	0.245467	128	0.078125	155	0.535484	3.877027	717	0.245467	0.269000	0.311778	
734	0.211172	115	0.113043	151	0.529801	3.877027	734	0.211172	0.248000	0.310971	
729	0.231824	97	0.103093	174	0.586207	3.877027	729	0.231824	0.281000	0.310596	
730	0.230137	120	0.091667	150	0.560000	3.877027	730	0.230137	0.263000	0.310009	
