Steppingstone sampler:
        No Stones:                  100
        Start It:                   10010001
        It Per Stone:               1000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.975187	750	-1.781045	-1.781045
1	0.950747	750	-1.733676	-3.514721
2	0.926679	750	-1.730583	-5.245304
3	0.902980	750	-1.680505	-6.925809
4	0.879648	750	-1.669921	-8.595731
5	0.856682	750	-1.644733	-10.240464
6	0.834079	750	-1.619300	-11.859763
7	0.811838	750	-1.601380	-13.461143
8	0.789957	750	-1.565509	-15.026652
9	0.768433	750	-1.547711	-16.574363
10	0.747266	750	-1.516506	-18.090869
11	0.726452	750	-1.505936	-19.596805
12	0.705989	750	-1.464127	-21.060932
13	0.685877	750	-1.444193	-22.505125
14	0.666112	750	-1.415213	-23.920338
15	0.646693	750	-1.398173	-25.318511
16	0.627618	750	-1.383060	-26.701571
17	0.608884	750	-1.353544	-28.055115
18	0.590490	750	-1.328978	-29.384093
19	0.572433	750	-1.308545	-30.692638
20	0.554712	750	-1.276136	-31.968774
21	0.537324	750	-1.263666	-33.232440
22	0.520268	750	-1.239739	-34.472179
23	0.503540	750	-1.213248	-35.685427
24	0.487139	750	-1.193990	-36.879417
25	0.471063	750	-1.172082	-38.051500
26	0.455310	750	-1.149101	-39.200601
27	0.439877	750	-1.126625	-40.327226
28	0.424762	750	-1.102405	-41.429631
29	0.409963	750	-1.078160	-42.507791
30	0.395478	750	-1.065212	-43.573004
31	0.381305	750	-1.034265	-44.607268
32	0.367440	750	-1.023251	-45.630520
33	0.353883	750	-0.990679	-46.621199
34	0.340630	750	-0.977683	-47.598882
35	0.327680	750	-0.953471	-48.552353
36	0.315030	750	-0.930588	-49.482941
37	0.302677	750	-0.913115	-50.396056
38	0.290619	750	-0.898220	-51.294276
39	0.278855	750	-0.883830	-52.178106
40	0.267381	750	-0.853545	-53.031651
41	0.256195	750	-0.841077	-53.872728
42	0.245294	750	-0.809700	-54.682428
43	0.234677	750	-0.794097	-55.476525
44	0.224340	750	-0.766682	-56.243208
45	0.214281	750	-0.761474	-57.004682
46	0.204498	750	-0.744010	-57.748691
47	0.194988	750	-0.717119	-58.465811
48	0.185749	750	-0.707949	-59.173760
49	0.176777	750	-0.677882	-59.851642
50	0.168070	750	-0.670388	-60.522031
51	0.159626	750	-0.642571	-61.164601
52	0.151441	750	-0.619488	-61.784090
53	0.143514	750	-0.606277	-62.390367
54	0.135841	750	-0.598829	-62.989196
55	0.128420	750	-0.577147	-63.566342
56	0.121247	750	-0.559888	-64.126230
57	0.114320	750	-0.532532	-64.658763
58	0.107637	750	-0.525155	-65.183918
59	0.101193	750	-0.505070	-65.688988
60	0.094986	750	-0.496901	-66.185890
61	0.089014	750	-0.477566	-66.663456
62	0.083273	750	-0.463202	-67.126658
63	0.077760	750	-0.447449	-67.574107
64	0.072472	750	-0.431476	-68.005583
65	0.067406	750	-0.411860	-68.417444
66	0.062558	750	-0.408797	-68.826241
67	0.057926	750	-0.387515	-69.213756
68	0.053506	750	-0.360986	-69.574742
69	0.049295	750	-0.343605	-69.918348
70	0.045289	750	-0.345869	-70.264216
71	0.041485	750	-0.315433	-70.579650
72	0.037880	750	-0.314218	-70.893867
73	0.034469	750	-0.301302	-71.195169
74	0.031250	750	-0.288578	-71.483747
75	0.028218	750	-0.283371	-71.767118
76	0.025370	750	-0.260281	-72.027400
77	0.022702	750	-0.245815	-72.273214
78	0.020209	750	-0.237318	-72.510533
79	0.017889	750	-0.222964	-72.733496
80	0.015736	750	-0.210316	-72.943812
81	0.013746	750	-0.201446	-73.145258
82	0.011916	750	-0.182172	-73.327430
83	0.010240	750	-0.172561	-73.499991
84	0.008714	750	-0.161307	-73.661298
85	0.007334	750	-0.151271	-73.812569
86	0.006093	750	-0.129873	-73.942442
87	0.004988	750	-0.110329	-74.052771
88	0.004013	750	-0.110540	-74.163310
89	0.003162	750	-0.090576	-74.253886
90	0.002430	750	-0.075525	-74.329411
91	0.001810	750	-0.067747	-74.397158
92	0.001296	750	-0.056908	-74.454066
93	0.000882	750	-0.048154	-74.502220
94	0.000559	750	-0.038092	-74.540312
95	0.000320	750	-0.026372	-74.566684
96	0.000156	750	-0.019319	-74.586003
97	0.000057	750	-0.011557	-74.597560
98	0.000010	750	-0.005517	-74.603077
99	0.000000	750	-0.001142	-74.604219
Log marginal likelihood:	-74.604219
