Options:
Model:                           Discrete: Dependent
Tree File Name:                  ./data/bantu-omaha-patrilocal.bttrees
Data File Name:                  ./data/bantu-omaha-patrilocal.btdata
Log File Name:                   ./output/bantu-omaha-patrilocal-dep1.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            960823146
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      10010000
Burn in:                         10000
MCMC ML Start:                   False
Use RJ MCMC:                     True
Schedule File:                   ./output/bantu-omaha-patrilocal-dep1.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     8
Base frequency (PI's):           Empirical: (0.521739,0.362319,0.000000,0.115942)
Character Symbols:               00,01,10,11
Using a covarion model:          False
Normalise Q Matrix:              False
Scale Tree:                      0.000000
Restrictions:
    q12                          RJ MCMC
    q13                          RJ MCMC
    q21                          RJ MCMC
    q24                          RJ MCMC
    q31                          RJ MCMC
    q34                          RJ MCMC
    q42                          RJ MCMC
    q43                          RJ MCMC
Prior Information:
    Prior Categories:            100
    Priors
        RJRates - exp 10.00 
Tree Information
     Trees:                      1000
     Taxa:                       69
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	No Off Parmeters	No Off Zero	Model string	Dep / InDep	q12	q13	q21	q24	q31	q34	q42	q43	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	
11000	-66.251232	910	1	2	'0 Z 0 0 0 0 0 Z 	D	2.192199	0.000000	2.192199	2.192199	2.192199	2.192199	2.192199	0.000000	0.751867	0.226438	0.000000	0.021695	
12000	-66.044384	463	1	2	'0 Z 0 0 0 0 0 Z 	D	4.018948	0.000000	4.018948	4.018948	4.018948	4.018948	4.018948	0.000000	0.627574	0.308112	0.000000	0.064314	
13000	-65.896503	644	1	2	'0 Z 0 0 0 0 0 Z 	D	3.787687	0.000000	3.787687	3.787687	3.787687	3.787687	3.787687	0.000000	0.624686	0.309715	0.000000	0.065599	
14000	-65.725858	351	1	1	'0 Z 0 0 0 0 0 0 	D	3.236512	0.000000	3.236512	3.236512	3.236512	3.236512	3.236512	3.236512	0.641852	0.293098	0.000000	0.065050	
15000	-65.223962	229	1	2	'0 Z 0 0 0 0 0 Z 	D	2.730419	0.000000	2.730419	2.730419	2.730419	2.730419	2.730419	0.000000	0.685637	0.272750	0.000000	0.041613	
16000	-64.617336	987	1	2	'0 Z 0 0 0 0 0 Z 	D	3.781023	0.000000	3.781023	3.781023	3.781023	3.781023	3.781023	0.000000	0.682479	0.275216	0.000000	0.042305	
17000	-66.928605	876	2	1	'0 Z 0 1 0 1 1 1 	D	4.505712	0.000000	4.505712	1.578412	4.505712	1.578412	1.578412	1.578412	0.603034	0.346761	0.000000	0.050205	
18000	-66.416599	227	1	2	'0 Z 0 0 0 0 0 Z 	D	2.073410	0.000000	2.073410	2.073410	2.073410	2.073410	2.073410	0.000000	0.736605	0.238183	0.000000	0.025213	
19000	-66.731354	463	1	1	'0 Z 0 0 0 0 0 0 	D	2.277027	0.000000	2.277027	2.277027	2.277027	2.277027	2.277027	2.277027	0.704001	0.253385	0.000000	0.042614	
20000	-65.591608	590	1	2	'0 Z 0 0 0 0 0 Z 	D	3.140326	0.000000	3.140326	3.140326	3.140326	3.140326	3.140326	0.000000	0.659472	0.289160	0.000000	0.051368	
