Rate	71.43
Rev Jump	14.29
Tree Move	14.29
Rate Tried	% Accepted	Rev Jump Tried	% Accepted	Tree Move Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
717	0.386332	135	0.029630	148	0.689189	2.206699	717	0.386332	0.383000	0.295609	
712	0.446629	138	0.028986	150	0.546667	2.206699	712	0.446629	0.404000	0.304641	
751	0.207723	94	0.148936	155	0.606452	4.294783	751	0.207723	0.264000	0.301515	
760	0.217105	107	0.028037	133	0.593985	4.294783	760	0.217105	0.247000	0.297622	
731	0.205198	121	0.107438	148	0.533784	4.294783	731	0.205198	0.242000	0.293914	
732	0.200820	107	0.130841	161	0.546584	4.294783	732	0.200820	0.249000	0.291107	
737	0.213026	138	0.072464	125	0.592000	4.294783	737	0.213026	0.241000	0.288160	
721	0.230236	138	0.086957	141	0.709220	4.294783	721	0.230236	0.278000	0.287595	
719	0.244784	137	0.109489	144	0.631944	4.294783	719	0.244784	0.282000	0.287301	
748	0.211230	110	0.100000	142	0.626761	4.294783	748	0.211230	0.258000	0.285836	
738	0.260163	132	0.030303	130	0.592308	4.294783	738	0.260163	0.273000	0.285225	
757	0.229855	88	0.125000	155	0.554839	4.294783	757	0.229855	0.271000	0.284578	
735	0.224490	111	0.054054	154	0.577922	4.294783	735	0.224490	0.260000	0.283509	
719	0.254520	124	0.048387	157	0.528662	4.294783	719	0.254520	0.272000	0.283030	
746	0.193029	109	0.137615	145	0.565517	4.294783	746	0.193029	0.241000	0.281349	
750	0.236000	106	0.103774	144	0.520833	3.867760	750	0.236000	0.263000	0.280643	
720	0.250000	136	0.036765	144	0.555556	3.867760	720	0.250000	0.265000	0.280064	
709	0.246827	133	0.000000	158	0.658228	3.867760	709	0.246827	0.279000	0.280026	
714	0.198880	119	0.100840	167	0.610778	3.867760	714	0.198880	0.256000	0.279197	
723	0.313970	124	0.096774	153	0.575163	2.599121	723	0.313970	0.327000	0.280791	
723	0.331950	127	0.062992	150	0.633333	2.599121	723	0.331950	0.343000	0.282797	
732	0.349727	118	0.084746	150	0.593333	2.599121	732	0.349727	0.355000	0.285054	
747	0.341365	107	0.158879	146	0.431507	2.599121	747	0.341365	0.335000	0.286567	
741	0.348178	133	0.090226	126	0.611111	2.599121	741	0.348178	0.347000	0.288344	
723	0.362379	120	0.025000	157	0.611465	2.599121	723	0.362379	0.361000	0.290420	
739	0.369418	110	0.000000	151	0.615894	2.599121	739	0.369418	0.366000	0.292520	
720	0.366667	137	0.058394	143	0.566434	2.599121	720	0.366667	0.353000	0.294154	
730	0.354795	120	0.058333	150	0.620000	2.599121	730	0.354795	0.359000	0.295861	
726	0.330579	113	0.159292	161	0.633540	2.599121	726	0.330579	0.360000	0.297505	
711	0.362869	116	0.112069	173	0.543353	2.599121	711	0.362869	0.365000	0.299193	
735	0.420408	125	0.016000	140	0.664286	2.599121	735	0.420408	0.404000	0.301749	
725	0.195862	138	0.094203	137	0.627737	4.237607	725	0.195862	0.241000	0.300302	
716	0.363128	128	0.109375	156	0.557692	2.438021	716	0.363128	0.361000	0.301714	
737	0.375848	132	0.113636	131	0.633588	2.438021	737	0.375848	0.375000	0.303379	
731	0.400821	129	0.093023	140	0.428571	2.438021	731	0.400821	0.365000	0.304749	
753	0.324037	122	0.032787	125	0.560000	3.160533	753	0.324037	0.318000	0.305037	
731	0.320109	137	0.051095	132	0.371212	3.160533	731	0.320109	0.290000	0.304717	
727	0.284732	129	0.038760	144	0.597222	3.160533	727	0.284732	0.298000	0.304577	
747	0.266399	107	0.186916	146	0.520548	3.160533	747	0.266399	0.295000	0.304382	
711	0.226442	127	0.110236	162	0.580247	3.160533	711	0.226442	0.269000	0.303674	
731	0.246238	116	0.129310	153	0.457516	3.160533	731	0.246238	0.265000	0.302916	
734	0.306540	125	0.056000	141	0.666667	3.160533	734	0.306540	0.326000	0.303360	
763	0.250328	108	0.055556	129	0.534884	3.160533	763	0.250328	0.266000	0.302655	
743	0.265141	112	0.089286	145	0.593103	3.160533	743	0.265141	0.293000	0.302476	
741	0.298246	95	0.105263	164	0.530488	3.160533	741	0.298246	0.318000	0.302758	
800	0.251250	83	0.096386	117	0.529915	3.160533	800	0.251250	0.271000	0.302191	
729	0.277092	127	0.094488	144	0.479167	3.160533	729	0.277092	0.283000	0.301854	
747	0.265060	111	0.171171	142	0.415493	3.160533	747	0.265060	0.276000	0.301409	
728	0.300824	117	0.111111	155	0.600000	3.160533	728	0.300824	0.325000	0.301808	
726	0.304408	115	0.043478	159	0.603774	3.160533	726	0.304408	0.322000	0.302145	
738	0.252033	122	0.040984	140	0.428571	3.160533	738	0.252033	0.251000	0.301307	
704	0.301136	153	0.026144	143	0.629371	3.160533	704	0.301136	0.306000	0.301382	
732	0.341530	130	0.146154	138	0.572464	3.160533	732	0.341530	0.348000	0.302122	
732	0.281421	112	0.080357	156	0.512821	3.160533	732	0.281421	0.295000	0.302011	
732	0.307377	125	0.080000	143	0.524476	3.160533	732	0.307377	0.310000	0.302134	
738	0.220867	84	0.071429	178	0.634831	3.160533	738	0.220867	0.282000	0.301829	
751	0.276964	102	0.078431	147	0.673469	3.160533	751	0.276964	0.315000	0.302025	
764	0.269634	123	0.065041	113	0.575221	3.160533	764	0.269634	0.279000	0.301687	
764	0.306283	112	0.017857	124	0.596774	3.160533	764	0.306283	0.310000	0.301807	
722	0.307479	116	0.146552	162	0.518519	3.160533	722	0.307479	0.323000	0.302110	
726	0.239669	139	0.050360	135	0.503704	3.160533	726	0.239669	0.249000	0.301362	
745	0.300671	133	0.045113	122	0.524590	3.160533	745	0.300671	0.294000	0.301260	
737	0.270014	120	0.000000	143	0.538462	3.160533	737	0.270014	0.276000	0.300914	
737	0.321574	117	0.102564	146	0.527397	3.160533	737	0.321574	0.326000	0.301253	
704	0.276989	121	0.107438	175	0.617143	3.160533	704	0.276989	0.316000	0.301449	
722	0.283934	107	0.084112	171	0.538012	3.160533	722	0.283934	0.306000	0.301509	
721	0.281553	122	0.073770	157	0.579618	3.160533	721	0.281553	0.303000	0.301529	
711	0.289733	130	0.084615	159	0.540881	3.160533	711	0.289733	0.303000	0.301547	
713	0.252454	121	0.099174	166	0.578313	3.160533	713	0.252454	0.288000	0.301376	
757	0.286658	116	0.068966	127	0.692913	3.160533	757	0.286658	0.313000	0.301521	
718	0.278552	127	0.094488	155	0.567742	3.160533	718	0.278552	0.300000	0.301502	
697	0.289813	160	0.093750	143	0.461538	3.160533	697	0.289813	0.283000	0.301277	
716	0.283520	115	0.139130	169	0.443787	3.160533	716	0.283520	0.294000	0.301189	
718	0.284123	114	0.175439	168	0.601190	3.160533	718	0.284123	0.325000	0.301473	
746	0.282842	129	0.054264	125	0.448000	3.160533	746	0.282842	0.274000	0.301149	
716	0.289106	138	0.115942	146	0.479452	3.160533	716	0.289106	0.293000	0.301055	
727	0.262724	137	0.065693	136	0.654412	3.160533	727	0.262724	0.289000	0.300916	
737	0.295794	121	0.041322	142	0.549296	3.160533	737	0.295794	0.301000	0.300917	
730	0.302740	130	0.092308	140	0.607143	3.160533	730	0.302740	0.318000	0.301109	
735	0.299320	117	0.119658	148	0.581081	3.160533	735	0.299320	0.320000	0.301319	
757	0.286658	106	0.094340	137	0.481752	3.160533	757	0.286658	0.293000	0.301227	
694	0.325648	142	0.028169	164	0.579268	3.160533	694	0.325648	0.325000	0.301486	
