Rate	83.33
Tree Move	16.67
Rate Tried	% Accepted	Tree Move Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
847	0.285714	153	0.803922	1.921244	847	0.285714	0.365000	0.334242	
815	0.330061	185	0.772973	1.921244	815	0.330061	0.412000	0.340722	
850	0.292941	150	0.680000	1.921244	850	0.292941	0.351000	0.341512	
818	0.322738	182	0.785714	1.921244	818	0.322738	0.407000	0.346190	
834	0.290168	166	0.716867	1.921244	834	0.290168	0.361000	0.347177	
849	0.325088	151	0.695364	1.921244	849	0.325088	0.381000	0.349291	
851	0.303173	149	0.691275	1.921244	851	0.303173	0.361000	0.349979	
838	0.303103	162	0.765432	1.921244	838	0.303103	0.378000	0.351536	
847	0.303424	153	0.607843	1.921244	847	0.303424	0.350000	0.351455	
834	0.342926	166	0.692771	1.921244	834	0.342926	0.401000	0.353932	
819	0.335775	181	0.779006	1.921244	819	0.335775	0.416000	0.356888	
866	0.324480	134	0.708955	1.921244	866	0.324480	0.376000	0.357756	
847	0.337662	153	0.653595	1.921244	847	0.337662	0.386000	0.358984	
824	0.333738	176	0.676136	1.921244	824	0.333738	0.394000	0.360443	
829	0.331725	171	0.684211	1.921244	829	0.331725	0.392000	0.361706	
836	0.331340	164	0.780488	1.921244	836	0.331340	0.405000	0.363371	
832	0.299279	168	0.690476	1.921244	832	0.299279	0.365000	0.363431	
823	0.347509	177	0.711864	1.921244	823	0.347509	0.412000	0.365166	
820	0.303659	180	0.666667	1.921244	820	0.303659	0.369000	0.365298	
833	0.290516	167	0.766467	1.921244	833	0.290516	0.370000	0.365454	
832	0.314904	168	0.738095	1.921244	832	0.314904	0.386000	0.366117	
833	0.302521	167	0.742515	1.921244	833	0.302521	0.376000	0.366426	
831	0.316486	169	0.769231	1.921244	831	0.316486	0.393000	0.367231	
838	0.365155	162	0.765432	1.921244	838	0.365155	0.430000	0.369077	
831	0.300842	169	0.662722	1.921244	831	0.300842	0.362000	0.368875	
847	0.282172	153	0.745098	1.921244	847	0.282172	0.353000	0.368434	
816	0.276961	184	0.733696	1.921244	816	0.276961	0.361000	0.368233	
853	0.294256	147	0.755102	1.921244	853	0.294256	0.362000	0.368069	
863	0.319815	137	0.781022	1.921244	863	0.319815	0.383000	0.368452	
824	0.277913	176	0.772727	1.921244	824	0.277913	0.365000	0.368366	
816	0.302696	184	0.777174	1.921244	816	0.302696	0.390000	0.368893	
831	0.285199	169	0.692308	1.921244	831	0.285199	0.354000	0.368539	
843	0.308422	157	0.700637	1.921244	843	0.308422	0.370000	0.368573	
829	0.288299	171	0.736842	1.921244	829	0.288299	0.365000	0.368492	
825	0.311515	175	0.737143	1.921244	825	0.311515	0.386000	0.368881	
837	0.298686	163	0.705521	1.921244	837	0.298686	0.365000	0.368796	
839	0.312277	161	0.801242	1.921244	839	0.312277	0.391000	0.369269	
832	0.324519	168	0.744048	1.921244	832	0.324519	0.395000	0.369805	
832	0.322115	168	0.696429	1.921244	832	0.322115	0.385000	0.370115	
823	0.273390	177	0.785311	1.921244	823	0.273390	0.364000	0.369993	
867	0.309112	133	0.759398	1.921244	867	0.309112	0.369000	0.369973	
840	0.303571	160	0.750000	1.921244	840	0.303571	0.375000	0.370070	
822	0.309002	178	0.775281	1.921244	822	0.309002	0.392000	0.370484	
824	0.311893	176	0.715909	1.921244	824	0.311893	0.383000	0.370715	
830	0.275904	170	0.717647	1.921244	830	0.275904	0.351000	0.370357	
826	0.291768	174	0.672414	1.921244	826	0.291768	0.358000	0.370136	
819	0.294261	181	0.740331	1.921244	819	0.294261	0.375000	0.370222	
823	0.291616	177	0.661017	1.921244	823	0.291616	0.357000	0.369994	
830	0.340964	170	0.688235	1.921244	830	0.340964	0.400000	0.370502	
860	0.348837	140	0.635714	1.921244	860	0.348837	0.389000	0.370810	
793	0.296343	207	0.700483	1.921244	793	0.296343	0.380000	0.370961	
818	0.308068	182	0.807692	1.921244	818	0.308068	0.399000	0.371413	
806	0.303970	194	0.613402	1.921244	806	0.303970	0.364000	0.371296	
819	0.340659	181	0.729282	1.921244	819	0.340659	0.411000	0.371916	
824	0.269417	176	0.721591	1.921244	824	0.269417	0.349000	0.371564	
839	0.290822	161	0.695652	1.921244	839	0.290822	0.356000	0.371328	
853	0.307151	147	0.639456	1.921244	853	0.307151	0.356000	0.371099	
840	0.328571	160	0.681250	1.921244	840	0.328571	0.385000	0.371303	
828	0.335749	172	0.738372	1.921244	828	0.335749	0.405000	0.371792	
809	0.285538	191	0.753927	1.921244	809	0.285538	0.375000	0.371838	
818	0.310513	182	0.664835	1.921244	818	0.310513	0.375000	0.371882	
838	0.325776	162	0.740741	1.921244	838	0.325776	0.393000	0.372175	
835	0.302994	165	0.630303	1.921244	835	0.302994	0.357000	0.371968	
845	0.327811	155	0.703226	1.921244	845	0.327811	0.386000	0.372157	
828	0.347826	172	0.668605	1.921244	828	0.347826	0.403000	0.372568	
839	0.302741	161	0.714286	1.921244	839	0.302741	0.369000	0.372521	
832	0.270433	168	0.726190	1.921244	832	0.270433	0.347000	0.372190	
826	0.324455	174	0.741379	1.921244	826	0.324455	0.397000	0.372508	
845	0.325444	155	0.761290	1.921244	845	0.325444	0.393000	0.372767	
834	0.310552	166	0.710843	1.921244	834	0.310552	0.377000	0.372820	
838	0.297136	162	0.709877	1.921244	838	0.297136	0.364000	0.372711	
838	0.310263	162	0.623457	1.921244	838	0.310263	0.361000	0.372569	
832	0.312500	168	0.708333	1.921244	832	0.312500	0.379000	0.372646	
834	0.317746	166	0.650602	1.921244	834	0.317746	0.373000	0.372650	
826	0.273608	174	0.683908	1.921244	826	0.273608	0.345000	0.372325	
829	0.311218	171	0.707602	1.921244	829	0.311218	0.379000	0.372403	
836	0.314593	164	0.774390	1.921244	836	0.314593	0.390000	0.372605	
837	0.326165	163	0.717791	1.921244	837	0.326165	0.390000	0.372803	
839	0.330155	161	0.708075	1.921244	839	0.330155	0.391000	0.373007	
829	0.312425	171	0.707602	1.921244	829	0.312425	0.380000	0.373085	
852	0.307512	148	0.743243	1.921244	852	0.307512	0.372000	0.373073	
846	0.304965	154	0.668831	1.921244	846	0.304965	0.361000	0.372942	
842	0.298100	158	0.670886	1.921244	842	0.298100	0.357000	0.372770	
788	0.286802	212	0.693396	1.921244	788	0.286802	0.373000	0.372773	
825	0.282424	175	0.714286	1.921244	825	0.282424	0.358000	0.372617	
834	0.316547	166	0.704819	1.921244	834	0.316547	0.381000	0.372704	
839	0.334923	161	0.627329	1.921244	839	0.334923	0.382000	0.372800	
829	0.336550	171	0.701754	1.921244	829	0.336550	0.399000	0.373068	
852	0.299296	148	0.709459	1.921244	852	0.299296	0.360000	0.372936	
825	0.324848	175	0.714286	1.921244	825	0.324848	0.393000	0.373136	
860	0.286047	140	0.635714	1.921244	860	0.286047	0.335000	0.372759	
852	0.309859	148	0.716216	1.921244	852	0.309859	0.370000	0.372732	
855	0.330994	145	0.662069	1.921244	855	0.330994	0.379000	0.372792	
822	0.319951	178	0.679775	1.921244	822	0.319951	0.384000	0.372900	
831	0.321300	169	0.763314	1.921244	831	0.321300	0.396000	0.373120	
821	0.306943	179	0.681564	1.921244	821	0.306943	0.374000	0.373129	
846	0.283688	154	0.759740	1.921244	846	0.283688	0.357000	0.372978	
869	0.345224	131	0.786260	1.921244	869	0.345224	0.403000	0.373256	
870	0.317241	130	0.746154	1.921244	870	0.317241	0.373000	0.373253	
831	0.288809	169	0.686391	1.921244	831	0.288809	0.356000	0.373097	
853	0.301290	147	0.693878	1.921244	853	0.301290	0.359000	0.372970	
838	0.319809	162	0.648148	1.921244	838	0.319809	0.373000	0.372970	
838	0.306683	162	0.740741	1.921244	838	0.306683	0.377000	0.373006	
858	0.280886	142	0.711268	1.921244	858	0.280886	0.342000	0.372734	
827	0.307134	173	0.716763	1.921244	827	0.307134	0.378000	0.372779	
825	0.352727	175	0.634286	1.921244	825	0.352727	0.402000	0.373031	
818	0.312958	182	0.791209	1.921244	818	0.312958	0.400000	0.373262	
822	0.336983	178	0.730337	1.921244	822	0.336983	0.407000	0.373548	
837	0.313023	163	0.736196	1.921244	837	0.313023	0.382000	0.373619	
837	0.292712	163	0.687117	1.921244	837	0.292712	0.357000	0.373480	
832	0.310096	168	0.648810	1.921244	832	0.310096	0.367000	0.373427	
828	0.339372	172	0.697674	1.921244	828	0.339372	0.401000	0.373653	
814	0.309582	186	0.768817	1.921244	814	0.309582	0.395000	0.373826	
827	0.287787	173	0.670520	1.921244	827	0.287787	0.354000	0.373666	
837	0.340502	163	0.803681	1.921244	837	0.340502	0.416000	0.374005	
837	0.297491	163	0.662577	1.921244	837	0.297491	0.357000	0.373870	
829	0.303981	171	0.725146	1.921244	829	0.303981	0.376000	0.373887	
834	0.315348	166	0.668675	1.921244	834	0.315348	0.374000	0.373888	
822	0.333333	178	0.724719	1.921244	822	0.333333	0.403000	0.374113	
841	0.311534	159	0.792453	1.921244	841	0.311534	0.388000	0.374220	
833	0.313325	167	0.736527	1.921244	833	0.313325	0.384000	0.374295	
843	0.297746	157	0.694268	1.921244	843	0.297746	0.360000	0.374187	
833	0.346939	167	0.718563	1.921244	833	0.346939	0.409000	0.374448	
846	0.314421	154	0.727273	1.921244	846	0.314421	0.378000	0.374475	
824	0.314320	176	0.659091	1.921244	824	0.314320	0.375000	0.374479	
835	0.312575	165	0.612121	1.921244	835	0.312575	0.362000	0.374387	
824	0.319175	176	0.738636	1.921244	824	0.319175	0.393000	0.374523	
843	0.323843	157	0.662420	1.921244	843	0.323843	0.377000	0.374541	
854	0.318501	146	0.691781	1.921244	854	0.318501	0.373000	0.374530	
835	0.293413	165	0.727273	1.921244	835	0.293413	0.365000	0.374462	
825	0.328485	175	0.680000	1.921244	825	0.328485	0.390000	0.374572	
838	0.318616	162	0.753086	1.921244	838	0.318616	0.389000	0.374673	
840	0.327381	160	0.725000	1.921244	840	0.327381	0.391000	0.374788	
827	0.309553	173	0.687861	1.921244	827	0.309553	0.375000	0.374789	
831	0.311673	169	0.757396	1.921244	831	0.311673	0.387000	0.374873	
820	0.341463	180	0.700000	1.921244	820	0.341463	0.406000	0.375086	
833	0.300120	167	0.760479	1.921244	833	0.300120	0.377000	0.375099	
848	0.287736	152	0.736842	1.921244	848	0.287736	0.356000	0.374970	
812	0.312808	188	0.696809	1.921244	812	0.312808	0.385000	0.375038	
846	0.333333	154	0.818182	1.921244	846	0.333333	0.408000	0.375257	
827	0.308343	173	0.786127	1.921244	827	0.308343	0.391000	0.375362	
826	0.263923	174	0.741379	1.921244	826	0.263923	0.347000	0.375175	
814	0.316953	186	0.741935	1.921244	814	0.316953	0.396000	0.375311	
816	0.299020	184	0.750000	1.921244	816	0.299020	0.382000	0.375355	
825	0.309091	175	0.725714	1.921244	825	0.309091	0.382000	0.375398	
842	0.346793	158	0.658228	1.921244	842	0.346793	0.396000	0.375530	
862	0.294664	138	0.724638	1.921244	862	0.294664	0.354000	0.375393	
828	0.303140	172	0.645349	1.921244	828	0.303140	0.362000	0.375308	
833	0.330132	167	0.760479	1.921244	833	0.330132	0.402000	0.375476	
830	0.302410	170	0.711765	1.921244	830	0.302410	0.372000	0.375454	
842	0.332542	158	0.683544	1.921244	842	0.332542	0.388000	0.375532	
818	0.295844	182	0.736264	1.921244	818	0.295844	0.376000	0.375535	
825	0.309091	175	0.737143	1.921244	825	0.309091	0.384000	0.375587	
814	0.312039	186	0.720430	1.921244	814	0.312039	0.388000	0.375662	
818	0.344743	182	0.664835	1.921244	818	0.344743	0.403000	0.375828	
835	0.280240	165	0.709091	1.921244	835	0.280240	0.351000	0.375678	
841	0.315101	159	0.729560	1.921244	841	0.315101	0.381000	0.375710	
832	0.338942	168	0.809524	1.921244	832	0.338942	0.418000	0.375962	
857	0.339557	143	0.685315	1.921244	857	0.339557	0.389000	0.376039	
837	0.302270	163	0.668712	1.921244	837	0.302270	0.362000	0.375957	
845	0.375148	155	0.716129	1.921244	845	0.375148	0.428000	0.376261	
838	0.309069	162	0.765432	1.921244	838	0.309069	0.383000	0.376300	
841	0.324614	159	0.654088	1.921244	841	0.324614	0.377000	0.376304	
830	0.313253	170	0.711765	1.921244	830	0.313253	0.381000	0.376331	
833	0.340936	167	0.688623	1.921244	833	0.340936	0.399000	0.376461	
853	0.342321	147	0.721088	1.921244	853	0.342321	0.398000	0.376583	
857	0.313886	143	0.762238	1.921244	857	0.313886	0.378000	0.376591	
831	0.341757	169	0.698225	1.921244	831	0.341757	0.402000	0.376734	
824	0.337379	176	0.772727	1.921244	824	0.337379	0.414000	0.376942	
857	0.311552	143	0.727273	1.921244	857	0.311552	0.371000	0.376909	
851	0.312573	149	0.617450	1.921244	851	0.312573	0.358000	0.376805	
829	0.338963	171	0.690058	1.921244	829	0.338963	0.399000	0.376927	
825	0.300606	175	0.702857	1.921244	825	0.300606	0.371000	0.376894	
838	0.307876	162	0.672840	1.921244	838	0.307876	0.367000	0.376840	
827	0.293833	173	0.693642	1.921244	827	0.293833	0.363000	0.376766	
830	0.307229	170	0.741176	1.921244	830	0.307229	0.381000	0.376788	
848	0.325472	152	0.723684	1.921244	848	0.325472	0.386000	0.376838	
839	0.321812	161	0.689441	1.921244	839	0.321812	0.381000	0.376860	
844	0.287915	156	0.737179	1.921244	844	0.287915	0.358000	0.376760	
818	0.259169	182	0.741758	1.921244	818	0.259169	0.347000	0.376603	
855	0.329825	145	0.696552	1.921244	855	0.329825	0.383000	0.376637	
851	0.264395	149	0.724832	1.921244	851	0.264395	0.333000	0.376409	
850	0.317647	150	0.733333	1.921244	850	0.317647	0.380000	0.376428	
831	0.332130	169	0.751479	1.921244	831	0.332130	0.403000	0.376565	
844	0.286730	156	0.750000	1.921244	844	0.286730	0.359000	0.376475	
841	0.280618	159	0.773585	1.921244	841	0.280618	0.359000	0.376386	
