Rate	83.33
Tree Move	16.67
Rate Tried	% Accepted	Tree Move Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
793	0.262295	207	0.884058	1.951787	793	0.262295	0.391000	0.347423	
809	0.307787	191	0.874346	1.951787	809	0.307787	0.416000	0.353137	
823	0.287971	177	0.887006	1.951787	823	0.287971	0.394000	0.356280	
837	0.231780	163	0.889571	1.951787	837	0.231780	0.339000	0.355046	
823	0.250304	177	0.870056	1.951787	823	0.250304	0.360000	0.355376	
806	0.311414	194	0.855670	1.951787	806	0.311414	0.417000	0.359228	
819	0.286935	181	0.900552	1.951787	819	0.286935	0.398000	0.361508	
826	0.245763	174	0.867816	1.951787	826	0.245763	0.354000	0.361091	
815	0.255215	185	0.886486	1.951787	815	0.255215	0.372000	0.361665	
809	0.268232	191	0.842932	1.951787	809	0.268232	0.378000	0.362482	
843	0.283511	157	0.878981	1.951787	843	0.283511	0.377000	0.363173	
844	0.287915	156	0.858974	1.951787	844	0.287915	0.377000	0.363802	
789	0.256020	211	0.862559	1.951787	789	0.256020	0.384000	0.364680	
807	0.270136	193	0.917098	1.951787	807	0.270136	0.395000	0.365943	
823	0.298906	177	0.887006	1.951787	823	0.298906	0.403000	0.367425	
806	0.254342	194	0.881443	1.951787	806	0.254342	0.376000	0.367755	
795	0.276730	205	0.858537	1.951787	795	0.276730	0.396000	0.368801	
829	0.278649	171	0.894737	1.951787	829	0.278649	0.384000	0.369344	
837	0.291517	163	0.809816	1.951787	837	0.291517	0.376000	0.369573	
825	0.295758	175	0.845714	1.951787	825	0.295758	0.392000	0.370321	
810	0.285185	190	0.794737	1.951787	810	0.285185	0.382000	0.370698	
828	0.320048	172	0.866279	1.951787	828	0.320048	0.414000	0.372051	
806	0.323821	194	0.835052	1.951787	806	0.323821	0.423000	0.373595	
816	0.281863	184	0.885870	1.951787	816	0.281863	0.393000	0.374165	
793	0.259773	207	0.845411	1.951787	793	0.259773	0.381000	0.374361	
817	0.263158	183	0.825137	1.951787	817	0.263158	0.366000	0.374128	
821	0.281364	179	0.899441	1.951787	821	0.281364	0.392000	0.374611	
813	0.247232	187	0.866310	1.951787	813	0.247232	0.363000	0.374306	
797	0.264743	203	0.857143	1.951787	797	0.264743	0.385000	0.374580	
807	0.277571	193	0.886010	1.951787	807	0.277571	0.395000	0.375091	
816	0.274510	184	0.869565	1.951787	816	0.274510	0.384000	0.375308	
834	0.298561	166	0.861446	1.951787	834	0.298561	0.392000	0.375705	
830	0.279518	170	0.811765	1.951787	830	0.279518	0.370000	0.375573	
826	0.284504	174	0.816092	1.951787	826	0.284504	0.377000	0.375605	
830	0.279518	170	0.917647	1.951787	830	0.279518	0.388000	0.375881	
791	0.262958	209	0.856459	1.951787	791	0.262958	0.387000	0.376122	
831	0.282792	169	0.905325	1.951787	831	0.282792	0.388000	0.376375	
841	0.258026	159	0.855346	1.951787	841	0.258026	0.353000	0.375888	
795	0.283019	205	0.863415	1.951787	795	0.283019	0.402000	0.376421	
820	0.291463	180	0.827778	1.951787	820	0.291463	0.388000	0.376652	
822	0.281022	178	0.848315	1.951787	822	0.281022	0.382000	0.376757	
815	0.292025	185	0.918919	1.951787	815	0.292025	0.408000	0.377358	
840	0.284524	160	0.843750	1.951787	840	0.284524	0.374000	0.377295	
828	0.253623	172	0.877907	1.951787	828	0.253623	0.361000	0.376993	
821	0.270402	179	0.804469	1.951787	821	0.270402	0.366000	0.376793	
807	0.307311	193	0.849741	1.951787	807	0.307311	0.412000	0.377422	
816	0.323529	184	0.836957	1.951787	816	0.323529	0.418000	0.378134	
806	0.270471	194	0.891753	1.951787	806	0.270471	0.391000	0.378356	
820	0.301220	180	0.866667	1.951787	820	0.301220	0.403000	0.378773	
824	0.288835	176	0.835227	1.951787	824	0.288835	0.385000	0.378877	
813	0.274293	187	0.903743	1.951787	813	0.274293	0.392000	0.379092	
815	0.256442	185	0.875676	1.951787	815	0.256442	0.371000	0.378962	
831	0.315283	169	0.828402	1.951787	831	0.315283	0.402000	0.379327	
784	0.288265	216	0.875000	1.951787	784	0.288265	0.415000	0.379885	
821	0.303289	179	0.882682	1.951787	821	0.303289	0.407000	0.380302	
819	0.282051	181	0.895028	1.951787	819	0.282051	0.393000	0.380494	
820	0.296341	180	0.894444	1.951787	820	0.296341	0.404000	0.380845	
818	0.288509	182	0.884615	1.951787	818	0.288509	0.397000	0.381083	
798	0.264411	202	0.896040	1.951787	798	0.264411	0.392000	0.381241	
837	0.268817	163	0.914110	1.951787	837	0.268817	0.374000	0.381137	
792	0.248737	208	0.865385	1.951787	792	0.248737	0.377000	0.381079	
805	0.294410	195	0.830769	1.951787	805	0.294410	0.399000	0.381328	
828	0.287440	172	0.843023	1.951787	828	0.287440	0.383000	0.381351	
807	0.311029	193	0.896373	1.951787	807	0.311029	0.424000	0.381927	
817	0.297430	183	0.868852	1.951787	817	0.297430	0.402000	0.382195	
842	0.319477	158	0.778481	1.951787	842	0.319477	0.392000	0.382324	
805	0.295652	195	0.887179	1.951787	805	0.295652	0.411000	0.382696	
811	0.277435	189	0.857143	1.951787	811	0.277435	0.387000	0.382752	
799	0.284105	201	0.850746	1.951787	799	0.284105	0.398000	0.382945	
795	0.281761	205	0.878049	1.951787	795	0.281761	0.404000	0.383208	
817	0.297430	183	0.874317	1.951787	817	0.297430	0.403000	0.383452	
826	0.297821	174	0.821839	1.951787	826	0.297821	0.389000	0.383520	
813	0.269373	187	0.839572	1.951787	813	0.269373	0.376000	0.383429	
805	0.334161	195	0.861538	1.951787	805	0.334161	0.437000	0.384067	
826	0.294189	174	0.764368	1.951787	826	0.294189	0.376000	0.383972	
799	0.251564	201	0.875622	1.951787	799	0.251564	0.377000	0.383891	
819	0.239316	181	0.883978	1.951787	819	0.239316	0.356000	0.383570	
810	0.269136	190	0.857895	1.951787	810	0.269136	0.381000	0.383541	
833	0.294118	167	0.856287	1.951787	833	0.294118	0.388000	0.383591	
815	0.285890	185	0.891892	1.951787	815	0.285890	0.398000	0.383751	
781	0.252241	219	0.835616	1.951787	781	0.252241	0.380000	0.383710	
796	0.325377	204	0.911765	1.951787	796	0.325377	0.445000	0.384376	
823	0.306197	177	0.841808	1.951787	823	0.306197	0.401000	0.384555	
827	0.279323	173	0.872832	1.951787	827	0.279323	0.382000	0.384528	
809	0.299135	191	0.900524	1.951787	809	0.299135	0.414000	0.384838	
806	0.289082	194	0.865979	1.951787	806	0.289082	0.401000	0.385006	
838	0.286396	162	0.845679	1.951787	838	0.286396	0.377000	0.384924	
770	0.276623	230	0.817391	1.951787	770	0.276623	0.401000	0.385088	
807	0.230483	193	0.880829	1.951787	807	0.230483	0.356000	0.384794	
807	0.281289	193	0.849741	1.951787	807	0.281289	0.391000	0.384856	
825	0.307879	175	0.828571	1.951787	825	0.307879	0.399000	0.384996	
810	0.302469	190	0.773684	1.951787	810	0.302469	0.392000	0.385065	
832	0.305288	168	0.827381	1.951787	832	0.305288	0.393000	0.385142	
821	0.299635	179	0.865922	1.951787	821	0.299635	0.401000	0.385294	
809	0.292954	191	0.869110	1.951787	809	0.292954	0.403000	0.385463	
798	0.293233	202	0.891089	1.951787	798	0.293233	0.414000	0.385732	
822	0.289538	178	0.893258	1.951787	822	0.289538	0.397000	0.385838	
828	0.327295	172	0.883721	1.951787	828	0.327295	0.423000	0.386182	
813	0.239852	187	0.828877	1.951787	813	0.239852	0.350000	0.385850	
823	0.286756	177	0.853107	1.951787	823	0.286756	0.387000	0.385860	
798	0.278195	202	0.866337	1.951787	798	0.278195	0.397000	0.385960	
834	0.268585	166	0.873494	1.951787	834	0.268585	0.369000	0.385809	
818	0.275061	182	0.813187	1.951787	818	0.275061	0.373000	0.385696	
808	0.280941	192	0.848958	1.951787	808	0.280941	0.390000	0.385733	
809	0.289246	191	0.853403	1.951787	809	0.289246	0.397000	0.385831	
816	0.280637	184	0.864130	1.951787	816	0.280637	0.388000	0.385850	
831	0.276775	169	0.857988	1.951787	831	0.276775	0.375000	0.385757	
825	0.240000	175	0.880000	1.951787	825	0.240000	0.352000	0.385471	
847	0.273908	153	0.869281	1.951787	847	0.273908	0.365000	0.385299	
808	0.285891	192	0.822917	1.951787	808	0.285891	0.389000	0.385330	
790	0.269620	210	0.895238	1.951787	790	0.269620	0.401000	0.385460	
816	0.263480	184	0.858696	1.951787	816	0.263480	0.373000	0.385357	
811	0.287300	189	0.857143	1.951787	811	0.287300	0.395000	0.385436	
836	0.278708	164	0.878049	1.951787	836	0.278708	0.377000	0.385368	
820	0.274390	180	0.855556	1.951787	820	0.274390	0.379000	0.385317	
837	0.291517	163	0.815951	1.951787	837	0.291517	0.377000	0.385251	
815	0.271166	185	0.891892	1.951787	815	0.271166	0.386000	0.385257	
830	0.277108	170	0.847059	1.951787	830	0.277108	0.374000	0.385169	
818	0.281174	182	0.851648	1.951787	818	0.281174	0.385000	0.385168	
841	0.261593	159	0.886792	1.951787	841	0.261593	0.361000	0.384982	
821	0.253350	179	0.877095	1.951787	821	0.253350	0.365000	0.384829	
828	0.282609	172	0.854651	1.951787	828	0.282609	0.381000	0.384800	
813	0.246002	187	0.877005	1.951787	813	0.246002	0.364000	0.384644	
832	0.323317	168	0.851190	1.951787	832	0.323317	0.412000	0.384848	
806	0.284119	194	0.855670	1.951787	806	0.284119	0.395000	0.384923	
772	0.237047	228	0.846491	1.951787	772	0.237047	0.376000	0.384857	
831	0.300842	169	0.881657	1.951787	831	0.300842	0.399000	0.384961	
806	0.267990	194	0.876289	1.951787	806	0.267990	0.386000	0.384968	
835	0.282635	165	0.878788	1.951787	835	0.282635	0.381000	0.384940	
812	0.275862	188	0.882979	1.951787	812	0.275862	0.390000	0.384976	
832	0.271635	168	0.833333	1.951787	832	0.271635	0.366000	0.384841	
827	0.270859	173	0.867052	1.951787	827	0.270859	0.374000	0.384765	
814	0.287469	186	0.833333	1.951787	814	0.287469	0.389000	0.384795	
823	0.269745	177	0.824859	1.951787	823	0.269745	0.368000	0.384678	
842	0.298100	158	0.860759	1.951787	842	0.298100	0.387000	0.384694	
838	0.266110	162	0.833333	1.951787	838	0.266110	0.358000	0.384511	
807	0.265180	193	0.870466	1.951787	807	0.265180	0.382000	0.384494	
797	0.247177	203	0.852217	1.951787	797	0.247177	0.370000	0.384396	
821	0.269184	179	0.893855	1.951787	821	0.269184	0.381000	0.384373	
825	0.292121	175	0.851429	1.951787	825	0.292121	0.390000	0.384411	
830	0.291566	170	0.847059	1.951787	830	0.291566	0.386000	0.384421	
819	0.273504	181	0.883978	1.951787	819	0.273504	0.384000	0.384419	
829	0.266586	171	0.871345	1.951787	829	0.266586	0.370000	0.384324	
811	0.277435	189	0.851852	1.951787	811	0.277435	0.386000	0.384335	
