Options:
Model:                           Discrete: Independent
Tree File Name:                  ./data/uto-iroquois-cross.cousinmarriage.permitted.bttrees
Data File Name:                  ./data/uto-iroquois-cross.cousinmarriage.permitted.btdata
Log File Name:                   ./output/uto-iroquois-cross.cousinmarriage.permitted-indep1.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            1380584845
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      10010000
Burn in:                         10000
MCMC ML Start:                   False
Schedule File:                   ./output/uto-iroquois-cross.cousinmarriage.permitted-indep1.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     4
Base frequency (PI's):           Empirical: (0.736842,0.052632,0.210526,0.000000)
Character Symbols:               00,01,10,11
Using a covarion model:          False
Normalise Q Matrix:              False
Scale Tree:                      0.095105
Restrictions:
    alpha1                       None
    beta1                        None
    alpha2                       None
    beta2                        None
Prior Information:
    Prior Categories:            100
    Priors
        alpha1 - exp 10.00 
        beta1 - exp 10.00 
        alpha2 - exp 10.00 
        beta2 - exp 10.00 
Tree Information
     Trees:                      800
     Taxa:                       19
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	alpha1	beta1	alpha2	beta2	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	
11000	-15.064630	112	5.444185	11.491403	1.950882	24.628193	0.742072	0.052925	0.205003	0.000000	
12000	-15.015635	234	3.500891	18.457342	7.631935	55.999401	0.737065	0.052648	0.210287	0.000000	
13000	-14.536327	279	7.007250	16.438318	1.664243	30.262703	0.737181	0.052650	0.210169	0.000000	
14000	-17.295159	163	5.126326	37.259948	0.380642	1.070407	0.776363	0.001828	0.221808	0.000000	
15000	-15.795146	465	4.634076	12.059935	2.884085	15.633202	0.757258	0.050358	0.192383	0.000000	
16000	-16.881308	764	1.691730	22.376569	1.020779	15.585230	0.743645	0.048099	0.208256	0.000000	
17000	-16.759282	219	4.101654	11.593788	0.349768	5.475592	0.783094	0.017946	0.198961	0.000000	
18000	-15.588084	55	4.450169	16.258941	0.278820	7.710684	0.749745	0.039424	0.210831	0.000000	
19000	-15.576171	398	13.703849	20.264164	1.033706	22.732084	0.737572	0.052023	0.210405	0.000000	
20000	-19.758858	79	4.005434	3.229100	0.979100	9.842448	0.819210	0.053947	0.126844	0.000000	
21000	-16.028646	310	9.014871	13.801948	0.647235	10.808478	0.754560	0.037655	0.207785	0.000000	
22000	-15.532752	73	15.608420	33.422997	1.469294	7.067195	0.748923	0.037100	0.213977	0.000000	
23000	-17.551549	10	15.383999	23.100165	8.169630	24.277263	0.737143	0.052483	0.210374	0.000000	
24000	-15.472061	187	16.534999	48.081482	9.472009	34.958107	0.736842	0.052632	0.210526	0.000000	
25000	-16.403084	369	14.318337	18.863018	0.278489	29.523048	0.736859	0.052626	0.210516	0.000000	
26000	-15.884063	496	2.376962	18.470375	1.893145	14.951029	0.738645	0.051530	0.209825	0.000000	
27000	-15.541194	265	4.356683	9.561356	0.697969	20.939333	0.755050	0.053170	0.191780	0.000000	
28000	-17.259427	725	2.147937	7.203028	6.212762	28.537641	0.798079	0.056966	0.144954	0.000000	
29000	-14.560463	55	3.555833	11.120389	2.584061	35.578211	0.749011	0.053489	0.197501	0.000000	
30000	-14.776037	228	8.585675	26.057319	8.732097	45.783268	0.737275	0.052660	0.210065	0.000000	
31000	-14.377526	440	17.129372	36.132727	0.534108	14.272078	0.737366	0.051958	0.210676	0.000000	
32000	-15.931225	483	15.638217	22.145781	2.952824	22.281218	0.737002	0.052474	0.210524	0.000000	
33000	-15.352973	132	4.412667	16.756626	0.516607	9.512110	0.745776	0.043393	0.210831	0.000000	
34000	-17.356320	109	1.350278	7.272386	2.741007	16.298360	0.768145	0.054412	0.177443	0.000000	
35000	-17.575089	9	21.009130	19.697276	7.696200	49.196326	0.736872	0.052634	0.210494	0.000000	
36000	-16.662548	607	1.750762	12.009451	7.167904	30.280858	0.737309	0.052665	0.210026	0.000000	
37000	-15.638493	32	2.193801	10.502426	0.361202	27.748602	0.738074	0.052719	0.209207	0.000000	
38000	-14.852305	684	4.863191	24.612506	4.172227	25.382026	0.736861	0.052624	0.210515	0.000000	
39000	-16.292583	316	14.709266	22.907335	4.756347	22.486695	0.736853	0.052619	0.210528	0.000000	
40000	-15.011813	643	8.659254	21.965273	3.467001	19.318087	0.737041	0.052465	0.210494	0.000000	
41000	-15.545383	346	3.915751	22.536785	3.519952	20.009655	0.737393	0.052383	0.210225	0.000000	
