Options:
Model:                           Discrete: Independent
Tree File Name:                  ./data/uto-iroquois-cross.cousinmarriage.preferred.bttrees
Data File Name:                  ./data/uto-iroquois-cross.cousinmarriage.preferred.btdata
Log File Name:                   ./output/uto-iroquois-cross.cousinmarriage.preferred-indep1.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            1826917838
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      10010000
Burn in:                         10000
MCMC ML Start:                   False
Schedule File:                   ./output/uto-iroquois-cross.cousinmarriage.preferred-indep1.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     4
Base frequency (PI's):           Empirical: (0.631579,0.157895,0.210526,0.000000)
Character Symbols:               00,01,10,11
Using a covarion model:          False
Normalise Q Matrix:              False
Scale Tree:                      0.095105
Restrictions:
    alpha1                       None
    beta1                        None
    alpha2                       None
    beta2                        None
Prior Information:
    Prior Categories:            100
    Priors
        alpha1 - exp 10.00 
        beta1 - exp 10.00 
        alpha2 - exp 10.00 
        beta2 - exp 10.00 
Tree Information
     Trees:                      800
     Taxa:                       19
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	alpha1	beta1	alpha2	beta2	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	
11000	-21.160987	467	1.931720	3.192744	0.595191	18.928490	0.772070	0.184698	0.043232	0.000000	
12000	-18.505771	766	6.710134	11.584558	0.656574	13.592366	0.642659	0.150588	0.206753	0.000000	
13000	-19.483720	66	10.315702	15.329602	6.633049	13.749967	0.632196	0.157249	0.210555	0.000000	
14000	-17.817698	237	13.195709	18.459663	3.725900	26.702226	0.631946	0.157749	0.210305	0.000000	
15000	-18.930553	217	5.778241	20.842065	1.711879	1.750018	0.741583	0.013219	0.245198	0.000000	
16000	-19.532184	57	11.225610	15.011115	3.638668	9.124450	0.646715	0.138501	0.214784	0.000000	
17000	-17.083312	243	7.898528	39.552052	4.350507	19.770141	0.634305	0.154316	0.211379	0.000000	
18000	-17.229702	499	8.702900	27.269351	1.479881	3.431651	0.691390	0.078157	0.230454	0.000000	
19000	-19.295271	369	3.294621	8.860059	1.115752	19.992795	0.641541	0.159931	0.198528	0.000000	
20000	-17.514496	646	3.965299	10.077261	6.511955	31.882398	0.647166	0.161772	0.191062	0.000000	
21000	-18.262282	581	3.614540	13.732926	0.580994	13.469618	0.636581	0.153863	0.209556	0.000000	
22000	-16.767491	677	10.058919	28.066087	5.534241	26.894914	0.631601	0.157872	0.210526	0.000000	
