Options:
Model:                           Discrete: Dependent
Tree File Name:                  ./data/uto-iroquois-high.polygyny.bttrees
Data File Name:                  ./data/uto-iroquois-high.polygyny.btdata
Log File Name:                   ./output/uto-iroquois-high.polygyny-dep1.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            21333409
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      10010000
Burn in:                         10000
MCMC ML Start:                   False
Use RJ MCMC:                     True
Schedule File:                   ./output/uto-iroquois-high.polygyny-dep1.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     8
Base frequency (PI's):           Empirical: (0.727273,0.090909,0.090909,0.090909)
Character Symbols:               00,01,10,11
Using a covarion model:          False
Normalise Q Matrix:              False
Scale Tree:                      0.121603
Restrictions:
    q12                          RJ MCMC
    q13                          RJ MCMC
    q21                          RJ MCMC
    q24                          RJ MCMC
    q31                          RJ MCMC
    q34                          RJ MCMC
    q42                          RJ MCMC
    q43                          RJ MCMC
Prior Information:
    Prior Categories:            100
    Priors
        RJRates - exp 10.00 
Tree Information
     Trees:                      1000
     Taxa:                       22
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	No Off Parmeters	No Off Zero	Model string	Dep / InDep	q12	q13	q21	q24	q31	q34	q42	q43	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	
11000	-16.925807	765	1	3	'0 0 Z Z 0 0 Z 0 	D	27.084811	27.084811	0.000000	0.000000	27.084811	27.084811	0.000000	27.084811	0.995077	0.000000	0.004908	0.000015	
12000	-17.120328	407	1	1	'0 Z 0 0 0 0 0 0 	D	33.323113	0.000000	33.323113	33.323113	33.323113	33.323113	33.323113	33.323113	0.997641	0.001731	0.000624	0.000004	
13000	-16.330448	694	1	4	'0 0 0 Z Z 0 Z Z 	D	29.817680	29.817680	29.817680	0.000000	0.000000	29.817680	0.000000	0.000000	0.998687	0.001313	0.000000	0.000000	
14000	-16.333766	894	1	2	'0 0 0 0 0 0 Z Z 	D	23.271258	23.271258	23.271258	23.271258	23.271258	23.271258	0.000000	0.000000	0.999665	0.000236	0.000099	0.000000	
15000	-17.031506	880	1	2	'0 0 0 0 0 0 Z Z 	D	19.265251	19.265251	19.265251	19.265251	19.265251	19.265251	0.000000	0.000000	0.996737	0.000080	0.003183	0.000000	
16000	-17.278852	458	1	2	'0 0 0 Z 0 0 Z 0 	D	22.677369	22.677369	22.677369	0.000000	22.677369	22.677369	0.000000	22.677369	0.999906	0.000088	0.000006	0.000000	
17000	-16.358310	228	1	2	'0 0 0 Z 0 0 Z 0 	D	34.223153	34.223153	34.223153	0.000000	34.223153	34.223153	0.000000	34.223153	0.997162	0.000471	0.002363	0.000004	
18000	-17.596698	448	1	0	'0 0 0 0 0 0 0 0 	I	21.761975	21.761975	21.761975	21.761975	21.761975	21.761975	21.761975	21.761975	0.997300	0.000918	0.001769	0.000013	
19000	-17.144773	848	1	3	'0 0 Z Z 0 0 Z 0 	D	31.418410	31.418410	0.000000	0.000000	31.418410	31.418410	0.000000	31.418410	0.997403	0.000000	0.002593	0.000004	
20000	-16.575712	720	1	0	'0 0 0 0 0 0 0 0 	I	29.492040	29.492040	29.492040	29.492040	29.492040	29.492040	29.492040	29.492040	0.996976	0.002209	0.000801	0.000014	
