Options:
Model:                           Discrete: Independent
Tree File Name:                  ./data/uto-iroquois-uni.localresidence.bttrees
Data File Name:                  ./data/uto-iroquois-uni.localresidence.btdata
Log File Name:                   ./output/uto-iroquois-uni.localresidence-indep1.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            1758760727
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      10010000
Burn in:                         10000
MCMC ML Start:                   False
Schedule File:                   ./output/uto-iroquois-uni.localresidence-indep1.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     4
Base frequency (PI's):           Empirical: (0.681818,0.136364,0.000000,0.181818)
Character Symbols:               00,01,10,11
Using a covarion model:          False
Normalise Q Matrix:              False
Scale Tree:                      0.093651
Restrictions:
    alpha1                       None
    beta1                        None
    alpha2                       None
    beta2                        None
Prior Information:
    Prior Categories:            100
    Priors
        alpha1 - exp 10.00 
        beta1 - exp 10.00 
        alpha2 - exp 10.00 
        beta2 - exp 10.00 
Tree Information
     Trees:                      800
     Taxa:                       22
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	alpha1	beta1	alpha2	beta2	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	
11000	-26.127561	266	1.443412	12.886280	6.434858	16.768734	0.678744	0.135641	0.000000	0.185616	
12000	-24.867593	115	6.724112	28.870556	10.398760	17.005408	0.682817	0.135966	0.000000	0.181217	
13000	-27.283754	434	1.164015	9.229954	20.342658	18.295901	0.681010	0.136201	0.000000	0.182789	
14000	-25.820527	154	4.532037	10.286522	7.835661	15.402764	0.690750	0.136961	0.000000	0.172289	
15000	-25.296543	788	4.521759	10.273388	21.463457	29.854287	0.689765	0.137950	0.000000	0.172285	
16000	-26.488748	87	1.098047	2.352946	5.616520	15.769148	0.812269	0.159982	0.000000	0.027748	
17000	-24.744493	571	11.793954	59.205889	6.197292	15.479695	0.682676	0.135996	0.000000	0.181328	
18000	-26.837728	676	2.461509	4.970811	8.458011	12.873133	0.710498	0.142083	0.000000	0.147419	
19000	-24.512729	800	11.256536	47.029680	7.277380	19.552345	0.682012	0.136280	0.000000	0.181707	
20000	-24.634285	87	3.471682	27.339903	9.714056	22.545338	0.682210	0.136274	0.000000	0.181516	
21000	-26.748019	664	2.659788	4.510597	5.460341	11.681064	0.792586	0.143331	0.000000	0.064083	
22000	-24.835096	444	12.379411	30.266769	10.170054	16.052721	0.681894	0.136331	0.000000	0.181775	
23000	-24.851563	153	3.303109	12.585596	6.670758	20.199489	0.685096	0.136902	0.000000	0.178002	
24000	-25.898111	157	4.810841	39.855367	9.032148	10.787526	0.697035	0.129858	0.000000	0.173107	
25000	-24.396540	417	7.226752	19.762573	14.242512	36.714523	0.682088	0.136416	0.000000	0.181495	
26000	-27.691712	434	2.387703	9.610930	9.922476	7.669668	0.689428	0.135705	0.000000	0.174867	
27000	-26.017283	44	2.214342	6.744204	14.099565	16.629882	0.706710	0.141301	0.000000	0.151989	
28000	-26.418710	736	11.756797	23.935154	16.678685	14.344318	0.682939	0.135965	0.000000	0.181097	
29000	-24.520631	195	8.217241	44.932446	15.011582	20.155757	0.681823	0.136361	0.000000	0.181815	
30000	-26.581396	710	2.705852	10.458109	7.323778	10.514415	0.689616	0.135542	0.000000	0.174842	
31000	-24.182290	642	8.326511	23.539221	13.935720	25.119612	0.681850	0.136365	0.000000	0.181785	
32000	-24.767802	561	5.049131	23.810529	8.666628	14.372813	0.682176	0.136222	0.000000	0.181602	
33000	-27.613386	638	0.945442	0.192286	13.351422	13.315196	0.834012	0.165901	0.000000	0.000086	
34000	-25.418817	262	10.404201	23.448505	10.728283	13.142512	0.684292	0.135364	0.000000	0.180344	
35000	-25.459040	177	4.507451	24.143587	9.810151	12.766977	0.684685	0.135249	0.000000	0.180066	
36000	-25.418506	642	9.876761	27.650840	4.340460	6.683327	0.712353	0.123280	0.000000	0.164367	
37000	-25.234859	481	2.617760	8.111915	16.644581	23.873885	0.703111	0.140604	0.000000	0.156285	
38000	-28.229856	77	13.496070	73.829511	1.520741	2.002722	0.802978	0.084438	0.000000	0.112584	
39000	-26.790439	370	4.080361	14.935311	4.495842	7.798120	0.680553	0.136190	0.000000	0.183257	
40000	-24.252620	359	6.259948	33.817497	22.312887	31.494118	0.681853	0.136367	0.000000	0.181779	
41000	-24.173984	123	3.767309	23.603139	10.105146	22.827256	0.681820	0.136364	0.000000	0.181817	
42000	-24.478231	432	2.747915	11.687994	6.979370	13.418802	0.686791	0.136315	0.000000	0.176894	
43000	-26.542486	214	1.288572	17.208237	13.696450	33.344551	0.679542	0.135908	0.000000	0.184550	
44000	-24.683402	347	2.951803	21.665496	9.484669	22.371199	0.681971	0.136364	0.000000	0.181665	
45000	-29.827538	412	2.081257	2.760921	1.703400	9.581288	0.763545	0.150847	0.000000	0.085608	
46000	-24.317499	594	5.320801	28.830418	10.555555	23.880875	0.681833	0.136360	0.000000	0.181808	
47000	-24.882735	7	2.972371	12.184584	16.688319	34.940576	0.694268	0.138851	0.000000	0.166881	
48000	-27.799900	171	3.179254	31.742666	3.780886	19.416052	0.684618	0.135208	0.000000	0.180174	
49000	-25.156096	188	3.062043	23.284269	9.491770	32.378018	0.682216	0.136431	0.000000	0.181353	
50000	-25.197593	162	2.188943	7.070017	7.031163	14.380122	0.723440	0.142355	0.000000	0.134205	
51000	-24.015536	483	6.968085	31.299527	14.111151	30.294982	0.681849	0.136363	0.000000	0.181788	
52000	-25.358362	556	5.957860	29.600868	18.689291	18.816523	0.682332	0.136252	0.000000	0.181416	
53000	-26.369778	409	7.941577	12.328001	15.691233	22.940030	0.682771	0.136549	0.000000	0.180679	
54000	-26.882100	209	3.293917	4.830345	5.383159	19.762851	0.731130	0.145997	0.000000	0.122872	
55000	-24.508209	9	5.986830	15.368882	10.406812	21.965004	0.684226	0.136682	0.000000	0.179092	
56000	-25.729929	217	5.601381	15.509420	7.913730	11.991436	0.696564	0.132351	0.000000	0.171085	
57000	-25.623184	71	6.509053	23.990745	8.408576	8.873563	0.689292	0.133189	0.000000	0.177519	
58000	-26.075995	797	4.482163	14.968842	4.831550	7.605320	0.736358	0.115128	0.000000	0.148514	
59000	-24.759438	619	5.194640	20.152669	4.038778	8.058470	0.722233	0.119501	0.000000	0.158266	
60000	-25.383897	793	7.443149	19.959950	9.807073	11.113296	0.684019	0.135495	0.000000	0.180486	
61000	-25.491714	95	8.892419	26.984872	9.995366	23.447198	0.682228	0.136248	0.000000	0.181524	
62000	-25.192928	758	4.377629	18.147704	4.685045	7.167791	0.707682	0.125489	0.000000	0.166829	
63000	-25.054630	614	1.545747	6.100541	14.830731	29.564043	0.704367	0.140873	0.000000	0.154759	
64000	-25.883392	169	2.770391	7.746792	6.542516	11.490924	0.709939	0.138125	0.000000	0.151936	
65000	-24.798381	484	6.498128	25.829672	12.703861	43.656074	0.681879	0.136376	0.000000	0.181746	
66000	-24.247404	81	6.575186	24.699531	16.287493	25.377448	0.681828	0.136365	0.000000	0.181807	
67000	-26.246336	40	5.306690	11.135789	11.376861	42.792736	0.688025	0.137605	0.000000	0.174370	
68000	-28.028470	731	3.888206	15.024642	3.421597	6.815388	0.693718	0.131660	0.000000	0.174622	
69000	-31.138924	131	9.181973	10.471237	6.662985	4.934945	0.718757	0.121052	0.000000	0.160191	
70000	-26.046541	207	3.182668	10.901535	4.328139	9.458436	0.733576	0.123213	0.000000	0.143211	
71000	-26.338395	400	12.986137	22.561216	7.492788	12.560773	0.712158	0.124027	0.000000	0.163816	
