Rate	83.33
Tree Move	16.67
Rate Tried	% Accepted	Tree Move Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
830	0.290361	170	0.911765	1.372209	830	0.290361	0.396000	0.394639	
820	0.368293	180	0.755556	1.372209	820	0.368293	0.438000	0.395473	
821	0.302071	179	0.826816	1.372209	821	0.302071	0.396000	0.395483	
805	0.342857	195	0.810256	1.372209	805	0.342857	0.434000	0.396196	
804	0.323383	196	0.836735	1.372209	804	0.323383	0.424000	0.396702	
828	0.307971	172	0.837209	1.372209	828	0.307971	0.399000	0.396743	
821	0.344702	179	0.877095	1.372209	821	0.344702	0.440000	0.397502	
804	0.330846	196	0.887755	1.372209	804	0.330846	0.440000	0.398235	
805	0.351553	195	0.841026	1.372209	805	0.351553	0.447000	0.399061	
846	0.328605	154	0.707792	1.372209	846	0.328605	0.387000	0.398860	
807	0.351921	193	0.829016	1.372209	807	0.351921	0.444000	0.399600	
807	0.333333	193	0.813472	1.372209	807	0.333333	0.426000	0.400026	
800	0.348750	200	0.865000	1.372209	800	0.348750	0.452000	0.400851	
813	0.353014	187	0.689840	1.372209	813	0.353014	0.416000	0.401087	
823	0.335358	177	0.819209	1.372209	823	0.335358	0.421000	0.401394	
822	0.336983	178	0.808989	1.372209	822	0.336983	0.421000	0.401691	
810	0.317284	190	0.915789	1.372209	810	0.317284	0.431000	0.402128	
820	0.307317	180	0.911111	1.372209	820	0.307317	0.416000	0.402332	
810	0.306173	190	0.847368	1.372209	810	0.306173	0.409000	0.402429	
832	0.319712	168	0.791667	1.372209	832	0.319712	0.399000	0.402380	
835	0.343713	165	0.733333	1.372209	835	0.343713	0.408000	0.402459	
802	0.289277	198	0.873737	1.372209	802	0.289277	0.405000	0.402494	
804	0.334577	196	0.806122	1.372209	804	0.334577	0.427000	0.402830	
817	0.334149	183	0.841530	1.372209	817	0.334149	0.427000	0.403157	
825	0.343030	175	0.880000	1.372209	825	0.343030	0.437000	0.403608	
826	0.337772	174	0.793103	1.372209	826	0.337772	0.417000	0.403784	
831	0.322503	169	0.852071	1.372209	831	0.322503	0.412000	0.403891	
864	0.326389	136	0.794118	1.372209	864	0.326389	0.390000	0.403713	
813	0.348093	187	0.850267	1.372209	813	0.348093	0.442000	0.404197	
833	0.300120	167	0.892216	1.372209	833	0.300120	0.399000	0.404132	
838	0.316229	162	0.864198	1.372209	838	0.316229	0.405000	0.404143	
833	0.327731	167	0.898204	1.372209	833	0.327731	0.423000	0.404373	
836	0.322967	164	0.804878	1.372209	836	0.322967	0.402000	0.404345	
821	0.322777	179	0.843575	1.372209	821	0.322777	0.416000	0.404483	
815	0.294479	185	0.832432	1.372209	815	0.294479	0.394000	0.404360	
820	0.309756	180	0.822222	1.372209	820	0.309756	0.402000	0.404333	
811	0.311961	189	0.925926	1.372209	811	0.311961	0.428000	0.404605	
827	0.347037	173	0.895954	1.372209	827	0.347037	0.442000	0.405029	
820	0.314634	180	0.877778	1.372209	820	0.314634	0.416000	0.405153	
831	0.339350	169	0.822485	1.372209	831	0.339350	0.421000	0.405329	
841	0.326992	159	0.855346	1.372209	841	0.326992	0.411000	0.405391	
827	0.290206	173	0.907514	1.372209	827	0.290206	0.397000	0.405300	
823	0.307412	177	0.779661	1.372209	823	0.307412	0.391000	0.405146	
824	0.327670	176	0.698864	1.372209	824	0.327670	0.393000	0.405017	
824	0.308252	176	0.857955	1.372209	824	0.308252	0.405000	0.405017	
829	0.365501	171	0.853801	1.372209	829	0.365501	0.449000	0.405475	
799	0.307885	201	0.885572	1.372209	799	0.307885	0.424000	0.405666	
817	0.340269	183	0.896175	1.372209	817	0.340269	0.442000	0.406037	
846	0.283688	154	0.896104	1.372209	846	0.283688	0.378000	0.405753	
828	0.307971	172	0.837209	1.372209	828	0.307971	0.399000	0.405686	
813	0.324723	187	0.791444	1.372209	813	0.324723	0.412000	0.405748	
814	0.325553	186	0.827957	1.372209	814	0.325553	0.419000	0.405878	
809	0.316440	191	0.858639	1.372209	809	0.316440	0.420000	0.406015	
833	0.306122	167	0.868263	1.372209	833	0.306122	0.400000	0.405958	
820	0.303659	180	0.900000	1.372209	820	0.303659	0.411000	0.406006	
821	0.313033	179	0.860335	1.372209	821	0.313033	0.411000	0.406053	
822	0.285888	178	0.870787	1.372209	822	0.285888	0.390000	0.405903	
808	0.320545	192	0.791667	1.372209	808	0.320545	0.411000	0.405950	
831	0.291215	169	0.875740	1.372209	831	0.291215	0.390000	0.405804	
812	0.327586	188	0.909574	1.372209	812	0.327586	0.437000	0.406087	
826	0.308717	174	0.867816	1.372209	826	0.308717	0.406000	0.406086	
823	0.348724	177	0.841808	1.372209	823	0.348724	0.436000	0.406354	
833	0.324130	167	0.922156	1.372209	833	0.324130	0.424000	0.406510	
837	0.354839	163	0.883436	1.372209	837	0.354839	0.441000	0.406812	
830	0.318072	170	0.900000	1.372209	830	0.318072	0.417000	0.406901	
827	0.313180	173	0.797688	1.372209	827	0.313180	0.397000	0.406815	
836	0.327751	164	0.908537	1.372209	836	0.327751	0.423000	0.406954	
808	0.330446	192	0.822917	1.372209	808	0.330446	0.425000	0.407107	
784	0.304847	216	0.851852	1.372209	784	0.304847	0.423000	0.407240	
822	0.312652	178	0.848315	1.372209	822	0.312652	0.408000	0.407247	
801	0.314607	199	0.824121	1.372209	801	0.314607	0.416000	0.407319	
830	0.306024	170	0.817647	1.372209	830	0.306024	0.393000	0.407202	
824	0.331311	176	0.880682	1.372209	824	0.331311	0.428000	0.407371	
815	0.292025	185	0.767568	1.372209	815	0.292025	0.380000	0.407150	
808	0.284653	192	0.875000	1.372209	808	0.284653	0.398000	0.407077	
846	0.300236	154	0.941558	1.372209	846	0.300236	0.399000	0.407013	
838	0.303103	162	0.870370	1.372209	838	0.303103	0.395000	0.406918	
822	0.309002	178	0.842697	1.372209	822	0.309002	0.404000	0.406895	
816	0.313725	184	0.858696	1.372209	816	0.313725	0.414000	0.406950	
800	0.291250	200	0.910000	1.372209	800	0.291250	0.415000	0.407012	
830	0.325301	170	0.917647	1.372209	830	0.325301	0.426000	0.407157	
796	0.298995	204	0.818627	1.372209	796	0.298995	0.405000	0.407141	
814	0.326781	186	0.870968	1.372209	814	0.326781	0.428000	0.407298	
839	0.318236	161	0.844720	1.372209	839	0.318236	0.403000	0.407266	
825	0.322424	175	0.885714	1.372209	825	0.322424	0.421000	0.407367	
816	0.330882	184	0.842391	1.372209	816	0.330882	0.425000	0.407497	
818	0.308068	182	0.846154	1.372209	818	0.308068	0.406000	0.407486	
821	0.338611	179	0.905028	1.372209	821	0.338611	0.440000	0.407722	
816	0.351716	184	0.750000	1.372209	816	0.351716	0.425000	0.407846	
825	0.340606	175	0.817143	1.372209	825	0.340606	0.424000	0.407961	
818	0.338631	182	0.824176	1.372209	818	0.338631	0.427000	0.408096	
818	0.337408	182	0.895604	1.372209	818	0.337408	0.439000	0.408314	
834	0.346523	166	0.867470	1.372209	834	0.346523	0.433000	0.408487	
816	0.351716	184	0.831522	1.372209	816	0.351716	0.440000	0.408705	
837	0.339307	163	0.865031	1.372209	837	0.339307	0.425000	0.408818	
826	0.315981	174	0.856322	1.372209	826	0.315981	0.410000	0.408826	
813	0.349323	187	0.860963	1.372209	813	0.349323	0.445000	0.409072	
799	0.317897	201	0.855721	1.372209	799	0.317897	0.426000	0.409186	
818	0.292176	182	0.807692	1.372209	818	0.292176	0.386000	0.409031	
832	0.355769	168	0.815476	1.372209	832	0.355769	0.433000	0.409191	
802	0.327930	198	0.888889	1.372209	802	0.327930	0.439000	0.409388	
839	0.338498	161	0.906832	1.372209	839	0.338498	0.430000	0.409524	
806	0.295285	194	0.865979	1.372209	806	0.295285	0.406000	0.409501	
820	0.350000	180	0.822222	1.372209	820	0.350000	0.435000	0.409666	
817	0.305998	183	0.868852	1.372209	817	0.305998	0.409000	0.409662	
804	0.345771	196	0.755102	1.372209	804	0.345771	0.426000	0.409767	
821	0.334957	179	0.592179	1.372209	821	0.334957	0.381000	0.409583	
831	0.321300	169	0.846154	1.372209	831	0.321300	0.410000	0.409586	
843	0.327402	157	0.840764	1.372209	843	0.327402	0.408000	0.409576	
829	0.342581	171	0.871345	1.372209	829	0.342581	0.433000	0.409722	
822	0.307786	178	0.876404	1.372209	822	0.307786	0.409000	0.409718	
822	0.332117	178	0.865169	1.372209	822	0.332117	0.427000	0.409825	
832	0.388221	168	0.863095	1.372209	832	0.388221	0.468000	0.410182	
832	0.341346	168	0.863095	1.372209	832	0.341346	0.429000	0.410296	
834	0.318945	166	0.909639	1.372209	834	0.318945	0.417000	0.410337	
804	0.289801	196	0.913265	1.372209	804	0.289801	0.412000	0.410347	
832	0.342548	168	0.880952	1.372209	832	0.342548	0.433000	0.410483	
826	0.322034	174	0.804598	1.372209	826	0.322034	0.406000	0.410456	
833	0.336134	167	0.784431	1.372209	833	0.336134	0.411000	0.410459	
823	0.295261	177	0.779661	1.372209	823	0.295261	0.381000	0.410286	
840	0.373810	160	0.856250	1.372209	840	0.373810	0.451000	0.410524	
842	0.330166	158	0.854430	1.372209	842	0.330166	0.413000	0.410538	
827	0.361548	173	0.843931	1.372209	827	0.361548	0.445000	0.410738	
818	0.328851	182	0.730769	1.372209	818	0.328851	0.402000	0.410687	
820	0.331707	180	0.850000	1.372209	820	0.331707	0.425000	0.410769	
816	0.325980	184	0.902174	1.372209	816	0.325980	0.432000	0.410890	
794	0.302267	206	0.834951	1.372209	794	0.302267	0.412000	0.410896	
825	0.339394	175	0.800000	1.372209	825	0.339394	0.420000	0.410947	
807	0.382900	193	0.782383	1.372209	807	0.382900	0.460000	0.411221	
820	0.336585	180	0.861111	1.372209	820	0.336585	0.431000	0.411331	
820	0.314634	180	0.905556	1.372209	820	0.314634	0.421000	0.411384	
827	0.330109	173	0.872832	1.372209	827	0.330109	0.424000	0.411454	
824	0.336165	176	0.909091	1.372209	824	0.336165	0.437000	0.411593	
