Options:
Model:                           Discrete: Dependent
Tree File Name:                  ./data/austronesian-crow-matri.anvunclocalresidence.bttrees
Data File Name:                  ./data/austronesian-crow-matri.anvunclocalresidence.btdata
Log File Name:                   ./output/austronesian-crow-matri.anvunclocalresidence-dep2.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            1343419710
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      10010000
Burn in:                         10000
MCMC ML Start:                   False
Use RJ MCMC:                     True
Schedule File:                   ./output/austronesian-crow-matri.anvunclocalresidence-dep2.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     8
Base frequency (PI's):           Empirical: (0.726190,0.202381,0.011905,0.059524)
Character Symbols:               00,01,10,11
Using a covarion model:          False
Normalise Q Matrix:              False
Scale Tree:                      0.000085
Restrictions:
    q12                          RJ MCMC
    q13                          RJ MCMC
    q21                          RJ MCMC
    q24                          RJ MCMC
    q31                          RJ MCMC
    q34                          RJ MCMC
    q42                          RJ MCMC
    q43                          RJ MCMC
Prior Information:
    Prior Categories:            100
    Priors
        RJRates - exp 10.00 
Tree Information
     Trees:                      1000
     Taxa:                       84
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	No Off Parmeters	No Off Zero	Model string	Dep / InDep	q12	q13	q21	q24	q31	q34	q42	q43	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	
11000	-65.815722	924	1	1	'0 Z 0 0 0 0 0 0 	D	2.217458	0.000000	2.217458	2.217458	2.217458	2.217458	2.217458	2.217458	0.982348	0.016602	0.000760	0.000290	
12000	-65.778237	665	1	2	'0 Z 0 0 Z 0 0 0 	D	2.345607	0.000000	2.345607	2.345607	0.000000	2.345607	2.345607	2.345607	0.975555	0.024245	0.000001	0.000199	
13000	-65.601255	443	1	4	'0 Z 0 0 Z Z Z 0 	D	1.857803	0.000000	1.857803	1.857803	0.000000	0.000000	0.000000	1.857803	0.994718	0.005282	0.000000	0.000000	
14000	-66.495570	610	1	2	'0 Z 0 0 Z 0 0 0 	D	2.220471	0.000000	2.220471	2.220471	0.000000	2.220471	2.220471	2.220471	0.991683	0.008308	0.000000	0.000010	
15000	-65.270716	580	1	2	'0 Z 0 0 Z 0 0 0 	D	1.673031	0.000000	1.673031	1.673031	0.000000	1.673031	1.673031	1.673031	0.993856	0.006136	0.000000	0.000008	
16000	-65.022874	545	1	4	'0 Z 0 0 Z Z Z 0 	D	1.960480	0.000000	1.960480	1.960480	0.000000	0.000000	0.000000	1.960480	0.986478	0.013522	0.000000	0.000000	
17000	-65.781281	109	1	3	'0 Z 0 0 Z Z 0 0 	D	1.926995	0.000000	1.926995	1.926995	0.000000	0.000000	1.926995	1.926995	0.986705	0.013239	0.000000	0.000056	
18000	-66.308330	954	1	2	'0 Z 0 0 Z 0 0 0 	D	2.287974	0.000000	2.287974	2.287974	0.000000	2.287974	2.287974	2.287974	0.989185	0.010797	0.000000	0.000018	
19000	-66.386810	813	1	2	'0 Z 0 0 Z 0 0 0 	D	2.388441	0.000000	2.388441	2.388441	0.000000	2.388441	2.388441	2.388441	0.985150	0.014785	0.000000	0.000065	
20000	-66.088254	441	1	3	'0 Z 0 0 Z Z 0 0 	D	1.512127	0.000000	1.512127	1.512127	0.000000	0.000000	1.512127	1.512127	0.990910	0.009064	0.000000	0.000025	
