Options:
Model:                           Discrete: Independent
Tree File Name:                  ./data/austronesian-crow-matrilineal.bttrees
Data File Name:                  ./data/austronesian-crow-matrilineal.btdata
Log File Name:                   ./output/austronesian-crow-matrilineal-indep2.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            1476755156
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      10050000
Burn in:                         50000
MCMC ML Start:                   False
Schedule File:                   ./output/austronesian-crow-matrilineal-indep2.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     4
Base frequency (PI's):           Empirical: (0.811765,0.117647,0.023529,0.047059)
Character Symbols:               00,01,10,11
Using a covarion model:          False
Normalise Q Matrix:              False
Scale Tree:                      0.085378
Restrictions:
    alpha1                       None
    beta1                        None
    alpha2                       None
    beta2                        None
Prior Information:
    Prior Categories:            100
    Priors
        alpha1 - exp 10.00 
        beta1 - exp 10.00 
        alpha2 - exp 10.00 
        beta2 - exp 10.00 
Tree Information
     Trees:                      1000
     Taxa:                       85
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	alpha1	beta1	alpha2	beta2	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	
51000	-58.155019	156	0.738270	15.501476	1.332897	14.375286	0.802134	0.122925	0.024060	0.050882	
52000	-54.504362	875	2.984775	40.896134	0.885394	3.964031	0.902714	0.050801	0.026166	0.020320	
53000	-59.653150	32	1.885967	9.602273	0.630405	2.272113	0.945752	0.022906	0.023490	0.007851	
54000	-55.562831	547	1.576287	26.255186	1.313314	6.475706	0.842768	0.094858	0.024429	0.037945	
55000	-56.401871	635	0.930028	11.842297	0.376634	6.134732	0.422783	0.402899	0.012318	0.161999	
56000	-53.813984	387	1.116214	11.909989	2.125543	10.395909	0.829330	0.108823	0.022003	0.039844	
57000	-56.564433	810	1.298307	25.818369	1.888085	10.462645	0.807734	0.120602	0.023416	0.048248	
58000	-55.615654	95	4.126178	34.631448	0.995819	4.489592	0.876660	0.069949	0.025410	0.027980	
59000	-56.361201	639	0.618661	12.868661	1.334109	8.061941	0.799364	0.119973	0.026264	0.054398	
60000	-56.113615	645	4.202310	37.761587	0.793728	2.407451	0.956254	0.011449	0.027717	0.004580	
61000	-60.277128	991	5.279470	26.327636	0.328783	2.493590	0.868115	0.076231	0.025162	0.030492	
62000	-56.035199	869	4.600537	36.166405	1.491950	7.267056	0.834767	0.100740	0.024196	0.040296	
63000	-56.638608	762	3.910592	30.015981	1.408750	8.890026	0.805073	0.122566	0.023335	0.049026	
64000	-55.636794	387	1.409613	7.656582	0.487950	6.224439	0.796868	0.163075	0.010475	0.029582	
65000	-58.347045	859	0.178865	4.936624	1.150732	7.967037	0.827315	0.142067	0.009086	0.021532	
66000	-56.816542	387	1.076996	28.928998	1.261017	2.333315	0.961285	0.007731	0.027889	0.003095	
67000	-58.646906	182	1.831830	10.867167	0.505200	3.195753	0.919945	0.041388	0.023856	0.014811	
