Rate	71.43
Rev Jump	14.29
Tree Move	14.29
Rate Tried	% Accepted	Rev Jump Tried	% Accepted	Tree Move Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
713	0.375877	127	0.094488	160	0.762500	1.876083	713	0.375877	0.402000	0.403691	
747	0.445783	95	0.084211	158	0.778481	1.876083	747	0.445783	0.464000	0.408716	
706	0.301700	128	0.039062	166	0.740964	2.163170	706	0.301700	0.341000	0.403507	
708	0.439266	137	0.094891	155	0.625806	2.163170	708	0.439266	0.421000	0.404757	
729	0.227709	135	0.111111	136	0.551471	3.424708	729	0.227709	0.256000	0.394840	
715	0.176224	138	0.101449	147	0.659864	3.424708	715	0.176224	0.237000	0.384976	
723	0.219917	119	0.092437	158	0.613924	3.107648	723	0.219917	0.267000	0.378037	
700	0.167143	131	0.114504	169	0.562130	3.107648	700	0.167143	0.227000	0.369646	
740	0.313514	93	0.096774	167	0.742515	2.278037	740	0.313514	0.365000	0.369402	
739	0.327470	107	0.121495	154	0.727273	2.278037	739	0.327470	0.367000	0.369282	
712	0.321629	126	0.111111	162	0.697531	2.278037	712	0.321629	0.356000	0.368649	
736	0.313859	127	0.078740	137	0.824818	2.278037	736	0.313859	0.354000	0.367983	
716	0.291899	121	0.074380	163	0.650307	2.278037	716	0.291899	0.324000	0.366071	
752	0.372340	108	0.120370	140	0.642857	2.278037	752	0.372340	0.383000	0.366776	
740	0.447297	114	0.131579	146	0.479452	2.278037	740	0.447297	0.416000	0.368745	
708	0.250000	123	0.130081	169	0.627219	4.034841	708	0.250000	0.299000	0.366063	
717	0.266388	129	0.124031	154	0.603896	4.034841	717	0.266388	0.300000	0.363616	
710	0.204225	149	0.120805	141	0.631206	4.034841	710	0.204225	0.252000	0.359630	
734	0.126703	109	0.064220	157	0.687898	4.034841	734	0.126703	0.208000	0.354402	
734	0.237057	140	0.014286	126	0.730159	2.255165	734	0.237057	0.268000	0.351522	
719	0.273992	148	0.094595	133	0.729323	2.255165	719	0.273992	0.308000	0.350118	
708	0.343220	133	0.060150	159	0.603774	2.255165	708	0.343220	0.347000	0.350020	
702	0.353276	138	0.115942	160	0.631250	2.255165	702	0.353276	0.365000	0.350474	
718	0.338440	109	0.128440	173	0.572254	2.255165	718	0.338440	0.356000	0.350637	
723	0.385892	114	0.122807	163	0.766871	2.255165	723	0.385892	0.418000	0.352561	
747	0.381526	117	0.085470	136	0.308824	2.255165	747	0.381526	0.337000	0.352129	
730	0.420548	120	0.083333	150	0.520000	2.255165	730	0.420548	0.395000	0.353288	
716	0.351955	129	0.023256	155	0.774194	2.532360	716	0.351955	0.375000	0.353859	
720	0.430556	142	0.063380	138	0.768116	2.532360	720	0.430556	0.425000	0.355683	
720	0.202778	135	0.037037	145	0.744828	4.008470	720	0.202778	0.259000	0.353266	
711	0.201125	143	0.069930	146	0.739726	4.008470	711	0.201125	0.261000	0.351016	
715	0.240559	147	0.115646	138	0.507246	4.008470	715	0.240559	0.259000	0.348825	
704	0.170455	139	0.071942	157	0.802548	4.008470	704	0.170455	0.256000	0.346666	
727	0.133425	140	0.050000	133	0.526316	3.650497	727	0.133425	0.174000	0.342742	
733	0.237381	133	0.045113	134	0.679104	2.303544	733	0.237381	0.271000	0.341148	
715	0.288112	139	0.050360	146	0.828767	2.303544	715	0.288112	0.334000	0.340993	
674	0.274481	151	0.019868	175	0.771429	2.303544	674	0.274481	0.323000	0.340610	
690	0.266667	159	0.056604	151	0.814570	2.303544	690	0.266667	0.316000	0.340097	
714	0.296919	141	0.042553	145	0.800000	2.303544	714	0.296919	0.334000	0.339973	
739	0.289581	108	0.018519	153	0.758170	2.303544	739	0.289581	0.332000	0.339813	
745	0.213423	97	0.030928	158	0.727848	2.303544	745	0.213423	0.277000	0.338582	
708	0.274011	142	0.007042	150	0.720000	2.303544	708	0.274011	0.303000	0.337897	
730	0.265753	121	0.066116	149	0.771812	2.303544	730	0.265753	0.317000	0.337503	
699	0.251788	135	0.029630	166	0.753012	2.303544	699	0.251788	0.305000	0.336901	
