Steppingstone sampler:
        No Stones:                  100
        Start It:                   65000001
        It Per Stone:               1000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.975187	750	-1.568132	-1.568132
1	0.950747	750	-1.512513	-3.080644
2	0.926679	750	-1.522457	-4.603101
3	0.902980	750	-1.479337	-6.082438
4	0.879648	750	-1.475518	-7.557956
5	0.856682	750	-1.458442	-9.016398
6	0.834079	750	-1.441572	-10.457970
7	0.811838	750	-1.402875	-11.860845
8	0.789957	750	-1.366045	-13.226890
9	0.768433	750	-1.382843	-14.609733
10	0.747266	750	-1.364427	-15.974160
11	0.726452	750	-1.327625	-17.301785
12	0.705989	750	-1.304203	-18.605988
13	0.685877	750	-1.293067	-19.899055
14	0.666112	750	-1.255697	-21.154752
15	0.646693	750	-1.249058	-22.403810
16	0.627618	750	-1.222878	-23.626688
17	0.608884	750	-1.206719	-24.833407
18	0.590490	750	-1.172395	-26.005802
19	0.572433	750	-1.169861	-27.175663
20	0.554712	750	-1.148383	-28.324046
21	0.537324	750	-1.130595	-29.454641
22	0.520268	750	-1.113544	-30.568185
23	0.503540	750	-1.092556	-31.660741
24	0.487139	750	-1.078096	-32.738837
25	0.471063	750	-1.056671	-33.795508
26	0.455310	750	-1.032243	-34.827751
27	0.439877	750	-1.012011	-35.839762
28	0.424762	750	-0.980332	-36.820094
29	0.409963	750	-0.980296	-37.800391
30	0.395478	750	-0.942633	-38.743024
31	0.381305	750	-0.930139	-39.673163
32	0.367440	750	-0.924514	-40.597677
33	0.353883	750	-0.899440	-41.497117
34	0.340630	750	-0.881241	-42.378357
35	0.327680	750	-0.859446	-43.237803
36	0.315030	750	-0.854001	-44.091804
37	0.302677	750	-0.829211	-44.921015
38	0.290619	750	-0.805699	-45.726714
39	0.278855	750	-0.785285	-46.511999
40	0.267381	750	-0.784430	-47.296429
41	0.256195	750	-0.765142	-48.061571
42	0.245294	750	-0.741455	-48.803026
43	0.234677	750	-0.717407	-49.520433
44	0.224340	750	-0.703911	-50.224344
45	0.214281	750	-0.699613	-50.923957
46	0.204498	750	-0.676351	-51.600308
47	0.194988	750	-0.650670	-52.250979
48	0.185749	750	-0.636132	-52.887111
49	0.176777	750	-0.630314	-53.517425
50	0.168070	750	-0.600667	-54.118092
51	0.159626	750	-0.595863	-54.713955
52	0.151441	750	-0.573742	-55.287698
53	0.143514	750	-0.562357	-55.850055
54	0.135841	750	-0.554002	-56.404057
55	0.128420	750	-0.524908	-56.928965
56	0.121247	750	-0.512039	-57.441005
57	0.114320	750	-0.509393	-57.950398
58	0.107637	750	-0.484765	-58.435163
59	0.101193	750	-0.475157	-58.910320
60	0.094986	750	-0.455944	-59.366264
61	0.089014	750	-0.444644	-59.810908
62	0.083273	750	-0.424660	-60.235568
63	0.077760	750	-0.425727	-60.661295
64	0.072472	750	-0.399597	-61.060892
65	0.067406	750	-0.391015	-61.451907
66	0.062558	750	-0.377179	-61.829086
67	0.057926	750	-0.376109	-62.205195
68	0.053506	750	-0.359703	-62.564898
69	0.049295	750	-0.349634	-62.914533
70	0.045289	750	-0.320857	-63.235389
71	0.041485	750	-0.313774	-63.549163
72	0.037880	750	-0.304683	-63.853846
73	0.034469	750	-0.288671	-64.142517
74	0.031250	750	-0.275308	-64.417825
75	0.028218	750	-0.269336	-64.687160
76	0.025370	750	-0.269636	-64.956797
77	0.022702	750	-0.244943	-65.201740
78	0.020209	750	-0.238479	-65.440219
79	0.017889	750	-0.223160	-65.663379
80	0.015736	750	-0.210346	-65.873724
81	0.013746	750	-0.189254	-66.062979
82	0.011916	750	-0.183467	-66.246446
83	0.010240	750	-0.185453	-66.431900
84	0.008714	750	-0.159968	-66.591868
85	0.007334	750	-0.158039	-66.749908
86	0.006093	750	-0.135932	-66.885840
87	0.004988	750	-0.128715	-67.014555
88	0.004013	750	-0.115974	-67.130529
89	0.003162	750	-0.096496	-67.227026
90	0.002430	750	-0.089470	-67.316495
91	0.001810	750	-0.078337	-67.394833
92	0.001296	750	-0.064960	-67.459793
93	0.000882	750	-0.050205	-67.509998
94	0.000559	750	-0.044247	-67.554244
95	0.000320	750	-0.031402	-67.585646
96	0.000156	750	-0.024250	-67.609896
97	0.000057	750	-0.012476	-67.622372
98	0.000010	750	-0.006053	-67.628426
99	0.000000	750	-0.001326	-67.629751
Log marginal likelihood:	-67.629751
