Rate	71.43
Rev Jump	14.29
Tree Move	14.29
Rate Tried	% Accepted	Rev Jump Tried	% Accepted	Tree Move Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
716	0.318436	144	0.152778	140	0.728571	2.603169	716	0.318436	0.352000	0.339424	
749	0.307076	109	0.155963	142	0.760563	2.603169	749	0.307076	0.355000	0.340722	
750	0.322667	107	0.140187	143	0.615385	2.603169	750	0.322667	0.345000	0.341051	
745	0.318121	124	0.161290	131	0.625954	2.603169	745	0.318121	0.339000	0.340904	
701	0.343795	145	0.089655	154	0.772727	2.603169	701	0.343795	0.373000	0.343044	
734	0.326975	113	0.176991	153	0.777778	2.603169	734	0.326975	0.379000	0.345291	
747	0.330656	113	0.115044	140	0.757143	2.603169	747	0.330656	0.366000	0.346509	
723	0.228216	120	0.050000	157	0.611465	2.603169	723	0.228216	0.267000	0.342092	
604	0.250000	101	0.019802	295	0.525424	2.603169	604	0.250000	0.308000	0.340298	
750	0.257333	86	0.046512	164	0.573171	2.603169	750	0.257333	0.291000	0.337833	
705	0.222695	85	0.047059	210	0.771429	2.603169	705	0.222695	0.323000	0.337127	
772	0.238342	54	0.074074	174	0.770115	2.603169	772	0.238342	0.322000	0.336439	
749	0.256342	70	0.028571	181	0.552486	2.603169	749	0.256342	0.294000	0.334594	
780	0.226923	70	0.028571	150	0.826667	2.603169	780	0.226923	0.303000	0.333278	
758	0.251979	54	0.000000	188	0.558511	2.603169	758	0.251979	0.296000	0.331787	
781	0.247119	47	0.042553	172	0.563953	2.603169	781	0.247119	0.292000	0.330257	
720	0.197222	83	0.048193	197	0.771574	2.603169	720	0.197222	0.298000	0.329062	
776	0.420103	62	0.096774	162	0.722222	1.406237	776	0.420103	0.449000	0.333345	
725	0.533793	108	0.101852	167	0.772455	1.408309	725	0.533793	0.527000	0.340023	
730	0.286301	97	0.144330	173	0.728324	2.677755	730	0.286301	0.349000	0.340322	
711	0.340366	149	0.127517	140	0.678571	2.677755	711	0.340366	0.356000	0.340828	
726	0.308540	124	0.129032	150	0.720000	2.677755	726	0.308540	0.348000	0.341052	
742	0.327493	120	0.125000	138	0.753623	2.677755	742	0.327493	0.362000	0.341687	
731	0.344733	129	0.054264	140	0.757143	2.677755	731	0.344733	0.365000	0.342372	
745	0.319463	107	0.149533	148	0.716216	2.677755	745	0.319463	0.360000	0.342876	
722	0.335180	127	0.102362	151	0.761589	2.677755	722	0.335180	0.370000	0.343629	
