Steppingstone sampler:
        No Stones:                  100
        Start It:                   10010001
        It Per Stone:               1000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.975187	750	-1.873190	-1.873190
1	0.950747	750	-1.853060	-3.726250
2	0.926679	750	-1.813937	-5.540187
3	0.902980	750	-1.794059	-7.334246
4	0.879648	750	-1.828931	-9.163177
5	0.856682	750	-1.801680	-10.964857
6	0.834079	750	-1.757556	-12.722412
7	0.811838	750	-1.684698	-14.407110
8	0.789957	750	-1.658060	-16.065170
9	0.768433	750	-1.631764	-17.696934
10	0.747266	750	-1.606978	-19.303912
11	0.726452	750	-1.583072	-20.886984
12	0.705989	750	-1.548531	-22.435515
13	0.685877	750	-1.544067	-23.979582
14	0.666112	750	-1.561422	-25.541004
15	0.646693	750	-1.622257	-27.163261
16	0.627618	750	-1.537362	-28.700623
17	0.608884	750	-1.485806	-30.186430
18	0.590490	750	-1.459718	-31.646148
19	0.572433	750	-1.445622	-33.091770
20	0.554712	750	-1.418437	-34.510207
21	0.537324	750	-1.375223	-35.885430
22	0.520268	750	-1.349513	-37.234943
23	0.503540	750	-1.355884	-38.590827
24	0.487139	750	-1.297006	-39.887833
25	0.471063	750	-1.300044	-41.187877
26	0.455310	750	-1.363369	-42.551246
27	0.439877	750	-1.271222	-43.822469
28	0.424762	750	-1.266252	-45.088721
29	0.409963	750	-1.214861	-46.303583
30	0.395478	750	-1.160287	-47.463870
31	0.381305	750	-1.149583	-48.613453
32	0.367440	750	-1.126045	-49.739498
33	0.353883	750	-1.119097	-50.858595
34	0.340630	750	-1.161244	-52.019839
35	0.327680	750	-1.090238	-53.110077
36	0.315030	750	-0.979269	-54.089346
37	0.302677	750	-1.098112	-55.187458
38	0.290619	750	-1.049783	-56.237240
39	0.278855	750	-1.013293	-57.250534
40	0.267381	750	-1.026542	-58.277075
41	0.256195	750	-0.939296	-59.216371
42	0.245294	750	-0.934517	-60.150888
43	0.234677	750	-0.952265	-61.103152
44	0.224340	750	-0.906647	-62.009799
45	0.214281	750	-0.878028	-62.887827
46	0.204498	750	-0.886504	-63.774331
47	0.194988	750	-0.863415	-64.637746
48	0.185749	750	-0.841501	-65.479247
49	0.176777	750	-0.807572	-66.286819
50	0.168070	750	-0.772656	-67.059475
51	0.159626	750	-0.770558	-67.830033
52	0.151441	750	-0.755089	-68.585122
53	0.143514	750	-0.732550	-69.317672
54	0.135841	750	-0.684262	-70.001933
55	0.128420	750	-0.680285	-70.682219
56	0.121247	750	-0.673486	-71.355705
57	0.114320	750	-0.645557	-72.001261
58	0.107637	750	-0.627681	-72.628942
59	0.101193	750	-0.605644	-73.234587
60	0.094986	750	-0.572327	-73.806914
61	0.089014	750	-0.577924	-74.384838
62	0.083273	750	-0.556812	-74.941650
63	0.077760	750	-0.526273	-75.467922
64	0.072472	750	-0.501935	-75.969857
65	0.067406	750	-0.493351	-76.463208
66	0.062558	750	-0.483422	-76.946630
67	0.057926	750	-0.457687	-77.404317
68	0.053506	750	-0.434421	-77.838738
69	0.049295	750	-0.423201	-78.261939
70	0.045289	750	-0.395937	-78.657875
71	0.041485	750	-0.389030	-79.046905
72	0.037880	750	-0.368120	-79.415025
73	0.034469	750	-0.348226	-79.763250
74	0.031250	750	-0.322032	-80.085282
75	0.028218	750	-0.315645	-80.400928
76	0.025370	750	-0.293591	-80.694518
77	0.022702	750	-0.275634	-80.970153
78	0.020209	750	-0.259264	-81.229417
79	0.017889	750	-0.238326	-81.467744
80	0.015736	750	-0.235101	-81.702845
81	0.013746	750	-0.204549	-81.907394
82	0.011916	750	-0.189324	-82.096718
83	0.010240	750	-0.179169	-82.275886
84	0.008714	750	-0.160630	-82.436516
85	0.007334	750	-0.142968	-82.579484
86	0.006093	750	-0.129299	-82.708784
87	0.004988	750	-0.116287	-82.825071
88	0.004013	750	-0.103124	-82.928195
89	0.003162	750	-0.091614	-83.019808
90	0.002430	750	-0.079522	-83.099331
91	0.001810	750	-0.065559	-83.164890
92	0.001296	750	-0.054322	-83.219212
93	0.000882	750	-0.044917	-83.264129
94	0.000559	750	-0.034083	-83.298213
95	0.000320	750	-0.025254	-83.323467
96	0.000156	750	-0.017474	-83.340941
97	0.000057	750	-0.010774	-83.351715
98	0.000010	750	-0.004925	-83.356640
99	0.000000	750	-0.001062	-83.357702
Log marginal likelihood:	-83.357702
