Rate	83.33
Tree Move	16.67
Rate Tried	% Accepted	Tree Move Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
826	0.314770	174	0.689655	1.358799	826	0.314770	0.380000	0.380362	
837	0.279570	163	0.809816	1.358799	837	0.279570	0.366000	0.380362	
820	0.313415	180	0.766667	1.358799	820	0.313415	0.395000	0.380362	
855	0.347368	145	0.751724	1.358799	855	0.347368	0.406000	0.380363	
817	0.312118	183	0.677596	1.358799	817	0.312118	0.379000	0.380363	
828	0.324879	172	0.755814	1.358799	828	0.324879	0.399000	0.380363	
835	0.285030	165	0.733333	1.358799	835	0.285030	0.359000	0.380363	
841	0.341260	159	0.792453	1.358799	841	0.341260	0.413000	0.380363	
836	0.293062	164	0.762195	1.358799	836	0.293062	0.370000	0.380363	
824	0.304612	176	0.732955	1.358799	824	0.304612	0.380000	0.380363	
828	0.298309	172	0.813953	1.358799	828	0.298309	0.387000	0.380363	
833	0.300120	167	0.802395	1.358799	833	0.300120	0.384000	0.380363	
823	0.292831	177	0.728814	1.358799	823	0.292831	0.370000	0.380363	
848	0.304245	152	0.684211	1.358799	848	0.304245	0.362000	0.380363	
830	0.306024	170	0.711765	1.358799	830	0.306024	0.375000	0.380362	
819	0.304029	181	0.657459	1.358799	819	0.304029	0.368000	0.380362	
817	0.303550	183	0.852459	1.358799	817	0.303550	0.404000	0.380363	
825	0.283636	175	0.674286	1.358799	825	0.283636	0.352000	0.380362	
847	0.315230	153	0.764706	1.358799	847	0.315230	0.384000	0.380362	
835	0.291018	165	0.769697	1.358799	835	0.291018	0.370000	0.380362	
827	0.314389	173	0.791908	1.358799	827	0.314389	0.397000	0.380362	
848	0.287736	152	0.750000	1.358799	848	0.287736	0.358000	0.380362	
843	0.302491	157	0.802548	1.358799	843	0.302491	0.381000	0.380362	
820	0.309756	180	0.694444	1.358799	820	0.309756	0.379000	0.380362	
821	0.295981	179	0.770950	1.358799	821	0.295981	0.381000	0.380362	
841	0.294887	159	0.723270	1.358799	841	0.294887	0.363000	0.380362	
814	0.310811	186	0.801075	1.358799	814	0.310811	0.402000	0.380362	
837	0.310633	163	0.730061	1.358799	837	0.310633	0.379000	0.380362	
850	0.304706	150	0.760000	1.358799	850	0.304706	0.373000	0.380362	
817	0.315789	183	0.765027	1.358799	817	0.315789	0.398000	0.380362	
820	0.314634	180	0.777778	1.358799	820	0.314634	0.398000	0.380363	
840	0.320238	160	0.725000	1.358799	840	0.320238	0.385000	0.380363	
846	0.304965	154	0.727273	1.358799	846	0.304965	0.370000	0.380362	
842	0.275534	158	0.772152	1.358799	842	0.275534	0.354000	0.380362	
843	0.309609	157	0.815287	1.358799	843	0.309609	0.389000	0.380362	
839	0.302741	161	0.807453	1.358799	839	0.302741	0.384000	0.380362	
852	0.271127	148	0.790541	1.358799	852	0.271127	0.348000	0.380362	
815	0.283436	185	0.800000	1.358799	815	0.283436	0.379000	0.380362	
841	0.272295	159	0.742138	1.358799	841	0.272295	0.347000	0.380361	
834	0.316547	166	0.783133	1.358799	834	0.316547	0.394000	0.380361	
829	0.324487	171	0.766082	1.358799	829	0.324487	0.400000	0.380362	
837	0.307049	163	0.754601	1.358799	837	0.307049	0.380000	0.380362	
844	0.312796	156	0.801282	1.358799	844	0.312796	0.389000	0.380362	
846	0.287234	154	0.818182	1.358799	846	0.287234	0.369000	0.380361	
824	0.307039	176	0.721591	1.358799	824	0.307039	0.380000	0.380361	
840	0.342857	160	0.731250	1.358799	840	0.342857	0.405000	0.380362	
823	0.284326	177	0.785311	1.358799	823	0.284326	0.373000	0.380362	
842	0.296912	158	0.784810	1.358799	842	0.296912	0.374000	0.380362	
819	0.273504	181	0.751381	1.358799	819	0.273504	0.360000	0.380361	
827	0.318017	173	0.757225	1.358799	827	0.318017	0.394000	0.380362	
848	0.344340	152	0.750000	1.358799	848	0.344340	0.406000	0.380362	
817	0.332925	183	0.754098	1.358799	817	0.332925	0.410000	0.380363	
860	0.344186	140	0.750000	1.358799	860	0.344186	0.401000	0.380363	
828	0.304348	172	0.779070	1.358799	828	0.304348	0.386000	0.380363	
853	0.261430	147	0.823129	1.358799	853	0.261430	0.344000	0.380362	
849	0.294464	151	0.768212	1.358799	849	0.294464	0.366000	0.380362	
804	0.269900	196	0.775510	1.358799	804	0.269900	0.369000	0.380362	
837	0.303465	163	0.803681	1.358799	837	0.303465	0.385000	0.380362	
828	0.271739	172	0.755814	1.358799	828	0.271739	0.355000	0.380362	
854	0.309133	146	0.767123	1.358799	854	0.309133	0.376000	0.380361	
832	0.281250	168	0.875000	1.358799	832	0.281250	0.381000	0.380361	
848	0.298349	152	0.776316	1.358799	848	0.298349	0.371000	0.380361	
848	0.298349	152	0.822368	1.358799	848	0.298349	0.378000	0.380361	
833	0.322929	167	0.706587	1.358799	833	0.322929	0.387000	0.380361	
822	0.339416	178	0.719101	1.358799	822	0.339416	0.407000	0.380362	
835	0.312575	165	0.757576	1.358799	835	0.312575	0.386000	0.380362	
837	0.323775	163	0.730061	1.358799	837	0.323775	0.390000	0.380362	
829	0.264174	171	0.789474	1.358799	829	0.264174	0.354000	0.380362	
846	0.273050	154	0.668831	1.358799	846	0.273050	0.334000	0.380361	
828	0.306763	172	0.779070	1.358799	828	0.306763	0.388000	0.380361	
834	0.298561	166	0.771084	1.358799	834	0.298561	0.377000	0.380361	
829	0.288299	171	0.760234	1.358799	829	0.288299	0.369000	0.380361	
825	0.298182	175	0.674286	1.358799	825	0.298182	0.364000	0.380360	
830	0.307229	170	0.811765	1.358799	830	0.307229	0.393000	0.380361	
835	0.320958	165	0.709091	1.358799	835	0.320958	0.385000	0.380361	
833	0.318127	167	0.778443	1.358799	833	0.318127	0.395000	0.380361	
833	0.260504	167	0.736527	1.358799	833	0.260504	0.340000	0.380360	
815	0.301840	185	0.691892	1.358799	815	0.301840	0.374000	0.380360	
829	0.323281	171	0.783626	1.358799	829	0.323281	0.402000	0.380361	
822	0.326034	178	0.752809	1.358799	822	0.326034	0.402000	0.380361	
829	0.288299	171	0.730994	1.358799	829	0.288299	0.364000	0.380361	
824	0.292476	176	0.784091	1.358799	824	0.292476	0.379000	0.380361	
839	0.268176	161	0.807453	1.358799	839	0.268176	0.355000	0.380360	
836	0.279904	164	0.731707	1.358799	836	0.279904	0.354000	0.380360	
832	0.295673	168	0.815476	1.358799	832	0.295673	0.383000	0.380360	
822	0.279805	178	0.685393	1.358799	822	0.279805	0.352000	0.380359	
848	0.337264	152	0.796053	1.358799	848	0.337264	0.407000	0.380360	
831	0.321300	169	0.757396	1.358799	831	0.321300	0.395000	0.380360	
841	0.331748	159	0.723270	1.358799	841	0.331748	0.394000	0.380360	
850	0.318824	150	0.846667	1.358799	850	0.318824	0.398000	0.380360	
830	0.287952	170	0.817647	1.358799	830	0.287952	0.378000	0.380360	
811	0.281134	189	0.777778	1.358799	811	0.281134	0.375000	0.380360	
838	0.293556	162	0.771605	1.358799	838	0.293556	0.371000	0.380360	
831	0.268351	169	0.769231	1.358799	831	0.268351	0.353000	0.380360	
818	0.337408	182	0.747253	1.358799	818	0.337408	0.412000	0.380360	
843	0.300119	157	0.808917	1.358799	843	0.300119	0.380000	0.380360	
836	0.308612	164	0.743902	1.358799	836	0.308612	0.380000	0.380360	
849	0.316843	151	0.748344	1.358799	849	0.316843	0.382000	0.380360	
831	0.292419	169	0.834320	1.358799	831	0.292419	0.384000	0.380360	
837	0.291517	163	0.822086	1.358799	837	0.291517	0.378000	0.380360	
829	0.344994	171	0.824561	1.358799	829	0.344994	0.427000	0.380361	
840	0.292857	160	0.762500	1.358799	840	0.292857	0.368000	0.380361	
821	0.292326	179	0.715084	1.358799	821	0.292326	0.368000	0.380361	
838	0.336516	162	0.740741	1.358799	838	0.336516	0.402000	0.380361	
822	0.332117	178	0.786517	1.358799	822	0.332117	0.413000	0.380362	
839	0.319428	161	0.689441	1.358799	839	0.319428	0.379000	0.380362	
840	0.279762	160	0.806250	1.358799	840	0.279762	0.364000	0.380361	
837	0.301075	163	0.668712	1.358799	837	0.301075	0.361000	0.380361	
826	0.317191	174	0.706897	1.358799	826	0.317191	0.385000	0.380361	
837	0.293907	163	0.723926	1.358799	837	0.293907	0.364000	0.380361	
828	0.304348	172	0.715116	1.358799	828	0.304348	0.375000	0.380361	
851	0.292597	149	0.711409	1.358799	851	0.292597	0.355000	0.380360	
848	0.325472	152	0.743421	1.358799	848	0.325472	0.389000	0.380360	
846	0.295508	154	0.766234	1.358799	846	0.295508	0.368000	0.380360	
857	0.297550	143	0.713287	1.358799	857	0.297550	0.357000	0.380360	
805	0.326708	195	0.676923	1.358799	805	0.326708	0.395000	0.380360	
843	0.315540	157	0.643312	1.358799	843	0.315540	0.367000	0.380360	
862	0.310905	138	0.710145	1.358799	862	0.310905	0.366000	0.380360	
839	0.306317	161	0.701863	1.358799	839	0.306317	0.370000	0.380359	
831	0.273165	169	0.846154	1.358799	831	0.273165	0.370000	0.380359	
841	0.338882	159	0.811321	1.358799	841	0.338882	0.414000	0.380360	
810	0.344444	190	0.763158	1.358799	810	0.344444	0.424000	0.380361	
823	0.294046	177	0.706215	1.358799	823	0.294046	0.367000	0.380360	
808	0.306931	192	0.786458	1.358799	808	0.306931	0.399000	0.380361	
841	0.330559	159	0.767296	1.358799	841	0.330559	0.400000	0.380361	
838	0.301909	162	0.759259	1.358799	838	0.301909	0.376000	0.380361	
823	0.272175	177	0.638418	1.358799	823	0.272175	0.337000	0.380360	
843	0.274021	157	0.777070	1.358799	843	0.274021	0.353000	0.380360	
