Steppingstone sampler:
        No Stones:                  100
        Start It:                   65000001
        It Per Stone:               1000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.975187	750	-1.597781	-1.597781
1	0.950747	750	-1.531898	-3.129680
2	0.926679	750	-1.511995	-4.641675
3	0.902980	750	-1.543137	-6.184812
4	0.879648	750	-1.507290	-7.692103
5	0.856682	750	-1.506907	-9.199010
6	0.834079	750	-1.448051	-10.647060
7	0.811838	750	-1.473686	-12.120746
8	0.789957	750	-1.417876	-13.538622
9	0.768433	750	-1.407207	-14.945829
10	0.747266	750	-1.400782	-16.346611
11	0.726452	750	-1.378637	-17.725248
12	0.705989	750	-1.370918	-19.096166
13	0.685877	750	-1.351020	-20.447186
14	0.666112	750	-1.294666	-21.741853
15	0.646693	750	-1.279156	-23.021009
16	0.627618	750	-1.283146	-24.304155
17	0.608884	750	-1.235585	-25.539740
18	0.590490	750	-1.253045	-26.792785
19	0.572433	750	-1.215089	-28.007874
20	0.554712	750	-1.179103	-29.186977
21	0.537324	750	-1.175562	-30.362539
22	0.520268	750	-1.190693	-31.553232
23	0.503540	750	-1.104970	-32.658203
24	0.487139	750	-1.107069	-33.765272
25	0.471063	750	-1.100134	-34.865406
26	0.455310	750	-1.069751	-35.935156
27	0.439877	750	-1.058198	-36.993354
28	0.424762	750	-1.071833	-38.065187
29	0.409963	750	-1.045364	-39.110551
30	0.395478	750	-0.981326	-40.091877
31	0.381305	750	-0.998591	-41.090468
32	0.367440	750	-0.969878	-42.060346
33	0.353883	750	-0.950815	-43.011161
34	0.340630	750	-0.955321	-43.966481
35	0.327680	750	-0.926595	-44.893077
36	0.315030	750	-0.890108	-45.783185
37	0.302677	750	-0.884818	-46.668003
38	0.290619	750	-0.875214	-47.543217
39	0.278855	750	-0.847759	-48.390976
40	0.267381	750	-0.815863	-49.206840
41	0.256195	750	-0.823571	-50.030411
42	0.245294	750	-0.794196	-50.824607
43	0.234677	750	-0.746520	-51.571128
44	0.224340	750	-0.754533	-52.325661
45	0.214281	750	-0.746327	-53.071987
46	0.204498	750	-0.744411	-53.816398
47	0.194988	750	-0.696844	-54.513242
48	0.185749	750	-0.682714	-55.195956
49	0.176777	750	-0.667130	-55.863086
50	0.168070	750	-0.649153	-56.512239
51	0.159626	750	-0.635010	-57.147249
52	0.151441	750	-0.613859	-57.761107
53	0.143514	750	-0.591986	-58.353093
54	0.135841	750	-0.582841	-58.935934
55	0.128420	750	-0.587431	-59.523365
56	0.121247	750	-0.562664	-60.086029
57	0.114320	750	-0.523109	-60.609138
58	0.107637	750	-0.546361	-61.155499
59	0.101193	750	-0.502967	-61.658467
60	0.094986	750	-0.505792	-62.164258
61	0.089014	750	-0.511981	-62.676239
62	0.083273	750	-0.487882	-63.164121
63	0.077760	750	-0.457054	-63.621175
64	0.072472	750	-0.432056	-64.053231
65	0.067406	750	-0.409958	-64.463190
66	0.062558	750	-0.410751	-64.873941
67	0.057926	750	-0.408898	-65.282839
68	0.053506	750	-0.388431	-65.671270
69	0.049295	750	-0.369212	-66.040482
70	0.045289	750	-0.353609	-66.394091
71	0.041485	750	-0.340161	-66.734251
72	0.037880	750	-0.323932	-67.058183
73	0.034469	750	-0.321105	-67.379289
74	0.031250	750	-0.313870	-67.693159
75	0.028218	750	-0.295672	-67.988831
76	0.025370	750	-0.274080	-68.262911
77	0.022702	750	-0.241804	-68.504715
78	0.020209	750	-0.233995	-68.738710
79	0.017889	750	-0.233709	-68.972418
80	0.015736	750	-0.216974	-69.189393
81	0.013746	750	-0.213721	-69.403113
82	0.011916	750	-0.196490	-69.599603
83	0.010240	750	-0.172501	-69.772104
84	0.008714	750	-0.148807	-69.920912
85	0.007334	750	-0.146783	-70.067695
86	0.006093	750	-0.146872	-70.214566
87	0.004988	750	-0.129651	-70.344218
88	0.004013	750	-0.118377	-70.462594
89	0.003162	750	-0.097535	-70.560129
90	0.002430	750	-0.088353	-70.648482
91	0.001810	750	-0.071823	-70.720304
92	0.001296	750	-0.060340	-70.780644
93	0.000882	750	-0.051054	-70.831699
94	0.000559	750	-0.038989	-70.870688
95	0.000320	750	-0.028881	-70.899569
96	0.000156	750	-0.018635	-70.918204
97	0.000057	750	-0.011385	-70.929589
98	0.000010	750	-0.005209	-70.934798
99	0.000000	750	-0.001181	-70.935979
Log marginal likelihood:	-70.935979
