Options:
Model:                           Discrete: Independent
Tree File Name:                  ./data/austronesian-eskimo-bi.linealdescent.bttrees
Data File Name:                  ./data/austronesian-eskimo-bi.linealdescent.btdata
Log File Name:                   ./output/austronesian-eskimo-bi.linealdescent-indep2.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            2583167134
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      10010000
Burn in:                         10000
MCMC ML Start:                   False
Schedule File:                   ./output/austronesian-eskimo-bi.linealdescent-indep2.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     4
Base frequency (PI's):           Empirical: (0.447059,0.388235,0.141176,0.023529)
Character Symbols:               00,01,10,11
Using a covarion model:          False
Normalise Q Matrix:              False
Scale Tree:                      0.085378
Restrictions:
    alpha1                       None
    beta1                        None
    alpha2                       None
    beta2                        None
Prior Information:
    Prior Categories:            100
    Priors
        alpha1 - exp 10.00 
        beta1 - exp 10.00 
        alpha2 - exp 10.00 
        beta2 - exp 10.00 
Tree Information
     Trees:                      1000
     Taxa:                       85
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	alpha1	beta1	alpha2	beta2	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	
11000	-83.543662	465	0.183026	3.277864	3.234316	4.706011	0.013031	0.009666	0.855513	0.121791	
12000	-82.893862	213	0.011691	2.577151	2.753974	5.502620	0.000991	0.000996	0.836633	0.161381	
13000	-83.266821	572	0.014183	2.157064	2.637546	4.985249	0.001392	0.001337	0.842038	0.155233	
14000	-81.811591	786	0.018377	2.853669	1.787902	3.080126	0.002884	0.002942	0.831437	0.162737	
15000	-83.591258	568	0.342697	3.147153	1.825291	2.532944	0.047342	0.024173	0.845619	0.082866	
16000	-84.222429	893	0.145911	3.653284	1.902512	4.296423	0.014318	0.023614	0.730763	0.231305	
17000	-85.604398	327	0.118431	2.218125	0.731918	3.273276	0.001257	0.034168	0.155119	0.809457	
18000	-82.567232	694	0.005819	1.986940	2.218036	2.318496	0.001854	0.000736	0.926794	0.070615	
19000	-86.373192	492	0.808091	4.944113	3.201474	4.464300	0.226079	0.153247	0.549225	0.071450	
20000	-83.730657	833	0.029777	2.248876	2.712324	4.465164	0.000064	0.000050	0.869287	0.130599	
21000	-84.161360	692	0.091146	2.587080	3.194840	6.666579	0.001426	0.001385	0.840499	0.156690	
22000	-83.212213	346	0.135944	2.569283	1.954320	4.789056	0.001060	0.002254	0.707793	0.288893	
23000	-84.618331	835	0.139852	3.390623	1.523727	3.805659	0.002531	0.008809	0.592740	0.395920	
24000	-85.131931	390	0.147037	3.169547	1.283413	2.009521	0.014192	0.009770	0.862136	0.113903	
25000	-89.963156	45	0.978254	8.722049	1.920501	4.463037	0.294448	0.454172	0.193963	0.057418	
26000	-84.090986	330	0.015930	2.922391	2.052254	4.863480	0.000038	0.000060	0.764632	0.235270	
27000	-83.767700	444	0.388160	2.833853	2.376882	4.720242	0.041704	0.047659	0.746836	0.163800	
28000	-84.063986	883	0.032102	4.335622	3.040550	3.380899	0.000069	0.000029	0.924223	0.075679	
29000	-83.959211	718	0.172716	3.860346	1.044491	3.393904	0.001673	0.021636	0.280465	0.696226	
30000	-84.904344	808	0.263503	2.175676	3.605611	6.640168	0.011489	0.010345	0.834038	0.144128	
31000	-88.604457	741	0.161859	5.819500	3.905679	7.619991	0.039471	0.035048	0.790732	0.134750	
32000	-83.692002	553	0.150374	3.005872	3.379995	3.643666	0.015945	0.006644	0.905042	0.072369	
33000	-86.914820	270	0.012983	3.889555	6.650463	6.712344	0.000612	0.000481	0.867986	0.130921	
34000	-85.751333	302	0.136418	4.571362	4.325367	7.278115	0.001748	0.001497	0.856036	0.140719	
