Rate	83.33
Tree Move	16.67
Rate Tried	% Accepted	Tree Move Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
825	0.350303	175	0.697143	1.481068	825	0.350303	0.411000	0.394894	
839	0.373063	161	0.826087	1.481068	839	0.373063	0.446000	0.395877	
828	0.291063	172	0.697674	1.481068	828	0.291063	0.361000	0.395219	
821	0.308161	179	0.798883	1.481068	821	0.308161	0.396000	0.395233	
809	0.315204	191	0.717277	1.481068	809	0.315204	0.392000	0.395175	
836	0.313397	164	0.780488	1.481068	836	0.313397	0.390000	0.395082	
831	0.296029	169	0.692308	1.481068	831	0.296029	0.363000	0.394519	
816	0.327206	184	0.760870	1.481068	816	0.327206	0.407000	0.394735	
813	0.313653	187	0.759358	1.481068	813	0.313653	0.397000	0.394773	
824	0.328883	176	0.818182	1.481068	824	0.328883	0.415000	0.395110	
831	0.354994	169	0.792899	1.481068	831	0.354994	0.429000	0.395666	
831	0.281588	169	0.710059	1.481068	831	0.281588	0.354000	0.394994	
828	0.333333	172	0.686047	1.481068	828	0.333333	0.394000	0.394978	
813	0.340713	187	0.727273	1.481068	813	0.340713	0.413000	0.395259	
809	0.299135	191	0.806283	1.481068	809	0.299135	0.396000	0.395271	
818	0.331296	182	0.736264	1.481068	818	0.331296	0.405000	0.395418	
812	0.341133	188	0.824468	1.481068	812	0.341133	0.432000	0.395964	
854	0.325527	146	0.856164	1.481068	854	0.325527	0.403000	0.396068	
837	0.308244	163	0.748466	1.481068	837	0.308244	0.380000	0.395835	
834	0.344125	166	0.710843	1.481068	834	0.344125	0.405000	0.395966	
837	0.324970	163	0.730061	1.481068	837	0.324970	0.391000	0.395896	
834	0.328537	166	0.837349	1.481068	834	0.328537	0.413000	0.396133	
837	0.311828	163	0.687117	1.481068	837	0.311828	0.373000	0.395816	
826	0.332930	174	0.758621	1.481068	826	0.332930	0.407000	0.395968	
837	0.346476	163	0.773006	1.481068	837	0.346476	0.416000	0.396235	
843	0.321471	157	0.828025	1.481068	843	0.321471	0.401000	0.396297	
841	0.299643	159	0.761006	1.481068	841	0.299643	0.373000	0.395995	
838	0.293556	162	0.703704	1.481068	838	0.293556	0.360000	0.395533	
839	0.327771	161	0.782609	1.481068	839	0.327771	0.401000	0.395603	
841	0.303210	159	0.723270	1.481068	841	0.303210	0.370000	0.395283	
846	0.317967	154	0.772727	1.481068	846	0.317967	0.388000	0.395193	
827	0.297461	173	0.728324	1.481068	827	0.297461	0.372000	0.394910	
805	0.344099	195	0.815385	1.481068	805	0.344099	0.436000	0.395405	
813	0.317343	187	0.759358	1.481068	813	0.317343	0.400000	0.395460	
844	0.312796	156	0.756410	1.481068	844	0.312796	0.382000	0.395301	
817	0.320685	183	0.863388	1.481068	817	0.320685	0.420000	0.395588	
832	0.322115	168	0.732143	1.481068	832	0.322115	0.391000	0.395536	
845	0.293491	155	0.761290	1.481068	845	0.293491	0.366000	0.395200	
831	0.318893	169	0.710059	1.481068	831	0.318893	0.385000	0.395085	
811	0.292232	189	0.788360	1.481068	811	0.292232	0.386000	0.394985	
820	0.309756	180	0.750000	1.481068	820	0.309756	0.389000	0.394919	
806	0.315136	194	0.747423	1.481068	806	0.315136	0.399000	0.394963	
816	0.314951	184	0.679348	1.481068	816	0.314951	0.382000	0.394824	
832	0.337740	168	0.803571	1.481068	832	0.337740	0.416000	0.395049	
827	0.319226	173	0.803468	1.481068	827	0.319226	0.403000	0.395133	
834	0.312950	166	0.692771	1.481068	834	0.312950	0.376000	0.394933	
822	0.354015	178	0.831461	1.481068	822	0.354015	0.439000	0.395388	
834	0.312950	166	0.801205	1.481068	834	0.312950	0.394000	0.395374	
826	0.315981	174	0.827586	1.481068	826	0.315981	0.405000	0.395471	
824	0.291262	176	0.840909	1.481068	824	0.291262	0.388000	0.395396	
840	0.348810	160	0.812500	1.481068	840	0.348810	0.423000	0.395669	
806	0.303970	194	0.850515	1.481068	806	0.303970	0.410000	0.395810	
