Options:
Model:                           Discrete: Independent
Tree File Name:                  ./data/austronesian-hawaiian-absenceofcousinmarriage.permitted.bttrees
Data File Name:                  ./data/austronesian-hawaiian-absenceofcousinmarriage.permitted.btdata
Log File Name:                   ./output/austronesian-hawaiian-absenceofcousinmarriage.permitted-indep2.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            956596906
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      10050000
Burn in:                         50000
MCMC ML Start:                   False
Schedule File:                   ./output/austronesian-hawaiian-absenceofcousinmarriage.permitted-indep2.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     4
Base frequency (PI's):           Empirical: (0.126582,0.316456,0.126582,0.430380)
Character Symbols:               00,01,10,11
Using a covarion model:          False
Normalise Q Matrix:              False
Scale Tree:                      0.083703
Restrictions:
    alpha1                       None
    beta1                        None
    alpha2                       None
    beta2                        None
Prior Information:
    Prior Categories:            100
    Priors
        alpha1 - exp 10.00 
        beta1 - exp 10.00 
        alpha2 - exp 10.00 
        beta2 - exp 10.00 
Tree Information
     Trees:                      1000
     Taxa:                       79
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	alpha1	beta1	alpha2	beta2	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	
51000	-98.696639	102	5.337974	3.292230	20.112583	7.887575	0.163091	0.407738	0.097537	0.331634	
52000	-98.394350	492	4.650749	4.328437	14.168057	5.296621	0.135883	0.340027	0.119025	0.405066	
53000	-98.977445	222	19.061946	13.469965	8.591365	3.562944	0.119242	0.322699	0.119231	0.438828	
54000	-99.177086	504	19.873440	15.862568	27.296940	9.340218	0.126582	0.316456	0.126582	0.430380	
55000	-98.864154	434	6.006544	3.536405	32.178694	10.383641	0.155798	0.389495	0.103343	0.351365	
56000	-99.180302	146	9.243709	8.859193	10.966468	4.337930	0.125493	0.317268	0.125552	0.431687	
57000	-100.166560	958	22.143662	15.354629	19.640559	4.836972	0.126667	0.316385	0.126666	0.430282	
58000	-99.174405	497	3.684867	1.924411	16.791881	7.811081	0.221315	0.553478	0.051170	0.174037	
59000	-102.189605	767	3.143368	5.436847	8.165457	1.599710	0.139253	0.166639	0.264174	0.429933	
60000	-100.060917	898	3.754962	5.192018	10.176476	2.481431	0.119394	0.277978	0.144640	0.457988	
61000	-99.139759	570	8.729681	9.050786	41.188194	16.299388	0.126473	0.316183	0.126669	0.430674	
62000	-99.810997	644	9.495382	8.048516	24.650707	5.343271	0.126742	0.316844	0.126461	0.429953	
63000	-100.801228	402	14.596812	13.192562	4.685436	1.766978	0.097284	0.341280	0.097286	0.464150	
64000	-102.183414	112	2.798848	3.224171	3.904604	1.062948	0.106545	0.307058	0.119199	0.467198	
65000	-99.494475	600	9.565433	10.996051	25.345513	9.547028	0.126413	0.316032	0.126717	0.430838	
66000	-98.991440	367	4.099516	5.345472	14.311729	6.207759	0.113835	0.285231	0.136337	0.464597	
67000	-98.175774	7	7.564418	7.004122	19.111801	6.531490	0.127127	0.317808	0.126154	0.428910	
68000	-100.467167	394	18.770861	10.076733	17.905940	6.626075	0.126581	0.316471	0.126574	0.430374	
69000	-100.319907	511	7.992364	6.276897	1.686523	1.336573	0.007002	0.424691	0.006807	0.561501	
