Rate	71.43
Rev Jump	14.29
Tree Move	14.29
Rate Tried	% Accepted	Rev Jump Tried	% Accepted	Tree Move Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
743	0.265141	121	0.049587	136	0.507353	3.365066	743	0.265141	0.272000	0.275248	
738	0.288618	107	0.056075	155	0.554839	3.365066	738	0.288618	0.305000	0.277727	
747	0.279786	113	0.061947	140	0.664286	3.365066	747	0.279786	0.309000	0.280132	
734	0.328338	131	0.061069	135	0.659259	3.365066	734	0.328338	0.338000	0.284265	
727	0.295736	138	0.101449	135	0.785185	3.365066	727	0.295736	0.335000	0.287647	
720	0.261111	120	0.050000	160	0.768750	3.365066	720	0.261111	0.317000	0.289482	
765	0.401307	105	0.057143	130	0.746154	3.365066	765	0.401307	0.410000	0.296571	
729	0.249657	120	0.058333	151	0.754967	5.000000	729	0.249657	0.303000	0.296928	
742	0.285714	114	0.008772	144	0.833333	5.000000	742	0.285714	0.333000	0.298826	
740	0.243243	123	0.016260	137	0.788321	5.000000	740	0.243243	0.290000	0.298385	
731	0.113543	107	0.102804	162	0.709877	5.000000	731	0.113543	0.209000	0.294129	
734	0.268392	137	0.080292	129	0.682171	3.160404	734	0.268392	0.296000	0.294214	
764	0.253927	101	0.049505	135	0.659259	3.160404	764	0.253927	0.288000	0.293944	
724	0.285912	140	0.092857	136	0.529412	3.160404	724	0.285912	0.292000	0.293863	
753	0.286853	110	0.027273	137	0.576642	3.160404	753	0.286853	0.298000	0.294028	
717	0.264993	141	0.042553	142	0.633803	3.160404	717	0.264993	0.286000	0.293719	
739	0.286874	119	0.075630	142	0.535211	3.160404	739	0.286874	0.297000	0.293841	
742	0.278976	120	0.041667	138	0.615942	3.160404	742	0.278976	0.297000	0.293954	
739	0.326116	121	0.074380	140	0.635714	3.160404	739	0.326116	0.339000	0.295507	
754	0.291777	114	0.078947	132	0.621212	3.160404	754	0.291777	0.311000	0.296023	
748	0.275401	113	0.053097	139	0.597122	3.160404	748	0.275401	0.295000	0.295990	
764	0.287958	87	0.103448	149	0.724832	3.160404	764	0.287958	0.337000	0.297272	
742	0.256065	116	0.077586	142	0.408451	3.160404	742	0.256065	0.257000	0.296052	
773	0.305304	115	0.069565	112	0.535714	3.160404	773	0.305304	0.304000	0.296285	
750	0.240000	127	0.047244	123	0.560976	3.160404	750	0.240000	0.255000	0.295106	
740	0.322973	108	0.055556	152	0.703947	3.160404	740	0.322973	0.352000	0.296686	
743	0.300135	109	0.055046	148	0.547297	3.160404	743	0.300135	0.310000	0.297046	
716	0.243017	131	0.076336	153	0.666667	3.160404	716	0.243017	0.286000	0.296755	
731	0.287278	122	0.016393	147	0.591837	3.160404	731	0.287278	0.299000	0.296813	
736	0.258152	125	0.016000	139	0.633094	3.160404	736	0.258152	0.280000	0.296393	
739	0.255751	127	0.078740	134	0.641791	3.160404	739	0.255751	0.285000	0.296115	
756	0.304233	108	0.018519	136	0.727941	3.160404	756	0.304233	0.331000	0.296945	
745	0.281879	113	0.035398	142	0.711268	3.160404	745	0.281879	0.315000	0.297365	
