Steppingstone sampler:
        No Stones:                  100
        Start It:                   10010001
        It Per Stone:               1000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.975187	750	-2.742018	-2.742018
1	0.950747	750	-2.691544	-5.433562
2	0.926679	750	-2.672957	-8.106519
3	0.902980	750	-2.638125	-10.744645
4	0.879648	750	-2.569365	-13.314009
5	0.856682	750	-2.557608	-15.871617
6	0.834079	750	-2.514414	-18.386031
7	0.811838	750	-2.466834	-20.852866
8	0.789957	750	-2.430005	-23.282871
9	0.768433	750	-2.381466	-25.664337
10	0.747266	750	-2.362124	-28.026461
11	0.726452	750	-2.314337	-30.340798
12	0.705989	750	-2.291699	-32.632497
13	0.685877	750	-2.264033	-34.896530
14	0.666112	750	-2.213882	-37.110412
15	0.646693	750	-2.156492	-39.266904
16	0.627618	750	-2.125132	-41.392035
17	0.608884	750	-2.082324	-43.474360
18	0.590490	750	-2.067730	-45.542090
19	0.572433	750	-2.014533	-47.556623
20	0.554712	750	-1.994059	-49.550682
21	0.537324	750	-1.969743	-51.520425
22	0.520268	750	-1.928681	-53.449105
23	0.503540	750	-1.897223	-55.346329
24	0.487139	750	-1.835583	-57.181912
25	0.471063	750	-1.808580	-58.990491
26	0.455310	750	-1.775869	-60.766361
27	0.439877	750	-1.749006	-62.515367
28	0.424762	750	-1.702666	-64.218034
29	0.409963	750	-1.658785	-65.876818
30	0.395478	750	-1.646694	-67.523512
31	0.381305	750	-1.605035	-69.128547
32	0.367440	750	-1.575851	-70.704398
33	0.353883	750	-1.533571	-72.237969
34	0.340630	750	-1.521655	-73.759624
35	0.327680	750	-1.478884	-75.238507
36	0.315030	750	-1.437443	-76.675950
37	0.302677	750	-1.423850	-78.099799
38	0.290619	750	-1.396024	-79.495824
39	0.278855	750	-1.330223	-80.826046
40	0.267381	750	-1.320484	-82.146531
41	0.256195	750	-1.294224	-83.440755
42	0.245294	750	-1.239285	-84.680040
43	0.234677	750	-1.225142	-85.905182
44	0.224340	750	-1.211662	-87.116844
45	0.214281	750	-1.168687	-88.285531
46	0.204498	750	-1.141482	-89.427013
47	0.194988	750	-1.110347	-90.537360
48	0.185749	750	-1.079984	-91.617345
49	0.176777	750	-1.042716	-92.660061
50	0.168070	750	-1.025153	-93.685214
51	0.159626	750	-0.979479	-94.664693
52	0.151441	750	-0.975391	-95.640084
53	0.143514	750	-0.943965	-96.584049
54	0.135841	750	-0.916591	-97.500640
55	0.128420	750	-0.888147	-98.388787
56	0.121247	750	-0.838376	-99.227163
57	0.114320	750	-0.832910	-100.060073
58	0.107637	750	-0.802737	-100.862810
59	0.101193	750	-0.770889	-101.633698
60	0.094986	750	-0.745443	-102.379141
61	0.089014	750	-0.721770	-103.100911
62	0.083273	750	-0.686486	-103.787397
63	0.077760	750	-0.662485	-104.449881
64	0.072472	750	-0.639714	-105.089595
65	0.067406	750	-0.608952	-105.698548
66	0.062558	750	-0.593399	-106.291947
67	0.057926	750	-0.576414	-106.868361
68	0.053506	750	-0.552539	-107.420900
69	0.049295	750	-0.538670	-107.959570
70	0.045289	750	-0.496851	-108.456421
71	0.041485	750	-0.478767	-108.935188
72	0.037880	750	-0.462210	-109.397398
73	0.034469	750	-0.441041	-109.838439
74	0.031250	750	-0.408503	-110.246942
75	0.028218	750	-0.401969	-110.648911
76	0.025370	750	-0.366456	-111.015367
77	0.022702	750	-0.339885	-111.355252
78	0.020209	750	-0.328307	-111.683558
79	0.017889	750	-0.296824	-111.980382
80	0.015736	750	-0.276807	-112.257189
81	0.013746	750	-0.260657	-112.517846
82	0.011916	750	-0.241558	-112.759404
83	0.010240	750	-0.218519	-112.977922
84	0.008714	750	-0.210606	-113.188528
85	0.007334	750	-0.188952	-113.377480
86	0.006093	750	-0.163870	-113.541349
87	0.004988	750	-0.146805	-113.688154
88	0.004013	750	-0.129720	-113.817875
89	0.003162	750	-0.113787	-113.931662
90	0.002430	750	-0.101579	-114.033241
91	0.001810	750	-0.081387	-114.114628
92	0.001296	750	-0.072297	-114.186926
93	0.000882	750	-0.056659	-114.243585
94	0.000559	750	-0.043507	-114.287092
95	0.000320	750	-0.032085	-114.319176
96	0.000156	750	-0.022306	-114.341482
97	0.000057	750	-0.013217	-114.354699
98	0.000010	750	-0.006028	-114.360727
99	0.000000	750	-0.001344	-114.362071
Log marginal likelihood:	-114.362071
