Rate	83.33
Tree Move	16.67
Rate Tried	% Accepted	Tree Move Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
834	0.268585	166	0.698795	1.583269	834	0.268585	0.340000	0.320190	
818	0.272616	182	0.620879	1.583269	818	0.272616	0.336000	0.320494	
819	0.261294	181	0.745856	1.583269	819	0.261294	0.349000	0.321032	
819	0.260073	181	0.679558	1.583269	819	0.260073	0.336000	0.321309	
855	0.242105	145	0.800000	1.583269	855	0.242105	0.323000	0.321340	
846	0.224586	154	0.831169	1.583269	846	0.224586	0.318000	0.321280	
828	0.259662	172	0.680233	1.583269	828	0.259662	0.332000	0.321468	
803	0.273973	197	0.700508	1.583269	803	0.273973	0.358000	0.322098	
855	0.257310	145	0.758621	1.583269	855	0.257310	0.330000	0.322232	
853	0.201641	147	0.687075	1.583269	853	0.201641	0.273000	0.321411	
829	0.247286	171	0.789474	1.583269	829	0.247286	0.340000	0.321716	
824	0.220874	176	0.795455	1.583269	824	0.220874	0.322000	0.321721	
831	0.303249	169	0.745562	1.583269	831	0.303249	0.378000	0.322614	
821	0.248477	179	0.743017	1.583269	821	0.248477	0.337000	0.322839	
845	0.272189	155	0.716129	1.583269	845	0.272189	0.341000	0.323118	
840	0.275000	160	0.806250	1.583269	840	0.275000	0.360000	0.323677	
824	0.266990	176	0.704545	1.583269	824	0.266990	0.344000	0.323980	
833	0.238896	167	0.724551	1.583269	833	0.238896	0.320000	0.323922	
825	0.293333	175	0.760000	1.583269	825	0.293333	0.375000	0.324662	
844	0.270142	156	0.737179	1.583269	844	0.270142	0.343000	0.324924	
855	0.249123	145	0.648276	1.583269	855	0.249123	0.307000	0.324671	
828	0.263285	172	0.732558	1.583269	828	0.263285	0.344000	0.324940	
837	0.280765	163	0.766871	1.583269	837	0.280765	0.360000	0.325420	
859	0.257276	141	0.765957	1.583269	859	0.257276	0.329000	0.325469	
852	0.266432	148	0.722973	1.583269	852	0.266432	0.334000	0.325582	
836	0.312201	164	0.725610	1.583269	836	0.312201	0.380000	0.326298	
843	0.260973	157	0.649682	1.583269	843	0.260973	0.322000	0.326243	
832	0.251202	168	0.773810	1.583269	832	0.251202	0.339000	0.326406	
843	0.266904	157	0.821656	1.583269	843	0.266904	0.354000	0.326755	
822	0.310219	178	0.415730	1.583269	822	0.310219	0.329000	0.326783	
829	0.293124	171	0.701754	1.583269	829	0.293124	0.363000	0.327231	
812	0.238916	188	0.696809	1.583269	812	0.238916	0.325000	0.327203	
840	0.273810	160	0.700000	1.583269	840	0.273810	0.342000	0.327382	
837	0.268817	163	0.656442	1.583269	837	0.268817	0.332000	0.327437	
799	0.245307	201	0.741294	1.583269	799	0.245307	0.345000	0.327643	
830	0.269880	170	0.764706	1.583269	830	0.269880	0.354000	0.327950	
812	0.306650	188	0.680851	1.583269	812	0.306650	0.377000	0.328513	
841	0.253270	159	0.572327	1.583269	841	0.253270	0.304000	0.328235	
830	0.253012	170	0.700000	1.583269	830	0.253012	0.329000	0.328244	
852	0.286385	148	0.790541	1.583269	852	0.286385	0.361000	0.328607	
823	0.236938	177	0.661017	1.583269	823	0.236938	0.312000	0.328425	
827	0.270859	173	0.728324	1.583269	827	0.270859	0.350000	0.328659	
833	0.291717	167	0.688623	1.583269	833	0.291717	0.358000	0.328975	
844	0.268957	156	0.814103	1.583269	844	0.268957	0.354000	0.329241	
832	0.300481	168	0.785714	1.583269	832	0.300481	0.382000	0.329797	
830	0.250602	170	0.676471	1.583269	830	0.250602	0.323000	0.329726	
808	0.283416	192	0.729167	1.583269	808	0.283416	0.369000	0.330131	
829	0.282268	171	0.695906	1.583269	829	0.282268	0.353000	0.330364	
828	0.251208	172	0.750000	1.583269	828	0.251208	0.337000	0.330431	
864	0.267361	136	0.676471	1.583269	864	0.267361	0.323000	0.330357	
854	0.270492	146	0.705479	1.583269	854	0.270492	0.334000	0.330393	
856	0.241822	144	0.625000	1.583269	856	0.241822	0.297000	0.330065	
849	0.286219	151	0.721854	1.583269	849	0.286219	0.352000	0.330278	
852	0.273474	148	0.621622	1.583269	852	0.273474	0.325000	0.330228	
824	0.262136	176	0.443182	1.583269	824	0.262136	0.294000	0.329883	
822	0.277372	178	0.539326	1.583269	822	0.277372	0.324000	0.329827	
812	0.274631	188	0.659574	1.583269	812	0.274631	0.347000	0.329988	
850	0.263529	150	0.320000	1.583269	850	0.263529	0.272000	0.329451	
829	0.278649	171	0.736842	1.583269	829	0.278649	0.357000	0.329703	
822	0.231144	178	0.792135	1.583269	822	0.231144	0.331000	0.329715	
830	0.290361	170	0.729412	1.583269	830	0.290361	0.365000	0.330033	
858	0.269231	142	0.669014	1.583269	858	0.269231	0.326000	0.329997	
853	0.313013	147	0.836735	1.583269	853	0.313013	0.390000	0.330528	
829	0.299156	171	0.748538	1.583269	829	0.299156	0.376000	0.330927	
807	0.283767	193	0.715026	1.583269	807	0.283767	0.367000	0.331241	
836	0.264354	164	0.500000	1.583269	836	0.264354	0.303000	0.330997	
840	0.279762	160	0.762500	1.583269	840	0.279762	0.357000	0.331219	
842	0.274347	158	0.759494	1.583269	842	0.274347	0.351000	0.331387	
835	0.264671	165	0.824242	1.583269	835	0.264671	0.357000	0.331602	
845	0.235503	155	0.729032	1.583269	845	0.235503	0.312000	0.331439	
830	0.293976	170	0.723529	1.583269	830	0.293976	0.367000	0.331733	
840	0.263095	160	0.550000	1.583269	840	0.263095	0.309000	0.331546	
826	0.267554	174	0.626437	1.583269	826	0.267554	0.330000	0.331534	
839	0.308701	161	0.788820	1.583269	839	0.308701	0.386000	0.331973	
847	0.293979	153	0.751634	1.583269	847	0.293979	0.364000	0.332229	
833	0.274910	167	0.784431	1.583269	833	0.274910	0.360000	0.332450	
824	0.291262	176	0.636364	1.583269	824	0.291262	0.352000	0.332604	
820	0.289024	180	0.733333	1.583269	820	0.289024	0.369000	0.332888	
817	0.294982	183	0.765027	1.583269	817	0.294982	0.381000	0.333261	
831	0.271961	169	0.704142	1.583269	831	0.271961	0.345000	0.333351	
843	0.259786	157	0.369427	1.583269	843	0.259786	0.277000	0.332921	
836	0.240431	164	0.451220	1.583269	836	0.240431	0.275000	0.332482	
830	0.249398	170	0.511765	1.583269	830	0.249398	0.294000	0.332193	
849	0.272085	151	0.801325	1.583269	849	0.272085	0.352000	0.332341	
850	0.280000	150	0.760000	1.583269	850	0.280000	0.352000	0.332486	
840	0.297619	160	0.687500	1.583269	840	0.297619	0.360000	0.332689	
820	0.282927	180	0.655556	1.583269	820	0.282927	0.350000	0.332815	
842	0.258907	158	0.765823	1.583269	842	0.258907	0.339000	0.332860	
853	0.310668	147	0.653061	1.583269	853	0.310668	0.361000	0.333062	
820	0.269512	180	0.716667	1.583269	820	0.269512	0.350000	0.333183	
822	0.243309	178	0.662921	1.583269	822	0.243309	0.318000	0.333076	
822	0.284672	178	0.702247	1.583269	822	0.284672	0.359000	0.333258	
837	0.255675	163	0.785276	1.583269	837	0.255675	0.342000	0.333319	
840	0.284524	160	0.631250	1.583269	840	0.284524	0.340000	0.333366	
827	0.288996	173	0.763006	1.583269	827	0.288996	0.371000	0.333625	
809	0.245983	191	0.612565	1.583269	809	0.245983	0.316000	0.333505	
830	0.237349	170	0.670588	1.583269	830	0.237349	0.311000	0.333351	
843	0.269276	157	0.617834	1.583269	843	0.269276	0.324000	0.333288	
813	0.233702	187	0.716578	1.583269	813	0.233702	0.324000	0.333226	
823	0.255164	177	0.757062	1.583269	823	0.255164	0.344000	0.333298	
838	0.266110	162	0.672840	1.583269	838	0.266110	0.332000	0.333289	
824	0.243932	176	0.738636	1.583269	824	0.243932	0.331000	0.333274	
828	0.246377	172	0.494186	1.583269	828	0.246377	0.289000	0.332985	
826	0.320823	174	0.804598	1.583269	826	0.320823	0.405000	0.333452	
846	0.276596	154	0.727273	1.583269	846	0.276596	0.346000	0.333533	
831	0.240674	169	0.686391	1.583269	831	0.240674	0.316000	0.333421	
841	0.254459	159	0.855346	1.583269	841	0.254459	0.350000	0.333527	
824	0.277913	176	0.721591	1.583269	824	0.277913	0.356000	0.333669	
846	0.263593	154	0.701299	1.583269	846	0.263593	0.331000	0.333652	
810	0.154321	190	0.715789	1.583269	810	0.154321	0.261000	0.333198	
849	0.360424	151	0.708609	1.162820	849	0.360424	0.413000	0.333694	
827	0.409915	173	0.734104	1.162820	827	0.409915	0.466000	0.334510	
834	0.221823	166	0.686747	1.952007	834	0.221823	0.299000	0.334292	
838	0.176611	162	0.753086	1.952007	838	0.176611	0.270000	0.333900	
848	0.464623	152	0.677632	0.993327	848	0.464623	0.497000	0.334889	
825	0.493333	175	0.668571	0.994880	825	0.493333	0.524000	0.336028	
822	0.166667	178	0.735955	1.936428	822	0.166667	0.268000	0.335621	
813	0.337023	187	0.614973	1.291483	813	0.337023	0.389000	0.335938	
836	0.328947	164	0.414634	1.291483	836	0.328947	0.343000	0.335980	
814	0.329238	186	0.768817	1.291483	814	0.329238	0.411000	0.336422	
822	0.371046	178	0.629213	1.291483	822	0.371046	0.417000	0.336893	
816	0.305147	184	0.755435	1.291483	816	0.305147	0.388000	0.337190	
845	0.346746	155	0.825806	1.291483	845	0.346746	0.421000	0.337674	
833	0.346939	167	0.700599	1.291483	833	0.346939	0.406000	0.338067	
842	0.357482	158	0.759494	1.291483	842	0.357482	0.421000	0.338541	
825	0.353939	175	0.457143	1.291483	825	0.353939	0.372000	0.338731	
847	0.364817	153	0.718954	1.291483	847	0.364817	0.419000	0.339185	
865	0.384971	135	0.096296	1.291483	865	0.384971	0.346000	0.339223	
827	0.338573	173	0.826590	1.291483	827	0.338573	0.423000	0.339691	
816	0.332108	184	0.760870	1.291483	816	0.332108	0.411000	0.340087	
822	0.341849	178	0.735955	1.291483	822	0.341849	0.412000	0.340484	
839	0.320620	161	0.776398	1.291483	839	0.320620	0.394000	0.340778	
819	0.332112	181	0.668508	1.291483	819	0.332112	0.393000	0.341064	
840	0.390476	160	0.750000	1.291483	840	0.390476	0.448000	0.341645	
837	0.339307	163	0.576687	1.291483	837	0.339307	0.378000	0.341841	
831	0.336943	169	0.195266	1.291483	831	0.336943	0.313000	0.341686	
830	0.339759	170	0.735294	1.291483	830	0.339759	0.407000	0.342036	
820	0.326829	180	0.650000	1.291483	820	0.326829	0.385000	0.342264	
834	0.370504	166	0.632530	1.291483	834	0.370504	0.414000	0.342644	
817	0.372093	183	0.366120	1.291483	817	0.372093	0.371000	0.342793	
833	0.367347	167	0.772455	1.291483	833	0.367347	0.435000	0.343276	
835	0.373653	165	0.739394	1.291483	835	0.373653	0.434000	0.343748	
862	0.319026	138	0.724638	1.291483	862	0.319026	0.375000	0.343910	
862	0.351508	138	0.652174	1.291483	862	0.351508	0.393000	0.344163	
837	0.332139	163	0.668712	1.291483	837	0.332139	0.387000	0.344383	
815	0.361963	185	0.708108	1.291483	815	0.361963	0.426000	0.344799	
852	0.342723	148	0.851351	1.291483	852	0.342723	0.418000	0.345171	
831	0.329723	169	0.757396	1.291483	831	0.329723	0.402000	0.345458	
843	0.357058	157	0.656051	1.291483	843	0.357058	0.404000	0.345752	
828	0.356280	172	0.627907	1.291483	828	0.356280	0.403000	0.346038	
821	0.358100	179	0.670391	1.291483	821	0.358100	0.414000	0.346376	
819	0.361416	181	0.740331	1.291483	819	0.361416	0.430000	0.346790	
828	0.316425	172	0.755814	1.291483	828	0.316425	0.392000	0.347013	
827	0.347037	173	0.693642	1.291483	827	0.347037	0.407000	0.347307	
841	0.361474	159	0.704403	1.291483	841	0.361474	0.416000	0.347642	
841	0.334126	159	0.767296	1.291483	841	0.334126	0.403000	0.347911	
839	0.384982	161	0.701863	1.291483	839	0.384982	0.436000	0.348336	
842	0.343230	158	0.753165	1.291483	842	0.343230	0.408000	0.348623	
822	0.343066	178	0.657303	1.291483	822	0.343066	0.399000	0.348864	
847	0.367178	153	0.653595	1.291483	847	0.367178	0.411000	0.349160	
835	0.336527	165	0.751515	1.291483	835	0.336527	0.405000	0.349425	
827	0.336155	173	0.716763	1.291483	827	0.336155	0.402000	0.349673	
827	0.337364	173	0.658960	1.291483	827	0.337364	0.393000	0.349876	
809	0.352287	191	0.801047	1.291483	809	0.352287	0.438000	0.350288	
820	0.385366	180	0.655556	1.291483	820	0.385366	0.434000	0.350677	
835	0.358084	165	0.727273	1.291483	835	0.358084	0.419000	0.350994	
832	0.350962	168	0.744048	1.291483	832	0.350962	0.417000	0.351298	
841	0.367420	159	0.440252	1.291483	841	0.367420	0.379000	0.351425	
823	0.328068	177	0.711864	1.291483	823	0.328068	0.396000	0.351629	
837	0.348865	163	0.773006	1.291483	837	0.348865	0.418000	0.351930	
823	0.364520	177	0.768362	1.291483	823	0.364520	0.436000	0.352311	
800	0.305000	200	0.740000	1.291483	800	0.305000	0.392000	0.352489	
831	0.324910	169	0.591716	1.291483	831	0.324910	0.370000	0.352568	
836	0.372010	164	0.664634	1.291483	836	0.372010	0.420000	0.352869	
849	0.349823	151	0.794702	1.291483	849	0.349823	0.417000	0.353154	
844	0.376777	156	0.769231	1.291483	844	0.376777	0.438000	0.353529	
833	0.340936	167	0.772455	1.291483	833	0.340936	0.413000	0.353791	
844	0.368483	156	0.769231	1.291483	844	0.368483	0.431000	0.354130	
836	0.350478	164	0.768293	1.291483	836	0.350478	0.419000	0.354413	
843	0.367734	157	0.815287	1.291483	843	0.367734	0.438000	0.354777	
