Steppingstone sampler:
        No Stones:                  100
        Start It:                   10050001
        It Per Stone:               1000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.975187	750	-2.044922	-2.044922
1	0.950747	750	-2.012737	-4.057659
2	0.926679	750	-1.988074	-6.045733
3	0.902980	750	-1.944672	-7.990405
4	0.879648	750	-1.930641	-9.921046
5	0.856682	750	-1.905858	-11.826903
6	0.834079	750	-1.877322	-13.704225
7	0.811838	750	-1.848020	-15.552245
8	0.789957	750	-1.826440	-17.378686
9	0.768433	750	-1.779671	-19.158357
10	0.747266	750	-1.763070	-20.921427
11	0.726452	750	-1.727244	-22.648671
12	0.705989	750	-1.716253	-24.364924
13	0.685877	750	-1.677169	-26.042093
14	0.666112	750	-1.642790	-27.684884
15	0.646693	750	-1.622222	-29.307105
16	0.627618	750	-1.594190	-30.901296
17	0.608884	750	-1.583122	-32.484417
18	0.590490	750	-1.559584	-34.044001
19	0.572433	750	-1.519547	-35.563549
20	0.554712	750	-1.520833	-37.084382
21	0.537324	750	-1.477053	-38.561435
22	0.520268	750	-1.438539	-39.999974
23	0.503540	750	-1.412338	-41.412312
24	0.487139	750	-1.402414	-42.814726
25	0.471063	750	-1.366847	-44.181573
26	0.455310	750	-1.345589	-45.527161
27	0.439877	750	-1.318871	-46.846032
28	0.424762	750	-1.302873	-48.148906
29	0.409963	750	-1.251761	-49.400667
30	0.395478	750	-1.238913	-50.639580
31	0.381305	750	-1.203414	-51.842994
32	0.367440	750	-1.196973	-53.039967
33	0.353883	750	-1.171559	-54.211526
34	0.340630	750	-1.165367	-55.376893
35	0.327680	750	-1.128715	-56.505608
36	0.315030	750	-1.106061	-57.611669
37	0.302677	750	-1.082556	-58.694225
38	0.290619	750	-1.074269	-59.768494
39	0.278855	750	-1.050728	-60.819222
40	0.267381	750	-1.008688	-61.827910
41	0.256195	750	-0.989362	-62.817272
42	0.245294	750	-0.963762	-63.781034
43	0.234677	750	-0.957272	-64.738306
44	0.224340	750	-0.911293	-65.649599
45	0.214281	750	-0.906426	-66.556025
46	0.204498	750	-0.880087	-67.436112
47	0.194988	750	-0.841431	-68.277543
48	0.185749	750	-0.839776	-69.117319
49	0.176777	750	-0.805926	-69.923245
50	0.168070	750	-0.774525	-70.697769
51	0.159626	750	-0.768778	-71.466547
52	0.151441	750	-0.748661	-72.215208
53	0.143514	750	-0.712485	-72.927693
54	0.135841	750	-0.717315	-73.645009
55	0.128420	750	-0.683801	-74.328809
56	0.121247	750	-0.666909	-74.995718
57	0.114320	750	-0.635107	-75.630825
58	0.107637	750	-0.620900	-76.251725
59	0.101193	750	-0.608533	-76.860258
60	0.094986	750	-0.584700	-77.444958
61	0.089014	750	-0.566754	-78.011712
62	0.083273	750	-0.541346	-78.553058
63	0.077760	750	-0.529325	-79.082383
64	0.072472	750	-0.505899	-79.588282
65	0.067406	750	-0.491134	-80.079415
66	0.062558	750	-0.480818	-80.560233
67	0.057926	750	-0.465340	-81.025573
68	0.053506	750	-0.441433	-81.467006
69	0.049295	750	-0.420824	-81.887830
70	0.045289	750	-0.394050	-82.281880
71	0.041485	750	-0.387562	-82.669442
72	0.037880	750	-0.366861	-83.036302
73	0.034469	750	-0.354505	-83.390807
74	0.031250	750	-0.326221	-83.717028
75	0.028218	750	-0.319544	-84.036572
76	0.025370	750	-0.304726	-84.341298
77	0.022702	750	-0.292539	-84.633837
78	0.020209	750	-0.272076	-84.905913
79	0.017889	750	-0.250682	-85.156595
80	0.015736	750	-0.245842	-85.402437
81	0.013746	750	-0.222881	-85.625318
82	0.011916	750	-0.203449	-85.828767
83	0.010240	750	-0.195248	-86.024015
84	0.008714	750	-0.170489	-86.194504
85	0.007334	750	-0.167997	-86.362501
86	0.006093	750	-0.150120	-86.512621
87	0.004988	750	-0.151256	-86.663877
88	0.004013	750	-0.125440	-86.789317
89	0.003162	750	-0.104426	-86.893743
90	0.002430	750	-0.097096	-86.990839
91	0.001810	750	-0.089833	-87.080672
92	0.001296	750	-0.069627	-87.150299
93	0.000882	750	-0.059080	-87.209379
94	0.000559	750	-0.044810	-87.254189
95	0.000320	750	-0.033884	-87.288073
96	0.000156	750	-0.020490	-87.308563
97	0.000057	750	-0.014449	-87.323012
98	0.000010	750	-0.006281	-87.329294
99	0.000000	750	-0.001289	-87.330582
Log marginal likelihood:	-87.330582
