Options:
Model:                           Discrete: Independent
Tree File Name:                  ./data/bantu-crow-matrilocal.bttrees
Data File Name:                  ./data/bantu-crow-matrilocal.btdata
Log File Name:                   ./output/bantu-crow-matrilocal-indep2.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            2421553456
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      10050000
Burn in:                         50000
MCMC ML Start:                   False
Schedule File:                   ./output/bantu-crow-matrilocal-indep2.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     4
Base frequency (PI's):           Empirical: (0.898551,0.043478,0.043478,0.014493)
Character Symbols:               00,01,10,11
Using a covarion model:          False
Normalise Q Matrix:              False
Scale Tree:                      0.100855
Restrictions:
    alpha1                       None
    beta1                        None
    alpha2                       None
    beta2                        None
Prior Information:
    Prior Categories:            100
    Priors
        alpha1 - exp 10.00 
        beta1 - exp 10.00 
        alpha2 - exp 10.00 
        beta2 - exp 10.00 
Tree Information
     Trees:                      1000
     Taxa:                       69
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	alpha1	beta1	alpha2	beta2	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	
51000	-31.149646	901	0.810941	19.847516	1.078824	17.604128	0.898550	0.043478	0.043479	0.014493	
52000	-32.716469	232	1.116030	12.661633	0.828027	8.398381	0.899907	0.042441	0.043514	0.014137	
53000	-32.969505	886	1.148612	9.720394	2.132427	15.241278	0.898868	0.043488	0.043235	0.014410	
54000	-32.115806	841	0.361299	2.559137	0.455349	3.827151	0.947629	0.028071	0.020182	0.004118	
55000	-31.897516	353	1.451952	27.357894	0.509981	4.771311	0.911939	0.032951	0.044126	0.010984	
56000	-31.411384	532	0.989376	9.500697	1.625851	32.501588	0.899399	0.043519	0.042811	0.014270	
57000	-31.254700	552	2.203772	31.327520	2.218740	60.156229	0.898551	0.043478	0.043478	0.014493	
58000	-34.436797	890	1.865628	10.487486	1.051517	31.974126	0.899131	0.043506	0.043022	0.014341	
59000	-31.762000	451	2.396046	22.703898	2.524341	30.173286	0.898551	0.043478	0.043478	0.014493	
60000	-33.507444	688	0.228811	7.367773	0.320403	11.735960	0.894392	0.043673	0.046345	0.015590	
61000	-32.040991	853	2.803216	24.909074	0.982142	17.640247	0.898549	0.043480	0.043478	0.014493	
62000	-31.566768	928	0.975547	19.797794	0.375932	7.839034	0.901731	0.040977	0.043633	0.013659	
63000	-30.543337	622	1.144777	22.720703	1.620043	20.719479	0.898551	0.043478	0.043478	0.014493	
64000	-32.893348	167	3.648206	23.395622	1.444613	17.857709	0.898552	0.043477	0.043478	0.014492	
65000	-32.253691	839	1.509258	37.891021	3.994267	30.109269	0.898551	0.043478	0.043478	0.014493	
66000	-32.291233	278	1.376911	11.714584	3.938384	39.244815	0.898737	0.043487	0.043332	0.014444	
67000	-31.839685	972	1.215595	17.714403	1.036463	13.156619	0.898580	0.043456	0.043479	0.014485	
68000	-31.457980	292	2.147757	41.212633	0.476072	17.060060	0.898517	0.043504	0.043477	0.014501	
69000	-31.219903	824	0.671872	17.863484	0.757655	10.044270	0.899155	0.042999	0.043512	0.014334	
70000	-33.103140	4	2.459279	32.210490	0.525589	32.408668	0.898551	0.043478	0.043478	0.014493	
71000	-32.109712	147	0.454890	11.352135	1.001825	11.272466	0.898507	0.043167	0.043822	0.014504	
72000	-34.316392	527	3.194345	20.395511	1.052065	7.353302	0.901170	0.041419	0.043605	0.013806	
73000	-31.490231	527	2.720111	25.775933	1.351922	17.481696	0.898552	0.043478	0.043478	0.014493	
74000	-33.872812	558	0.779859	15.472205	8.142379	47.191885	0.898549	0.043478	0.043480	0.014493	
75000	-32.580041	338	0.590790	25.091076	1.553889	16.939818	0.898555	0.043475	0.043479	0.014492	
76000	-33.670333	792	0.972770	11.362264	3.976818	24.476711	0.898660	0.043484	0.043393	0.014464	
77000	-31.979975	899	1.503125	13.900344	2.151079	22.187837	0.898597	0.043480	0.043442	0.014481	
78000	-32.068158	459	1.011088	18.292154	1.623534	11.878825	0.898695	0.043365	0.043485	0.014455	
79000	-31.448017	402	0.964369	10.015113	1.652885	24.769796	0.898858	0.043493	0.043237	0.014412	
80000	-31.260945	784	1.646838	26.976501	4.109687	40.327178	0.898551	0.043478	0.043478	0.014493	
81000	-32.781191	536	1.388346	35.776939	0.424668	0.353880	0.952586	0.000991	0.046093	0.000330	
82000	-31.857436	494	2.028670	17.886770	0.645874	12.174343	0.898594	0.043446	0.043479	0.014481	
83000	-31.220092	470	2.136380	25.508060	1.012545	26.489568	0.898551	0.043478	0.043478	0.014493	
84000	-34.138371	277	3.880317	19.981116	2.379847	49.249832	0.898551	0.043478	0.043478	0.014493	
85000	-35.352739	189	1.511021	27.614738	1.467830	5.469034	0.907118	0.036742	0.043893	0.012247	
86000	-31.663522	810	0.645763	5.526306	1.008159	18.429327	0.903950	0.043740	0.039232	0.013078	
87000	-32.615327	474	1.637371	9.225713	0.922077	12.976828	0.899292	0.043470	0.042939	0.014299	
88000	-31.306722	96	1.449598	20.136862	3.074101	39.372421	0.898551	0.043478	0.043478	0.014493	
89000	-34.405880	723	2.409007	14.926953	0.493224	1.502986	0.944556	0.007328	0.045676	0.002441	
90000	-34.443778	984	1.873836	10.512232	1.306298	36.618011	0.898807	0.043491	0.043277	0.014426	
91000	-32.762946	623	2.093529	19.709635	3.928964	30.017185	0.898551	0.043478	0.043478	0.014493	
92000	-32.933462	28	1.024800	13.662179	5.873265	39.644871	0.898558	0.043479	0.043473	0.014491	
93000	-32.726716	914	4.026767	31.346038	4.700634	39.618426	0.898551	0.043478	0.043478	0.014493	
94000	-31.991449	333	2.265821	49.763238	1.986130	14.650702	0.898653	0.043397	0.043483	0.014466	
95000	-31.184797	697	0.671475	10.869626	0.621644	10.657362	0.898988	0.043151	0.043483	0.014378	
96000	-34.729654	992	3.972970	24.709999	4.180808	28.160977	0.898551	0.043478	0.043478	0.014493	
97000	-32.447927	764	1.403057	25.689117	1.658796	12.255303	0.898645	0.043404	0.043483	0.014468	
98000	-31.423481	459	1.991602	51.680688	0.833312	23.607525	0.898551	0.043478	0.043478	0.014493	
99000	-31.068839	892	2.681603	24.982766	0.633527	10.300274	0.899067	0.043072	0.043503	0.014357	
100000	-32.972307	474	2.094975	19.440632	0.565484	1.805778	0.938841	0.011799	0.045427	0.003933	
