Rate	71.43
Rev Jump	14.29
Tree Move	14.29
Rate Tried	% Accepted	Rev Jump Tried	% Accepted	Tree Move Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
746	0.332440	103	0.000000	151	0.582781	3.310032	746	0.332440	0.336000	0.320698	
719	0.322670	123	0.000000	158	0.569620	3.310032	719	0.322670	0.322000	0.320807	
741	0.341430	101	0.000000	158	0.512658	3.310032	741	0.341430	0.334000	0.321821	
714	0.373950	127	0.000000	159	0.578616	3.310032	714	0.373950	0.359000	0.324477	
751	0.351531	96	0.000000	153	0.411765	3.310032	751	0.351531	0.327000	0.324645	
760	0.294737	96	0.000000	144	0.583333	3.310032	760	0.294737	0.308000	0.323605	
737	0.320217	92	0.000000	171	0.631579	3.310032	737	0.320217	0.344000	0.324804	
742	0.323450	113	0.017699	145	0.544828	3.310032	742	0.323450	0.321000	0.324593	
732	0.356557	103	0.000000	165	0.533333	3.310032	732	0.356557	0.349000	0.325878	
736	0.342391	113	0.000000	151	0.622517	3.310032	736	0.342391	0.346000	0.326884	
729	0.340192	120	0.000000	151	0.589404	3.310032	729	0.340192	0.337000	0.327365	
742	0.295148	107	0.018692	151	0.549669	3.310032	742	0.295148	0.304000	0.326303	
733	0.346521	123	0.000000	144	0.486111	3.310032	733	0.346521	0.324000	0.326203	
741	0.346829	116	0.000000	143	0.559441	3.310032	741	0.346829	0.337000	0.326653	
752	0.365691	114	0.000000	134	0.537313	3.310032	752	0.365691	0.347000	0.327467	
761	0.348226	92	0.000000	147	0.496599	3.310032	761	0.348226	0.338000	0.327872	
767	0.344198	121	0.000000	112	0.607143	3.310032	767	0.344198	0.332000	0.328025	
735	0.314286	129	0.000000	136	0.492647	3.310032	735	0.314286	0.298000	0.326953	
722	0.310249	126	0.000000	152	0.644737	3.310032	722	0.310249	0.322000	0.326782	
731	0.366621	135	0.014815	134	0.604478	3.310032	731	0.366621	0.351000	0.327589	
723	0.355463	108	0.000000	169	0.485207	3.310032	723	0.355463	0.339000	0.327957	
745	0.343624	97	0.000000	158	0.405063	3.310032	745	0.343624	0.320000	0.327709	
752	0.349734	111	0.000000	137	0.525547	3.310032	752	0.349734	0.335000	0.327929	
762	0.329396	102	0.019608	136	0.507353	3.310032	762	0.329396	0.322000	0.327755	
715	0.318881	108	0.000000	177	0.536723	3.310032	715	0.318881	0.323000	0.327619	
705	0.353191	125	0.000000	170	0.523529	3.310032	705	0.353191	0.338000	0.327908	
727	0.320495	115	0.000000	158	0.613924	3.310032	727	0.320495	0.330000	0.327964	
770	0.342857	108	0.000000	122	0.622951	3.310032	770	0.342857	0.340000	0.328281	
715	0.299301	136	0.000000	149	0.563758	3.310032	715	0.299301	0.298000	0.327504	
760	0.342105	103	0.000000	137	0.503650	3.310032	760	0.342105	0.329000	0.327542	
768	0.334635	99	0.020202	133	0.496241	3.310032	768	0.334635	0.325000	0.327480	
751	0.326232	103	0.000000	146	0.554795	3.310032	751	0.326232	0.326000	0.327445	
735	0.342857	115	0.000000	150	0.620000	3.310032	735	0.342857	0.345000	0.327853	
729	0.320988	133	0.000000	138	0.601449	3.310032	729	0.320988	0.317000	0.327606	
736	0.334239	112	0.000000	152	0.625000	3.310032	736	0.334239	0.341000	0.327904	
728	0.307692	124	0.000000	148	0.513514	3.310032	728	0.307692	0.300000	0.327297	
733	0.351978	119	0.033613	148	0.587838	3.310032	733	0.351978	0.349000	0.327759	
731	0.370725	110	0.000000	159	0.547170	3.310032	731	0.370725	0.358000	0.328389	
735	0.318367	103	0.000000	162	0.407407	3.310032	735	0.318367	0.300000	0.327810	
739	0.317997	117	0.000000	144	0.548611	3.310032	739	0.317997	0.314000	0.327533	
761	0.331143	103	0.000000	136	0.485294	3.310032	761	0.331143	0.318000	0.327347	
753	0.335989	129	0.015504	118	0.372881	3.310032	753	0.335989	0.299000	0.326801	
744	0.274194	112	0.008929	144	0.618056	3.310032	744	0.274194	0.294000	0.326183	
720	0.211111	148	0.000000	132	0.848485	3.310032	720	0.211111	0.264000	0.325031	
745	0.217450	119	0.000000	136	0.779412	3.310032	745	0.217450	0.268000	0.323994	
732	0.199454	126	0.000000	142	0.816901	3.310032	732	0.199454	0.262000	0.322887	
695	0.244604	145	0.013793	160	0.775000	3.232315	695	0.244604	0.296000	0.322415	
762	0.228346	101	0.000000	137	0.817518	3.232315	762	0.228346	0.286000	0.321788	
743	0.212651	123	0.032520	134	0.731343	3.232315	743	0.212651	0.260000	0.320740	
736	0.209239	140	0.000000	124	0.782258	3.232315	736	0.209239	0.251000	0.319578	
737	0.214383	122	0.000000	141	0.808511	3.232315	737	0.214383	0.272000	0.318798	
738	0.246612	118	0.000000	144	0.854167	3.232315	738	0.246612	0.305000	0.318576	
734	0.231608	112	0.000000	154	0.876623	3.232315	734	0.231608	0.305000	0.318360	
736	0.232337	128	0.000000	136	0.830882	3.232315	736	0.232337	0.284000	0.317823	
767	0.256845	94	0.000000	139	0.820144	3.232315	767	0.256845	0.311000	0.317718	
724	0.230663	117	0.000000	159	0.855346	3.232315	724	0.230663	0.303000	0.317495	
728	0.245879	124	0.000000	148	0.837838	3.232315	728	0.245879	0.303000	0.317279	
719	0.232267	145	0.000000	136	0.852941	3.232315	719	0.232267	0.283000	0.316775	
706	0.203966	133	0.000000	161	0.881988	3.232315	706	0.203966	0.286000	0.316329	
715	0.219580	129	0.015504	156	0.826923	3.232315	715	0.219580	0.288000	0.315924	
733	0.218281	127	0.000000	140	0.792857	3.232315	733	0.218281	0.271000	0.315291	
726	0.210744	113	0.000000	161	0.795031	3.232315	726	0.210744	0.281000	0.314815	
744	0.235215	118	0.000000	138	0.876812	3.232315	744	0.235215	0.296000	0.314557	
720	0.208333	109	0.000000	171	0.865497	3.232315	720	0.208333	0.298000	0.314334	
749	0.234980	110	0.000000	141	0.794326	3.232315	749	0.234980	0.288000	0.313982	
743	0.212651	126	0.000000	131	0.801527	3.232315	743	0.212651	0.263000	0.313312	
726	0.234160	130	0.000000	144	0.895833	3.232315	726	0.234160	0.299000	0.313126	
715	0.351049	134	0.007463	151	0.602649	3.232315	715	0.351049	0.343000	0.313509	
743	0.323015	105	0.000000	152	0.513158	3.232315	743	0.323015	0.318000	0.313566	
743	0.360700	106	0.000000	151	0.192053	3.232315	743	0.360700	0.297000	0.313359	
737	0.275441	97	0.030928	166	0.734940	3.232315	737	0.275441	0.328000	0.313539	
725	0.227586	126	0.000000	149	0.791946	3.232315	725	0.227586	0.283000	0.313167	
711	0.227848	129	0.000000	160	0.887500	3.232315	711	0.227848	0.304000	0.313056	
729	0.245542	124	0.016129	147	0.823129	3.232315	729	0.245542	0.302000	0.312925	
735	0.239456	121	0.000000	144	0.854167	3.232315	735	0.239456	0.299000	0.312761	
727	0.196699	134	0.000000	139	0.812950	3.232315	727	0.196699	0.256000	0.312101	
725	0.417931	143	0.013986	132	0.780303	1.682261	725	0.417931	0.408000	0.313203	
732	0.292350	125	0.000000	143	0.881119	2.693757	732	0.292350	0.340000	0.313508	
701	0.275321	132	0.000000	167	0.826347	2.693757	701	0.275321	0.331000	0.313704	
703	0.278805	128	0.000000	169	0.786982	2.693757	703	0.278805	0.329000	0.313874	
725	0.275862	125	0.000000	150	0.813333	2.693757	725	0.275862	0.322000	0.313964	
727	0.279230	123	0.000000	150	0.760000	2.693757	727	0.279230	0.317000	0.313997	
716	0.275140	125	0.000000	159	0.792453	2.693757	716	0.275140	0.323000	0.314093	
714	0.235294	138	0.000000	148	0.783784	2.693757	714	0.235294	0.284000	0.313773	
