Rate	83.33
Tree Move	16.67
Rate Tried	% Accepted	Tree Move Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
830	0.274699	170	0.752941	1.827340	830	0.274699	0.356000	0.356601	
827	0.280532	173	0.809249	1.827340	827	0.280532	0.372000	0.356897	
825	0.309091	175	0.800000	1.827340	825	0.309091	0.395000	0.357616	
848	0.277123	152	0.743421	1.827340	848	0.277123	0.348000	0.357438	
819	0.279609	181	0.723757	1.827340	819	0.279609	0.360000	0.357484	
832	0.300481	168	0.726190	1.827340	832	0.300481	0.372000	0.357744	
850	0.305882	150	0.733333	1.827340	850	0.305882	0.370000	0.357959	
830	0.307229	170	0.723529	1.827340	830	0.307229	0.378000	0.358304	
845	0.297041	155	0.741935	1.827340	845	0.297041	0.366000	0.358435	
820	0.306098	180	0.733333	1.827340	820	0.306098	0.383000	0.358844	
827	0.311971	173	0.751445	1.827340	827	0.311971	0.388000	0.359322	
837	0.260454	163	0.785276	1.827340	837	0.260454	0.346000	0.359107	
822	0.300487	178	0.775281	1.827340	822	0.300487	0.385000	0.359518	
827	0.304716	173	0.791908	1.827340	827	0.304716	0.389000	0.359979	
826	0.284504	174	0.793103	1.827340	826	0.284504	0.373000	0.360179	
815	0.300613	185	0.772973	1.827340	815	0.300613	0.388000	0.360601	
832	0.293269	168	0.767857	1.827340	832	0.293269	0.373000	0.360786	
824	0.305825	176	0.698864	1.827340	824	0.305825	0.375000	0.360995	
827	0.319226	173	0.722543	1.827340	827	0.319226	0.389000	0.361401	
816	0.305147	184	0.788043	1.827340	816	0.305147	0.394000	0.361866	
828	0.305556	172	0.767442	1.827340	828	0.305556	0.385000	0.362192	
846	0.274232	154	0.811688	1.827340	846	0.274232	0.357000	0.362120	
823	0.314702	177	0.723164	1.827340	823	0.314702	0.387000	0.362461	
827	0.328900	173	0.653179	1.827340	827	0.328900	0.385000	0.362765	
838	0.316229	162	0.753086	1.827340	838	0.316229	0.387000	0.363088	
826	0.291768	174	0.839080	1.827340	826	0.291768	0.387000	0.363403	
830	0.303614	170	0.747059	1.827340	830	0.303614	0.379000	0.363606	
838	0.281623	162	0.820988	1.827340	838	0.281623	0.369000	0.363675	
839	0.305125	161	0.608696	1.827340	839	0.305125	0.354000	0.363552	
817	0.263158	183	0.748634	1.827340	817	0.263158	0.352000	0.363408	
827	0.322854	173	0.745665	1.827340	827	0.322854	0.396000	0.363810	
805	0.259627	195	0.841026	1.827340	805	0.259627	0.373000	0.363922	
829	0.287093	171	0.830409	1.827340	829	0.287093	0.380000	0.364116	
825	0.313939	175	0.720000	1.827340	825	0.313939	0.385000	0.364365	
822	0.282238	178	0.797753	1.827340	822	0.282238	0.374000	0.364478	
842	0.254157	158	0.797468	1.827340	842	0.254157	0.340000	0.364193	
825	0.293333	175	0.720000	1.827340	825	0.293333	0.368000	0.364237	
839	0.309893	161	0.695652	1.827340	839	0.309893	0.372000	0.364325	
811	0.278668	189	0.767196	1.827340	811	0.278668	0.371000	0.364400	
835	0.279042	165	0.818182	1.827340	835	0.279042	0.368000	0.364440	
827	0.309553	173	0.739884	1.827340	827	0.309553	0.384000	0.364655	
844	0.310427	156	0.634615	1.827340	844	0.310427	0.361000	0.364616	
852	0.296948	148	0.682432	1.827340	852	0.296948	0.354000	0.364501	
848	0.303066	152	0.802632	1.827340	848	0.303066	0.379000	0.364656	
826	0.294189	174	0.741379	1.827340	826	0.294189	0.372000	0.364733	
829	0.303981	171	0.812865	1.827340	829	0.303981	0.391000	0.365007	
804	0.319652	196	0.806122	1.827340	804	0.319652	0.415000	0.365522	
805	0.296894	195	0.769231	1.827340	805	0.296894	0.389000	0.365762	
838	0.230310	162	0.783951	1.827340	838	0.230310	0.320000	0.365299	
813	0.249692	187	0.732620	1.827340	813	0.249692	0.340000	0.365046	
832	0.270433	168	0.732143	1.827340	832	0.270433	0.348000	0.364878	
819	0.279609	181	0.729282	1.827340	819	0.279609	0.361000	0.364840	
832	0.295673	168	0.767857	1.827340	832	0.295673	0.375000	0.364938	
801	0.259675	199	0.763819	1.827340	801	0.259675	0.360000	0.364891	
838	0.242243	162	0.765432	1.827340	838	0.242243	0.327000	0.364530	
824	0.309466	176	0.732955	1.827340	824	0.309466	0.384000	0.364714	
824	0.304612	176	0.738636	1.827340	824	0.304612	0.381000	0.364866	
819	0.285714	181	0.795580	1.827340	819	0.285714	0.378000	0.364987	
842	0.285036	158	0.803797	1.827340	842	0.285036	0.367000	0.365006	
828	0.349034	172	0.761628	1.827340	828	0.349034	0.420000	0.365506	
832	0.304087	168	0.732143	1.827340	832	0.304087	0.376000	0.365600	
824	0.281553	176	0.727273	1.827340	824	0.281553	0.360000	0.365550	
828	0.294686	172	0.691860	1.827340	828	0.294686	0.363000	0.365528	
836	0.306220	164	0.835366	1.827340	836	0.306220	0.393000	0.365769	
834	0.320144	166	0.795181	1.827340	834	0.320144	0.399000	0.366058	
832	0.274038	168	0.761905	1.827340	832	0.274038	0.356000	0.365971	
819	0.275946	181	0.740331	1.827340	819	0.275946	0.360000	0.365920	
825	0.323636	175	0.788571	1.827340	825	0.323636	0.405000	0.366251	
812	0.330049	188	0.760638	1.827340	812	0.330049	0.411000	0.366627	
815	0.268712	185	0.756757	1.827340	815	0.268712	0.359000	0.366564	
817	0.288862	183	0.781421	1.827340	817	0.288862	0.379000	0.366666	
832	0.292067	168	0.714286	1.827340	832	0.292067	0.363000	0.366636	
819	0.327228	181	0.745856	1.827340	819	0.327228	0.403000	0.366932	
801	0.264669	199	0.814070	1.827340	801	0.264669	0.374000	0.366989	
834	0.303357	166	0.746988	1.827340	834	0.303357	0.377000	0.367069	
818	0.290954	182	0.780220	1.827340	818	0.290954	0.380000	0.367172	
828	0.230676	172	0.848837	1.827340	828	0.230676	0.337000	0.366934	
822	0.263990	178	0.780899	1.827340	822	0.263990	0.356000	0.366849	
833	0.306122	167	0.754491	1.827340	833	0.306122	0.381000	0.366958	
842	0.305226	158	0.715190	1.827340	842	0.305226	0.370000	0.366982	
816	0.270833	184	0.728261	1.827340	816	0.270833	0.355000	0.366890	
829	0.275030	171	0.836257	1.827340	829	0.275030	0.371000	0.366921	
808	0.327970	192	0.781250	1.827340	808	0.327970	0.415000	0.367283	
833	0.292917	167	0.778443	1.827340	833	0.292917	0.374000	0.367333	
820	0.279268	180	0.766667	1.827340	820	0.279268	0.367000	0.367331	
824	0.282767	176	0.653409	1.827340	824	0.282767	0.348000	0.367188	
841	0.288942	159	0.716981	1.827340	841	0.288942	0.357000	0.367114	
819	0.282051	181	0.767956	1.827340	819	0.282051	0.370000	0.367135	
834	0.323741	166	0.716867	1.827340	834	0.323741	0.389000	0.367292	
836	0.290670	164	0.731707	1.827340	836	0.290670	0.363000	0.367262	
838	0.312649	162	0.666667	1.827340	838	0.312649	0.370000	0.367281	
851	0.291422	149	0.744966	1.827340	851	0.291422	0.359000	0.367223	
816	0.323529	184	0.722826	1.827340	816	0.323529	0.397000	0.367431	
835	0.280240	165	0.715152	1.827340	835	0.280240	0.352000	0.367324	
811	0.309494	189	0.825397	1.827340	811	0.309494	0.407000	0.367597	
832	0.263221	168	0.714286	1.827340	832	0.263221	0.339000	0.367402	
832	0.319712	168	0.684524	1.827340	832	0.319712	0.381000	0.367494	
