Steppingstone sampler:
        No Stones:                  100
        Start It:                   10010001
        It Per Stone:               1000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.975187	750	-1.294698	-1.294698
1	0.950747	750	-1.270940	-2.565638
2	0.926679	750	-1.265588	-3.831226
3	0.902980	750	-1.240841	-5.072067
4	0.879648	750	-1.232982	-6.305049
5	0.856682	750	-1.209492	-7.514541
6	0.834079	750	-1.187697	-8.702238
7	0.811838	750	-1.184917	-9.887155
8	0.789957	750	-1.170983	-11.058138
9	0.768433	750	-1.144794	-12.202932
10	0.747266	750	-1.113078	-13.316010
11	0.726452	750	-1.104734	-14.420744
12	0.705989	750	-1.081119	-15.501863
13	0.685877	750	-1.073016	-16.574879
14	0.666112	750	-1.053245	-17.628124
15	0.646693	750	-1.028424	-18.656548
16	0.627618	750	-1.014101	-19.670649
17	0.608884	750	-1.001368	-20.672017
18	0.590490	750	-0.979949	-21.651966
19	0.572433	750	-0.968017	-22.619983
20	0.554712	750	-0.965064	-23.585046
21	0.537324	750	-0.934612	-24.519658
22	0.520268	750	-0.915256	-25.434914
23	0.503540	750	-0.909065	-26.343980
24	0.487139	750	-0.893974	-27.237954
25	0.471063	750	-0.888350	-28.126303
26	0.455310	750	-0.855990	-28.982293
27	0.439877	750	-0.861108	-29.843402
28	0.424762	750	-0.824387	-30.667789
29	0.409963	750	-0.804105	-31.471894
30	0.395478	750	-0.791300	-32.263194
31	0.381305	750	-0.780274	-33.043468
32	0.367440	750	-0.768421	-33.811889
33	0.353883	750	-0.758801	-34.570689
34	0.340630	750	-0.733007	-35.303697
35	0.327680	750	-0.725323	-36.029020
36	0.315030	750	-0.691721	-36.720741
37	0.302677	750	-0.685382	-37.406123
38	0.290619	750	-0.671766	-38.077889
39	0.278855	750	-0.673483	-38.751372
40	0.267381	750	-0.655422	-39.406794
41	0.256195	750	-0.635592	-40.042387
42	0.245294	750	-0.616601	-40.658988
43	0.234677	750	-0.605507	-41.264495
44	0.224340	750	-0.589245	-41.853739
45	0.214281	750	-0.572564	-42.426304
46	0.204498	750	-0.560617	-42.986920
47	0.194988	750	-0.544242	-43.531162
48	0.185749	750	-0.540996	-44.072158
49	0.176777	750	-0.512336	-44.584494
50	0.168070	750	-0.527516	-45.112010
51	0.159626	750	-0.500599	-45.612609
52	0.151441	750	-0.488588	-46.101197
53	0.143514	750	-0.478631	-46.579828
54	0.135841	750	-0.467666	-47.047494
55	0.128420	750	-0.461633	-47.509127
56	0.121247	750	-0.441803	-47.950930
57	0.114320	750	-0.426821	-48.377751
58	0.107637	750	-0.425540	-48.803291
59	0.101193	750	-0.415943	-49.219234
60	0.094986	750	-0.400243	-49.619477
61	0.089014	750	-0.381394	-50.000871
62	0.083273	750	-0.373412	-50.374282
63	0.077760	750	-0.346742	-50.721025
64	0.072472	750	-0.353080	-51.074104
65	0.067406	750	-0.356661	-51.430765
66	0.062558	750	-0.345467	-51.776232
67	0.057926	750	-0.325390	-52.101622
68	0.053506	750	-0.327997	-52.429619
69	0.049295	750	-0.287238	-52.716857
70	0.045289	750	-0.299828	-53.016686
71	0.041485	750	-0.294350	-53.311036
72	0.037880	750	-0.263853	-53.574889
73	0.034469	750	-0.273069	-53.847959
74	0.031250	750	-0.237729	-54.085688
75	0.028218	750	-0.248322	-54.334009
76	0.025370	750	-0.234090	-54.568100
77	0.022702	750	-0.243703	-54.811803
78	0.020209	750	-0.233593	-55.045396
79	0.017889	750	-0.185357	-55.230753
80	0.015736	750	-0.193861	-55.424614
81	0.013746	750	-0.201094	-55.625708
82	0.011916	750	-0.179057	-55.804765
83	0.010240	750	-0.144132	-55.948897
84	0.008714	750	-0.135093	-56.083990
85	0.007334	750	-0.145750	-56.229740
86	0.006093	750	-0.140612	-56.370352
87	0.004988	750	-0.105587	-56.475939
88	0.004013	750	-0.102918	-56.578857
89	0.003162	750	-0.091494	-56.670351
90	0.002430	750	-0.071854	-56.742205
91	0.001810	750	-0.062398	-56.804603
92	0.001296	750	-0.061859	-56.866462
93	0.000882	750	-0.043614	-56.910076
94	0.000559	750	-0.030737	-56.940813
95	0.000320	750	-0.026825	-56.967638
96	0.000156	750	-0.019457	-56.987095
97	0.000057	750	-0.012063	-56.999158
98	0.000010	750	-0.005478	-57.004636
99	0.000000	750	-0.001082	-57.005719
Log marginal likelihood:	-57.005719
