Options:
Model:                           Discrete: Independent
Tree File Name:                  ./data/bantu-crow-uni.localresidence.bttrees
Data File Name:                  ./data/bantu-crow-uni.localresidence.btdata
Log File Name:                   ./output/bantu-crow-uni.localresidence-indep2.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            2724104009
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      10010000
Burn in:                         10000
MCMC ML Start:                   False
Schedule File:                   ./output/bantu-crow-uni.localresidence-indep2.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     4
Base frequency (PI's):           Empirical: (0.188406,0.753623,0.014493,0.043478)
Character Symbols:               00,01,10,11
Using a covarion model:          False
Normalise Q Matrix:              False
Scale Tree:                      0.100855
Restrictions:
    alpha1                       None
    beta1                        None
    alpha2                       None
    beta2                        None
Prior Information:
    Prior Categories:            100
    Priors
        alpha1 - exp 10.00 
        beta1 - exp 10.00 
        alpha2 - exp 10.00 
        beta2 - exp 10.00 
Tree Information
     Trees:                      1000
     Taxa:                       69
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	alpha1	beta1	alpha2	beta2	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	
11000	-52.746185	886	2.760936	20.296445	12.103386	3.676813	0.188387	0.753643	0.014491	0.043479	
12000	-53.719926	738	0.158644	9.889441	33.958742	9.244962	0.184761	0.739046	0.019048	0.057145	
13000	-52.790620	146	2.186504	15.551325	12.850130	2.381619	0.188459	0.753574	0.014495	0.043471	
14000	-51.213826	980	0.478584	14.178298	27.037098	6.810745	0.188387	0.753549	0.014516	0.043547	
15000	-51.170061	314	0.576653	18.090492	36.532176	9.605602	0.188405	0.753620	0.014494	0.043481	
16000	-51.928390	507	0.853552	8.670619	18.773639	4.303886	0.188562	0.754249	0.014297	0.042892	
17000	-51.616661	19	0.234514	3.233051	20.681534	5.540766	0.192394	0.769575	0.009508	0.028524	
18000	-52.039424	304	3.477453	24.830439	17.547852	5.524819	0.188406	0.753623	0.014493	0.043478	
19000	-51.443760	714	2.324026	33.189767	8.337177	2.580993	0.187822	0.754217	0.014448	0.043513	
20000	-50.804607	793	1.241771	14.341603	23.523026	5.017957	0.188410	0.753639	0.014488	0.043463	
21000	-52.381716	973	0.490801	9.137848	14.644522	2.251726	0.188510	0.753564	0.014488	0.043437	
22000	-50.820373	610	1.847032	39.755771	20.883465	6.935934	0.188406	0.753623	0.014493	0.043478	
23000	-50.882838	128	1.024529	13.247501	26.711149	8.945089	0.188414	0.753654	0.014483	0.043449	
24000	-50.764052	801	1.401724	26.483559	15.541100	3.233060	0.188415	0.753614	0.014493	0.043478	
25000	-51.048723	766	0.328014	6.397253	22.857126	6.411132	0.188126	0.752505	0.014842	0.044527	
26000	-51.337382	576	1.198895	24.752936	30.336581	4.993864	0.188406	0.753623	0.014493	0.043478	
27000	-51.749806	3	0.329876	0.804182	40.177490	8.890505	0.198896	0.795585	0.001380	0.004139	
28000	-51.102056	101	1.296015	14.854701	28.019901	6.184401	0.188408	0.753632	0.014490	0.043470	
29000	-51.422999	314	6.578559	64.322459	18.073557	3.467658	0.188406	0.753623	0.014493	0.043478	
30000	-52.987117	670	1.028204	13.246086	16.412656	2.516027	0.188423	0.753636	0.014486	0.043455	
31000	-52.592367	16	0.465484	4.811371	12.449459	2.299681	0.189522	0.757837	0.013164	0.039478	
32000	-54.554689	230	1.761776	16.802274	22.058260	2.536875	0.188407	0.753625	0.014492	0.043476	
33000	-51.969472	219	4.603722	35.740082	8.058288	2.621772	0.187342	0.754706	0.014411	0.043541	
34000	-53.204181	668	0.684571	54.013095	39.933871	11.202920	0.188406	0.753623	0.014493	0.043478	
35000	-51.508905	346	0.823589	15.301105	19.253982	3.232897	0.188406	0.753622	0.014493	0.043479	
36000	-52.708174	814	2.010556	14.898776	9.455336	3.208006	0.188164	0.753879	0.014472	0.043485	
37000	-52.096749	184	2.042936	17.624758	45.231799	8.199928	0.188406	0.753626	0.014492	0.043476	
38000	-50.810386	555	2.110093	31.094440	35.260342	12.375156	0.188406	0.753623	0.014493	0.043478	
39000	-53.179099	28	2.995445	34.235940	14.301390	7.011260	0.188405	0.753624	0.014493	0.043478	
40000	-51.649837	928	1.267499	13.749514	26.629079	9.607909	0.188415	0.753661	0.014481	0.043442	
41000	-51.363760	317	0.894821	11.008064	13.633397	3.318666	0.188425	0.753697	0.014470	0.043408	
42000	-51.003805	920	1.696367	31.584000	22.215644	7.078025	0.188406	0.753623	0.014493	0.043478	
43000	-53.817718	896	0.909669	5.745914	5.186442	1.504998	0.183607	0.762500	0.013098	0.040795	
44000	-51.200326	70	0.654345	19.358730	17.239496	4.881271	0.188404	0.753620	0.014494	0.043482	
45000	-51.409559	459	1.872441	33.501193	11.845060	3.867313	0.188363	0.753667	0.014489	0.043481	
46000	-53.763721	439	1.403309	15.337955	38.722200	4.676347	0.188410	0.753641	0.014487	0.043462	
47000	-50.498657	428	1.484498	32.175171	14.019044	3.205829	0.188407	0.753622	0.014493	0.043478	
48000	-51.213505	181	4.378524	50.558344	37.591146	6.901203	0.188406	0.753623	0.014493	0.043478	
49000	-51.216260	577	1.577056	35.901788	43.146696	8.121522	0.188406	0.753623	0.014493	0.043478	
50000	-50.481896	153	1.531117	23.306651	22.103244	4.498440	0.188406	0.753623	0.014493	0.043478	
51000	-50.723099	441	2.336130	32.054569	11.913337	3.649791	0.188389	0.753640	0.014491	0.043479	
52000	-53.535375	967	0.492304	2.800426	12.494885	2.046490	0.193536	0.773445	0.008260	0.024759	
53000	-52.472284	807	0.215048	0.806883	8.852119	2.479848	0.198663	0.796518	0.001203	0.003616	
54000	-51.436974	75	0.531417	5.872381	36.888266	11.879897	0.189187	0.756747	0.013517	0.040550	
55000	-50.936573	283	0.799911	9.745048	38.046400	7.718200	0.188419	0.753675	0.014477	0.043430	
56000	-52.464702	450	0.666036	35.360839	12.410027	2.601386	0.188416	0.753613	0.014494	0.043478	
57000	-50.869571	675	1.606596	27.588134	19.882934	4.039242	0.188406	0.753623	0.014493	0.043478	
58000	-50.222786	138	1.998523	32.359013	22.652785	6.156193	0.188406	0.753623	0.014493	0.043478	
59000	-53.099453	38	1.258859	8.193341	13.370348	4.316406	0.188620	0.754521	0.014214	0.042645	
60000	-50.582504	45	1.603477	20.846410	23.599873	5.988604	0.188406	0.753623	0.014493	0.043478	
61000	-51.489558	846	0.764002	14.545844	25.688231	5.381036	0.188404	0.753618	0.014494	0.043483	
62000	-50.677032	389	1.162151	16.464613	9.983911	2.752008	0.188222	0.753813	0.014478	0.043487	
63000	-51.017123	605	1.204704	15.746116	29.996914	5.268362	0.188406	0.753625	0.014492	0.043477	
64000	-50.372154	13	0.974003	14.812352	27.322661	6.715566	0.188407	0.753628	0.014491	0.043474	
65000	-51.628299	334	2.026143	51.915217	7.636626	2.874426	0.186940	0.755116	0.014380	0.043564	
66000	-50.436979	552	2.642922	34.517815	33.718511	9.439851	0.188406	0.753623	0.014493	0.043478	
67000	-53.217471	711	1.737142	11.987558	21.626127	6.532856	0.188432	0.753727	0.014460	0.043381	
68000	-51.432996	627	3.398512	41.647597	9.993324	2.627561	0.188284	0.753747	0.014483	0.043485	
69000	-54.348812	62	0.119767	5.063846	13.360453	3.515882	0.181368	0.725496	0.023284	0.069853	
70000	-51.458829	260	0.414244	7.763546	45.687817	10.642249	0.188436	0.753743	0.014455	0.043366	
71000	-53.446121	36	1.062365	5.690881	8.067189	2.037337	0.189208	0.758723	0.012993	0.039076	
72000	-52.657314	791	0.456429	5.008988	11.876232	1.959166	0.189598	0.757429	0.013256	0.039717	
73000	-50.691294	171	1.492749	21.573013	22.307714	6.958233	0.188406	0.753623	0.014493	0.043478	
74000	-52.964684	276	0.554119	4.221071	10.620417	4.313243	0.190317	0.761574	0.012024	0.036086	
75000	-51.157575	609	0.996165	15.331400	7.728921	2.556476	0.187511	0.754536	0.014423	0.043529	
76000	-51.878222	719	1.035852	8.594258	44.226374	11.000212	0.188522	0.754090	0.014347	0.043041	
77000	-51.103800	922	0.707620	10.256486	42.419183	8.517889	0.188418	0.753673	0.014477	0.043432	
78000	-50.772119	597	0.907320	18.178666	12.222755	4.203298	0.188351	0.753677	0.014489	0.043483	
79000	-54.965496	906	0.700017	2.278945	17.182865	8.035539	0.195004	0.780016	0.006245	0.018736	
80000	-52.819917	357	0.803024	21.698483	9.401289	3.970505	0.188127	0.753907	0.014471	0.043495	
81000	-52.033909	892	0.669740	4.883599	40.777305	6.822051	0.190636	0.762546	0.011704	0.035113	
82000	-53.224683	839	0.560309	11.329527	6.116081	1.698329	0.186352	0.755668	0.014347	0.043633	
83000	-51.396209	864	2.444533	29.806284	8.603607	1.582630	0.189133	0.752882	0.014549	0.043436	
84000	-51.511486	583	2.314985	18.777743	43.341227	9.713237	0.188406	0.753624	0.014493	0.043478	
85000	-51.335108	28	1.245462	16.120091	8.776872	2.512702	0.188226	0.753808	0.014479	0.043488	
86000	-53.058325	922	1.757185	11.039435	17.625692	4.124099	0.188422	0.753689	0.014472	0.043416	
87000	-51.630279	777	0.514324	5.356356	15.994204	4.811508	0.189393	0.757573	0.013259	0.039776	
88000	-52.147225	789	2.807896	33.957185	17.496865	6.668193	0.188406	0.753623	0.014493	0.043478	
89000	-51.759753	557	1.602451	19.062701	27.365824	6.911868	0.188406	0.753623	0.014493	0.043478	
90000	-51.049251	612	0.970676	9.960794	17.330408	5.272172	0.188487	0.753949	0.014391	0.043173	
91000	-50.530529	394	0.781583	12.034253	43.997177	14.038495	0.188411	0.753646	0.014486	0.043457	
92000	-51.191067	402	1.567560	24.423908	14.713475	5.310596	0.188403	0.753626	0.014493	0.043478	
93000	-51.108326	330	0.392670	5.817002	14.803017	4.552893	0.188523	0.754103	0.014343	0.043031	
94000	-54.961683	875	1.325063	27.422434	2.292871	1.646176	0.127989	0.815139	0.009845	0.047027	
95000	-53.040785	385	1.575213	15.924304	18.244902	7.462400	0.188409	0.753639	0.014488	0.043464	
96000	-51.317479	958	3.921751	40.091917	39.889758	6.980694	0.188406	0.753623	0.014493	0.043478	
97000	-50.657999	482	1.719807	19.277065	16.697568	4.696150	0.188405	0.753625	0.014492	0.043478	
98000	-50.334984	815	1.552030	22.230919	18.345312	3.991824	0.188406	0.753623	0.014493	0.043478	
99000	-51.632122	8	1.068590	9.442656	19.074130	4.914112	0.188565	0.754261	0.014293	0.042880	
100000	-50.966802	230	1.435762	23.827538	20.196875	5.740459	0.188406	0.753623	0.014493	0.043478	
101000	-50.247916	794	1.243882	21.983823	23.546274	6.503294	0.188406	0.753623	0.014493	0.043478	
102000	-52.148976	88	0.717870	25.418878	29.222386	11.094075	0.188406	0.753623	0.014493	0.043478	
103000	-50.731676	590	0.813298	15.581953	34.684530	7.086176	0.188406	0.753623	0.014493	0.043479	
104000	-50.599813	936	2.587606	27.158820	8.295334	1.958351	0.188383	0.753646	0.014491	0.043480	
105000	-52.255403	944	2.312817	19.153284	24.452667	8.208083	0.188406	0.753624	0.014492	0.043477	
106000	-52.177289	842	2.368662	36.360236	6.246417	1.220995	0.191640	0.750330	0.014742	0.043288	
107000	-51.693327	736	3.484839	54.091369	15.671931	2.811322	0.188412	0.753617	0.014493	0.043478	
108000	-50.764020	274	2.194723	29.345394	18.742266	6.496007	0.188406	0.753623	0.014493	0.043478	
109000	-51.624764	694	0.661129	15.089368	19.694953	7.570127	0.188404	0.753614	0.014496	0.043487	
110000	-50.375893	48	0.937693	15.661352	15.391455	4.268171	0.188405	0.753625	0.014493	0.043478	
111000	-51.024206	386	1.200988	18.428132	10.477605	2.339630	0.188435	0.753594	0.014495	0.043476	
112000	-50.792272	249	0.730786	11.735600	30.741106	10.369232	0.188408	0.753633	0.014490	0.043469	
113000	-50.724585	713	0.762945	11.443470	26.545599	6.180521	0.188425	0.753702	0.014468	0.043405	
114000	-50.047146	128	1.496804	29.717523	21.139357	5.706834	0.188406	0.753623	0.014493	0.043478	
115000	-51.326552	386	2.272539	19.922690	14.313979	3.316686	0.188408	0.753621	0.014493	0.043478	
116000	-51.745177	565	1.162253	10.708374	20.884819	7.865659	0.188443	0.753772	0.014446	0.043338	
117000	-51.960512	521	0.791157	4.912949	25.449330	8.087814	0.190207	0.760827	0.012241	0.036724	
118000	-52.564834	311	4.902926	35.195098	7.241602	2.589767	0.186816	0.755242	0.014370	0.043572	
119000	-51.093469	65	0.527047	5.822966	25.071853	8.039748	0.189416	0.757664	0.013230	0.039690	
120000	-51.794046	349	0.413088	6.335098	14.325466	3.703479	0.188569	0.754283	0.014287	0.042861	
