Options:
Model:                           Discrete: Independent
Tree File Name:                  ./data/bantu-hawaiian-absenceofcousinmarriage.permitted.bttrees
Data File Name:                  ./data/bantu-hawaiian-absenceofcousinmarriage.permitted.btdata
Log File Name:                   ./output/bantu-hawaiian-absenceofcousinmarriage.permitted-indep2.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            689407883
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      10010000
Burn in:                         10000
MCMC ML Start:                   False
Schedule File:                   ./output/bantu-hawaiian-absenceofcousinmarriage.permitted-indep2.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     4
Base frequency (PI's):           Empirical: (0.121212,0.742424,0.030303,0.106061)
Character Symbols:               00,01,10,11
Using a covarion model:          False
Normalise Q Matrix:              False
Scale Tree:                      0.101827
Restrictions:
    alpha1                       None
    beta1                        None
    alpha2                       None
    beta2                        None
Prior Information:
    Prior Categories:            100
    Priors
        alpha1 - exp 10.00 
        beta1 - exp 10.00 
        alpha2 - exp 10.00 
        beta2 - exp 10.00 
Tree Information
     Trees:                      1000
     Taxa:                       66
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	alpha1	beta1	alpha2	beta2	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	
11000	-56.564408	464	4.281387	14.985571	7.343970	1.125364	0.122446	0.741075	0.030611	0.105867	
12000	-53.578823	408	1.627795	8.414717	5.937234	1.430575	0.121350	0.741852	0.030445	0.106353	
13000	-54.822331	569	1.454682	7.354339	1.960645	0.775181	0.091916	0.772786	0.023310	0.111988	
14000	-54.134456	95	0.507721	0.943908	3.301885	1.626793	0.109426	0.781836	0.021393	0.087345	
15000	-55.650318	196	1.397009	3.535967	0.977751	1.569223	0.038207	0.836813	0.009247	0.115733	
16000	-53.838856	346	0.722716	3.944809	32.528478	8.155483	0.117651	0.720614	0.035941	0.125793	
17000	-54.661815	792	3.778634	35.669125	11.712192	2.759949	0.121183	0.742456	0.030296	0.106065	
18000	-52.982348	440	0.718325	1.286979	13.558254	4.018882	0.121946	0.746961	0.029131	0.101962	
19000	-52.056665	667	0.915532	1.547324	20.008198	2.431105	0.124747	0.764069	0.024708	0.086477	
20000	-56.141808	526	2.954709	9.011976	20.475224	2.392507	0.121308	0.743004	0.030153	0.105535	
21000	-54.168321	430	2.163064	11.611928	3.498381	0.800167	0.136591	0.725600	0.034149	0.103660	
22000	-54.374317	864	3.399469	18.279118	21.389187	3.444907	0.121212	0.742424	0.030303	0.106061	
23000	-53.718655	550	1.153281	5.020642	31.997754	4.406259	0.120543	0.738327	0.031362	0.109768	
24000	-53.361604	529	1.507399	6.099284	5.492106	1.151115	0.125312	0.737737	0.031381	0.105570	
25000	-52.873601	925	0.854038	1.189547	22.380931	6.443302	0.128202	0.785239	0.019235	0.067323	
26000	-53.713618	547	1.361219	7.832697	19.227739	2.986096	0.121058	0.741481	0.030547	0.106914	
27000	-52.135808	82	1.077548	2.803597	16.224355	3.567226	0.121504	0.744219	0.029839	0.104438	
28000	-54.071478	898	1.215151	0.457121	18.699235	5.498345	0.136585	0.836589	0.005961	0.020864	
29000	-52.133270	564	0.593311	0.970613	47.231306	10.599813	0.122782	0.752041	0.027817	0.097360	
30000	-55.352849	35	2.045143	8.998362	41.788701	4.343714	0.121228	0.742520	0.030278	0.105974	
31000	-52.135691	344	0.754856	0.778351	9.254436	2.682263	0.129116	0.794293	0.016962	0.059628	
32000	-54.111266	56	2.478916	13.092676	10.660146	1.784470	0.121312	0.742321	0.030327	0.106040	
33000	-53.738616	697	0.685240	0.531937	26.319738	2.274068	0.134274	0.822429	0.009621	0.033675	
34000	-55.023163	109	2.347956	19.883248	11.109236	2.730004	0.121147	0.742495	0.030287	0.106071	
35000	-51.828268	689	0.596642	0.718416	10.538167	1.927474	0.129829	0.794662	0.016789	0.058720	
36000	-56.629856	435	3.898408	17.285614	10.838085	3.623284	0.121089	0.742560	0.030272	0.106079	
37000	-55.756616	708	0.718247	7.790395	6.431880	1.258073	0.124214	0.718523	0.036526	0.120737	
38000	-53.059477	338	0.426081	2.516493	29.108752	5.143067	0.101753	0.623237	0.061113	0.213897	
39000	-51.166048	462	0.654027	0.321661	33.535917	5.324359	0.135138	0.827722	0.008253	0.028887	
40000	-52.745252	668	1.222679	0.616922	17.593574	3.749797	0.133950	0.820444	0.010135	0.035471	
41000	-53.360246	435	1.120431	0.776072	33.296030	3.352231	0.132938	0.814245	0.011737	0.041080	
42000	-51.616966	597	0.531916	0.847033	18.015594	3.481018	0.125742	0.770170	0.023131	0.080957	
43000	-53.144898	168	0.842888	1.640099	35.940927	3.542628	0.124925	0.765168	0.024424	0.085483	
44000	-52.700117	78	0.457394	0.000954	16.268404	4.070834	0.140329	0.859517	0.000034	0.000120	
45000	-52.519824	28	0.496672	2.818845	8.838508	1.669942	0.114969	0.703348	0.040411	0.141272	
46000	-54.375426	93	3.865689	24.198242	40.323086	5.903498	0.121212	0.742424	0.030303	0.106061	
