Rate	83.33
Tree Move	16.67
Rate Tried	% Accepted	Tree Move Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
817	0.298654	183	0.819672	1.214491	817	0.298654	0.394000	0.406599	
830	0.310843	170	0.823529	1.214491	830	0.310843	0.398000	0.405883	
796	0.305276	204	0.784314	1.214491	796	0.305276	0.403000	0.405661	
804	0.276119	196	0.887755	1.214491	804	0.276119	0.396000	0.404971	
820	0.340244	180	0.877778	1.214491	820	0.340244	0.437000	0.407106	
818	0.342298	182	0.851648	1.214491	818	0.342298	0.435000	0.408849	
821	0.321559	179	0.726257	1.214491	821	0.321559	0.394000	0.407976	
813	0.317343	187	0.823529	1.214491	813	0.317343	0.412000	0.408200	
808	0.381188	192	0.828125	1.214491	808	0.381188	0.467000	0.411294	
816	0.299020	184	0.804348	1.214491	816	0.299020	0.392000	0.410329	
818	0.320293	182	0.824176	1.214491	818	0.320293	0.412000	0.410409	
801	0.305868	199	0.849246	1.214491	801	0.305868	0.414000	0.410572	
832	0.343750	168	0.797619	1.214491	832	0.343750	0.420000	0.410982	
839	0.362336	161	0.776398	1.214491	839	0.362336	0.429000	0.411733	
832	0.296875	168	0.785714	1.214491	832	0.296875	0.379000	0.410424	
806	0.349876	194	0.757732	1.214491	806	0.349876	0.429000	0.411138	
846	0.354610	154	0.759740	1.214491	846	0.354610	0.417000	0.411355	
801	0.338327	199	0.753769	1.214491	801	0.338327	0.421000	0.411700	
862	0.302784	138	0.869565	1.214491	862	0.302784	0.381000	0.410641	
814	0.324324	186	0.822581	1.214491	814	0.324324	0.417000	0.410853	
817	0.317013	183	0.775956	1.214491	817	0.317013	0.401000	0.410535	
817	0.331701	183	0.770492	1.214491	817	0.331701	0.412000	0.410581	
803	0.330012	197	0.873096	1.214491	803	0.330012	0.437000	0.411381	
808	0.330446	192	0.796875	1.214491	808	0.330446	0.420000	0.411635	
835	0.317365	165	0.781818	1.214491	835	0.317365	0.394000	0.411131	
824	0.290049	176	0.863636	1.214491	824	0.290049	0.391000	0.410572	
836	0.284689	164	0.780488	1.214491	836	0.284689	0.366000	0.409367	
811	0.362515	189	0.767196	1.214491	811	0.362515	0.439000	0.410147	
819	0.319902	181	0.817680	1.214491	819	0.319902	0.410000	0.410143	
813	0.314883	187	0.823529	1.214491	813	0.314883	0.410000	0.410140	
844	0.344787	156	0.756410	1.214491	844	0.344787	0.409000	0.410112	
842	0.325416	158	0.816456	1.214491	842	0.325416	0.403000	0.409943	
813	0.314883	187	0.802139	1.214491	813	0.314883	0.406000	0.409851	
809	0.307787	191	0.858639	1.214491	809	0.307787	0.413000	0.409923	
847	0.322314	153	0.823529	1.214491	847	0.322314	0.399000	0.409680	
821	0.339829	179	0.787709	1.214491	821	0.339829	0.420000	0.409904	
847	0.363636	153	0.686275	1.214491	847	0.363636	0.413000	0.409970	
811	0.303329	189	0.793651	1.214491	811	0.303329	0.396000	0.409679	
826	0.305085	174	0.793103	1.214491	826	0.305085	0.390000	0.409277	
820	0.309756	180	0.816667	1.214491	820	0.309756	0.401000	0.409112	
820	0.303659	180	0.788889	1.214491	820	0.303659	0.391000	0.408757	
817	0.310894	183	0.819672	1.214491	817	0.310894	0.404000	0.408665	
836	0.273923	164	0.847561	1.214491	836	0.273923	0.368000	0.407898	
815	0.298160	185	0.816216	1.214491	815	0.298160	0.394000	0.407641	
819	0.301587	181	0.883978	1.214491	819	0.301587	0.407000	0.407629	
838	0.322196	162	0.802469	1.214491	838	0.322196	0.400000	0.407493	
830	0.333735	170	0.782353	1.214491	830	0.333735	0.410000	0.407537	
814	0.309582	186	0.833333	1.214491	814	0.309582	0.407000	0.407527	
797	0.351317	203	0.812808	1.214491	797	0.351317	0.445000	0.408163	
819	0.313797	181	0.861878	1.214491	819	0.313797	0.413000	0.408243	
831	0.351384	169	0.810651	1.214491	831	0.351384	0.429000	0.408583	
856	0.324766	144	0.805556	1.214491	856	0.324766	0.394000	0.408348	
830	0.330120	170	0.747059	1.214491	830	0.330120	0.401000	0.408232	
818	0.294621	182	0.796703	1.214491	818	0.294621	0.386000	0.407884	
838	0.331742	162	0.716049	1.214491	838	0.331742	0.394000	0.407671	
822	0.310219	178	0.820225	1.214491	822	0.310219	0.401000	0.407570	
812	0.314039	188	0.792553	1.214491	812	0.314039	0.404000	0.407516	
794	0.279597	206	0.883495	1.214491	794	0.279597	0.404000	0.407465	
836	0.334928	164	0.780488	1.214491	836	0.334928	0.408000	0.407472	
792	0.316919	208	0.740385	1.214491	792	0.316919	0.405000	0.407437	
826	0.318402	174	0.821839	1.214491	826	0.318402	0.406000	0.407417	
804	0.308458	196	0.821429	1.214491	804	0.308458	0.409000	0.407439	
816	0.327206	184	0.728261	1.214491	816	0.327206	0.401000	0.407351	
837	0.327360	163	0.797546	1.214491	837	0.327360	0.404000	0.407305	
829	0.330519	171	0.818713	1.214491	829	0.330519	0.414000	0.407395	
816	0.328431	184	0.820652	1.214491	816	0.328431	0.419000	0.407547	
811	0.345253	189	0.814815	1.214491	811	0.345253	0.434000	0.407891	
812	0.310345	188	0.872340	1.214491	812	0.310345	0.416000	0.407995	
823	0.308627	177	0.785311	1.214491	823	0.308627	0.393000	0.407805	
823	0.308627	177	0.836158	1.214491	823	0.308627	0.402000	0.407732	
811	0.335388	189	0.798942	1.214491	811	0.335388	0.423000	0.407921	
793	0.312736	207	0.801932	1.214491	793	0.312736	0.414000	0.407995	
825	0.341818	175	0.674286	1.214491	825	0.341818	0.400000	0.407899	
817	0.330477	183	0.781421	1.214491	817	0.330477	0.413000	0.407959	
831	0.315283	169	0.804734	1.214491	831	0.315283	0.398000	0.407842	
825	0.351515	175	0.788571	1.214491	825	0.351515	0.428000	0.408077	
829	0.355850	171	0.795322	1.214491	829	0.355850	0.431000	0.408340	
833	0.328932	167	0.748503	1.214491	833	0.328932	0.399000	0.408234	
836	0.354067	164	0.817073	1.214491	836	0.354067	0.430000	0.408479	
830	0.342169	170	0.776471	1.214491	830	0.342169	0.416000	0.408562	
831	0.305656	169	0.816568	1.214491	831	0.305656	0.392000	0.408380	
819	0.354090	181	0.696133	1.214491	819	0.354090	0.416000	0.408463	
823	0.329283	177	0.728814	1.214491	823	0.329283	0.400000	0.408372	
810	0.308642	190	0.800000	1.214491	810	0.308642	0.402000	0.408304	
817	0.299878	183	0.786885	1.214491	817	0.299878	0.389000	0.408101	
799	0.314143	201	0.796020	1.214491	799	0.314143	0.411000	0.408131	
832	0.317308	168	0.767857	1.214491	832	0.317308	0.393000	0.407975	
824	0.332524	176	0.829545	1.214491	824	0.332524	0.420000	0.408098	
832	0.317308	168	0.732143	1.214491	832	0.317308	0.387000	0.407885	
820	0.329268	180	0.772222	1.214491	820	0.329268	0.409000	0.407896	
