Rate	71.43
Rev Jump	14.29
Tree Move	14.29
Rate Tried	% Accepted	Rev Jump Tried	% Accepted	Tree Move Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
735	0.240816	120	0.141667	145	0.482759	3.191385	735	0.240816	0.264000	0.278884	
726	0.268595	129	0.077519	145	0.455172	3.191385	726	0.268595	0.271000	0.278227	
736	0.243207	127	0.133858	137	0.503650	3.191385	736	0.243207	0.265000	0.277209	
724	0.291436	117	0.119658	159	0.628931	3.191385	724	0.291436	0.325000	0.280623	
749	0.252336	125	0.120000	126	0.603175	3.191385	749	0.252336	0.280000	0.280581	
739	0.265223	115	0.078261	146	0.527397	3.191385	739	0.265223	0.282000	0.280670	
709	0.201693	138	0.094203	153	0.418301	3.191385	709	0.201693	0.220000	0.277101	
719	0.260083	120	0.133333	161	0.490683	3.191385	719	0.260083	0.282000	0.277373	
712	0.237360	118	0.067797	170	0.447059	3.191385	712	0.237360	0.253000	0.276091	
730	0.227397	115	0.095652	155	0.522581	3.191385	730	0.227397	0.258000	0.275186	
722	0.235457	126	0.055556	152	0.598684	3.191385	722	0.235457	0.268000	0.274844	
736	0.279891	132	0.037879	132	0.553030	3.191385	736	0.279891	0.284000	0.275260	
659	0.188164	151	0.158940	190	0.394737	3.191385	659	0.188164	0.223000	0.272988	
718	0.509749	127	0.110236	155	0.470968	1.610420	718	0.509749	0.453000	0.280488	
748	0.427807	111	0.117117	141	0.489362	1.796110	748	0.427807	0.402000	0.285349	
745	0.273826	103	0.087379	152	0.559211	3.269630	745	0.273826	0.298000	0.285835	
696	0.262931	134	0.119403	170	0.441176	3.269630	696	0.262931	0.274000	0.285397	
740	0.245946	123	0.073171	137	0.627737	3.269630	740	0.245946	0.277000	0.285097	
716	0.244413	110	0.081818	174	0.609195	3.269630	716	0.244413	0.290000	0.285266	
738	0.245257	121	0.107438	141	0.482270	3.269630	738	0.245257	0.262000	0.284491	
745	0.277852	108	0.111111	147	0.517007	3.269630	745	0.277852	0.295000	0.284830	
761	0.253614	106	0.075472	133	0.496241	3.269630	761	0.253614	0.267000	0.284272	
754	0.282493	101	0.128713	145	0.531034	3.269630	754	0.282493	0.303000	0.284840	
709	0.263752	124	0.137097	167	0.479042	3.269630	709	0.263752	0.284000	0.284815	
737	0.253731	107	0.065421	156	0.410256	3.269630	737	0.253731	0.258000	0.284049	
754	0.250663	124	0.112903	122	0.622951	3.269630	754	0.250663	0.279000	0.283909	
720	0.273611	109	0.137615	171	0.438596	3.269630	720	0.273611	0.287000	0.283992	
731	0.262654	99	0.121212	170	0.347059	3.269630	731	0.262654	0.263000	0.283440	
713	0.221599	140	0.150000	147	0.421769	3.269630	713	0.221599	0.241000	0.282352	
736	0.245924	118	0.135593	146	0.527397	3.269630	736	0.245924	0.274000	0.282143	
728	0.234890	122	0.122951	150	0.586667	3.269630	728	0.234890	0.274000	0.281944	
736	0.243207	109	0.119266	155	0.548387	3.269630	736	0.243207	0.277000	0.281827	
755	0.242384	121	0.066116	124	0.419355	3.269630	755	0.242384	0.243000	0.280924	
723	0.248963	121	0.132231	156	0.564103	3.269630	723	0.248963	0.284000	0.280994	
765	0.243137	115	0.121739	120	0.450000	3.269630	765	0.243137	0.254000	0.280394	
754	0.254642	118	0.110169	128	0.492188	3.269630	754	0.254642	0.268000	0.280124	
716	0.236034	127	0.133858	157	0.560510	3.269630	716	0.236034	0.274000	0.279994	
739	0.247632	120	0.116667	141	0.496454	3.269630	739	0.247632	0.267000	0.279723	
727	0.214580	126	0.126984	147	0.496599	3.269630	727	0.214580	0.245000	0.279015	
744	0.252688	116	0.086207	140	0.507143	3.269630	744	0.252688	0.269000	0.278814	
746	0.205094	112	0.098214	142	0.556338	3.269630	746	0.205094	0.243000	0.278112	
746	0.234584	96	0.114583	158	0.563291	3.269630	746	0.234584	0.275000	0.278052	
761	0.257556	108	0.083333	131	0.511450	3.269630	761	0.257556	0.272000	0.277938	
766	0.259791	106	0.094340	128	0.500000	3.269630	766	0.259791	0.273000	0.277847	
707	0.247525	135	0.125926	158	0.430380	3.269630	707	0.247525	0.260000	0.277522	
704	0.250000	137	0.087591	159	0.496855	3.269630	704	0.250000	0.267000	0.277334	
