Options:
Model:                           Discrete: Independent
Tree File Name:                  ./data/bantu-iroquois-cross.cousinmarriage.preferred.bttrees
Data File Name:                  ./data/bantu-iroquois-cross.cousinmarriage.preferred.btdata
Log File Name:                   ./output/bantu-iroquois-cross.cousinmarriage.preferred-indep2.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            2765846898
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      10010000
Burn in:                         10000
MCMC ML Start:                   False
Schedule File:                   ./output/bantu-iroquois-cross.cousinmarriage.preferred-indep2.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     4
Base frequency (PI's):           Empirical: (0.242424,0.121212,0.121212,0.515152)
Character Symbols:               00,01,10,11
Using a covarion model:          False
Normalise Q Matrix:              False
Scale Tree:                      0.101827
Restrictions:
    alpha1                       None
    beta1                        None
    alpha2                       None
    beta2                        None
Prior Information:
    Prior Categories:            100
    Priors
        alpha1 - exp 10.00 
        beta1 - exp 10.00 
        alpha2 - exp 10.00 
        beta2 - exp 10.00 
Tree Information
     Trees:                      1000
     Taxa:                       66
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	alpha1	beta1	alpha2	beta2	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	
11000	-84.024997	623	0.210227	1.623536	42.802052	28.697394	0.120679	0.060340	0.155996	0.662985	
12000	-82.490745	5	0.441884	1.864077	14.947712	7.203045	0.163623	0.081811	0.143727	0.610839	
13000	-84.708322	461	2.270776	3.949290	6.686333	4.891459	0.207098	0.104064	0.130681	0.558157	
14000	-85.887270	644	65.609226	38.176636	23.750773	10.906465	0.242424	0.121212	0.121212	0.515152	
15000	-83.505577	658	1.696255	1.444567	3.324395	1.685151	0.381334	0.140169	0.116017	0.362481	
16000	-83.380588	659	0.895603	2.133634	13.274068	9.744802	0.199681	0.099841	0.133424	0.567055	
17000	-86.136317	492	12.561148	10.575394	22.424818	14.361198	0.242424	0.121212	0.121212	0.515152	
18000	-82.906710	470	1.106205	1.241721	5.577728	4.162173	0.346774	0.175175	0.090303	0.387748	
19000	-82.958798	301	0.604711	2.732357	9.865086	6.058212	0.162654	0.081329	0.144001	0.612017	
20000	-84.725020	802	1.421538	2.446881	11.818593	4.506769	0.208917	0.104384	0.130875	0.555824	
21000	-84.109865	430	4.199718	2.457306	6.496690	3.570787	0.245343	0.122287	0.120757	0.511612	
22000	-84.542979	457	9.271513	4.093295	3.541058	2.559321	0.245880	0.120501	0.122659	0.510960	
23000	-85.887915	495	4.879287	2.597565	4.497697	2.389636	0.249783	0.120487	0.123474	0.506256	
24000	-83.221334	117	4.393506	2.516688	3.259516	2.428317	0.249472	0.122028	0.121856	0.506644	
25000	-84.189527	532	2.563675	2.697956	1.026797	1.527813	0.269352	0.104587	0.145579	0.480482	
26000	-88.892196	167	5.018460	2.476875	11.458663	13.618712	0.248224	0.124112	0.119555	0.508109	
