Options:
Model:                           Discrete: Independent
Tree File Name:                  ./data/bantu-iroquois-exogamy.unilineal.descent.bttrees
Data File Name:                  ./data/bantu-iroquois-exogamy.unilineal.descent.btdata
Log File Name:                   ./output/bantu-iroquois-exogamy.unilineal.descent-indep2.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            1169689050
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      10010000
Burn in:                         10000
MCMC ML Start:                   False
Schedule File:                   ./output/bantu-iroquois-exogamy.unilineal.descent-indep2.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     4
Base frequency (PI's):           Empirical: (0.322581,0.048387,0.532258,0.096774)
Character Symbols:               00,01,10,11
Using a covarion model:          False
Normalise Q Matrix:              False
Scale Tree:                      0.098224
Restrictions:
    alpha1                       None
    beta1                        None
    alpha2                       None
    beta2                        None
Prior Information:
    Prior Categories:            100
    Priors
        alpha1 - exp 10.00 
        beta1 - exp 10.00 
        alpha2 - exp 10.00 
        beta2 - exp 10.00 
Tree Information
     Trees:                      1000
     Taxa:                       62
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	alpha1	beta1	alpha2	beta2	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	
11000	-64.756772	835	1.203435	1.728912	2.026382	18.265370	0.305458	0.045819	0.548918	0.099805	
12000	-64.767450	98	1.188275	1.467295	1.152790	8.880652	0.370099	0.055877	0.485225	0.088798	
13000	-70.242376	963	3.120728	2.427473	12.181422	22.073702	0.324492	0.048674	0.530398	0.096436	
14000	-66.137375	107	2.760365	3.241506	3.079786	8.770986	0.303062	0.045244	0.551834	0.099859	
15000	-64.919711	412	0.124083	2.067317	0.836016	8.162287	0.029088	0.004511	0.813493	0.152909	
16000	-70.728658	835	12.106608	4.280745	0.598279	1.850912	0.355426	0.019435	0.586280	0.038858	
17000	-63.896828	636	1.456814	2.279916	3.870937	21.998388	0.282445	0.042367	0.571313	0.103875	
18000	-68.404493	613	12.129466	5.376665	1.322799	13.676742	0.322536	0.048496	0.532008	0.096960	
19000	-65.749418	669	1.403077	2.086141	3.534671	10.813758	0.293019	0.043928	0.561093	0.101959	
20000	-64.809662	817	2.151247	3.081894	2.576836	10.484334	0.275526	0.041068	0.578828	0.104578	
21000	-67.545589	122	6.293593	4.503154	7.439899	24.607247	0.321472	0.048221	0.533337	0.096970	
22000	-65.737388	753	6.216183	3.358922	3.812581	23.503189	0.323951	0.048593	0.530924	0.096532	
23000	-64.345967	645	0.858757	2.767418	2.389055	12.687239	0.184368	0.027648	0.666783	0.121201	
24000	-63.295518	299	0.261842	2.241444	1.738235	16.326005	0.062365	0.009357	0.785430	0.142848	
25000	-64.865234	468	1.370977	1.944577	1.578053	14.507381	0.284648	0.042717	0.569112	0.103523	
26000	-68.091808	718	16.695940	6.288642	2.912098	15.990066	0.322581	0.048387	0.532258	0.096773	
27000	-62.927380	330	1.268281	2.409359	2.475737	14.952881	0.256920	0.038538	0.596151	0.108391	
28000	-62.914235	516	0.952057	2.537305	1.775912	15.943254	0.205100	0.030769	0.646559	0.117572	
29000	-65.449688	203	1.848447	2.322907	2.288354	6.969193	0.294772	0.041948	0.565701	0.097579	
30000	-64.824801	256	0.883008	2.323003	2.426468	11.125670	0.194808	0.029196	0.656699	0.119297	
31000	-65.438467	158	0.278697	2.458195	1.498499	10.683346	0.074562	0.011204	0.773376	0.140858	
32000	-63.189500	164	2.367969	2.238851	3.884242	27.456329	0.337348	0.050602	0.517888	0.094162	
33000	-64.574310	133	2.890644	2.677103	5.248611	26.242707	0.319475	0.047921	0.535280	0.097324	
34000	-62.577882	208	0.964169	1.761902	3.449429	21.870725	0.335792	0.050369	0.519402	0.094437	
35000	-65.583243	731	2.451305	1.638313	4.306079	18.692325	0.380644	0.057096	0.475758	0.086501	
36000	-64.189944	193	1.514401	2.862588	2.802225	21.198102	0.235302	0.035295	0.617187	0.112216	
37000	-66.133323	946	3.007556	3.728768	1.479445	11.676254	0.289278	0.043503	0.564347	0.102872	
38000	-63.119519	83	1.178630	1.746842	3.700158	21.121714	0.313032	0.046955	0.541550	0.098464	
39000	-66.235023	512	2.887110	1.748466	4.065829	14.034112	0.358612	0.053790	0.497201	0.090397	
40000	-65.417059	880	1.769634	1.459016	3.335565	28.566520	0.414169	0.062125	0.443135	0.080570	
41000	-63.873174	801	0.539506	1.796427	1.662574	7.862257	0.178148	0.026170	0.675416	0.120266	
42000	-65.056000	67	2.646566	2.100007	2.224853	16.347349	0.341167	0.051180	0.514159	0.093493	
43000	-65.355950	118	4.569140	3.332691	2.063080	10.347014	0.320821	0.048060	0.534132	0.096987	
44000	-65.051796	976	2.257551	3.475023	1.464640	7.275477	0.284994	0.041895	0.571311	0.101800	
45000	-65.188163	829	2.405258	2.697265	3.008630	11.657168	0.306016	0.045873	0.548454	0.099656	
46000	-64.825486	964	1.783859	2.820516	4.570444	18.061021	0.256650	0.038497	0.596415	0.108438	
47000	-63.061937	307	1.179052	1.557407	4.788214	24.642041	0.327795	0.049169	0.527184	0.095852	
48000	-65.743437	225	3.608988	3.129920	2.751844	26.513149	0.315584	0.047338	0.539067	0.098012	
49000	-62.480155	70	0.793611	2.003081	7.402500	35.499981	0.244484	0.036673	0.608252	0.110591	
50000	-63.605828	782	1.917083	2.095857	1.889598	14.156194	0.324290	0.048655	0.530566	0.096489	
51000	-62.535264	331	0.564928	2.033831	4.991691	32.444463	0.182187	0.027328	0.668872	0.121613	
52000	-64.601221	25	1.698293	1.506085	4.639825	28.666693	0.404939	0.060741	0.452117	0.082203	
53000	-65.453269	893	5.184117	2.737522	5.625867	24.710117	0.328084	0.049213	0.526902	0.095800	
54000	-64.520714	111	0.043562	2.314880	1.207336	9.216374	0.009405	0.001415	0.836624	0.152556	
55000	-63.348282	770	0.811895	1.223301	6.228792	40.963674	0.390974	0.058646	0.465706	0.084674	
56000	-66.481194	60	1.541744	4.066026	4.548704	21.142840	0.238834	0.035825	0.613750	0.111591	
57000	-62.649446	959	0.762672	2.240245	2.004346	14.159494	0.192829	0.028929	0.658498	0.119744	
58000	-66.739301	205	0.751002	3.149160	1.252122	12.716420	0.169725	0.025505	0.680769	0.124001	
59000	-64.121259	726	0.224885	1.956390	3.811267	21.617374	0.085401	0.012810	0.763052	0.138737	
60000	-65.459629	50	4.086977	2.939525	1.580857	15.087765	0.320822	0.048140	0.533927	0.097111	
61000	-68.966669	423	30.461384	10.047851	1.976477	11.844860	0.322597	0.048373	0.532285	0.096745	
62000	-65.723313	631	5.536551	4.419819	1.776912	9.285017	0.319860	0.047750	0.535492	0.096897	
63000	-68.780705	168	5.351190	6.169977	1.718459	17.931046	0.319834	0.047980	0.534918	0.097268	
64000	-65.055079	601	0.929424	2.421420	2.698841	10.841845	0.213071	0.031924	0.638963	0.116042	
65000	-65.308381	875	1.693974	2.858294	1.027694	1.177082	0.300595	0.007956	0.669957	0.021492	
66000	-64.015495	455	1.875306	2.921115	4.253767	26.596392	0.282250	0.042337	0.571503	0.103910	
67000	-65.282322	680	4.440630	3.370354	2.776953	12.354398	0.319401	0.047897	0.535387	0.097315	
68000	-63.135391	723	1.106613	1.950895	4.538982	27.288482	0.263983	0.039597	0.589278	0.107141	
69000	-63.188450	958	0.230744	1.681742	4.249311	31.618925	0.071451	0.010718	0.776627	0.141205	
70000	-66.584760	822	9.540835	4.388261	4.444107	20.213634	0.322671	0.048401	0.532170	0.096758	
71000	-66.272832	412	4.287228	3.725262	1.491133	18.750543	0.316475	0.047474	0.538193	0.097859	
72000	-63.994529	733	0.770395	1.794620	2.117530	12.768992	0.256406	0.038457	0.596665	0.108472	
73000	-64.664391	325	6.152928	3.774452	3.686584	18.577112	0.323224	0.048483	0.531633	0.096660	
74000	-62.498047	827	1.072289	1.593829	5.345539	25.212811	0.336123	0.050418	0.519081	0.094378	
75000	-66.369062	508	7.518628	4.893136	1.954984	9.896238	0.322545	0.048270	0.532576	0.096609	
76000	-69.532918	333	4.368174	0.742266	2.064611	11.241586	0.719982	0.107628	0.145945	0.026445	
77000	-63.854747	173	2.224139	2.119137	3.688627	27.700544	0.332649	0.049897	0.522460	0.094993	
78000	-64.208082	539	1.183502	2.170330	11.881064	41.577397	0.260138	0.039021	0.593019	0.107822	
79000	-63.806477	412	0.911859	1.341646	2.708056	19.079933	0.361292	0.054194	0.494588	0.089925	
80000	-68.127301	706	12.120017	4.261827	2.907383	16.737592	0.322628	0.048394	0.532212	0.096766	
81000	-62.763013	75	2.076552	2.348579	3.922542	25.501479	0.295317	0.044298	0.558788	0.101598	
82000	-66.105702	371	1.045484	1.267851	1.147519	3.669034	0.538617	0.052524	0.365639	0.043219	
83000	-65.456678	576	3.331286	3.621949	4.157889	15.263397	0.301208	0.045176	0.553068	0.100547	
84000	-66.663555	871	5.570583	3.225888	12.821299	42.251667	0.325574	0.048836	0.529345	0.096245	
85000	-66.111871	15	7.551847	5.145769	4.809811	31.456187	0.322113	0.048317	0.532713	0.096857	
86000	-62.144364	248	0.935367	1.973192	4.253113	15.662602	0.275837	0.041375	0.577746	0.105042	
87000	-64.924211	740	2.919016	3.790538	5.710780	23.889621	0.302870	0.045430	0.551438	0.100261	
88000	-65.628473	684	3.634392	3.421129	1.190104	9.261410	0.309986	0.046698	0.543984	0.099332	
89000	-65.696779	78	5.162769	2.912123	2.615281	15.424612	0.325757	0.048863	0.529168	0.096212	
90000	-64.357127	640	1.155197	1.890184	3.674354	15.174816	0.273671	0.041048	0.579860	0.105421	
91000	-65.039676	689	2.688423	1.723008	2.919585	19.554264	0.366218	0.054933	0.489795	0.089054	
92000	-64.041666	180	0.626831	1.587227	3.742240	14.998547	0.228204	0.034230	0.624095	0.113470	
93000	-67.824195	289	1.794212	3.763361	1.361065	15.697573	0.255723	0.038380	0.597247	0.108651	
94000	-65.249158	455	1.458305	1.762282	7.772787	24.124630	0.327156	0.049073	0.527805	0.095965	
95000	-66.783276	62	2.139861	2.162481	3.416034	51.707227	0.312547	0.046882	0.542022	0.098549	
96000	-66.769738	428	6.162190	5.026308	5.777147	22.692228	0.322085	0.048313	0.532740	0.096862	
97000	-63.844409	5	2.028045	2.623931	2.307935	17.792656	0.300816	0.045123	0.553436	0.100625	
98000	-68.954354	477	22.780097	13.068627	0.562509	2.455253	0.349647	0.024478	0.576918	0.048956	
99000	-66.701892	300	0.533727	3.149327	4.735001	13.270652	0.129574	0.019432	0.720098	0.130896	
100000	-65.275610	80	1.429165	2.620539	3.110018	16.373928	0.252786	0.037917	0.600175	0.109121	
101000	-64.173618	838	1.277836	1.559538	2.542730	9.843792	0.309138	0.046176	0.545856	0.098830	
102000	-65.806454	288	5.991945	2.762691	15.239302	63.336954	0.329553	0.049433	0.525474	0.095541	
103000	-63.944940	613	0.966344	2.568207	1.694618	8.504200	0.209181	0.030902	0.644510	0.115407	
104000	-67.275697	887	27.759719	14.023734	3.681291	14.215095	0.322585	0.048383	0.532265	0.096766	
105000	-64.669010	130	1.526558	2.417603	1.216722	2.831495	0.318041	0.031767	0.579974	0.070218	
106000	-63.810948	248	0.059684	2.559407	1.021083	9.949205	0.012414	0.001882	0.832672	0.153031	
107000	-67.598865	111	8.131872	7.355063	8.140624	27.445495	0.322494	0.048374	0.532343	0.096790	
108000	-62.675338	208	1.630453	2.261879	5.834673	33.673727	0.320889	0.048133	0.533904	0.097074	
109000	-64.611772	541	1.469362	2.940912	4.803638	23.031821	0.266825	0.040024	0.586512	0.106639	
110000	-64.636683	389	4.913502	3.447817	3.152529	28.475346	0.320956	0.048143	0.533839	0.097062	
111000	-63.822047	716	0.862375	2.370903	1.906701	9.285678	0.224172	0.033567	0.628236	0.114025	
112000	-63.549201	74	1.164935	2.505859	3.250768	20.720361	0.254454	0.038168	0.598550	0.108827	
113000	-65.899448	569	1.516708	1.937967	0.771339	4.981569	0.311026	0.039375	0.563178	0.086421	
114000	-64.790594	959	4.618328	3.662027	4.856010	20.464293	0.317811	0.047672	0.536900	0.097618	
115000	-63.269374	927	1.948795	2.269418	3.939164	24.534671	0.320084	0.048013	0.534688	0.097216	
116000	-67.072477	716	9.634904	4.898495	4.211773	15.980326	0.322620	0.048393	0.532220	0.096767	
117000	-66.359046	924	1.699244	3.201180	5.664230	16.459964	0.275162	0.041274	0.578400	0.105163	
118000	-63.174991	869	0.741312	2.695892	2.224567	9.706087	0.164834	0.024595	0.686421	0.124149	
