Rate	83.33
Tree Move	16.67
Rate Tried	% Accepted	Tree Move Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
812	0.252463	188	0.654255	1.612244	812	0.252463	0.328000	0.307608	
839	0.232420	161	0.571429	1.612244	839	0.232420	0.287000	0.305891	
797	0.268507	203	0.655172	1.612244	797	0.268507	0.347000	0.309053	
806	0.188586	194	0.670103	1.612244	806	0.188586	0.282000	0.307121	
816	0.370098	184	0.614130	1.134453	816	0.370098	0.415000	0.314312	
835	0.374850	165	0.545455	1.134453	835	0.374850	0.403000	0.319855	
839	0.399285	161	0.670807	1.134453	839	0.399285	0.443000	0.327098	
834	0.442446	166	0.692771	1.134453	834	0.442446	0.484000	0.335815	
828	0.223430	172	0.447674	1.813105	828	0.223430	0.262000	0.331930	
827	0.147521	173	0.682081	1.813105	827	0.147521	0.240000	0.327334	
810	0.274074	190	0.710526	1.412253	810	0.274074	0.357000	0.328746	
829	0.291918	171	0.666667	1.412253	829	0.291918	0.356000	0.329985	
820	0.275610	180	0.611111	1.412253	820	0.275610	0.336000	0.330247	
825	0.265455	175	0.697143	1.412253	825	0.265455	0.341000	0.330695	
835	0.320958	165	0.660606	1.412253	835	0.320958	0.377000	0.332547	
821	0.304507	179	0.675978	1.412253	821	0.304507	0.371000	0.334026	
806	0.315136	194	0.613402	1.412253	806	0.315136	0.373000	0.335469	
815	0.285890	185	0.756757	1.412253	815	0.285890	0.373000	0.336809	
841	0.317479	159	0.616352	1.412253	841	0.317479	0.365000	0.337781	
804	0.298507	196	0.632653	1.412253	804	0.298507	0.364000	0.338655	
821	0.315469	179	0.592179	1.412253	821	0.315469	0.365000	0.339505	
832	0.294471	168	0.619048	1.412253	832	0.294471	0.349000	0.339802	
840	0.335714	160	0.675000	1.412253	840	0.335714	0.390000	0.341323	
833	0.278511	167	0.640719	1.412253	833	0.278511	0.339000	0.341255	
791	0.293300	209	0.583732	1.412253	791	0.293300	0.354000	0.341619	
823	0.314702	177	0.638418	1.412253	823	0.314702	0.372000	0.342463	
813	0.296433	187	0.705882	1.412253	813	0.296433	0.373000	0.343288	
832	0.328125	168	0.720238	1.412253	832	0.328125	0.394000	0.344623	
819	0.317460	181	0.674033	1.412253	819	0.317460	0.382000	0.345581	
821	0.297199	179	0.631285	1.412253	821	0.297199	0.357000	0.345866	
835	0.286228	165	0.600000	1.412253	835	0.286228	0.338000	0.345674	
814	0.296069	186	0.655914	1.412253	814	0.296069	0.363000	0.346087	
820	0.285366	180	0.594444	1.412253	820	0.285366	0.341000	0.345969	
840	0.315476	160	0.550000	1.412253	840	0.315476	0.353000	0.346128	
829	0.310012	171	0.584795	1.412253	829	0.310012	0.357000	0.346370	
828	0.307971	172	0.627907	1.412253	828	0.307971	0.363000	0.346732	
845	0.292308	155	0.625806	1.412253	845	0.292308	0.344000	0.346673	
817	0.275398	183	0.568306	1.412253	817	0.275398	0.329000	0.346305	
830	0.327711	170	0.547059	1.412253	830	0.327711	0.365000	0.346687	
843	0.303677	157	0.515924	1.412253	843	0.303677	0.337000	0.346493	
798	0.286967	202	0.762376	1.412253	798	0.286967	0.383000	0.347209	
812	0.311576	188	0.361702	1.412253	812	0.311576	0.321000	0.346705	
828	0.320048	172	0.552326	1.412253	828	0.320048	0.360000	0.346956	
820	0.337805	180	0.544444	1.412253	820	0.337805	0.375000	0.347475	
824	0.298544	176	0.625000	1.412253	824	0.298544	0.356000	0.347630	
843	0.320285	157	0.636943	1.412253	843	0.320285	0.370000	0.348029	
831	0.274368	169	0.644970	1.412253	831	0.274368	0.337000	0.347836	
835	0.264671	165	0.715152	1.412253	835	0.264671	0.339000	0.347684	
833	0.268908	167	0.455090	1.412253	833	0.268908	0.300000	0.346875	
811	0.316893	189	0.603175	1.412253	811	0.316893	0.371000	0.347278	
