Options:
Model:                           Discrete: Independent
Tree File Name:                  ./data/uto-hawaiian-absenceofcousinmarriage.permitted.bttrees
Data File Name:                  ./data/uto-hawaiian-absenceofcousinmarriage.permitted.btdata
Log File Name:                   ./output/uto-hawaiian-absenceofcousinmarriage.permitted-indep2.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            2575827547
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      10010000
Burn in:                         10000
MCMC ML Start:                   False
Use RJ MCMC:                     True
Schedule File:                   ./output/uto-hawaiian-absenceofcousinmarriage.permitted-indep2.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     4
Base frequency (PI's):           Empirical: (0.000000,0.263158,0.105263,0.631579)
Character Symbols:               00,01,10,11
Using a covarion model:          False
Normalise Q Matrix:              False
Scale Tree:                      0.104381
Restrictions:
    alpha1                       RJ MCMC
    beta1                        RJ MCMC
    alpha2                       RJ MCMC
    beta2                        RJ MCMC
Prior Information:
    Prior Categories:            100
    Priors
        RJRates - exp 10.00 
Tree Information
     Trees:                      1000
     Taxa:                       19
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	No Off Parmeters	No Off Zero	Model string	alpha1	beta1	alpha2	beta2	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	
11000	-12.815380	485	1	0	'0 0 0 0 	28.135379	28.135379	28.135379	28.135379	0.000000	0.020836	0.000520	0.978645	
12000	-13.870868	397	1	0	'0 0 0 0 	16.521194	16.521194	16.521194	16.521194	0.000000	0.017169	0.000217	0.982614	
13000	-12.610883	280	1	0	'0 0 0 0 	27.697472	27.697472	27.697472	27.697472	0.000000	0.012164	0.000697	0.987139	
14000	-16.227604	26	1	0	'0 0 0 0 	5.300729	5.300729	5.300729	5.300729	0.000000	0.003364	0.000053	0.996582	
15000	-13.223356	988	1	0	'0 0 0 0 	20.858846	20.858846	20.858846	20.858846	0.000000	0.009541	0.000230	0.990230	
16000	-12.972283	11	1	0	'0 0 0 0 	23.120225	23.120225	23.120225	23.120225	0.000000	0.017605	0.000302	0.982093	
17000	-13.105656	40	1	0	'0 0 0 0 	32.188584	32.188584	32.188584	32.188584	0.000000	0.009741	0.001357	0.988902	
18000	-13.197909	536	1	0	'0 0 0 0 	22.016523	22.016523	22.016523	22.016523	0.000000	0.017603	0.000328	0.982069	
19000	-13.633812	398	1	0	'0 0 0 0 	14.653188	14.653188	14.653188	14.653188	0.000000	0.009721	0.000426	0.989853	
20000	-13.225606	700	1	0	'0 0 0 0 	25.058850	25.058850	25.058850	25.058850	0.000000	0.003612	0.000609	0.995778	
21000	-13.490974	662	1	0	'0 0 0 0 	17.694211	17.694211	17.694211	17.694211	0.000000	0.018822	0.000298	0.980880	
22000	-13.965648	569	1	0	'0 0 0 0 	13.318426	13.318426	13.318426	13.318426	0.000000	0.006930	0.000447	0.992623	
23000	-13.240843	112	1	0	'0 0 0 0 	20.709355	20.709355	20.709355	20.709355	0.000000	0.006966	0.000728	0.992306	
24000	-12.944850	248	1	0	'0 0 0 0 	21.983093	21.983093	21.983093	21.983093	0.000000	0.015819	0.000186	0.983996	
25000	-13.848203	436	1	0	'0 0 0 0 	16.089858	16.089858	16.089858	16.089858	0.000000	0.007497	0.000425	0.992078	
26000	-13.436674	774	1	0	'0 0 0 0 	17.293450	17.293450	17.293450	17.293450	0.000000	0.021366	0.000085	0.978550	
27000	-13.825715	133	1	0	'0 0 0 0 	11.323001	11.323001	11.323001	11.323001	0.000000	0.004409	0.000164	0.995428	
28000	-13.367060	148	1	0	'0 0 0 0 	27.729878	27.729878	27.729878	27.729878	0.000000	0.013453	0.001075	0.985472	
29000	-12.545291	280	1	0	'0 0 0 0 	37.938224	37.938224	37.938224	37.938224	0.000000	0.017195	0.001347	0.981458	
30000	-13.624481	30	1	0	'0 0 0 0 	14.943250	14.943250	14.943250	14.943250	0.000000	0.014959	0.000301	0.984740	
31000	-13.466245	893	1	0	'0 0 0 0 	14.934397	14.934397	14.934397	14.934397	0.000000	0.000147	0.000256	0.999597	
32000	-14.382409	978	1	0	'0 0 0 0 	12.196123	12.196123	12.196123	12.196123	0.000000	0.007157	0.000180	0.992663	
33000	-13.281598	189	1	0	'0 0 0 0 	23.146349	23.146349	23.146349	23.146349	0.000000	0.007640	0.000784	0.991576	
34000	-13.483479	782	1	0	'0 0 0 0 	16.203676	16.203676	16.203676	16.203676	0.000000	0.028544	0.000318	0.971138	
35000	-13.476444	639	1	0	'0 0 0 0 	17.558634	17.558634	17.558634	17.558634	0.000000	0.010899	0.000464	0.988638	
36000	-12.545069	365	1	0	'0 0 0 0 	32.428914	32.428914	32.428914	32.428914	0.000000	0.009843	0.002274	0.987883	
37000	-13.421138	473	1	0	'0 0 0 0 	11.984565	11.984565	11.984565	11.984565	0.000000	0.013652	0.000285	0.986063	
38000	-14.173525	173	1	0	'0 0 0 0 	15.021067	15.021067	15.021067	15.021067	0.000000	0.007641	0.000544	0.991815	
39000	-12.366880	232	1	0	'0 0 0 0 	28.010571	28.010571	28.010571	28.010571	0.000000	0.035541	0.000333	0.964126	
40000	-13.166288	428	1	0	'0 0 0 0 	19.516294	19.516294	19.516294	19.516294	0.000000	0.008999	0.000502	0.990499	
41000	-12.572582	464	1	0	'0 0 0 0 	33.537360	33.537360	33.537360	33.537360	0.000000	0.017031	0.000854	0.982115	
42000	-13.809300	956	1	0	'0 0 0 0 	13.966992	13.966992	13.966992	13.966992	0.000000	0.009688	0.000164	0.990149	
43000	-16.108268	44	1	0	'0 0 0 0 	9.436850	9.436850	9.436850	9.436850	0.000000	0.010561	0.000084	0.989355	
44000	-12.561002	892	1	0	'0 0 0 0 	27.551618	27.551618	27.551618	27.551618	0.000000	0.003429	0.001684	0.994887	
45000	-12.986828	28	1	0	'0 0 0 0 	26.337862	26.337862	26.337862	26.337862	0.000000	0.014551	0.001216	0.984234	
46000	-14.109363	982	1	0	'0 0 0 0 	12.199173	12.199173	12.199173	12.199173	0.000000	0.004109	0.000299	0.995593	
47000	-12.428977	748	1	1	'Z 0 0 0 	0.000000	34.939810	34.939810	34.939810	0.000000	0.000000	0.002162	0.997838	
48000	-16.015242	67	1	0	'0 0 0 0 	5.771759	5.771759	5.771759	5.771759	0.000000	0.005370	0.000040	0.994591	
49000	-15.272367	693	1	0	'0 0 0 0 	9.421772	9.421772	9.421772	9.421772	0.000000	0.004925	0.000171	0.994904	
50000	-12.875535	55	1	0	'0 0 0 0 	32.556122	32.556122	32.556122	32.556122	0.000000	0.024514	0.001414	0.974072	
51000	-12.724079	436	1	0	'0 0 0 0 	38.386891	38.386891	38.386891	38.386891	0.000000	0.015639	0.002452	0.981909	
52000	-12.540189	180	1	0	'0 0 0 0 	28.381263	28.381263	28.381263	28.381263	0.000000	0.004783	0.002027	0.993191	
53000	-12.948923	197	1	0	'0 0 0 0 	25.534825	25.534825	25.534825	25.534825	0.000000	0.023683	0.000620	0.975697	
54000	-12.852911	18	1	0	'0 0 0 0 	23.490548	23.490548	23.490548	23.490548	0.000000	0.000459	0.000866	0.998675	
55000	-13.308721	608	1	0	'0 0 0 0 	20.731558	20.731558	20.731558	20.731558	0.000000	0.005677	0.002008	0.992315	
56000	-12.686243	37	1	0	'0 0 0 0 	26.870092	26.870092	26.870092	26.870092	0.000000	0.035681	0.000313	0.964006	
57000	-13.300828	970	1	0	'0 0 0 0 	13.162149	13.162149	13.162149	13.162149	0.000000	0.007648	0.000263	0.992090	
58000	-12.486219	823	1	0	'0 0 0 0 	27.724720	27.724720	27.724720	27.724720	0.000000	0.001397	0.001658	0.996945	
59000	-12.935494	561	1	0	'0 0 0 0 	19.966017	19.966017	19.966017	19.966017	0.000000	0.003898	0.000763	0.995339	
60000	-13.149324	427	1	0	'0 0 0 0 	71.248830	71.248830	71.248830	71.248830	0.000000	0.032666	0.003867	0.963467	
61000	-13.101624	756	1	0	'0 0 0 0 	21.905338	21.905338	21.905338	21.905338	0.000000	0.012815	0.000241	0.986944	
62000	-13.222455	153	1	0	'0 0 0 0 	16.709382	16.709382	16.709382	16.709382	0.000000	0.012967	0.000485	0.986548	
63000	-13.217268	315	1	0	'0 0 0 0 	21.875248	21.875248	21.875248	21.875248	0.000000	0.021872	0.000835	0.977293	
64000	-12.710733	43	1	0	'0 0 0 0 	21.956739	21.956739	21.956739	21.956739	0.000000	0.012383	0.000667	0.986950	
65000	-12.984342	640	1	0	'0 0 0 0 	34.599156	34.599156	34.599156	34.599156	0.000000	0.037639	0.001049	0.961312	
66000	-12.902631	597	1	0	'0 0 0 0 	15.435502	15.435502	15.435502	15.435502	0.000000	0.005719	0.000264	0.994017	
67000	-14.395438	315	1	0	'0 0 0 0 	12.354315	12.354315	12.354315	12.354315	0.000000	0.017489	0.000265	0.982247	
68000	-13.084661	94	1	0	'0 0 0 0 	32.711058	32.711058	32.711058	32.711058	0.000000	0.054975	0.001398	0.943627	
69000	-13.189037	80	1	0	'0 0 0 0 	25.868552	25.868552	25.868552	25.868552	0.000000	0.011233	0.001026	0.987741	
70000	-15.155554	623	1	1	'0 0 Z 0 	7.410379	7.410379	0.000000	7.410379	0.000000	0.006238	0.000000	0.993762	
71000	-13.975941	591	1	0	'0 0 0 0 	12.424278	12.424278	12.424278	12.424278	0.000000	0.015086	0.000227	0.984687	
72000	-13.616987	616	1	0	'0 0 0 0 	15.554050	15.554050	15.554050	15.554050	0.000000	0.022470	0.000269	0.977260	
73000	-14.044892	546	1	0	'0 0 0 0 	13.660792	13.660792	13.660792	13.660792	0.000000	0.006774	0.000175	0.993052	
74000	-13.761979	420	1	0	'0 0 0 0 	14.896092	14.896092	14.896092	14.896092	0.000000	0.022541	0.000167	0.977292	
75000	-13.568416	127	1	0	'0 0 0 0 	10.539827	10.539827	10.539827	10.539827	0.000000	0.003813	0.000119	0.996068	
76000	-13.021526	223	1	0	'0 0 0 0 	29.618161	29.618161	29.618161	29.618161	0.000000	0.001030	0.003282	0.995688	
77000	-12.503162	473	1	0	'0 0 0 0 	23.218893	23.218893	23.218893	23.218893	0.000000	0.026210	0.001090	0.972700	
78000	-12.781609	661	1	0	'0 0 0 0 	21.955108	21.955108	21.955108	21.955108	0.000000	0.006894	0.001125	0.991981	
79000	-13.779056	929	1	0	'0 0 0 0 	13.217658	13.217658	13.217658	13.217658	0.000000	0.007958	0.000124	0.991918	
80000	-12.415090	14	1	0	'0 0 0 0 	28.826338	28.826338	28.826338	28.826338	0.000000	0.025421	0.000966	0.973613	
81000	-13.231407	224	1	0	'0 0 0 0 	16.161605	16.161605	16.161605	16.161605	0.000000	0.003286	0.003317	0.993397	
82000	-13.049883	581	1	0	'0 0 0 0 	31.363436	31.363436	31.363436	31.363436	0.000000	0.038223	0.000657	0.961120	
83000	-13.043125	690	1	0	'0 0 0 0 	25.617803	25.617803	25.617803	25.617803	0.000000	0.018860	0.000660	0.980480	
84000	-13.094979	278	1	0	'0 0 0 0 	45.983812	45.983812	45.983812	45.983812	0.000000	0.067733	0.003029	0.929238	
85000	-16.903148	879	1	0	'0 0 0 0 	6.602611	6.602611	6.602611	6.602611	0.000000	0.000998	0.000030	0.998972	
86000	-12.745440	347	1	0	'0 0 0 0 	31.374030	31.374030	31.374030	31.374030	0.000000	0.004989	0.001402	0.993609	
87000	-13.461175	154	1	0	'0 0 0 0 	21.366904	21.366904	21.366904	21.366904	0.000000	0.005491	0.001261	0.993249	
88000	-12.815343	882	1	0	'0 0 0 0 	27.188387	27.188387	27.188387	27.188387	0.000000	0.000259	0.007165	0.992576	
89000	-14.912907	588	1	0	'0 0 0 0 	10.120919	10.120919	10.120919	10.120919	0.000000	0.001969	0.000209	0.997821	
90000	-13.407514	121	1	0	'0 0 0 0 	27.610807	27.610807	27.610807	27.610807	0.000000	0.029029	0.000514	0.970457	
91000	-13.047434	645	1	0	'0 0 0 0 	34.135785	34.135785	34.135785	34.135785	0.000000	0.023112	0.000724	0.976165	
92000	-12.987144	897	1	0	'0 0 0 0 	29.698463	29.698463	29.698463	29.698463	0.000000	0.032990	0.002356	0.964654	
93000	-12.903968	650	1	0	'0 0 0 0 	14.298595	14.298595	14.298595	14.298595	0.000000	0.021675	0.000181	0.978145	
94000	-12.210811	761	1	0	'0 0 0 0 	33.833699	33.833699	33.833699	33.833699	0.000000	0.039832	0.000337	0.959831	
95000	-12.471811	528	1	0	'0 0 0 0 	35.664441	35.664441	35.664441	35.664441	0.000000	0.016107	0.002785	0.981108	
96000	-13.096717	200	1	0	'0 0 0 0 	20.126094	20.126094	20.126094	20.126094	0.000000	0.025285	0.000585	0.974130	
97000	-14.542955	390	1	0	'0 0 0 0 	12.926985	12.926985	12.926985	12.926985	0.000000	0.003754	0.000195	0.996050	
98000	-13.567439	884	1	0	'0 0 0 0 	17.919380	17.919380	17.919380	17.919380	0.000000	0.024803	0.000453	0.974744	
99000	-13.879808	13	1	0	'0 0 0 0 	11.520558	11.520558	11.520558	11.520558	0.000000	0.008205	0.000215	0.991580	
100000	-12.713060	252	1	1	'Z 0 0 0 	0.000000	33.249914	33.249914	33.249914	0.000000	0.000000	0.005951	0.994049	
101000	-14.489535	115	1	0	'0 0 0 0 	11.091755	11.091755	11.091755	11.091755	0.000000	0.007384	0.000074	0.992542	
102000	-12.860549	819	1	0	'0 0 0 0 	22.623727	22.623727	22.623727	22.623727	0.000000	0.001143	0.004588	0.994270	
103000	-15.402036	630	1	0	'0 0 0 0 	8.376030	8.376030	8.376030	8.376030	0.000000	0.001436	0.000259	0.998305	
104000	-13.822464	764	1	0	'0 0 0 0 	14.527092	14.527092	14.527092	14.527092	0.000000	0.000082	0.002562	0.997355	
105000	-13.152903	608	1	0	'0 0 0 0 	23.277531	23.277531	23.277531	23.277531	0.000000	0.006343	0.002528	0.991130	
106000	-13.327511	33	1	0	'0 0 0 0 	26.594243	26.594243	26.594243	26.594243	0.000000	0.012310	0.001193	0.986497	
107000	-13.889851	872	1	0	'0 0 0 0 	20.816897	20.816897	20.816897	20.816897	0.000000	0.026586	0.000345	0.973070	
108000	-14.000851	572	1	0	'0 0 0 0 	13.682051	13.682051	13.682051	13.682051	0.000000	0.005476	0.000771	0.993754	
109000	-12.587503	301	1	0	'0 0 0 0 	31.787410	31.787410	31.787410	31.787410	0.000000	0.021494	0.001385	0.977121	
110000	-13.100266	889	1	0	'0 0 0 0 	17.296540	17.296540	17.296540	17.296540	0.000000	0.000184	0.001697	0.998119	
111000	-12.904563	507	1	0	'0 0 0 0 	28.259063	28.259063	28.259063	28.259063	0.000000	0.045601	0.001656	0.952743	
112000	-16.074072	848	1	0	'0 0 0 0 	7.148134	7.148134	7.148134	7.148134	0.000000	0.004405	0.000080	0.995515	
113000	-14.085540	43	1	0	'0 0 0 0 	11.035069	11.035069	11.035069	11.035069	0.000000	0.006369	0.000168	0.993464	
114000	-13.102734	199	1	0	'0 0 0 0 	17.860777	17.860777	17.860777	17.860777	0.000000	0.029760	0.000724	0.969516	
115000	-13.090693	499	1	0	'0 0 0 0 	29.878596	29.878596	29.878596	29.878596	0.000000	0.006313	0.009985	0.983703	
116000	-14.616932	128	2	0	'0 1 0 1 	24.271442	9.930455	24.271442	9.930455	0.000000	0.091959	0.007983	0.900058	
117000	-13.050624	605	1	0	'0 0 0 0 	17.497112	17.497112	17.497112	17.497112	0.000000	0.006208	0.000688	0.993104	
118000	-14.229795	764	1	0	'0 0 0 0 	12.351130	12.351130	12.351130	12.351130	0.000000	0.000055	0.002114	0.997831	
119000	-12.991351	970	1	0	'0 0 0 0 	15.686283	15.686283	15.686283	15.686283	0.000000	0.009109	0.000377	0.990514	
120000	-14.593729	750	1	0	'0 0 0 0 	14.243689	14.243689	14.243689	14.243689	0.000000	0.008633	0.000270	0.991097	
121000	-16.343681	891	1	0	'0 0 0 0 	6.349553	6.349553	6.349553	6.349553	0.000000	0.007801	0.000050	0.992149	
122000	-13.099602	679	1	0	'0 0 0 0 	21.827436	21.827436	21.827436	21.827436	0.000000	0.003306	0.000960	0.995734	
123000	-13.499806	676	1	0	'0 0 0 0 	16.321865	16.321865	16.321865	16.321865	0.000000	0.031629	0.000390	0.967981	
124000	-13.129861	219	1	0	'0 0 0 0 	18.753382	18.753382	18.753382	18.753382	0.000000	0.000440	0.002160	0.997400	
125000	-14.101153	287	1	0	'0 0 0 0 	12.733965	12.733965	12.733965	12.733965	0.000000	0.010872	0.000049	0.989079	
126000	-13.956822	48	1	0	'0 0 0 0 	10.826101	10.826101	10.826101	10.826101	0.000000	0.007702	0.000190	0.992108	
127000	-15.186909	439	1	0	'0 0 0 0 	6.998886	6.998886	6.998886	6.998886	0.000000	0.008555	0.000101	0.991344	
128000	-12.617556	543	1	0	'0 0 0 0 	37.995254	37.995254	37.995254	37.995254	0.000000	0.015491	0.002140	0.982370	
129000	-14.397027	154	1	0	'0 0 0 0 	13.503231	13.503231	13.503231	13.503231	0.000000	0.003521	0.000503	0.995976	
130000	-14.126673	809	1	0	'0 0 0 0 	15.178451	15.178451	15.178451	15.178451	0.000000	0.010319	0.000156	0.989525	
131000	-13.981804	102	1	0	'0 0 0 0 	10.481611	10.481611	10.481611	10.481611	0.000000	0.000051	0.000187	0.999762	
132000	-13.315392	642	1	0	'0 0 0 0 	16.658029	16.658029	16.658029	16.658029	0.000000	0.017737	0.000331	0.981932	
133000	-13.491410	696	1	0	'0 0 0 0 	20.578800	20.578800	20.578800	20.578800	0.000000	0.009848	0.000608	0.989544	
134000	-14.791174	60	2	0	'1 1 0 1 	11.886650	11.886650	6.733191	11.886650	0.000000	0.000621	0.000492	0.998887	
135000	-13.338311	468	1	0	'0 0 0 0 	28.288787	28.288787	28.288787	28.288787	0.000000	0.064377	0.001488	0.934135	
