Steppingstone sampler:
        No Stones:                  100
        Start It:                   10010001
        It Per Stone:               1000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.975187	750	-0.329160	-0.329160
1	0.950747	750	-0.325484	-0.654644
2	0.926679	750	-0.315729	-0.970373
3	0.902980	750	-0.311889	-1.282262
4	0.879648	750	-0.310805	-1.593067
5	0.856682	750	-0.303726	-1.896793
6	0.834079	750	-0.302593	-2.199386
7	0.811838	750	-0.297265	-2.496651
8	0.789957	750	-0.290070	-2.786720
9	0.768433	750	-0.288674	-3.075395
10	0.747266	750	-0.281336	-3.356730
11	0.726452	750	-0.280703	-3.637433
12	0.705989	750	-0.274916	-3.912349
13	0.685877	750	-0.270799	-4.183148
14	0.666112	750	-0.266019	-4.449167
15	0.646693	750	-0.260211	-4.709378
16	0.627618	750	-0.256639	-4.966017
17	0.608884	750	-0.254563	-5.220580
18	0.590490	750	-0.249355	-5.469935
19	0.572433	750	-0.247384	-5.717319
20	0.554712	750	-0.244306	-5.961625
21	0.537324	750	-0.238475	-6.200101
22	0.520268	750	-0.233421	-6.433522
23	0.503540	750	-0.229540	-6.663062
24	0.487139	750	-0.226165	-6.889226
25	0.471063	750	-0.222334	-7.111560
26	0.455310	750	-0.214880	-7.326440
27	0.439877	750	-0.210626	-7.537066
28	0.424762	750	-0.210261	-7.747327
29	0.409963	750	-0.203432	-7.950759
30	0.395478	750	-0.202187	-8.152947
31	0.381305	750	-0.196948	-8.349895
32	0.367440	750	-0.195795	-8.545690
33	0.353883	750	-0.189899	-8.735589
34	0.340630	750	-0.183170	-8.918759
35	0.327680	750	-0.180027	-9.098786
36	0.315030	750	-0.178097	-9.276883
37	0.302677	750	-0.178809	-9.455692
38	0.290619	750	-0.172816	-9.628509
39	0.278855	750	-0.167775	-9.796284
40	0.267381	750	-0.163046	-9.959330
41	0.256195	750	-0.161687	-10.121017
42	0.245294	750	-0.158087	-10.279104
43	0.234677	750	-0.148801	-10.427906
44	0.224340	750	-0.148027	-10.575932
45	0.214281	750	-0.146830	-10.722762
46	0.204498	750	-0.140860	-10.863622
47	0.194988	750	-0.140479	-11.004101
48	0.185749	750	-0.133710	-11.137811
49	0.176777	750	-0.132833	-11.270645
50	0.168070	750	-0.127755	-11.398399
51	0.159626	750	-0.123989	-11.522388
52	0.151441	750	-0.118053	-11.640442
53	0.143514	750	-0.116271	-11.756713
54	0.135841	750	-0.113856	-11.870569
55	0.128420	750	-0.107955	-11.978524
56	0.121247	750	-0.105515	-12.084039
57	0.114320	750	-0.100272	-12.184311
58	0.107637	750	-0.100173	-12.284484
59	0.101193	750	-0.098043	-12.382527
60	0.094986	750	-0.096175	-12.478701
61	0.089014	750	-0.091504	-12.570205
62	0.083273	750	-0.087908	-12.658113
63	0.077760	750	-0.082591	-12.740705
64	0.072472	750	-0.078570	-12.819274
65	0.067406	750	-0.076490	-12.895764
66	0.062558	750	-0.074214	-12.969979
67	0.057926	750	-0.071201	-13.041179
68	0.053506	750	-0.067085	-13.108265
69	0.049295	750	-0.068749	-13.177013
70	0.045289	750	-0.068151	-13.245165
71	0.041485	750	-0.058970	-13.304134
72	0.037880	750	-0.056800	-13.360934
73	0.034469	750	-0.053918	-13.414852
74	0.031250	750	-0.050280	-13.465132
75	0.028218	750	-0.048508	-13.513641
76	0.025370	750	-0.043777	-13.557418
77	0.022702	750	-0.041571	-13.598988
78	0.020209	750	-0.038958	-13.637947
79	0.017889	750	-0.035329	-13.673275
80	0.015736	750	-0.036845	-13.710121
81	0.013746	750	-0.034215	-13.744336
82	0.011916	750	-0.055269	-13.799605
83	0.010240	750	-0.025837	-13.825441
84	0.008714	750	-0.025521	-13.850962
85	0.007334	750	-0.030501	-13.881464
86	0.006093	750	-0.110215	-13.991678
87	0.004988	750	-0.101548	-14.093227
88	0.004013	750	-0.058243	-14.151469
89	0.003162	750	-0.013034	-14.164503
90	0.002430	750	-0.011163	-14.175666
91	0.001810	750	-0.029295	-14.204961
92	0.001296	750	-0.008157	-14.213118
93	0.000882	750	-0.008518	-14.221637
94	0.000559	750	-0.005148	-14.226785
95	0.000320	750	-0.003930	-14.230714
96	0.000156	750	-0.002577	-14.233291
97	0.000057	750	-0.001557	-14.234848
98	0.000010	750	-0.000730	-14.235578
99	0.000000	750	-0.000168	-14.235747
Log marginal likelihood:	-14.235747
