Rate	83.33
Tree Move	16.67
Rate Tried	% Accepted	Tree Move Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
805	0.248447	195	0.666667	2.181684	805	0.248447	0.330000	0.283338	
810	0.244444	190	0.536842	2.181684	810	0.244444	0.300000	0.284726	
814	0.248157	186	0.564516	2.181684	814	0.248157	0.307000	0.286440	
836	0.302632	164	0.646341	2.181684	836	0.302632	0.359000	0.291622	
812	0.284483	188	0.638298	2.181684	812	0.284483	0.351000	0.295580	
820	0.264634	180	0.644444	2.181684	820	0.264634	0.333000	0.297919	
809	0.273177	191	0.670157	2.181684	809	0.273177	0.349000	0.300923	
825	0.336970	175	0.508571	2.181684	825	0.336970	0.367000	0.304594	
805	0.262112	195	0.558974	2.181684	805	0.262112	0.320000	0.305405	
837	0.254480	163	0.570552	2.181684	837	0.254480	0.306000	0.305435	
776	0.212629	224	0.642857	2.181684	776	0.212629	0.309000	0.305604	
796	0.242462	204	0.647059	2.181684	796	0.242462	0.325000	0.306486	
829	0.289505	171	0.631579	2.181684	829	0.289505	0.348000	0.308291	
816	0.254902	184	0.652174	2.181684	816	0.254902	0.328000	0.309112	
826	0.227603	174	0.632184	2.181684	826	0.227603	0.298000	0.308668	
814	0.201474	186	0.612903	2.181684	814	0.201474	0.278000	0.307488	
808	0.205446	192	0.583333	2.181684	808	0.205446	0.278000	0.306396	
818	0.272616	182	0.593407	2.181684	818	0.272616	0.331000	0.307275	
823	0.261239	177	0.677966	2.181684	823	0.261239	0.335000	0.308231	
823	0.273390	177	0.666667	2.181684	823	0.273390	0.343000	0.309390	
838	0.230310	162	0.660494	2.181684	838	0.230310	0.300000	0.309087	
819	0.278388	181	0.618785	2.181684	819	0.278388	0.340000	0.310053	
843	0.247924	157	0.700637	2.181684	843	0.247924	0.319000	0.310324	
813	0.249692	187	0.582888	2.181684	813	0.249692	0.312000	0.310373	
817	0.280294	183	0.617486	2.181684	817	0.280294	0.342000	0.311277	
826	0.256659	174	0.678161	2.181684	826	0.256659	0.330000	0.311797	
799	0.252816	201	0.666667	2.181684	799	0.252816	0.336000	0.312451	
797	0.210790	203	0.660099	2.181684	797	0.210790	0.302000	0.312176	
825	0.244848	175	0.594286	2.181684	825	0.244848	0.306000	0.312018	
833	0.241297	167	0.616766	2.181684	833	0.241297	0.304000	0.311817	
828	0.256039	172	0.622093	2.181684	828	0.256039	0.319000	0.311992	
822	0.256691	178	0.561798	2.181684	822	0.256691	0.311000	0.311969	
800	0.243750	200	0.645000	2.181684	800	0.243750	0.324000	0.312249	
818	0.282396	182	0.626374	2.181684	818	0.282396	0.345000	0.312993	
815	0.255215	185	0.621622	2.181684	815	0.255215	0.323000	0.313215	
815	0.255215	185	0.583784	2.181684	815	0.255215	0.316000	0.313276	
845	0.255621	155	0.567742	2.181684	845	0.255621	0.304000	0.313078	
821	0.258222	179	0.670391	2.181684	821	0.258222	0.332000	0.313473	
817	0.248470	183	0.551913	2.181684	817	0.248470	0.304000	0.313279	
789	0.258555	211	0.696682	2.181684	789	0.258555	0.351000	0.314034	
821	0.248477	179	0.603352	2.181684	821	0.248477	0.312000	0.313994	
808	0.236386	192	0.697917	2.181684	808	0.236386	0.325000	0.314205	
814	0.235872	186	0.704301	2.181684	814	0.235872	0.323000	0.314371	
826	0.246973	174	0.557471	2.181684	826	0.246973	0.301000	0.314124	
828	0.221014	172	0.668605	2.181684	828	0.221014	0.298000	0.313831	
823	0.269745	177	0.593220	2.181684	823	0.269745	0.327000	0.314066	
811	0.245376	189	0.608466	2.181684	811	0.245376	0.314000	0.314065	
819	0.267399	181	0.657459	2.181684	819	0.267399	0.338000	0.314477	
805	0.231056	195	0.702564	2.181684	805	0.231056	0.323000	0.314622	
806	0.308933	194	0.649485	2.181684	806	0.308933	0.375000	0.315628	
831	0.291215	169	0.627219	2.181684	831	0.291215	0.348000	0.316159	
836	0.242823	164	0.615854	2.181684	836	0.242823	0.304000	0.315963	
816	0.280637	184	0.597826	2.181684	816	0.280637	0.339000	0.316328	
825	0.249697	175	0.651429	2.181684	825	0.249697	0.320000	0.316386	
811	0.189889	189	0.666667	2.181684	811	0.189889	0.280000	0.315826	
817	0.462668	183	0.579235	1.204027	817	0.462668	0.484000	0.318374	
834	0.422062	166	0.608434	1.457762	834	0.422062	0.453000	0.320383	
818	0.158924	182	0.692308	2.591334	818	0.158924	0.256000	0.319436	
822	0.315085	178	0.595506	1.851706	822	0.315085	0.365000	0.320097	
838	0.316229	162	0.555556	1.851706	838	0.316229	0.355000	0.320595	
799	0.300375	201	0.636816	1.851706	799	0.300375	0.368000	0.321263	
814	0.319410	186	0.602151	1.851706	814	0.319410	0.372000	0.321968	
823	0.319563	177	0.649718	1.851706	823	0.319563	0.378000	0.322735	
809	0.284302	191	0.586387	1.851706	809	0.284302	0.342000	0.322996	
851	0.344301	149	0.563758	1.851706	851	0.344301	0.377000	0.323716	
793	0.291299	207	0.608696	1.851706	793	0.291299	0.357000	0.324154	
811	0.327990	189	0.592593	1.851706	811	0.327990	0.378000	0.324853	
798	0.332080	202	0.613861	1.851706	798	0.332080	0.389000	0.325675	
825	0.352727	175	0.582857	1.851706	825	0.352727	0.393000	0.326528	
809	0.337454	191	0.560209	1.851706	809	0.337454	0.380000	0.327196	
796	0.344221	204	0.578431	1.851706	796	0.344221	0.392000	0.327996	
826	0.306295	174	0.643678	1.851706	826	0.306295	0.365000	0.328447	
835	0.308982	165	0.690909	1.851706	835	0.308982	0.372000	0.328972	
841	0.322235	159	0.660377	1.851706	841	0.322235	0.376000	0.329532	
813	0.308733	187	0.684492	1.851706	813	0.308733	0.379000	0.330114	
817	0.337821	183	0.606557	1.851706	817	0.337821	0.387000	0.330775	
808	0.344059	192	0.572917	1.851706	808	0.344059	0.388000	0.331433	
804	0.320896	196	0.729592	1.851706	804	0.320896	0.401000	0.332223	
