Rate	83.33
Tree Move	16.67
Rate Tried	% Accepted	Tree Move Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
823	0.318348	177	0.779661	1.969381	823	0.318348	0.400000	0.332061	
840	0.342857	160	0.781250	1.969381	840	0.342857	0.413000	0.338805	
822	0.326034	178	0.786517	1.969381	822	0.326034	0.408000	0.344127	
854	0.290398	146	0.835616	1.969381	854	0.290398	0.370000	0.345975	
820	0.321951	180	0.838889	1.969381	820	0.321951	0.415000	0.350577	
838	0.300716	162	0.833333	1.969381	838	0.300716	0.387000	0.352853	
838	0.309069	162	0.746914	1.969381	838	0.309069	0.380000	0.354450	
845	0.312426	155	0.774194	1.969381	845	0.312426	0.384000	0.356091	
830	0.320482	170	0.776471	1.969381	830	0.320482	0.398000	0.358297	
816	0.321078	184	0.760870	1.969381	816	0.321078	0.402000	0.360482	
856	0.308411	144	0.812500	1.969381	856	0.308411	0.381000	0.361459	
837	0.308244	163	0.785276	1.969381	837	0.308244	0.386000	0.362574	
852	0.315728	148	0.810811	1.969381	852	0.315728	0.389000	0.363723	
836	0.291866	164	0.835366	1.969381	836	0.291866	0.381000	0.364443	
835	0.294611	165	0.739394	1.969381	835	0.294611	0.368000	0.364585	
842	0.289786	158	0.791139	1.969381	842	0.289786	0.369000	0.364755	
832	0.330529	168	0.755952	1.969381	832	0.330529	0.402000	0.366135	
831	0.312876	169	0.804734	1.969381	831	0.312876	0.396000	0.367201	
836	0.318182	164	0.798780	1.969381	836	0.318182	0.397000	0.368229	
848	0.310142	152	0.763158	1.969381	848	0.310142	0.379000	0.368588	
839	0.303933	161	0.838509	1.969381	839	0.303933	0.390000	0.369278	
843	0.304864	157	0.777070	1.969381	843	0.304864	0.379000	0.369582	
832	0.306490	168	0.857143	1.969381	832	0.306490	0.399000	0.370474	
826	0.274818	174	0.810345	1.969381	826	0.274818	0.368000	0.370401	
840	0.296429	160	0.812500	1.969381	840	0.296429	0.379000	0.370647	
844	0.300948	156	0.820513	1.969381	844	0.300948	0.382000	0.370962	
825	0.282424	175	0.805714	1.969381	825	0.282424	0.374000	0.371044	
829	0.311218	171	0.730994	1.969381	829	0.311218	0.383000	0.371359	
840	0.283333	160	0.843750	1.969381	840	0.283333	0.373000	0.371401	
814	0.325553	186	0.860215	1.969381	814	0.325553	0.425000	0.372741	
825	0.284848	175	0.771429	1.969381	825	0.284848	0.370000	0.372674	
851	0.338425	149	0.765101	1.969381	851	0.338425	0.402000	0.373372	
827	0.303507	173	0.820809	1.969381	827	0.303507	0.393000	0.373829	
835	0.298204	165	0.800000	1.969381	835	0.298204	0.381000	0.373992	
819	0.323565	181	0.740331	1.969381	819	0.323565	0.399000	0.374547	
827	0.281741	173	0.838150	1.969381	827	0.281741	0.378000	0.374622	
827	0.282950	173	0.774566	1.969381	827	0.282950	0.368000	0.374481	
836	0.356459	164	0.713415	1.969381	836	0.356459	0.415000	0.375326	
803	0.295143	197	0.832487	1.969381	803	0.295143	0.401000	0.375849	
855	0.307602	145	0.820690	1.969381	855	0.307602	0.382000	0.375972	
823	0.317132	177	0.790960	1.969381	823	0.317132	0.401000	0.376463	
832	0.319712	168	0.815476	1.969381	832	0.319712	0.403000	0.376974	
804	0.300995	196	0.780612	1.969381	804	0.300995	0.395000	0.377314	
820	0.306098	180	0.794444	1.969381	820	0.306098	0.394000	0.377623	
809	0.332509	191	0.832461	1.969381	809	0.332509	0.428000	0.378539	
817	0.298654	183	0.846995	1.969381	817	0.298654	0.399000	0.378904	
809	0.322621	191	0.795812	1.969381	809	0.322621	0.413000	0.379502	
824	0.283981	176	0.823864	1.969381	824	0.283981	0.379000	0.379493	
824	0.320388	176	0.761364	1.969381	824	0.320388	0.398000	0.379807	
811	0.303329	189	0.767196	1.969381	811	0.303329	0.391000	0.379994	
842	0.309976	158	0.829114	1.969381	842	0.309976	0.392000	0.380190	
845	0.293491	155	0.806452	1.969381	845	0.293491	0.373000	0.380075	
836	0.308612	164	0.762195	1.969381	836	0.308612	0.383000	0.380121	
834	0.316547	166	0.783133	1.969381	834	0.316547	0.394000	0.380338	
839	0.327771	161	0.807453	1.969381	839	0.327771	0.405000	0.380717	
827	0.298670	173	0.803468	1.969381	827	0.298670	0.386000	0.380797	
829	0.328106	171	0.795322	1.969381	829	0.328106	0.408000	0.381203	
828	0.281401	172	0.831395	1.969381	828	0.281401	0.376000	0.381127	
836	0.343301	164	0.804878	1.969381	836	0.343301	0.419000	0.381676	
834	0.323741	166	0.771084	1.969381	834	0.323741	0.398000	0.381909	
816	0.312500	184	0.777174	1.969381	816	0.312500	0.398000	0.382135	
829	0.313631	171	0.771930	1.969381	829	0.313631	0.392000	0.382272	
825	0.320000	175	0.800000	1.969381	825	0.320000	0.404000	0.382570	
820	0.300000	180	0.827778	1.969381	820	0.300000	0.395000	0.382738	
833	0.303721	167	0.850299	1.969381	833	0.303721	0.395000	0.382902	
852	0.282864	148	0.777027	1.969381	852	0.282864	0.356000	0.382548	
823	0.341434	177	0.830508	1.969381	823	0.341434	0.428000	0.383138	
853	0.329426	147	0.850340	1.969381	853	0.329426	0.406000	0.383431	
836	0.336124	164	0.798780	1.969381	836	0.336124	0.412000	0.383793	
830	0.295181	170	0.800000	1.969381	830	0.295181	0.381000	0.383758	
856	0.309579	144	0.847222	1.969381	856	0.309579	0.387000	0.383798	
825	0.317576	175	0.851429	1.969381	825	0.317576	0.411000	0.384129	
837	0.297491	163	0.766871	1.969381	837	0.297491	0.374000	0.384007	
848	0.306604	152	0.861842	1.969381	848	0.306604	0.391000	0.384091	
851	0.305523	149	0.798658	1.969381	851	0.305523	0.379000	0.384031	
838	0.295943	162	0.876543	1.969381	838	0.295943	0.390000	0.384100	
838	0.298329	162	0.765432	1.969381	838	0.298329	0.374000	0.383984	
833	0.333733	167	0.826347	1.969381	833	0.333733	0.416000	0.384348	
859	0.310827	141	0.808511	1.969381	859	0.310827	0.381000	0.384310	
827	0.309553	173	0.832370	1.969381	827	0.309553	0.400000	0.384485	
831	0.303249	169	0.745562	1.969381	831	0.303249	0.378000	0.384413	
852	0.285211	148	0.851351	1.969381	852	0.285211	0.369000	0.384246	
856	0.315421	144	0.888889	1.969381	856	0.315421	0.398000	0.384394	
826	0.297821	174	0.827586	1.969381	826	0.297821	0.390000	0.384453	
850	0.332941	150	0.713333	1.969381	850	0.332941	0.390000	0.384512	
855	0.313450	145	0.779310	1.969381	855	0.313450	0.381000	0.384475	
836	0.320574	164	0.871951	1.969381	836	0.320574	0.411000	0.384749	
841	0.330559	159	0.691824	1.969381	841	0.330559	0.388000	0.384782	
838	0.348449	162	0.790123	1.969381	838	0.348449	0.420000	0.385138	
852	0.319249	148	0.743243	1.969381	852	0.319249	0.382000	0.385106	
811	0.282367	189	0.814815	1.969381	811	0.282367	0.383000	0.385085	
851	0.260870	149	0.812081	1.969381	851	0.260870	0.343000	0.384673	
840	0.308333	160	0.800000	1.969381	840	0.308333	0.387000	0.384695	
834	0.335731	166	0.777108	1.969381	834	0.335731	0.409000	0.384929	
815	0.301840	185	0.805405	1.969381	815	0.301840	0.395000	0.385025	
835	0.313772	165	0.806061	1.969381	835	0.313772	0.395000	0.385119	
834	0.261391	166	0.897590	1.969381	834	0.261391	0.367000	0.384950	
845	0.320710	155	0.864516	1.969381	845	0.320710	0.405000	0.385135	
835	0.301796	165	0.830303	1.969381	835	0.301796	0.389000	0.385171	
821	0.283800	179	0.793296	1.969381	821	0.283800	0.375000	0.385078	
825	0.304242	175	0.765714	1.969381	825	0.304242	0.385000	0.385078	
832	0.311298	168	0.839286	1.969381	832	0.311298	0.400000	0.385211	
849	0.338045	151	0.741722	1.969381	849	0.338045	0.399000	0.385333	
839	0.358760	161	0.807453	1.969381	839	0.358760	0.431000	0.385733	
837	0.297491	163	0.803681	1.969381	837	0.297491	0.380000	0.385684	
857	0.322054	143	0.818182	1.969381	857	0.322054	0.393000	0.385747	
839	0.332539	161	0.801242	1.969381	839	0.332539	0.408000	0.385937	
826	0.315981	174	0.752874	1.969381	826	0.315981	0.392000	0.385988	
845	0.327811	155	0.864516	1.969381	845	0.327811	0.411000	0.386198	
815	0.309202	185	0.832432	1.969381	815	0.309202	0.406000	0.386363	
833	0.290516	167	0.850299	1.969381	833	0.290516	0.384000	0.386344	
833	0.337335	167	0.766467	1.969381	833	0.337335	0.409000	0.386530	
839	0.319428	161	0.819876	1.969381	839	0.319428	0.400000	0.386639	
828	0.342995	172	0.773256	1.969381	828	0.342995	0.417000	0.386884	
843	0.323843	157	0.815287	1.969381	843	0.323843	0.401000	0.386997	
839	0.296782	161	0.807453	1.969381	839	0.296782	0.379000	0.386933	
798	0.318296	202	0.757426	1.969381	798	0.318296	0.407000	0.387091	
819	0.319902	181	0.828729	1.969381	819	0.319902	0.412000	0.387286	
853	0.324736	147	0.843537	1.969381	853	0.324736	0.401000	0.387392	
827	0.337364	173	0.849711	1.969381	827	0.337364	0.426000	0.387689	
826	0.340194	174	0.804598	1.969381	826	0.340194	0.421000	0.387944	
850	0.303529	150	0.846667	1.969381	850	0.303529	0.385000	0.387921	
845	0.336095	155	0.877419	1.969381	845	0.336095	0.420000	0.388162	
833	0.298920	167	0.796407	1.969381	833	0.298920	0.382000	0.388117	
829	0.324487	171	0.771930	1.969381	829	0.324487	0.401000	0.388212	
824	0.317961	176	0.789773	1.969381	824	0.317961	0.401000	0.388306	
843	0.320285	157	0.777070	1.969381	843	0.320285	0.392000	0.388333	
828	0.330918	172	0.750000	1.969381	828	0.330918	0.403000	0.388439	
832	0.305288	168	0.761905	1.969381	832	0.305288	0.382000	0.388393	
839	0.324195	161	0.770186	1.969381	839	0.324195	0.396000	0.388447	
819	0.307692	181	0.790055	1.969381	819	0.307692	0.395000	0.388494	
822	0.294404	178	0.792135	1.969381	822	0.294404	0.383000	0.388455	
826	0.331719	174	0.781609	1.969381	826	0.331719	0.410000	0.388606	
851	0.299647	149	0.738255	1.969381	851	0.299647	0.365000	0.388442	
840	0.314286	160	0.800000	1.969381	840	0.314286	0.392000	0.388466	
834	0.302158	166	0.795181	1.969381	834	0.302158	0.384000	0.388436	
837	0.298686	163	0.840491	1.969381	837	0.298686	0.387000	0.388426	
820	0.332927	180	0.800000	1.969381	820	0.332927	0.417000	0.388619	
841	0.297265	159	0.880503	1.969381	841	0.297265	0.390000	0.388628	
833	0.303721	167	0.802395	1.969381	833	0.303721	0.387000	0.388617	
841	0.324614	159	0.823899	1.969381	841	0.324614	0.404000	0.388719	
808	0.303218	192	0.822917	1.969381	808	0.303218	0.403000	0.388813	
811	0.311961	189	0.735450	1.969381	811	0.311961	0.392000	0.388834	
