Rate	71.43
Rev Jump	14.29
Tree Move	14.29
Rate Tried	% Accepted	Rev Jump Tried	% Accepted	Tree Move Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
745	0.303356	106	0.018868	149	0.738255	7.936570	745	0.303356	0.338000	0.327334	
765	0.298039	112	0.035714	123	0.731707	7.936570	765	0.298039	0.322000	0.326889	
744	0.301075	95	0.063158	161	0.757764	7.936570	744	0.301075	0.352000	0.328821	
742	0.264151	103	0.019417	155	0.754839	7.936570	742	0.264151	0.315000	0.327834	
747	0.302544	98	0.061224	155	0.754839	7.936570	747	0.302544	0.349000	0.329245	
747	0.295850	122	0.032787	131	0.679389	7.936570	747	0.295850	0.314000	0.328292	
764	0.293194	100	0.060000	136	0.786765	7.936570	764	0.293194	0.337000	0.328804	
732	0.280055	84	0.000000	184	0.717391	7.936570	732	0.280055	0.337000	0.329259	
725	0.282759	135	0.014815	140	0.742857	7.936570	725	0.282759	0.311000	0.328299	
747	0.298527	110	0.072727	143	0.783217	7.936570	747	0.298527	0.343000	0.329034	
728	0.273352	129	0.031008	143	0.734266	7.936570	728	0.273352	0.308000	0.328032	
724	0.270718	100	0.060000	176	0.676136	7.936570	724	0.270718	0.321000	0.327712	
758	0.303430	93	0.021505	149	0.765101	7.936570	758	0.303430	0.346000	0.328507	
756	0.309524	103	0.019417	141	0.687943	7.936570	756	0.309524	0.333000	0.328695	
738	0.296748	107	0.000000	155	0.670968	7.936570	738	0.296748	0.323000	0.328467	
735	0.291156	113	0.017699	152	0.730263	7.936570	735	0.291156	0.327000	0.328410	
745	0.307383	102	0.039216	153	0.679739	7.936570	745	0.307383	0.337000	0.328729	
739	0.253045	94	0.021277	167	0.688623	7.936570	739	0.253045	0.304000	0.327845	
749	0.284379	92	0.086957	159	0.754717	7.936570	749	0.284379	0.341000	0.328299	
752	0.309840	120	0.033333	128	0.718750	7.936570	752	0.309840	0.329000	0.328322	
739	0.281461	121	0.049587	140	0.750000	7.936570	739	0.281461	0.319000	0.328022	
727	0.221458	110	0.072727	163	0.687117	7.936570	727	0.221458	0.281000	0.326552	
755	0.274172	137	0.029197	108	0.731481	7.936570	755	0.274172	0.290000	0.325445	
717	0.294282	128	0.062500	155	0.825806	7.936570	717	0.294282	0.347000	0.326079	
719	0.276773	135	0.044444	146	0.732877	7.936570	719	0.276773	0.312000	0.325676	
763	0.260813	93	0.000000	144	0.729167	7.936570	763	0.260813	0.304000	0.325074	
753	0.292165	115	0.017391	132	0.712121	7.936570	753	0.292165	0.316000	0.324829	
754	0.287798	95	0.000000	151	0.748344	7.936570	754	0.287798	0.330000	0.324965	
746	0.281501	111	0.036036	143	0.671329	7.936570	746	0.281501	0.310000	0.324581	
714	0.327731	117	0.034188	169	0.792899	7.936570	714	0.327731	0.372000	0.325767	
723	0.297372	110	0.000000	167	0.748503	7.936570	723	0.297372	0.340000	0.326114	
716	0.272346	118	0.067797	166	0.680723	7.936570	716	0.272346	0.316000	0.325873	
739	0.259811	137	0.029197	124	0.766129	7.936570	739	0.259811	0.291000	0.325062	
752	0.242021	115	0.034783	133	0.714286	7.936570	752	0.242021	0.281000	0.324061	
721	0.269071	131	0.091603	148	0.756757	7.936570	721	0.269071	0.318000	0.323926	
722	0.278393	111	0.090090	167	0.754491	7.936570	722	0.278393	0.337000	0.324210	
753	0.252324	111	0.126126	136	0.691176	7.936570	753	0.252324	0.298000	0.323653	
753	0.253652	93	0.107527	154	0.883117	7.936570	753	0.253652	0.337000	0.323931	
730	0.290411	117	0.051282	153	0.784314	7.936570	730	0.290411	0.338000	0.324218	
728	0.293956	137	0.043796	135	0.622222	7.936570	728	0.293956	0.304000	0.323814	
706	0.254958	132	0.030303	162	0.771605	7.936570	706	0.254958	0.309000	0.323523	
738	0.296748	119	0.016807	143	0.706294	7.936570	738	0.296748	0.322000	0.323494	
761	0.308804	114	0.070175	125	0.760000	7.936570	761	0.308804	0.338000	0.323767	
722	0.286704	111	0.000000	167	0.694611	7.936570	722	0.286704	0.323000	0.323753	
755	0.254305	111	0.036036	134	0.738806	7.936570	755	0.254305	0.295000	0.323230	
726	0.294766	113	0.017699	161	0.757764	7.936570	726	0.294766	0.338000	0.323494	
736	0.230978	124	0.048387	140	0.650000	7.936570	736	0.230978	0.267000	0.322503	
716	0.286313	124	0.048387	160	0.731250	7.936570	716	0.286313	0.328000	0.322598	
759	0.291173	102	0.058824	139	0.676259	7.936570	759	0.291173	0.321000	0.322571	
751	0.279627	103	0.009709	146	0.678082	7.936570	751	0.279627	0.310000	0.322361	
750	0.288000	116	0.060345	134	0.626866	7.936570	750	0.288000	0.307000	0.322109	
763	0.317169	109	0.055046	128	0.703125	7.936570	763	0.317169	0.338000	0.322366	
713	0.284712	118	0.059322	169	0.721893	7.936570	713	0.284712	0.332000	0.322519	
732	0.273224	128	0.023438	140	0.785714	7.936570	732	0.273224	0.313000	0.322370	
716	0.259777	114	0.052632	170	0.658824	7.936570	716	0.259777	0.304000	0.322087	
739	0.257104	100	0.000000	161	0.677019	7.936570	739	0.257104	0.299000	0.321738	
725	0.262069	114	0.122807	161	0.807453	7.936570	725	0.262069	0.334000	0.321921	
752	0.280585	110	0.036364	138	0.746377	7.936570	752	0.280585	0.318000	0.321863	
735	0.292517	114	0.017544	151	0.715232	7.936570	735	0.292517	0.325000	0.321908	
750	0.257333	105	0.057143	145	0.724138	7.936570	750	0.257333	0.304000	0.321653	
741	0.295547	114	0.000000	145	0.703448	7.936570	741	0.295547	0.321000	0.321643	
755	0.278146	105	0.038095	140	0.657143	7.936570	755	0.278146	0.306000	0.321426	
735	0.282993	112	0.035714	153	0.771242	7.936570	735	0.282993	0.330000	0.321544	
747	0.294511	101	0.000000	152	0.756579	7.936570	747	0.294511	0.335000	0.321725	
