Steppingstone sampler:
        No Stones:                  100
        Start It:                   160001
        It Per Stone:               1000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.975187	750	-1.505144	-1.505144
1	0.950747	750	-1.483750	-2.988894
2	0.926679	750	-1.458121	-4.447015
3	0.902980	750	-1.437404	-5.884419
4	0.879648	750	-1.409124	-7.293543
5	0.856682	750	-1.390079	-8.683622
6	0.834079	750	-1.358460	-10.042082
7	0.811838	750	-1.343347	-11.385429
8	0.789957	750	-1.315188	-12.700617
9	0.768433	750	-1.306924	-14.007541
10	0.747266	750	-1.283617	-15.291157
11	0.726452	750	-1.267194	-16.558352
12	0.705989	750	-1.246759	-17.805111
13	0.685877	750	-1.208132	-19.013243
14	0.666112	750	-1.205303	-20.218546
15	0.646693	750	-1.180572	-21.399118
16	0.627618	750	-1.160534	-22.559652
17	0.608884	750	-1.133632	-23.693285
18	0.590490	750	-1.121966	-24.815251
19	0.572433	750	-1.102981	-25.918232
20	0.554712	750	-1.077310	-26.995542
21	0.537324	750	-1.057560	-28.053102
22	0.520268	750	-1.034301	-29.087403
23	0.503540	750	-1.023283	-30.110686
24	0.487139	750	-1.004917	-31.115603
25	0.471063	750	-0.982883	-32.098487
26	0.455310	750	-0.960754	-33.059241
27	0.439877	750	-0.937130	-33.996371
28	0.424762	750	-0.923982	-34.920353
29	0.409963	750	-0.906781	-35.827134
30	0.395478	750	-0.879897	-36.707032
31	0.381305	750	-0.869768	-37.576800
32	0.367440	750	-0.855948	-38.432748
33	0.353883	750	-0.827444	-39.260192
34	0.340630	750	-0.812043	-40.072235
35	0.327680	750	-0.797035	-40.869270
36	0.315030	750	-0.777481	-41.646751
37	0.302677	750	-0.758605	-42.405356
38	0.290619	750	-0.746397	-43.151752
39	0.278855	750	-0.729072	-43.880824
40	0.267381	750	-0.714204	-44.595028
41	0.256195	750	-0.690261	-45.285289
42	0.245294	750	-0.671660	-45.956949
43	0.234677	750	-0.660549	-46.617498
44	0.224340	750	-0.635177	-47.252675
45	0.214281	750	-0.628948	-47.881624
46	0.204498	750	-0.606175	-48.487798
47	0.194988	750	-0.594604	-49.082402
48	0.185749	750	-0.575094	-49.657497
49	0.176777	750	-0.562885	-50.220381
50	0.168070	750	-0.542598	-50.762979
51	0.159626	750	-0.532934	-51.295913
52	0.151441	750	-0.508741	-51.804654
53	0.143514	750	-0.491211	-52.295865
54	0.135841	750	-0.588134	-52.883999
55	0.128420	750	-0.467896	-53.351895
56	0.121247	750	-0.447602	-53.799497
57	0.114320	750	-0.439830	-54.239327
58	0.107637	750	-0.422975	-54.662302
59	0.101193	750	-0.413373	-55.075675
60	0.094986	750	-0.393374	-55.469050
61	0.089014	750	-0.383250	-55.852300
62	0.083273	750	-0.389171	-56.241471
63	0.077760	750	-0.358995	-56.600466
64	0.072472	750	-0.368955	-56.969420
65	0.067406	750	-0.342916	-57.312337
66	0.062558	750	-0.316424	-57.628761
67	0.057926	750	-0.344887	-57.973648
68	0.053506	750	-0.293702	-58.267350
69	0.049295	750	-0.276749	-58.544100
70	0.045289	750	-0.277580	-58.821680
71	0.041485	750	-0.301383	-59.123063
72	0.037880	750	-0.242677	-59.365740
73	0.034469	750	-0.257384	-59.623124
74	0.031250	750	-0.217408	-59.840531
75	0.028218	750	-0.243729	-60.084260
76	0.025370	750	-0.195844	-60.280103
77	0.022702	750	-0.233319	-60.513423
78	0.020209	750	-0.200359	-60.713781
79	0.017889	750	-0.206454	-60.920236
80	0.015736	750	-0.203352	-61.123588
81	0.013746	750	-0.153007	-61.276595
82	0.011916	750	-0.198685	-61.475281
83	0.010240	750	-0.127857	-61.603137
84	0.008714	750	-0.138866	-61.742003
85	0.007334	750	-0.120956	-61.862959
86	0.006093	750	-0.117118	-61.980077
87	0.004988	750	-0.118354	-62.098431
88	0.004013	750	-0.132746	-62.231177
89	0.003162	750	-0.068575	-62.299752
90	0.002430	750	-0.072393	-62.372145
91	0.001810	750	-0.056762	-62.428907
92	0.001296	750	-0.042899	-62.471807
93	0.000882	750	-0.036874	-62.508680
94	0.000559	750	-0.039757	-62.548437
95	0.000320	750	-0.025452	-62.573889
96	0.000156	750	-0.029767	-62.603656
97	0.000057	750	-0.009252	-62.612908
98	0.000010	750	-0.004356	-62.617265
99	0.000000	750	-0.003507	-62.620771
Log marginal likelihood:	-62.620771
