Options:
Model:                           Discrete: Independent
Tree File Name:                  ./data/austronesian-crow-matri.anvunclocalresidence.bttrees
Data File Name:                  ./data/austronesian-crow-matri.anvunclocalresidence.btdata
Log File Name:                   ./output/austronesian-crow-matri.anvunclocalresidence-indep3.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            2171961011
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      10050000
Burn in:                         50000
MCMC ML Start:                   False
Schedule File:                   ./output/austronesian-crow-matri.anvunclocalresidence-indep3.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     4
Base frequency (PI's):           Empirical: (0.809524,0.119048,0.011905,0.059524)
Character Symbols:               00,01,10,11
Using a covarion model:          False
Normalise Q Matrix:              False
Scale Tree:                      0.084799
Restrictions:
    alpha1                       None
    beta1                        None
    alpha2                       None
    beta2                        None
Prior Information:
    Prior Categories:            100
    Priors
        alpha1 - exp 10.00 
        beta1 - exp 10.00 
        alpha2 - exp 10.00 
        beta2 - exp 10.00 
Tree Information
     Trees:                      1000
     Taxa:                       84
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	alpha1	beta1	alpha2	beta2	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	
51000	-53.893967	10	3.632605	37.079565	1.168846	4.714152	0.889362	0.065039	0.013079	0.032520	
52000	-54.915262	319	1.222709	29.981676	0.779854	5.766430	0.782613	0.137248	0.011510	0.068629	
53000	-54.754281	854	1.067702	20.467787	2.077432	9.272262	0.816030	0.114508	0.012036	0.057426	
54000	-55.519459	974	1.164610	10.890602	0.830871	2.436971	0.950674	0.024608	0.013147	0.011571	
55000	-55.668756	91	0.750309	10.712396	1.220446	2.291959	0.947585	0.025054	0.014408	0.012952	
56000	-55.255868	980	0.795467	23.579698	0.736333	1.573853	0.973310	0.008229	0.014339	0.004122	
57000	-55.794464	860	0.515204	15.434843	0.819443	5.690060	0.796775	0.122530	0.012956	0.067739	
58000	-54.577498	386	1.308688	29.219400	0.892139	7.768772	0.751140	0.158541	0.011047	0.079273	
59000	-56.096833	763	0.522267	4.000883	0.841753	4.193690	0.927425	0.062456	0.003076	0.007043	
60000	-55.241171	201	1.924366	25.495237	2.044889	8.775449	0.827786	0.106665	0.012181	0.053368	
61000	-55.416030	17	1.061803	28.159517	1.545797	4.166105	0.920885	0.043708	0.013546	0.021860	
62000	-54.836874	512	0.831132	19.393279	0.930498	2.267918	0.962520	0.015341	0.014358	0.007781	
63000	-54.640287	183	0.939894	15.727802	0.848955	3.936685	0.909233	0.051086	0.013635	0.026047	
64000	-55.801310	867	1.415500	23.875954	2.375834	7.849891	0.847791	0.093105	0.012485	0.046619	
65000	-53.904529	144	0.438215	8.475940	0.852994	1.269917	0.987264	0.002823	0.009035	0.000878	
66000	-57.469881	841	0.397928	13.009075	1.650937	4.259476	0.890999	0.050197	0.020170	0.038635	
67000	-55.434103	218	1.178722	16.558072	1.222296	2.141021	0.964334	0.014249	0.014255	0.007162	
68000	-53.674477	856	2.986517	41.330233	0.804999	3.319371	0.927670	0.039125	0.013642	0.019562	
69000	-54.657633	432	2.500907	44.772553	0.874733	8.623047	0.756847	0.154682	0.011130	0.077341	
70000	-54.257990	494	0.923447	11.614449	0.912412	3.380411	0.934622	0.034196	0.013896	0.017287	
71000	-53.871355	233	1.242678	13.580788	1.198294	5.558233	0.871079	0.077669	0.012713	0.038539	
72000	-55.566839	682	3.309735	39.421976	0.576815	7.318068	0.562635	0.286060	0.008274	0.143030	
73000	-55.681700	30	0.970680	32.313956	1.630022	6.867440	0.844090	0.095661	0.012414	0.047834	
74000	-55.655631	538	3.153278	22.746053	0.583245	3.368352	0.948776	0.024896	0.013914	0.012414	
75000	-56.773116	910	1.202086	14.463761	2.553009	8.444571	0.827099	0.107086	0.012183	0.053632	
76000	-54.805627	338	0.669935	9.006173	0.674539	3.490353	0.929078	0.039701	0.012729	0.018493	
77000	-55.486324	109	2.162174	20.715449	0.490651	2.444382	0.951980	0.022692	0.013990	0.011338	
78000	-53.496690	23	2.734839	37.327762	1.476155	9.089230	0.808029	0.120059	0.011883	0.060029	
79000	-53.837102	806	2.047233	25.029549	1.433488	5.218447	0.878237	0.072566	0.012915	0.036283	
80000	-53.956551	758	3.409706	34.634518	0.969593	4.669275	0.883265	0.069164	0.012989	0.034582	
81000	-55.612225	384	6.366046	55.890778	1.527553	12.108308	0.800250	0.125321	0.011768	0.062661	
82000	-54.486993	652	4.672741	47.457199	1.740974	7.408247	0.836633	0.100709	0.012303	0.050354	
83000	-55.251783	183	1.249727	12.285223	0.910812	5.016771	0.870616	0.078829	0.012395	0.038159	
84000	-55.559463	580	2.960895	21.859319	0.855600	4.761550	0.886464	0.067027	0.013025	0.033484	
85000	-55.511167	914	1.502605	46.390850	1.285484	9.814828	0.785600	0.135232	0.011553	0.067616	
86000	-54.515418	141	1.362174	17.612814	1.409631	7.875596	0.810284	0.118448	0.011937	0.059331	
87000	-54.892800	540	3.677989	39.850894	0.872427	1.266474	0.979377	0.004147	0.014403	0.002074	
88000	-55.684011	268	0.759448	10.158879	1.708781	5.069799	0.895766	0.060565	0.013238	0.030432	
89000	-54.605810	847	4.429074	36.900458	1.093709	3.050144	0.930817	0.036996	0.013688	0.018498	
90000	-55.502332	166	0.612462	6.859899	1.117498	2.636906	0.967069	0.019420	0.008029	0.005482	
91000	-55.700929	495	2.039583	15.226001	1.132596	3.545097	0.927559	0.039487	0.013465	0.019489	
92000	-54.054775	919	3.052020	39.496371	1.121330	8.393787	0.767342	0.147583	0.011284	0.073791	
93000	-55.622069	233	0.615484	25.152953	0.634237	5.171790	0.806784	0.120792	0.011891	0.060533	
94000	-55.535916	249	3.735697	30.672845	0.627215	4.097350	0.878957	0.072079	0.012926	0.036039	
95000	-54.300429	984	1.956232	20.292625	0.672243	1.449610	0.972378	0.008886	0.014295	0.004441	
96000	-55.293341	267	1.442200	34.216918	1.200065	10.216858	0.764951	0.149199	0.011250	0.074601	
97000	-55.445130	75	6.831578	51.318078	1.886661	10.239746	0.806448	0.121128	0.011860	0.060564	
98000	-54.924199	637	3.336715	31.268749	1.329424	8.809684	0.791272	0.131395	0.011636	0.065697	
99000	-54.180497	6	1.302280	30.693955	0.773824	5.028058	0.848047	0.092986	0.012472	0.046495	
100000	-53.959683	334	2.131809	25.337944	0.894410	6.049071	0.809975	0.118743	0.011911	0.059371	
101000	-56.530979	643	3.446598	26.625543	0.886950	10.507409	0.738075	0.167385	0.010853	0.083687	
102000	-53.768120	586	1.486757	24.786052	1.318239	7.115345	0.824624	0.108827	0.012128	0.054421	
103000	-55.036734	833	1.250805	18.701350	2.056123	7.583734	0.841528	0.097275	0.012413	0.048785	
104000	-57.927376	148	1.397871	30.046375	2.701354	6.482412	0.857856	0.086351	0.012616	0.043177	
105000	-56.421525	919	0.477837	21.543794	1.472741	5.434168	0.884245	0.067904	0.013252	0.034600	
106000	-56.872899	776	1.128065	19.745758	1.432294	1.665825	0.974948	0.007088	0.014404	0.003560	
