Options:
Model:                           Discrete: Independent
Tree File Name:                  ./data/austronesian-crow-matrilineal.bttrees
Data File Name:                  ./data/austronesian-crow-matrilineal.btdata
Log File Name:                   ./output/austronesian-crow-matrilineal-indep3.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            2133324744
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      10010000
Burn in:                         10000
MCMC ML Start:                   False
Use RJ MCMC:                     True
Schedule File:                   ./output/austronesian-crow-matrilineal-indep3.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     4
Base frequency (PI's):           Empirical: (0.811765,0.117647,0.023529,0.047059)
Character Symbols:               00,01,10,11
Using a covarion model:          False
Normalise Q Matrix:              False
Scale Tree:                      0.000086
Restrictions:
    alpha1                       RJ MCMC
    beta1                        RJ MCMC
    alpha2                       RJ MCMC
    beta2                        RJ MCMC
Prior Information:
    Prior Categories:            100
    Priors
        RJRates - exp 10.00 
Tree Information
     Trees:                      1000
     Taxa:                       85
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	No Off Parmeters	No Off Zero	Model string	alpha1	beta1	alpha2	beta2	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	
11000	-58.684789	59	2	0	'1 0 1 0 	0.510625	2.846813	0.510625	2.846813	0.956896	0.038821	0.002746	0.001537	
12000	-57.312227	146	2	0	'1 0 1 0 	0.485201	6.388812	0.485201	6.388812	0.641410	0.288440	0.009735	0.060414	
13000	-57.165721	446	2	0	'1 0 1 0 	1.032940	8.281883	1.032940	8.281883	0.789813	0.150759	0.016353	0.043075	
14000	-60.192787	307	2	0	'0 1 0 1 	3.035056	31.134081	3.035056	31.134081	0.811762	0.117649	0.023529	0.047059	
15000	-56.814981	679	2	0	'0 1 0 1 	0.958688	7.850259	0.958688	7.850259	0.793003	0.149779	0.015865	0.041352	
16000	-58.968933	267	2	0	'0 1 0 1 	0.111934	7.228365	0.111934	7.228365	0.007477	0.200458	0.002135	0.789929	
17000	-62.785049	578	1	0	'0 0 0 0 	0.510459	0.510459	0.510459	0.510459	0.999488	0.000449	0.000062	0.000000	
18000	-62.790240	187	1	0	'0 0 0 0 	0.569696	0.569696	0.569696	0.569696	0.998242	0.001517	0.000237	0.000005	
19000	-62.701175	385	1	0	'0 0 0 0 	0.579793	0.579793	0.579793	0.579793	0.999373	0.000585	0.000041	0.000000	
20000	-57.102441	561	2	0	'0 1 0 1 	0.826443	9.243078	0.826443	9.243078	0.751711	0.167220	0.019919	0.061149	
21000	-56.519989	510	2	0	'0 1 0 1 	0.719591	6.136126	0.719591	6.136126	0.825639	0.144654	0.008692	0.021015	
22000	-58.652891	488	2	0	'0 1 0 1 	0.201084	6.759713	0.201084	6.759713	0.065035	0.488654	0.004263	0.442048	
23000	-57.951545	395	2	0	'0 1 0 1 	1.274618	12.126132	1.274618	12.126132	0.792050	0.134328	0.022040	0.051582	
24000	-57.378126	286	2	0	'0 1 0 1 	0.447532	5.635254	0.447532	5.635254	0.687144	0.256527	0.009156	0.047173	
25000	-57.429696	928	2	0	'0 1 0 1 	1.154205	8.431648	1.154205	8.431648	0.805117	0.135839	0.017740	0.041304	
26000	-57.938157	675	2	0	'0 1 0 1 	2.048935	13.713525	2.048935	13.713525	0.813182	0.121278	0.021431	0.044109	
27000	-57.685670	786	2	0	'0 1 0 1 	0.870340	5.465042	0.870340	5.465042	0.892198	0.087219	0.008762	0.011821	
28000	-62.867040	498	1	0	'0 0 0 0 	0.671686	0.671686	0.671686	0.671686	0.998416	0.001547	0.000037	0.000001	
29000	-64.198246	517	1	0	'0 0 0 0 	0.856006	0.856006	0.856006	0.856006	0.997471	0.002162	0.000357	0.000011	
30000	-58.190779	658	2	0	'1 0 1 0 	0.424199	7.263372	0.424199	7.263372	0.422566	0.419921	0.010705	0.146808	
31000	-56.005806	252	2	0	'1 0 1 0 	0.460895	8.226640	0.460895	8.226640	0.487580	0.383755	0.010847	0.117818	
32000	-59.171186	62	2	0	'1 0 1 0 	1.892156	10.969452	1.892156	10.969452	0.811441	0.122008	0.021643	0.044908	
33000	-57.262168	42	2	0	'0 1 0 1 	0.944333	8.514616	0.944333	8.514616	0.760945	0.169256	0.017152	0.052647	
34000	-57.665619	154	2	0	'0 1 0 1 	1.398982	12.628664	1.398982	12.628664	0.799838	0.128073	0.022460	0.049630	
35000	-57.913565	582	2	0	'0 1 0 1 	1.179608	7.838233	1.179608	7.838233	0.822183	0.125657	0.016777	0.035384	
36000	-58.852904	46	2	0	'0 1 0 1 	0.358149	2.896435	0.358149	2.896435	0.955662	0.041169	0.001987	0.001182	
