Options:
Model:                           Discrete: Dependent
Tree File Name:                  ./data/austronesian-crow-matrilocal.bttrees
Data File Name:                  ./data/austronesian-crow-matrilocal.btdata
Log File Name:                   ./output/austronesian-crow-matrilocal-dep3.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            1020228963
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      10010000
Burn in:                         10000
MCMC ML Start:                   False
Use RJ MCMC:                     True
Schedule File:                   ./output/austronesian-crow-matrilocal-dep3.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     8
Base frequency (PI's):           Empirical: (0.845238,0.083333,0.035714,0.035714)
Character Symbols:               00,01,10,11
Using a covarion model:          False
Normalise Q Matrix:              False
Scale Tree:                      0.000085
Restrictions:
    q12                          RJ MCMC
    q13                          RJ MCMC
    q21                          RJ MCMC
    q24                          RJ MCMC
    q31                          RJ MCMC
    q34                          RJ MCMC
    q42                          RJ MCMC
    q43                          RJ MCMC
Prior Information:
    Prior Categories:            100
    Priors
        RJRates - exp 10.00 
Tree Information
     Trees:                      1000
     Taxa:                       84
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	No Off Parmeters	No Off Zero	Model string	Dep / InDep	q12	q13	q21	q24	q31	q34	q42	q43	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	
11000	-46.949497	660	1	2	'0 0 0 0 0 Z 0 Z 	D	0.449802	0.449802	0.449802	0.449802	0.449802	0.000000	0.449802	0.000000	0.999851	0.000108	0.000041	0.000000	
12000	-47.270652	806	1	2	'0 0 0 0 0 Z 0 Z 	D	0.237812	0.237812	0.237812	0.237812	0.237812	0.000000	0.237812	0.000000	0.999905	0.000074	0.000022	0.000000	
13000	-47.467235	245	1	2	'0 0 0 0 0 0 Z Z 	D	0.398827	0.398827	0.398827	0.398827	0.398827	0.398827	0.000000	0.000000	0.999763	0.000172	0.000065	0.000000	
14000	-37.838037	470	2	2	'0 0 1 1 1 0 Z Z 	D	0.198709	0.198709	3.553395	3.553395	3.553395	0.198709	0.000000	0.000000	0.982741	0.015417	0.001842	0.000000	
15000	-46.141241	150	1	2	'0 0 0 0 0 Z 0 Z 	D	0.365594	0.365594	0.365594	0.365594	0.365594	0.000000	0.365594	0.000000	0.999673	0.000251	0.000076	0.000000	
16000	-46.650365	729	1	2	'0 0 0 0 Z Z 0 0 	D	0.331609	0.331609	0.331609	0.331609	0.000000	0.000000	0.331609	0.331609	0.999772	0.000228	0.000000	0.000000	
17000	-47.334334	107	1	3	'0 0 0 0 0 Z Z Z 	D	0.365819	0.365819	0.365819	0.365819	0.365819	0.000000	0.000000	0.000000	0.999612	0.000278	0.000110	0.000000	
18000	-46.977972	685	1	3	'0 0 0 0 Z Z 0 Z 	D	0.343947	0.343947	0.343947	0.343947	0.000000	0.000000	0.343947	0.000000	0.996461	0.003538	0.000000	0.000001	
19000	-39.800244	83	2	2	'1 1 0 0 1 Z 0 Z 	D	0.225349	0.225349	3.738550	3.738550	0.225349	0.000000	3.738550	0.000000	0.972692	0.026076	0.000020	0.001211	
20000	-41.035421	513	2	1	'1 1 0 0 1 Z 0 1 	D	0.239045	0.239045	1.774520	1.774520	0.239045	0.000000	1.774520	0.239045	0.994680	0.005267	0.000024	0.000030	
21000	-41.310637	772	2	0	'1 1 0 0 1 1 0 1 	D	0.252731	0.252731	9.111369	9.111369	0.252731	0.252731	9.111369	0.252731	0.897008	0.085428	0.000041	0.017523	
22000	-40.965313	159	2	2	'1 1 0 0 Z 1 0 Z 	D	0.222366	0.222366	3.232438	3.232438	0.000000	0.222366	3.232438	0.000000	0.981980	0.017807	0.000000	0.000213	
23000	-40.813904	705	2	1	'0 Z 1 1 1 0 1 1 	D	0.786496	0.000000	11.615955	11.615955	11.615955	0.786496	11.615955	11.615955	0.786401	0.115333	0.044020	0.054247	
24000	-40.925037	558	2	1	'0 Z 1 1 0 0 0 1 	D	0.967524	0.000000	7.662194	7.662194	0.967524	0.967524	0.967524	7.662194	0.990116	0.009784	0.000081	0.000019	
25000	-40.122036	939	2	3	'0 0 1 1 Z Z 1 Z 	D	0.330559	0.330559	8.452077	8.452077	0.000000	0.000000	8.452077	0.000000	0.915509	0.071227	0.000000	0.013264	
26000	-44.785075	538	1	3	'0 0 0 0 Z Z 0 Z 	D	0.322784	0.322784	0.322784	0.322784	0.000000	0.000000	0.322784	0.000000	0.999894	0.000106	0.000000	0.000000	
27000	-48.672833	777	1	1	'0 0 0 0 Z 0 0 0 	D	0.594656	0.594656	0.594656	0.594656	0.000000	0.594656	0.594656	0.594656	0.999743	0.000257	0.000000	0.000000	
28000	-46.100174	225	1	3	'0 0 0 0 0 Z Z Z 	D	0.323646	0.323646	0.323646	0.323646	0.323646	0.000000	0.000000	0.000000	0.999692	0.000267	0.000042	0.000000	
29000	-47.922103	162	1	1	'0 0 0 0 Z 0 0 0 	D	0.401161	0.401161	0.401161	0.401161	0.000000	0.401161	0.401161	0.401161	0.999766	0.000234	0.000000	0.000000	
30000	-43.438043	35	1	1	'0 0 0 0 0 0 0 Z 	D	0.518569	0.518569	0.518569	0.518569	0.518569	0.518569	0.518569	0.000000	0.999953	0.000044	0.000003	0.000000	
31000	-48.985950	902	1	1	'0 0 0 0 0 0 Z 0 	D	0.172969	0.172969	0.172969	0.172969	0.172969	0.172969	0.000000	0.172969	0.999959	0.000038	0.000003	0.000000	
32000	-47.493823	170	1	2	'0 0 0 0 0 0 Z Z 	D	0.312160	0.312160	0.312160	0.312160	0.312160	0.312160	0.000000	0.000000	0.999728	0.000196	0.000076	0.000000	
33000	-42.397176	171	2	1	'1 1 0 0 0 0 Z 1 	D	0.204426	0.204426	1.709183	1.709183	1.709183	1.709183	0.000000	0.204426	0.991803	0.006649	0.001547	0.000001	
34000	-41.553787	12	2	2	'1 Z Z 0 0 1 0 0 	D	0.666569	0.000000	0.000000	26.857379	26.857379	0.666569	26.857379	26.857379	0.788060	0.131906	0.032927	0.047107	
35000	-43.062293	854	2	1	'1 Z 1 0 0 0 0 0 	D	1.433734	0.000000	1.433734	19.853235	19.853235	19.853235	19.853235	19.853235	0.925272	0.030455	0.026996	0.017277	
36000	-42.862380	168	2	1	'1 1 1 Z 0 0 0 0 	D	0.406044	0.406044	0.406044	0.000000	8.181726	8.181726	8.181726	8.181726	0.984663	0.000281	0.013155	0.001901	
37000	-42.768150	632	2	2	'Z 0 Z 1 1 1 1 1 	D	0.000000	0.470858	0.000000	15.980909	15.980909	15.980909	15.980909	15.980909	0.905599	0.032153	0.038603	0.023644	
38000	-40.810163	244	2	2	'Z 0 Z 1 1 1 1 1 	D	0.000000	0.983133	0.000000	38.927514	38.927514	38.927514	38.927514	38.927514	0.725102	0.164432	0.048099	0.062368	
