Options:
Model:                           Discrete: Independent
Tree File Name:                  ./data/austronesian-crow-matrilocal.bttrees
Data File Name:                  ./data/austronesian-crow-matrilocal.btdata
Log File Name:                   ./output/austronesian-crow-matrilocal-indep3.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            2335440693
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      10010000
Burn in:                         10000
MCMC ML Start:                   False
Schedule File:                   ./output/austronesian-crow-matrilocal-indep3.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     4
Base frequency (PI's):           Empirical: (0.821429,0.107143,0.035714,0.035714)
Character Symbols:               00,01,10,11
Using a covarion model:          False
Normalise Q Matrix:              False
Scale Tree:                      0.084799
Restrictions:
    alpha1                       None
    beta1                        None
    alpha2                       None
    beta2                        None
Prior Information:
    Prior Categories:            100
    Priors
        alpha1 - exp 10.00 
        beta1 - exp 10.00 
        alpha2 - exp 10.00 
        beta2 - exp 10.00 
Tree Information
     Trees:                      1000
     Taxa:                       84
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	alpha1	beta1	alpha2	beta2	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	
11000	-50.989536	807	1.256991	16.794852	2.565066	13.121498	0.822226	0.106363	0.035853	0.035557	
12000	-47.635468	544	4.531097	41.011088	0.733261	4.784938	0.887688	0.055288	0.038595	0.018429	
13000	-50.062991	701	0.562564	12.403773	1.042595	5.134814	0.871838	0.056511	0.047866	0.023786	
14000	-49.506737	659	1.708316	12.783191	0.530986	5.523770	0.851342	0.085714	0.035524	0.027420	
15000	-49.135067	442	5.089496	42.787643	0.511622	2.238327	0.927361	0.024239	0.040320	0.008080	
16000	-49.501551	102	3.111318	21.317414	0.679890	6.364072	0.841046	0.091811	0.036552	0.030591	
17000	-47.963742	976	1.947858	36.558442	0.875886	2.823178	0.926920	0.024585	0.040301	0.008195	
18000	-48.522404	418	1.592591	31.876638	0.981514	6.125590	0.857465	0.078940	0.037281	0.026313	
19000	-48.644574	638	1.391594	34.407195	0.746780	8.564090	0.801502	0.122737	0.034848	0.040913	
20000	-45.052100	144	1.216349	12.423658	0.556557	5.493714	0.868843	0.076008	0.033010	0.022139	
21000	-47.337825	457	3.661357	37.752881	0.452103	2.809239	0.909496	0.038220	0.039543	0.012740	
22000	-48.487380	971	4.229824	32.224010	0.433888	2.986454	0.900246	0.045459	0.039141	0.015153	
23000	-47.286594	708	2.867129	40.781320	0.916564	5.429224	0.869980	0.069146	0.037825	0.023049	
24000	-49.645158	410	3.665865	28.691339	0.456405	3.047630	0.906236	0.040772	0.039401	0.013591	
25000	-48.438959	592	1.352794	17.311961	1.768424	9.116799	0.847421	0.086446	0.037110	0.029023	
26000	-49.488089	462	2.080367	43.739153	1.514164	5.850967	0.867936	0.070745	0.037736	0.023582	
27000	-48.296556	660	1.886255	21.261667	0.943618	3.770397	0.912191	0.036120	0.039652	0.012037	
