Steppingstone sampler:
        No Stones:                  100
        Start It:                   65000001
        It Per Stone:               1000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.975187	750	-1.846087	-1.846087
1	0.950747	750	-1.843788	-3.689876
2	0.926679	750	-1.774805	-5.464681
3	0.902980	750	-1.756625	-7.221306
4	0.879648	750	-1.748669	-8.969975
5	0.856682	750	-1.747652	-10.717627
6	0.834079	750	-1.681300	-12.398927
7	0.811838	750	-1.687265	-14.086192
8	0.789957	750	-1.669215	-15.755408
9	0.768433	750	-1.625264	-17.380671
10	0.747266	750	-1.596296	-18.976968
11	0.726452	750	-1.572337	-20.549305
12	0.705989	750	-1.535784	-22.085089
13	0.685877	750	-1.494947	-23.580036
14	0.666112	750	-1.511644	-25.091680
15	0.646693	750	-1.481311	-26.572991
16	0.627618	750	-1.470126	-28.043117
17	0.608884	750	-1.459095	-29.502212
18	0.590490	750	-1.432367	-30.934579
19	0.572433	750	-1.368680	-32.303259
20	0.554712	750	-1.358670	-33.661929
21	0.537324	750	-1.334647	-34.996576
22	0.520268	750	-1.322280	-36.318855
23	0.503540	750	-1.297473	-37.616328
24	0.487139	750	-1.297619	-38.913947
25	0.471063	750	-1.277149	-40.191097
26	0.455310	750	-1.220971	-41.412067
27	0.439877	750	-1.211022	-42.623090
28	0.424762	750	-1.186714	-43.809804
29	0.409963	750	-1.162594	-44.972398
30	0.395478	750	-1.120998	-46.093397
31	0.381305	750	-1.119532	-47.212928
32	0.367440	750	-1.110306	-48.323234
33	0.353883	750	-1.062259	-49.385493
34	0.340630	750	-1.057993	-50.443486
35	0.327680	750	-1.033766	-51.477252
36	0.315030	750	-0.991723	-52.468975
37	0.302677	750	-0.976679	-53.445654
38	0.290619	750	-0.967730	-54.413384
39	0.278855	750	-0.952006	-55.365389
40	0.267381	750	-0.928486	-56.293876
41	0.256195	750	-0.888467	-57.182343
42	0.245294	750	-0.887854	-58.070197
43	0.234677	750	-0.850172	-58.920369
44	0.224340	750	-0.827413	-59.747782
45	0.214281	750	-0.812728	-60.560510
46	0.204498	750	-0.788267	-61.348777
47	0.194988	750	-0.779203	-62.127980
48	0.185749	750	-0.743250	-62.871230
49	0.176777	750	-0.748073	-63.619304
50	0.168070	750	-0.718105	-64.337409
51	0.159626	750	-0.697326	-65.034735
52	0.151441	750	-0.686354	-65.721088
53	0.143514	750	-0.665834	-66.386923
54	0.135841	750	-0.634891	-67.021813
55	0.128420	750	-0.624382	-67.646196
56	0.121247	750	-0.603798	-68.249994
57	0.114320	750	-0.601122	-68.851116
58	0.107637	750	-0.573111	-69.424228
59	0.101193	750	-0.557841	-69.982069
60	0.094986	750	-0.530578	-70.512647
61	0.089014	750	-0.529731	-71.042378
62	0.083273	750	-0.506877	-71.549254
63	0.077760	750	-0.476071	-72.025325
64	0.072472	750	-0.488682	-72.514007
65	0.067406	750	-0.438981	-72.952988
66	0.062558	750	-0.447589	-73.400577
67	0.057926	750	-0.419654	-73.820231
68	0.053506	750	-0.414346	-74.234577
69	0.049295	750	-0.407597	-74.642174
70	0.045289	750	-0.365933	-75.008107
71	0.041485	750	-0.374547	-75.382654
72	0.037880	750	-0.358380	-75.741033
73	0.034469	750	-0.316439	-76.057472
74	0.031250	750	-0.300823	-76.358295
75	0.028218	750	-0.287082	-76.645377
76	0.025370	750	-0.271492	-76.916869
77	0.022702	750	-0.290081	-77.206950
78	0.020209	750	-0.266587	-77.473537
79	0.017889	750	-0.237782	-77.711319
80	0.015736	750	-0.222437	-77.933756
81	0.013746	750	-0.219769	-78.153524
82	0.011916	750	-0.192590	-78.346114
83	0.010240	750	-0.207426	-78.553540
84	0.008714	750	-0.162947	-78.716487
85	0.007334	750	-0.149889	-78.866376
86	0.006093	750	-0.127299	-78.993675
87	0.004988	750	-0.137348	-79.131023
88	0.004013	750	-0.116602	-79.247625
89	0.003162	750	-0.093513	-79.341138
90	0.002430	750	-0.086604	-79.427742
91	0.001810	750	-0.080330	-79.508072
92	0.001296	750	-0.065275	-79.573347
93	0.000882	750	-0.052454	-79.625800
94	0.000559	750	-0.038373	-79.664173
95	0.000320	750	-0.027497	-79.691671
96	0.000156	750	-0.020851	-79.712522
97	0.000057	750	-0.012597	-79.725119
98	0.000010	750	-0.005925	-79.731044
99	0.000000	750	-0.001262	-79.732306
Log marginal likelihood:	-79.732306
