Rate	83.33
Tree Move	16.67
Rate Tried	% Accepted	Tree Move Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
819	0.247863	181	0.878453	1.720910	819	0.247863	0.362000	0.308699	
835	0.225150	165	0.872727	1.720910	835	0.225150	0.332000	0.310641	
838	0.257757	162	0.901235	1.720910	838	0.257757	0.362000	0.314591	
838	0.255370	162	0.833333	1.720910	838	0.255370	0.349000	0.317049	
816	0.292892	184	0.902174	1.720910	816	0.292892	0.405000	0.322912	
796	0.222362	204	0.877451	1.720910	796	0.222362	0.356000	0.324980	
830	0.307229	170	0.829412	1.720910	830	0.307229	0.396000	0.329157	
825	0.259394	175	0.885714	1.720910	825	0.259394	0.369000	0.331370	
833	0.291717	167	0.820359	1.720910	833	0.291717	0.380000	0.333930	
820	0.239024	180	0.883333	1.720910	820	0.239024	0.355000	0.334983	
799	0.244055	201	0.835821	1.720910	799	0.244055	0.363000	0.336317	
819	0.269841	181	0.624309	1.720910	819	0.269841	0.334000	0.336212	
836	0.260766	164	0.914634	1.720910	836	0.260766	0.368000	0.337594	
838	0.254177	162	0.907407	1.720910	838	0.254177	0.360000	0.338528	
846	0.231678	154	0.870130	1.720910	846	0.231678	0.330000	0.338186	
834	0.269784	166	0.885542	1.720910	834	0.269784	0.372000	0.339487	
838	0.267303	162	0.851852	1.720910	838	0.267303	0.362000	0.340321	
816	0.235294	184	0.804348	1.720910	816	0.235294	0.340000	0.340309	
830	0.250602	170	0.888235	1.720910	830	0.250602	0.359000	0.340954	
811	0.271270	189	0.862434	1.720910	811	0.271270	0.383000	0.342355	
856	0.253505	144	0.840278	1.720910	856	0.253505	0.338000	0.342215	
835	0.251497	165	0.866667	1.720910	835	0.251497	0.353000	0.342552	
836	0.247608	164	0.896341	1.720910	836	0.247608	0.354000	0.342899	
829	0.278649	171	0.853801	1.720910	829	0.278649	0.377000	0.343902	
835	0.261078	165	0.890909	1.720910	835	0.261078	0.365000	0.344504	
810	0.235802	190	0.894737	1.720910	810	0.235802	0.361000	0.344963	
839	0.281287	161	0.863354	1.720910	839	0.281287	0.375000	0.345774	
853	0.242673	147	0.850340	1.720910	853	0.242673	0.332000	0.345412	
827	0.270859	173	0.809249	1.720910	827	0.270859	0.364000	0.345889	
819	0.244200	181	0.878453	1.720910	819	0.244200	0.359000	0.346216	
829	0.271411	171	0.853801	1.720910	829	0.271411	0.371000	0.346821	
835	0.255090	165	0.878788	1.720910	835	0.255090	0.358000	0.347087	
838	0.255370	162	0.876543	1.720910	838	0.255370	0.356000	0.347294	
836	0.261962	164	0.798780	1.720910	836	0.261962	0.350000	0.347356	
827	0.259976	173	0.861272	1.720910	827	0.259976	0.364000	0.347726	
820	0.278049	180	0.888889	1.720910	820	0.278049	0.388000	0.348601	
826	0.278450	174	0.850575	1.720910	826	0.278450	0.378000	0.349227	
842	0.252969	158	0.886076	1.720910	842	0.252969	0.353000	0.349305	
831	0.263538	169	0.852071	1.720910	831	0.263538	0.363000	0.349585	
827	0.269649	173	0.832370	1.720910	827	0.269649	0.367000	0.349933	
813	0.253383	187	0.882353	1.720910	813	0.253383	0.371000	0.350346	
815	0.241718	185	0.875676	1.720910	815	0.241718	0.359000	0.350512	
811	0.267571	189	0.857143	1.720910	811	0.267571	0.379000	0.351050	
840	0.273810	160	0.818750	1.720910	840	0.273810	0.361000	0.351234	
808	0.278465	192	0.885417	1.720910	808	0.278465	0.395000	0.352030	
824	0.247573	176	0.852273	1.720910	824	0.247573	0.354000	0.352065	
833	0.255702	167	0.892216	1.720910	833	0.255702	0.362000	0.352239	
816	0.300245	184	0.826087	1.720910	816	0.300245	0.397000	0.353011	
834	0.257794	166	0.813253	1.720910	834	0.257794	0.350000	0.352960	
836	0.266746	164	0.890244	1.720910	836	0.266746	0.369000	0.353227	
826	0.225182	174	0.833333	1.720910	826	0.225182	0.331000	0.352863	
832	0.265625	168	0.851190	1.720910	832	0.265625	0.364000	0.353043	
833	0.267707	167	0.910180	1.720910	833	0.267707	0.375000	0.353391	
813	0.259533	187	0.828877	1.720910	813	0.259533	0.366000	0.353588	
846	0.264775	154	0.831169	1.720910	846	0.264775	0.352000	0.353564	
812	0.302956	188	0.872340	1.720910	812	0.302956	0.410000	0.354419	
825	0.236364	175	0.834286	1.720910	825	0.236364	0.341000	0.354219	
835	0.307784	165	0.903030	1.720910	835	0.307784	0.406000	0.354980	
812	0.301724	188	0.882979	1.720910	812	0.301724	0.411000	0.355792	
830	0.250602	170	0.794118	1.720910	830	0.250602	0.343000	0.355609	
830	0.267470	170	0.835294	1.720910	830	0.267470	0.364000	0.355727	
828	0.252415	172	0.854651	1.720910	828	0.252415	0.356000	0.355731	
839	0.246722	161	0.857143	1.720910	839	0.246722	0.345000	0.355584	
829	0.238842	171	0.888889	1.720910	829	0.238842	0.350000	0.355509	
815	0.300613	185	0.740541	1.720910	815	0.300613	0.382000	0.355862	
822	0.248175	178	0.752809	1.720910	822	0.248175	0.338000	0.355627	
830	0.232530	170	0.858824	1.720910	830	0.232530	0.339000	0.355411	
847	0.249115	153	0.830065	1.720910	847	0.249115	0.338000	0.355188	
832	0.276442	168	0.821429	1.720910	832	0.276442	0.368000	0.355350	
853	0.245018	147	0.863946	1.720910	853	0.245018	0.336000	0.355108	
824	0.247573	176	0.931818	1.720910	824	0.247573	0.368000	0.355267	
815	0.277301	185	0.713514	1.720910	815	0.277301	0.358000	0.355301	
815	0.278528	185	0.729730	1.720910	815	0.278528	0.362000	0.355381	
859	0.268917	141	0.822695	1.720910	859	0.268917	0.347000	0.355281	
835	0.231138	165	0.878788	1.720910	835	0.231138	0.338000	0.355078	
850	0.265882	150	0.893333	1.720910	850	0.265882	0.360000	0.355135	
813	0.280443	187	0.898396	1.720910	813	0.280443	0.396000	0.355605	
814	0.262899	186	0.779570	1.720910	814	0.262899	0.359000	0.355644	
828	0.262077	172	0.848837	1.720910	828	0.262077	0.363000	0.355726	
842	0.249406	158	0.829114	1.720910	842	0.249406	0.341000	0.355563	
