Options:
Model:                           Discrete: Independent
Tree File Name:                  ./data/austronesian-eskimo-inheritancetobothsex.restricted.bttrees
Data File Name:                  ./data/austronesian-eskimo-inheritancetobothsex.restricted.btdata
Log File Name:                   ./output/austronesian-eskimo-inheritancetobothsex.restricted-indep3.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            707035459
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      10010000
Burn in:                         10000
MCMC ML Start:                   False
Schedule File:                   ./output/austronesian-eskimo-inheritancetobothsex.restricted-indep3.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     4
Base frequency (PI's):           Empirical: (0.640000,0.160000,0.060000,0.140000)
Character Symbols:               00,01,10,11
Using a covarion model:          False
Normalise Q Matrix:              False
Scale Tree:                      0.073913
Restrictions:
    alpha1                       None
    beta1                        None
    alpha2                       None
    beta2                        None
Prior Information:
    Prior Categories:            100
    Priors
        alpha1 - exp 10.00 
        beta1 - exp 10.00 
        alpha2 - exp 10.00 
        beta2 - exp 10.00 
Tree Information
     Trees:                      1000
     Taxa:                       50
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	alpha1	beta1	alpha2	beta2	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	
11000	-52.720488	700	0.071381	2.199501	6.189682	12.659257	0.026623	0.006633	0.290726	0.676018	
12000	-55.368092	173	0.756041	0.950735	7.037969	7.549780	0.816764	0.178211	0.001655	0.003370	
13000	-55.829456	44	2.266729	1.829333	8.752476	18.732159	0.786584	0.196615	0.005041	0.011760	
14000	-51.763677	805	0.099603	3.234382	3.190059	9.906038	0.008381	0.002224	0.284555	0.704840	
15000	-54.852908	589	2.987962	7.079451	2.253119	6.635823	0.628173	0.185885	0.049428	0.136514	
16000	-51.738957	820	0.729994	3.694614	5.243319	15.477848	0.608075	0.152621	0.071593	0.167712	
17000	-51.600325	639	0.781115	2.495363	12.714737	22.098872	0.721321	0.180328	0.029506	0.068846	
18000	-53.608057	315	0.181966	2.400157	9.819306	15.238586	0.139165	0.034653	0.248548	0.577635	
19000	-57.830235	214	0.130830	1.064518	1.587543	2.187783	0.840220	0.056057	0.063920	0.039803	
20000	-54.271959	203	1.247354	9.249321	2.928906	8.399070	0.558284	0.147156	0.085129	0.209430	
21000	-52.609437	623	0.090986	3.529597	7.190833	26.026818	0.007096	0.001774	0.297329	0.693801	
22000	-52.579332	95	0.385079	4.495496	5.738490	8.750091	0.234755	0.056726	0.217652	0.490867	
23000	-53.710385	277	0.640448	7.106475	6.732334	10.739797	0.363497	0.089140	0.166432	0.380931	
