Rate	83.33
Tree Move	16.67
Rate Tried	% Accepted	Tree Move Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
826	0.366828	174	0.712644	1.738947	826	0.366828	0.427000	0.399154	
849	0.320377	151	0.642384	1.738947	849	0.320377	0.369000	0.399150	
827	0.304716	173	0.757225	1.738947	827	0.304716	0.383000	0.399148	
848	0.356132	152	0.802632	1.738947	848	0.356132	0.424000	0.399152	
821	0.331303	179	0.675978	1.738947	821	0.331303	0.393000	0.399151	
833	0.308523	167	0.724551	1.738947	833	0.308523	0.378000	0.399148	
843	0.349941	157	0.700637	1.738947	843	0.349941	0.405000	0.399149	
840	0.307143	160	0.700000	1.738947	840	0.307143	0.370000	0.399145	
839	0.286055	161	0.813665	1.738947	839	0.286055	0.371000	0.399141	
848	0.362028	152	0.809211	1.738947	848	0.362028	0.430000	0.399145	
845	0.318343	155	0.735484	1.738947	845	0.318343	0.383000	0.399143	
843	0.330961	157	0.821656	1.738947	843	0.330961	0.408000	0.399144	
838	0.321002	162	0.790123	1.738947	838	0.321002	0.397000	0.399144	
854	0.336066	146	0.842466	1.738947	854	0.336066	0.410000	0.399145	
836	0.345694	164	0.810976	1.738947	836	0.345694	0.422000	0.399148	
839	0.325387	161	0.795031	1.738947	839	0.325387	0.401000	0.399149	
841	0.323424	159	0.767296	1.738947	841	0.323424	0.394000	0.399148	
828	0.355072	172	0.750000	1.738947	828	0.355072	0.423000	0.399151	
836	0.302632	164	0.804878	1.738947	836	0.302632	0.385000	0.399149	
837	0.303465	163	0.760736	1.738947	837	0.303465	0.378000	0.399146	
836	0.303828	164	0.798780	1.738947	836	0.303828	0.385000	0.399145	
842	0.344418	158	0.696203	1.738947	842	0.344418	0.400000	0.399145	
832	0.316106	168	0.750000	1.738947	832	0.316106	0.389000	0.399143	
858	0.318182	142	0.809859	1.738947	858	0.318182	0.388000	0.399142	
834	0.322542	166	0.753012	1.738947	834	0.322542	0.394000	0.399141	
829	0.326900	171	0.853801	1.738947	829	0.326900	0.417000	0.399144	
810	0.334568	190	0.747368	1.738947	810	0.334568	0.413000	0.399145	
833	0.331333	167	0.766467	1.738947	833	0.331333	0.404000	0.399146	
852	0.328638	148	0.777027	1.738947	852	0.328638	0.395000	0.399146	
820	0.324390	180	0.777778	1.738947	820	0.324390	0.406000	0.399146	
837	0.333333	163	0.797546	1.738947	837	0.333333	0.409000	0.399148	
838	0.344869	162	0.802469	1.738947	838	0.344869	0.419000	0.399150	
837	0.318996	163	0.785276	1.738947	837	0.318996	0.395000	0.399150	
844	0.291469	156	0.826923	1.738947	844	0.291469	0.375000	0.399147	
849	0.315665	151	0.701987	1.738947	849	0.315665	0.374000	0.399143	
843	0.310795	157	0.726115	1.738947	843	0.310795	0.376000	0.399140	
853	0.348183	147	0.761905	1.738947	853	0.348183	0.409000	0.399142	
842	0.338480	158	0.759494	1.738947	842	0.338480	0.405000	0.399142	
828	0.339372	172	0.668605	1.738947	828	0.339372	0.396000	0.399142	
812	0.302956	188	0.845745	1.738947	812	0.302956	0.405000	0.399143	
841	0.315101	159	0.805031	1.738947	841	0.315101	0.393000	0.399142	
829	0.346200	171	0.777778	1.738947	829	0.346200	0.420000	0.399145	
823	0.336574	177	0.836158	1.738947	823	0.336574	0.425000	0.399148	
833	0.319328	167	0.820359	1.738947	833	0.319328	0.403000	0.399149	
837	0.358423	163	0.717791	1.738947	837	0.358423	0.417000	0.399151	
834	0.327338	166	0.740964	1.738947	834	0.327338	0.396000	0.399150	
849	0.338045	151	0.774834	1.738947	849	0.338045	0.404000	0.399151	
841	0.322235	159	0.811321	1.738947	841	0.322235	0.400000	0.399151	
827	0.299879	173	0.722543	1.738947	827	0.299879	0.373000	0.399148	
840	0.355952	160	0.843750	1.738947	840	0.355952	0.434000	0.399152	
856	0.358645	144	0.750000	1.738947	856	0.358645	0.415000	0.399154	
853	0.315358	147	0.809524	1.738947	853	0.315358	0.388000	0.399153	
841	0.311534	159	0.811321	1.738947	841	0.311534	0.391000	0.399152	
825	0.330909	175	0.822857	1.738947	825	0.330909	0.417000	0.399154	
833	0.346939	167	0.790419	1.738947	833	0.346939	0.421000	0.399157	
837	0.315412	163	0.773006	1.738947	837	0.315412	0.390000	0.399156	
830	0.353012	170	0.717647	1.738947	830	0.353012	0.415000	0.399158	
840	0.317857	160	0.818750	1.738947	840	0.317857	0.398000	0.399158	
834	0.334532	166	0.795181	1.738947	834	0.334532	0.411000	0.399159	
850	0.312941	150	0.686667	1.738947	850	0.312941	0.369000	0.399156	
842	0.328979	158	0.746835	1.738947	842	0.328979	0.395000	0.399155	
851	0.327850	149	0.812081	1.738947	851	0.327850	0.400000	0.399155	
841	0.331748	159	0.748428	1.738947	841	0.331748	0.398000	0.399155	
821	0.328867	179	0.787709	1.738947	821	0.328867	0.411000	0.399156	
827	0.363966	173	0.803468	1.738947	827	0.363966	0.440000	0.399162	
838	0.297136	162	0.765432	1.738947	838	0.297136	0.373000	0.399158	
832	0.334135	168	0.791667	1.738947	832	0.334135	0.411000	0.399160	
824	0.336165	176	0.738636	1.738947	824	0.336165	0.407000	0.399161	
834	0.310552	166	0.692771	1.738947	834	0.310552	0.374000	0.399158	
818	0.321516	182	0.758242	1.738947	818	0.321516	0.401000	0.399158	
834	0.326139	166	0.704819	1.738947	834	0.326139	0.389000	0.399157	
819	0.341880	181	0.773481	1.738947	819	0.341880	0.420000	0.399159	
823	0.320778	177	0.807910	1.738947	823	0.320778	0.407000	0.399160	
848	0.363208	152	0.789474	1.738947	848	0.363208	0.428000	0.399164	
851	0.331375	149	0.818792	1.738947	851	0.331375	0.404000	0.399165	
813	0.353014	187	0.770053	1.738947	813	0.353014	0.431000	0.399169	
843	0.323843	157	0.719745	1.738947	843	0.323843	0.386000	0.399167	
841	0.328181	159	0.786164	1.738947	841	0.328181	0.401000	0.399168	
828	0.305556	172	0.808140	1.738947	828	0.305556	0.392000	0.399167	
839	0.382598	161	0.739130	1.738947	839	0.382598	0.440000	0.399172	
824	0.324029	176	0.767045	1.738947	824	0.324029	0.402000	0.399172	
856	0.303738	144	0.791667	1.738947	856	0.303738	0.374000	0.399169	
824	0.307039	176	0.863636	1.738947	824	0.307039	0.405000	0.399170	
838	0.342482	162	0.679012	1.738947	838	0.342482	0.397000	0.399170	
831	0.324910	169	0.721893	1.738947	831	0.324910	0.392000	0.399169	
823	0.317132	177	0.785311	1.738947	823	0.317132	0.400000	0.399169	
853	0.332943	147	0.823129	1.738947	853	0.332943	0.405000	0.399169	
835	0.334132	165	0.751515	1.738947	835	0.334132	0.403000	0.399170	
828	0.316425	172	0.813953	1.738947	828	0.316425	0.402000	0.399170	
841	0.317479	159	0.742138	1.738947	841	0.317479	0.385000	0.399168	
837	0.323775	163	0.785276	1.738947	837	0.323775	0.399000	0.399168	
832	0.361779	168	0.678571	1.738947	832	0.361779	0.415000	0.399171	
843	0.308422	157	0.745223	1.738947	843	0.308422	0.377000	0.399168	
828	0.356280	172	0.813953	1.738947	828	0.356280	0.435000	0.399172	
835	0.307784	165	0.757576	1.738947	835	0.307784	0.382000	0.399170	
821	0.305725	179	0.653631	1.738947	821	0.305725	0.368000	0.399166	
820	0.330488	180	0.761111	1.738947	820	0.330488	0.408000	0.399167	
835	0.317365	165	0.787879	1.738947	835	0.317365	0.395000	0.399167	
818	0.308068	182	0.752747	1.738947	818	0.308068	0.389000	0.399165	
845	0.343195	155	0.748387	1.738947	845	0.343195	0.406000	0.399166	
872	0.299312	128	0.835938	1.738947	872	0.299312	0.368000	0.399162	
845	0.345562	155	0.780645	1.738947	845	0.345562	0.413000	0.399164	
846	0.356974	154	0.727273	1.738947	846	0.356974	0.414000	0.399166	
855	0.311111	145	0.772414	1.738947	855	0.311111	0.378000	0.399163	
833	0.346939	167	0.820359	1.738947	833	0.346939	0.426000	0.399167	
816	0.357843	184	0.804348	1.738947	816	0.357843	0.440000	0.399172	
816	0.351716	184	0.815217	1.738947	816	0.351716	0.437000	0.399177	
838	0.300716	162	0.876543	1.738947	838	0.300716	0.394000	0.399176	
851	0.332550	149	0.751678	1.738947	851	0.332550	0.395000	0.399176	
815	0.317791	185	0.821622	1.738947	815	0.317791	0.411000	0.399177	
865	0.343353	135	0.681481	1.738947	865	0.343353	0.389000	0.399176	
811	0.304562	189	0.788360	1.738947	811	0.304562	0.396000	0.399175	
825	0.324848	175	0.771429	1.738947	825	0.324848	0.403000	0.399176	
827	0.347037	173	0.826590	1.738947	827	0.347037	0.430000	0.399180	
824	0.331311	176	0.755682	1.738947	824	0.331311	0.406000	0.399181	
828	0.332126	172	0.790698	1.738947	828	0.332126	0.411000	0.399182	
820	0.303659	180	0.733333	1.738947	820	0.303659	0.381000	0.399180	
841	0.307967	159	0.786164	1.738947	841	0.307967	0.384000	0.399178	
847	0.341204	153	0.777778	1.738947	847	0.341204	0.408000	0.399179	
841	0.278240	159	0.742138	1.738947	841	0.278240	0.352000	0.399173	
836	0.343301	164	0.750000	1.738947	836	0.343301	0.410000	0.399174	
854	0.303279	146	0.773973	1.738947	854	0.303279	0.372000	0.399171	
856	0.341121	144	0.750000	1.738947	856	0.341121	0.400000	0.399171	
815	0.320245	185	0.848649	1.738947	815	0.320245	0.418000	0.399173	
849	0.376914	151	0.807947	1.738947	849	0.376914	0.442000	0.399179	
832	0.312500	168	0.738095	1.738947	832	0.312500	0.384000	0.399177	
837	0.316607	163	0.730061	1.738947	837	0.316607	0.384000	0.399175	
831	0.364621	169	0.792899	1.738947	831	0.364621	0.437000	0.399180	
847	0.343566	153	0.758170	1.738947	847	0.343566	0.407000	0.399181	
845	0.326627	155	0.787097	1.738947	845	0.326627	0.398000	0.399181	
845	0.294675	155	0.787097	1.738947	845	0.294675	0.371000	0.399177	
834	0.352518	166	0.753012	1.738947	834	0.352518	0.419000	0.399180	
845	0.344379	155	0.741935	1.738947	845	0.344379	0.406000	0.399181	
836	0.337321	164	0.810976	1.738947	836	0.337321	0.415000	0.399183	
850	0.363529	150	0.820000	1.738947	850	0.363529	0.432000	0.399187	
824	0.311893	176	0.738636	1.738947	824	0.311893	0.387000	0.399186	
847	0.280992	153	0.790850	1.738947	847	0.280992	0.359000	0.399180	
841	0.335315	159	0.842767	1.738947	841	0.335315	0.416000	0.399182	
831	0.293622	169	0.721893	1.738947	831	0.293622	0.366000	0.399178	
827	0.314389	173	0.728324	1.738947	827	0.314389	0.386000	0.399176	
830	0.319277	170	0.788235	1.738947	830	0.319277	0.399000	0.399176	
833	0.304922	167	0.766467	1.738947	833	0.304922	0.382000	0.399174	
842	0.339667	158	0.822785	1.738947	842	0.339667	0.416000	0.399176	
847	0.310508	153	0.725490	1.738947	847	0.310508	0.374000	0.399173	
830	0.310843	170	0.717647	1.738947	830	0.310843	0.380000	0.399171	
831	0.352587	169	0.810651	1.738947	831	0.352587	0.430000	0.399175	
817	0.335373	183	0.814208	1.738947	817	0.335373	0.423000	0.399178	
822	0.313869	178	0.752809	1.738947	822	0.313869	0.392000	0.399177	
844	0.293839	156	0.692308	1.738947	844	0.293839	0.356000	0.399171	
855	0.353216	145	0.806897	1.738947	855	0.353216	0.419000	0.399174	
828	0.338164	172	0.813953	1.738947	828	0.338164	0.420000	0.399176	
844	0.351896	156	0.750000	1.738947	844	0.351896	0.414000	0.399178	
823	0.314702	177	0.779661	1.738947	823	0.314702	0.397000	0.399178	
826	0.313559	174	0.775862	1.738947	826	0.313559	0.394000	0.399177	
818	0.332518	182	0.763736	1.738947	818	0.332518	0.411000	0.399179	
834	0.312950	166	0.746988	1.738947	834	0.312950	0.385000	0.399177	
838	0.312649	162	0.777778	1.738947	838	0.312649	0.388000	0.399176	
841	0.341260	159	0.754717	1.738947	841	0.341260	0.407000	0.399177	
841	0.340071	159	0.805031	1.738947	841	0.340071	0.414000	0.399179	
847	0.328217	153	0.738562	1.738947	847	0.328217	0.391000	0.399177	
812	0.332512	188	0.797872	1.738947	812	0.332512	0.420000	0.399180	
832	0.286058	168	0.827381	1.738947	832	0.286058	0.377000	0.399177	
836	0.344498	164	0.756098	1.738947	836	0.344498	0.412000	0.399179	
828	0.309179	172	0.767442	1.738947	828	0.309179	0.388000	0.399178	
857	0.378063	143	0.818182	1.738947	857	0.378063	0.441000	0.399183	
820	0.308537	180	0.644444	1.738947	820	0.308537	0.369000	0.399179	
847	0.355372	153	0.732026	1.738947	847	0.355372	0.413000	0.399181	
824	0.313107	176	0.721591	1.738947	824	0.313107	0.385000	0.399179	
846	0.307329	154	0.831169	1.738947	846	0.307329	0.388000	0.399178	
812	0.323892	188	0.728723	1.738947	812	0.323892	0.400000	0.399178	
841	0.338882	159	0.729560	1.738947	841	0.338882	0.401000	0.399178	
836	0.332536	164	0.829268	1.738947	836	0.332536	0.414000	0.399180	
826	0.311138	174	0.758621	1.738947	826	0.311138	0.389000	0.399178	
821	0.313033	179	0.787709	1.738947	821	0.313033	0.398000	0.399178	
809	0.307787	191	0.795812	1.738947	809	0.307787	0.401000	0.399179	
826	0.346247	174	0.781609	1.738947	826	0.346247	0.422000	0.399182	
845	0.319527	155	0.741935	1.738947	845	0.319527	0.385000	0.399180	
854	0.362998	146	0.678082	1.738947	854	0.362998	0.409000	0.399181	
854	0.295082	146	0.808219	1.738947	854	0.295082	0.370000	0.399177	
835	0.318563	165	0.769697	1.738947	835	0.318563	0.393000	0.399176	
839	0.340882	161	0.701863	1.738947	839	0.340882	0.399000	0.399176	
