Rate	83.33
Tree Move	16.67
Rate Tried	% Accepted	Tree Move Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
840	0.242857	160	0.731250	1.522207	840	0.242857	0.321000	0.264885	
819	0.208791	181	0.790055	1.522207	819	0.208791	0.314000	0.268978	
836	0.253589	164	0.676829	1.522207	836	0.253589	0.323000	0.273133	
847	0.253837	153	0.692810	1.522207	847	0.253837	0.321000	0.276552	
842	0.276722	158	0.829114	1.522207	842	0.276722	0.364000	0.282381	
855	0.232749	145	0.710345	1.522207	855	0.232749	0.302000	0.283607	
843	0.259786	157	0.777070	1.522207	843	0.259786	0.341000	0.286983	
827	0.214027	173	0.768786	1.522207	827	0.214027	0.310000	0.288262	
842	0.230404	158	0.702532	1.522207	842	0.230404	0.305000	0.289143	
834	0.238609	166	0.710843	1.522207	834	0.238609	0.317000	0.290535	
837	0.236559	163	0.803681	1.522207	837	0.236559	0.329000	0.292367	
848	0.265330	152	0.763158	1.522207	848	0.265330	0.341000	0.294578	
831	0.241877	169	0.757396	1.522207	831	0.241877	0.329000	0.296074	
830	0.260241	170	0.735294	1.522207	830	0.260241	0.341000	0.297946	
852	0.246479	148	0.750000	1.522207	852	0.246479	0.321000	0.298868	
833	0.290516	167	0.706587	1.522207	833	0.290516	0.360000	0.301219	
812	0.259852	188	0.643617	1.522207	812	0.259852	0.332000	0.302359	
821	0.225335	179	0.715084	1.522207	821	0.225335	0.313000	0.302739	
841	0.244946	159	0.647799	1.522207	841	0.244946	0.309000	0.302955	
826	0.255448	174	0.741379	1.522207	826	0.255448	0.340000	0.304190	
855	0.264327	145	0.737931	1.522207	855	0.264327	0.333000	0.305119	
831	0.287605	169	0.704142	1.522207	831	0.287605	0.358000	0.306772	
824	0.236650	176	0.721591	1.522207	824	0.236650	0.322000	0.307233	
847	0.250295	153	0.725490	1.522207	847	0.250295	0.323000	0.307697	
850	0.241176	150	0.713333	1.522207	850	0.241176	0.312000	0.307820	
841	0.266350	159	0.710692	1.522207	841	0.266350	0.337000	0.308630	
842	0.220903	158	0.702532	1.522207	842	0.220903	0.297000	0.308316	
834	0.251799	166	0.668675	1.522207	834	0.251799	0.321000	0.308650	
823	0.267315	177	0.632768	1.522207	823	0.267315	0.332000	0.309248	
831	0.298436	169	0.704142	1.522207	831	0.298436	0.367000	0.310692	
822	0.239659	178	0.775281	1.522207	822	0.239659	0.335000	0.311285	
830	0.248193	170	0.700000	1.522207	830	0.248193	0.325000	0.311612	
844	0.250000	156	0.724359	1.522207	844	0.250000	0.324000	0.311900	
831	0.285199	169	0.786982	1.522207	831	0.285199	0.370000	0.313220	
836	0.257177	164	0.719512	1.522207	836	0.257177	0.333000	0.313660	
817	0.238678	183	0.677596	1.522207	817	0.238678	0.319000	0.313776	
849	0.229682	151	0.721854	1.522207	849	0.229682	0.304000	0.313568	
859	0.247963	141	0.687943	1.522207	859	0.247963	0.310000	0.313493	
850	0.268235	150	0.706667	1.522207	850	0.268235	0.334000	0.313912	
828	0.298309	172	0.715116	1.522207	828	0.298309	0.370000	0.315034	
861	0.246225	139	0.661871	1.522207	861	0.246225	0.304000	0.314817	
836	0.248804	164	0.689024	1.522207	836	0.248804	0.321000	0.314936	
827	0.266022	173	0.716763	1.522207	827	0.266022	0.344000	0.315485	
833	0.261705	167	0.718563	1.522207	833	0.261705	0.338000	0.315902	
820	0.236585	180	0.766667	1.522207	820	0.236585	0.332000	0.316194	
820	0.258537	180	0.716667	1.522207	820	0.258537	0.341000	0.316637	
