Steppingstone sampler:
        No Stones:                  100
        Start It:                   10010001
        It Per Stone:               1000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.975187	750	-2.120076	-2.120076
1	0.950747	750	-2.089279	-4.209355
2	0.926679	750	-2.059038	-6.268394
3	0.902980	750	-2.045880	-8.314274
4	0.879648	750	-2.015450	-10.329725
5	0.856682	750	-1.969567	-12.299292
6	0.834079	750	-1.943625	-14.242916
7	0.811838	750	-1.938151	-16.181067
8	0.789957	750	-1.889583	-18.070650
9	0.768433	750	-1.860034	-19.930683
10	0.747266	750	-1.820732	-21.751415
11	0.726452	750	-1.804272	-23.555687
12	0.705989	750	-1.792105	-25.347792
13	0.685877	750	-1.756515	-27.104307
14	0.666112	750	-1.708860	-28.813167
15	0.646693	750	-1.697500	-30.510667
16	0.627618	750	-1.675183	-32.185851
17	0.608884	750	-1.644307	-33.830157
18	0.590490	750	-1.605897	-35.436055
19	0.572433	750	-1.574328	-37.010383
20	0.554712	750	-1.543654	-38.554037
21	0.537324	750	-1.513656	-40.067693
22	0.520268	750	-1.524074	-41.591767
23	0.503540	750	-1.474983	-43.066750
24	0.487139	750	-1.440825	-44.507574
25	0.471063	750	-1.405644	-45.913218
26	0.455310	750	-1.372945	-47.286164
27	0.439877	750	-1.365525	-48.651689
28	0.424762	750	-1.327291	-49.978980
29	0.409963	750	-1.300885	-51.279865
30	0.395478	750	-1.287163	-52.567029
31	0.381305	750	-1.252614	-53.819643
32	0.367440	750	-1.229842	-55.049484
33	0.353883	750	-1.201167	-56.250651
34	0.340630	750	-1.182958	-57.433610
35	0.327680	750	-1.144079	-58.577688
36	0.315030	750	-1.143700	-59.721389
37	0.302677	750	-1.111610	-60.832999
38	0.290619	750	-1.092623	-61.925622
39	0.278855	750	-1.071471	-62.997093
40	0.267381	750	-1.037129	-64.034222
41	0.256195	750	-1.000040	-65.034262
42	0.245294	750	-0.992043	-66.026305
43	0.234677	750	-0.959073	-66.985377
44	0.224340	750	-0.937469	-67.922846
45	0.214281	750	-0.918508	-68.841354
46	0.204498	750	-0.889129	-69.730483
47	0.194988	750	-0.894536	-70.625019
48	0.185749	750	-0.845110	-71.470128
49	0.176777	750	-0.837206	-72.307334
50	0.168070	750	-0.799172	-73.106506
51	0.159626	750	-0.782070	-73.888576
52	0.151441	750	-0.757272	-74.645848
53	0.143514	750	-0.733795	-75.379643
54	0.135841	750	-0.728714	-76.108357
55	0.128420	750	-0.686171	-76.794528
56	0.121247	750	-0.681376	-77.475903
57	0.114320	750	-0.653303	-78.129206
58	0.107637	750	-0.647826	-78.777032
59	0.101193	750	-0.636927	-79.413959
60	0.094986	750	-0.609861	-80.023820
61	0.089014	750	-0.603458	-80.627278
62	0.083273	750	-0.554897	-81.182175
63	0.077760	750	-0.544846	-81.727021
64	0.072472	750	-0.520834	-82.247856
65	0.067406	750	-0.515792	-82.763648
66	0.062558	750	-0.498677	-83.262325
67	0.057926	750	-0.494697	-83.757022
68	0.053506	750	-0.464358	-84.221380
69	0.049295	750	-0.432881	-84.654260
70	0.045289	750	-0.397935	-85.052196
71	0.041485	750	-0.413863	-85.466058
72	0.037880	750	-0.366647	-85.832705
73	0.034469	750	-0.348999	-86.181704
74	0.031250	750	-0.361952	-86.543656
75	0.028218	750	-0.329127	-86.872783
76	0.025370	750	-0.311037	-87.183820
77	0.022702	750	-0.297967	-87.481787
78	0.020209	750	-0.276906	-87.758693
79	0.017889	750	-0.270278	-88.028971
80	0.015736	750	-0.245190	-88.274161
81	0.013746	750	-0.245725	-88.519886
82	0.011916	750	-0.212741	-88.732628
83	0.010240	750	-0.188764	-88.921392
84	0.008714	750	-0.176120	-89.097511
85	0.007334	750	-0.166145	-89.263656
86	0.006093	750	-0.153204	-89.416860
87	0.004988	750	-0.134425	-89.551285
88	0.004013	750	-0.114696	-89.665981
89	0.003162	750	-0.096764	-89.762745
90	0.002430	750	-0.084344	-89.847089
91	0.001810	750	-0.073505	-89.920594
92	0.001296	750	-0.064961	-89.985556
93	0.000882	750	-0.052710	-90.038266
94	0.000559	750	-0.042522	-90.080787
95	0.000320	750	-0.029814	-90.110602
96	0.000156	750	-0.021405	-90.132007
97	0.000057	750	-0.012648	-90.144655
98	0.000010	750	-0.005654	-90.150309
99	0.000000	750	-0.001270	-90.151579
Log marginal likelihood:	-90.151579
