Steppingstone sampler:
        No Stones:                  100
        Start It:                   10010001
        It Per Stone:               1000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.975187	750	-2.767062	-2.767062
1	0.950747	750	-2.734698	-5.501760
2	0.926679	750	-2.692352	-8.194112
3	0.902980	750	-2.639518	-10.833630
4	0.879648	750	-2.606983	-13.440613
5	0.856682	750	-2.568378	-16.008991
6	0.834079	750	-2.535840	-18.544831
7	0.811838	750	-2.492238	-21.037068
8	0.789957	750	-2.437932	-23.475000
9	0.768433	750	-2.412976	-25.887976
10	0.747266	750	-2.362931	-28.250908
11	0.726452	750	-2.333488	-30.584395
12	0.705989	750	-2.293813	-32.878208
13	0.685877	750	-2.249469	-35.127676
14	0.666112	750	-2.223720	-37.351396
15	0.646693	750	-2.188572	-39.539968
16	0.627618	750	-2.135031	-41.674999
17	0.608884	750	-2.111324	-43.786323
18	0.590490	750	-2.071493	-45.857816
19	0.572433	750	-2.048019	-47.905835
20	0.554712	750	-1.996981	-49.902815
21	0.537324	750	-1.960196	-51.863011
22	0.520268	750	-1.924327	-53.787338
23	0.503540	750	-1.897647	-55.684985
24	0.487139	750	-1.862152	-57.547137
25	0.471063	750	-1.819805	-59.366942
26	0.455310	750	-1.786818	-61.153760
27	0.439877	750	-1.747506	-62.901266
28	0.424762	750	-1.707686	-64.608952
29	0.409963	750	-1.679271	-66.288223
30	0.395478	750	-1.642696	-67.930919
31	0.381305	750	-1.627135	-69.558054
32	0.367440	750	-1.568530	-71.126584
33	0.353883	750	-1.547789	-72.674373
34	0.340630	750	-1.510876	-74.185248
35	0.327680	750	-1.475538	-75.660786
36	0.315030	750	-1.441294	-77.102080
37	0.302677	750	-1.404750	-78.506830
38	0.290619	750	-1.377458	-79.884288
39	0.278855	750	-1.357167	-81.241455
40	0.267381	750	-1.323316	-82.564771
41	0.256195	750	-1.290885	-83.855656
42	0.245294	750	-1.252166	-85.107822
43	0.234677	750	-1.224941	-86.332763
44	0.224340	750	-1.208021	-87.540785
45	0.214281	750	-1.171706	-88.712491
46	0.204498	750	-1.137884	-89.850375
47	0.194988	750	-1.109838	-90.960212
48	0.185749	750	-1.078378	-92.038590
49	0.176777	750	-1.045306	-93.083896
50	0.168070	750	-1.038515	-94.122411
51	0.159626	750	-1.002791	-95.125202
52	0.151441	750	-0.968932	-96.094134
53	0.143514	750	-0.935097	-97.029231
54	0.135841	750	-0.916784	-97.946015
55	0.128420	750	-0.870514	-98.816529
56	0.121247	750	-0.844655	-99.661184
57	0.114320	750	-0.820295	-100.481478
58	0.107637	750	-0.813037	-101.294516
59	0.101193	750	-0.765586	-102.060102
60	0.094986	750	-0.756604	-102.816706
61	0.089014	750	-0.719114	-103.535820
62	0.083273	750	-0.685437	-104.221257
63	0.077760	750	-0.674147	-104.895404
64	0.072472	750	-0.653789	-105.549193
65	0.067406	750	-0.613107	-106.162300
66	0.062558	750	-0.603869	-106.766169
67	0.057926	750	-0.577586	-107.343755
68	0.053506	750	-0.551450	-107.895205
69	0.049295	750	-0.527000	-108.422205
70	0.045289	750	-0.501522	-108.923726
71	0.041485	750	-0.473361	-109.397087
72	0.037880	750	-0.460957	-109.858044
73	0.034469	750	-0.439952	-110.297996
74	0.031250	750	-0.413645	-110.711641
75	0.028218	750	-0.386660	-111.098300
76	0.025370	750	-0.376249	-111.474549
77	0.022702	750	-0.350215	-111.824765
78	0.020209	750	-0.325991	-112.150756
79	0.017889	750	-0.301527	-112.452283
80	0.015736	750	-0.276549	-112.728832
81	0.013746	750	-0.262257	-112.991089
82	0.011916	750	-0.252106	-113.243195
83	0.010240	750	-0.229882	-113.473077
84	0.008714	750	-0.209242	-113.682319
85	0.007334	750	-0.187775	-113.870093
86	0.006093	750	-0.174650	-114.044744
87	0.004988	750	-0.156745	-114.201488
88	0.004013	750	-0.138282	-114.339771
89	0.003162	750	-0.124602	-114.464372
90	0.002430	750	-0.104015	-114.568387
91	0.001810	750	-0.088789	-114.657176
92	0.001296	750	-0.071266	-114.728442
93	0.000882	750	-0.057563	-114.786006
94	0.000559	750	-0.047578	-114.833584
95	0.000320	750	-0.033486	-114.867070
96	0.000156	750	-0.023400	-114.890469
97	0.000057	750	-0.014476	-114.904945
98	0.000010	750	-0.006804	-114.911749
99	0.000000	750	-0.001476	-114.913225
Log marginal likelihood:	-114.913225
