Rate	83.33
Tree Move	16.67
Rate Tried	% Accepted	Tree Move Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
852	0.334507	148	0.790541	1.395772	852	0.334507	0.402000	0.371148	
827	0.345828	173	0.780347	1.395772	827	0.345828	0.421000	0.375302	
844	0.328199	156	0.711538	1.395772	844	0.328199	0.388000	0.376279	
821	0.326431	179	0.854749	1.395772	821	0.326431	0.421000	0.379473	
819	0.327228	181	0.795580	1.395772	819	0.327228	0.412000	0.381641	
821	0.316687	179	0.810056	1.395772	821	0.316687	0.405000	0.383101	
826	0.335351	174	0.701149	1.395772	826	0.335351	0.399000	0.384036	
834	0.318945	166	0.740964	1.395772	834	0.318945	0.389000	0.384312	
843	0.310795	157	0.796178	1.395772	843	0.310795	0.387000	0.384453	
833	0.332533	167	0.796407	1.395772	833	0.332533	0.410000	0.385731	
832	0.293269	168	0.714286	1.395772	832	0.293269	0.364000	0.384696	
848	0.327830	152	0.769737	1.395772	848	0.327830	0.395000	0.385164	
833	0.330132	167	0.796407	1.395772	833	0.330132	0.408000	0.386157	
837	0.347670	163	0.779141	1.395772	837	0.347670	0.418000	0.387484	
828	0.323671	172	0.761628	1.395772	828	0.323671	0.399000	0.387944	
838	0.313842	162	0.771605	1.395772	838	0.313842	0.388000	0.387947	
829	0.335344	171	0.725146	1.395772	829	0.335344	0.402000	0.388467	
850	0.322353	150	0.780000	1.395772	850	0.322353	0.391000	0.388558	
833	0.343337	167	0.820359	1.395772	833	0.343337	0.423000	0.389745	
825	0.318788	175	0.822857	1.395772	825	0.318788	0.407000	0.390320	
824	0.325243	176	0.846591	1.395772	824	0.325243	0.417000	0.391181	
843	0.300119	157	0.853503	1.395772	843	0.300119	0.387000	0.391050	
811	0.287300	189	0.783069	1.395772	811	0.287300	0.381000	0.390746	
851	0.329025	149	0.818792	1.395772	851	0.329025	0.402000	0.391077	
835	0.365269	165	0.812121	1.395772	835	0.365269	0.439000	0.392446	
836	0.312201	164	0.719512	1.395772	836	0.312201	0.379000	0.392072	
796	0.300251	204	0.838235	1.395772	796	0.300251	0.410000	0.392557	
831	0.305656	169	0.733728	1.395772	831	0.305656	0.378000	0.392174	
805	0.336646	195	0.764103	1.395772	805	0.336646	0.420000	0.392887	
819	0.354090	181	0.745856	1.395772	819	0.354090	0.425000	0.393690	
851	0.320799	149	0.818792	1.395772	851	0.320799	0.395000	0.393722	
816	0.339461	184	0.864130	1.395772	816	0.339461	0.436000	0.394729	
826	0.328087	174	0.781609	1.395772	826	0.328087	0.407000	0.395014	
848	0.307783	152	0.802632	1.395772	848	0.307783	0.383000	0.394741	
816	0.346814	184	0.619565	1.395772	816	0.346814	0.397000	0.394791	
827	0.281741	173	0.820809	1.395772	827	0.281741	0.375000	0.394361	
835	0.356886	165	0.824242	1.395772	835	0.356886	0.434000	0.395204	
808	0.294554	192	0.833333	1.395772	808	0.294554	0.398000	0.395263	
807	0.309789	193	0.854922	1.395772	807	0.309789	0.415000	0.395665	
830	0.324096	170	0.670588	1.395772	830	0.324096	0.383000	0.395412	
820	0.310976	180	0.750000	1.395772	820	0.310976	0.390000	0.395306	
856	0.328271	144	0.618056	1.395772	856	0.328271	0.370000	0.394819	
833	0.343337	167	0.730539	1.395772	833	0.343337	0.408000	0.395068	
836	0.355263	164	0.731707	1.395772	836	0.355263	0.417000	0.395474	
821	0.327649	179	0.754190	1.395772	821	0.327649	0.404000	0.395629	
819	0.357753	181	0.828729	1.395772	819	0.357753	0.443000	0.396475	
845	0.295858	155	0.767742	1.395772	845	0.295858	0.369000	0.395993	
826	0.325666	174	0.839080	1.395772	826	0.325666	0.415000	0.396321	
832	0.294471	168	0.815476	1.395772	832	0.294471	0.382000	0.396078	
849	0.307420	151	0.768212	1.395772	849	0.307420	0.377000	0.395760	
851	0.318449	149	0.785235	1.395772	851	0.318449	0.388000	0.395633	
830	0.354217	170	0.823529	1.395772	830	0.354217	0.434000	0.396252	
827	0.298670	173	0.456647	1.395772	827	0.298670	0.326000	0.395137	
815	0.314110	185	0.627027	1.395772	815	0.314110	0.372000	0.394775	
820	0.296341	180	0.805556	1.395772	820	0.296341	0.388000	0.394671	
834	0.335731	166	0.795181	1.395772	834	0.335731	0.412000	0.394933	
848	0.304245	152	0.796053	1.395772	848	0.304245	0.379000	0.394696	
848	0.303066	152	0.697368	1.395772	848	0.303066	0.363000	0.394229	
824	0.365291	176	0.789773	1.395772	824	0.365291	0.440000	0.394893	
850	0.338824	150	0.813333	1.395772	850	0.338824	0.410000	0.395109	
835	0.287425	165	0.654545	1.395772	835	0.287425	0.348000	0.394445	
836	0.368421	164	0.774390	1.395772	836	0.368421	0.435000	0.395008	
842	0.351544	158	0.759494	1.395772	842	0.351544	0.416000	0.395296	
846	0.334515	154	0.805195	1.395772	846	0.334515	0.407000	0.395454	
831	0.299639	169	0.739645	1.395772	831	0.299639	0.374000	0.395168	
841	0.355529	159	0.748428	1.395772	841	0.355529	0.418000	0.395468	
822	0.295620	178	0.820225	1.395772	822	0.295620	0.389000	0.395384	
874	0.345538	126	0.849206	1.395772	874	0.345538	0.409000	0.395559	
834	0.329736	166	0.831325	1.395772	834	0.329736	0.413000	0.395780	
844	0.317536	156	0.833333	1.395772	844	0.317536	0.398000	0.395808	
843	0.354686	157	0.821656	1.395772	843	0.354686	0.428000	0.396205	
832	0.338942	168	0.821429	1.395772	832	0.338942	0.420000	0.396495	
828	0.350242	172	0.860465	1.395772	828	0.350242	0.438000	0.396995	
849	0.334511	151	0.794702	1.395772	849	0.334511	0.404000	0.397079	
845	0.319527	155	0.825806	1.395772	845	0.319527	0.398000	0.397089	
836	0.363636	164	0.841463	1.395772	836	0.363636	0.442000	0.397612	
847	0.342385	153	0.751634	1.395772	847	0.342385	0.405000	0.397697	
831	0.304452	169	0.875740	1.395772	831	0.304452	0.401000	0.397734	
862	0.351508	138	0.811594	1.395772	862	0.351508	0.415000	0.397928	
822	0.354015	178	0.764045	1.395772	822	0.354015	0.427000	0.398251	
835	0.337725	165	0.818182	1.395772	835	0.337725	0.417000	0.398457	
828	0.355072	172	0.872093	1.395772	828	0.355072	0.444000	0.398952	
821	0.299635	179	0.871508	1.395772	821	0.299635	0.402000	0.398985	
859	0.322468	141	0.780142	1.395772	859	0.322468	0.387000	0.398857	
828	0.324879	172	0.744186	1.395772	828	0.324879	0.397000	0.398838	
846	0.300236	154	0.792208	1.395772	846	0.300236	0.376000	0.398600	
828	0.309179	172	0.895349	1.395772	828	0.309179	0.410000	0.398718	
807	0.309789	193	0.772021	1.395772	807	0.309789	0.399000	0.398720	
811	0.276202	189	0.793651	1.395772	811	0.276202	0.374000	0.398471	
841	0.277051	159	0.842767	1.395772	841	0.277051	0.367000	0.398156	
837	0.335723	163	0.773006	1.395772	837	0.335723	0.407000	0.398244	
841	0.325803	159	0.735849	1.395772	841	0.325803	0.391000	0.398173	
837	0.277180	163	0.736196	1.395772	837	0.277180	0.352000	0.397724	
829	0.324487	171	0.812865	1.395772	829	0.324487	0.408000	0.397823	
822	0.301703	178	0.797753	1.395772	822	0.301703	0.390000	0.397749	
839	0.301549	161	0.807453	1.395772	839	0.301549	0.383000	0.397609	
846	0.342790	154	0.694805	1.395772	846	0.342790	0.397000	0.397604	
837	0.334528	163	0.760736	1.395772	837	0.334528	0.404000	0.397663	
844	0.296209	156	0.756410	1.395772	844	0.296209	0.368000	0.397391	
834	0.280576	166	0.361446	1.395772	834	0.280576	0.294000	0.396451	
