Rate	71.43
Rev Jump	14.29
Tree Move	14.29
Rate Tried	% Accepted	Rev Jump Tried	% Accepted	Tree Move Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
732	0.375683	107	0.000000	161	0.677019	1.966809	732	0.375683	0.384000	0.271157	
764	0.386126	98	0.000000	138	0.681159	1.966809	764	0.386126	0.389000	0.280977	
766	0.356397	104	0.019231	130	0.830769	1.966809	766	0.356397	0.383000	0.288824	
731	0.388509	104	0.000000	165	0.630303	1.966809	731	0.388509	0.388000	0.295907	
760	0.381579	102	0.000000	138	0.710145	1.966809	760	0.381579	0.388000	0.302047	
750	0.373333	112	0.000000	138	0.659420	1.966809	750	0.373333	0.371000	0.306356	
695	0.341007	114	0.035088	191	0.712042	1.966809	695	0.341007	0.377000	0.310511	
758	0.356201	115	0.000000	127	0.653543	1.966809	758	0.356201	0.353000	0.312872	
733	0.371078	102	0.019608	165	0.769697	1.966809	733	0.371078	0.401000	0.317510	
745	0.340940	122	0.000000	133	0.646617	1.966809	745	0.340940	0.340000	0.318634	
740	0.391892	118	0.000000	142	0.739437	1.966809	740	0.391892	0.395000	0.322270	
766	0.377285	102	0.000000	132	0.795455	1.966809	766	0.377285	0.394000	0.325531	
748	0.377005	99	0.000000	153	0.764706	1.966809	748	0.377005	0.399000	0.328725	
710	0.360563	105	0.076190	185	0.708108	1.966809	710	0.360563	0.395000	0.331486	
739	0.368065	116	0.017241	145	0.675862	1.966809	739	0.368065	0.372000	0.333107	
754	0.376658	99	0.000000	147	0.687075	1.966809	754	0.376658	0.385000	0.335102	
729	0.341564	105	0.009524	166	0.783133	1.966809	729	0.341564	0.380000	0.336765	
771	0.370947	91	0.010989	138	0.681159	1.966809	771	0.370947	0.381000	0.338345	
689	0.374456	112	0.035714	199	0.693467	1.966809	689	0.374456	0.400000	0.340471	
724	0.412983	126	0.015873	150	0.746667	1.966809	724	0.412983	0.413000	0.342889	
729	0.256516	130	0.015385	141	0.765957	3.341536	729	0.256516	0.297000	0.341408	
732	0.228142	121	0.016529	147	0.727891	3.341536	732	0.228142	0.276000	0.339364	
719	0.248957	121	0.000000	160	0.762500	3.341536	719	0.248957	0.301000	0.338202	
737	0.234735	111	0.072072	152	0.736842	3.341536	737	0.234735	0.293000	0.336872	
699	0.231760	135	0.014815	166	0.710843	3.341536	699	0.231760	0.282000	0.335305	
767	0.234681	86	0.000000	147	0.700680	3.341536	767	0.234681	0.283000	0.333852	
742	0.242588	115	0.000000	143	0.720280	3.341536	742	0.242588	0.283000	0.332478	
724	0.237569	130	0.015385	146	0.691781	3.341536	724	0.237569	0.275000	0.330965	
741	0.228070	108	0.000000	151	0.781457	3.341536	741	0.228070	0.287000	0.329838	
739	0.216509	103	0.000000	158	0.765823	3.341536	739	0.216509	0.281000	0.328617	
741	0.209177	115	0.000000	144	0.694444	3.341536	741	0.209177	0.255000	0.326821	
747	0.211513	109	0.000000	144	0.777778	3.341536	747	0.211513	0.270000	0.325468	
728	0.244505	125	0.000000	147	0.721088	3.341536	728	0.244505	0.284000	0.324504	
738	0.211382	111	0.000000	151	0.768212	3.341536	738	0.211382	0.272000	0.323311	
774	0.213178	108	0.018519	118	0.728814	3.341536	774	0.213178	0.253000	0.321748	
759	0.216074	99	0.020202	142	0.774648	3.341536	759	0.216074	0.276000	0.320754	
715	0.216783	103	0.038835	182	0.763736	3.341536	715	0.216783	0.298000	0.320270	
738	0.218157	116	0.000000	146	0.698630	3.341536	738	0.218157	0.263000	0.319077	
750	0.218667	106	0.000000	144	0.743056	3.341536	750	0.218667	0.271000	0.318096	
734	0.227520	110	0.018182	156	0.628205	3.341536	734	0.227520	0.267000	0.317074	
742	0.216981	109	0.009174	149	0.765101	3.341536	742	0.216981	0.276000	0.316268	
709	0.212976	110	0.045455	181	0.790055	3.341536	709	0.212976	0.299000	0.315936	
745	0.229530	103	0.000000	152	0.809211	3.341536	745	0.229530	0.294000	0.315522	
751	0.230360	117	0.000000	132	0.674242	3.341536	751	0.230360	0.262000	0.314531	
733	0.206003	108	0.037037	159	0.597484	3.341536	733	0.206003	0.250000	0.313358	
764	0.227749	111	0.000000	125	0.672000	3.341536	764	0.227749	0.258000	0.312369	
742	0.188679	112	0.017857	146	0.650685	3.341536	742	0.188679	0.237000	0.311047	
738	0.329268	114	0.000000	148	0.682432	2.431976	738	0.329268	0.344000	0.311615	
758	0.320580	106	0.000000	136	0.750000	2.431976	758	0.320580	0.345000	0.312181	
732	0.330601	125	0.000000	143	0.699301	2.431976	732	0.330601	0.342000	0.312678	
729	0.333333	112	0.000000	159	0.761006	2.431976	729	0.333333	0.364000	0.313519	
748	0.312834	84	0.000000	168	0.696429	2.431976	748	0.312834	0.351000	0.314124	
730	0.342466	132	0.030303	138	0.543478	2.431976	730	0.342466	0.329000	0.314360	
758	0.319261	97	0.000000	145	0.793103	2.431976	758	0.319261	0.357000	0.315026	
741	0.307692	110	0.018182	149	0.718121	2.431976	741	0.307692	0.337000	0.315364	
716	0.301676	118	0.016949	166	0.771084	2.431976	716	0.301676	0.346000	0.315829	
744	0.313172	115	0.000000	141	0.758865	2.431976	744	0.313172	0.340000	0.316189	
720	0.286111	121	0.000000	159	0.698113	2.431976	720	0.286111	0.317000	0.316201	
743	0.331090	113	0.000000	144	0.881944	2.431976	743	0.331090	0.373000	0.317024	
749	0.312417	106	0.037736	145	0.682759	2.431976	749	0.312417	0.337000	0.317310	
760	0.309211	102	0.000000	138	0.760870	2.431976	760	0.309211	0.340000	0.317629	
739	0.326116	110	0.018182	151	0.754967	2.431976	739	0.326116	0.357000	0.318176	
739	0.296346	116	0.008621	145	0.731034	2.431976	739	0.296346	0.326000	0.318283	
713	0.305750	132	0.007576	155	0.696774	2.431976	713	0.305750	0.327000	0.318401	
735	0.308844	101	0.118812	164	0.640244	2.431976	735	0.308844	0.344000	0.318742	
773	0.326003	85	0.023529	142	0.753521	2.431976	773	0.326003	0.361000	0.319298	
765	0.320261	110	0.036364	125	0.680000	2.431976	765	0.320261	0.334000	0.319489	
672	0.308036	106	0.018868	222	0.702703	2.431976	672	0.308036	0.365000	0.320073	
745	0.288591	107	0.000000	148	0.736486	2.431976	745	0.288591	0.324000	0.320123	
775	0.299355	90	0.000000	135	0.837037	2.431976	775	0.299355	0.345000	0.320433	
716	0.280726	118	0.016949	166	0.734940	2.431976	716	0.280726	0.325000	0.320490	
710	0.322535	118	0.016949	172	0.703488	2.431976	710	0.322535	0.352000	0.320874	
729	0.352538	106	0.000000	165	0.654545	2.431976	729	0.352538	0.365000	0.321406	
738	0.325203	108	0.000000	154	0.714286	2.431976	738	0.325203	0.350000	0.321746	
766	0.318538	99	0.000000	135	0.733333	2.431976	766	0.318538	0.343000	0.321996	
766	0.300261	105	0.019048	129	0.620155	2.431976	766	0.300261	0.312000	0.321880	
733	0.306958	106	0.037736	161	0.583851	2.431976	733	0.306958	0.323000	0.321893	
734	0.309264	117	0.017094	149	0.778523	2.431976	734	0.309264	0.345000	0.322155	
732	0.316940	114	0.000000	154	0.649351	2.431976	732	0.316940	0.332000	0.322266	
751	0.298269	115	0.034783	134	0.805970	2.431976	751	0.298269	0.336000	0.322419	
752	0.300532	105	0.000000	143	0.629371	2.431976	752	0.300532	0.316000	0.322348	
756	0.329365	140	0.000000	104	0.673077	2.431976	756	0.329365	0.319000	0.322312	
754	0.309019	105	0.000000	141	0.751773	2.431976	754	0.309019	0.339000	0.322491	
747	0.326640	123	0.000000	130	0.776923	2.431976	747	0.326640	0.345000	0.322731	
763	0.306684	94	0.000000	143	0.734266	2.431976	763	0.306684	0.339000	0.322902	
730	0.310959	127	0.000000	143	0.699301	2.431976	730	0.310959	0.327000	0.322945	
756	0.313492	101	0.000000	143	0.720280	2.431976	756	0.313492	0.340000	0.323120	
776	0.296392	89	0.000000	135	0.762963	2.431976	776	0.296392	0.333000	0.323221	
744	0.317204	100	0.000000	156	0.666667	2.431976	744	0.317204	0.340000	0.323391	
733	0.304229	115	0.017391	152	0.736842	2.431976	733	0.304229	0.337000	0.323527	
747	0.342704	104	0.000000	149	0.731544	2.431976	747	0.342704	0.365000	0.323937	
746	0.292225	96	0.020833	158	0.645570	2.431976	746	0.292225	0.322000	0.323918	
761	0.324573	101	0.000000	138	0.768116	2.431976	761	0.324573	0.353000	0.324201	
736	0.320652	124	0.000000	140	0.692857	2.431976	736	0.320652	0.333000	0.324285	
738	0.299458	114	0.017544	148	0.770270	2.431976	738	0.299458	0.337000	0.324406	
714	0.316527	119	0.000000	167	0.778443	2.431976	714	0.316527	0.356000	0.324704	
707	0.270156	121	0.000000	172	0.674419	2.431976	707	0.270156	0.307000	0.324539	
772	0.290155	102	0.000000	126	0.777778	2.431976	772	0.290155	0.322000	0.324516	
732	0.306011	119	0.016807	149	0.610738	2.431976	732	0.306011	0.317000	0.324447	
749	0.299065	108	0.037037	143	0.776224	2.431976	749	0.299065	0.339000	0.324579	
761	0.310118	97	0.020619	142	0.732394	2.431976	761	0.310118	0.342000	0.324736	
749	0.276368	132	0.045455	119	0.630252	2.431976	749	0.276368	0.288000	0.324408	
748	0.300802	107	0.018692	145	0.689655	2.431976	748	0.300802	0.327000	0.324431	
767	0.307692	104	0.038462	129	0.744186	2.431976	767	0.307692	0.336000	0.324532	
713	0.293128	118	0.016949	169	0.739645	2.431976	713	0.293128	0.336000	0.324632	
763	0.347313	86	0.000000	151	0.748344	2.431976	763	0.347313	0.378000	0.325092	
744	0.282258	113	0.000000	143	0.860140	2.431976	744	0.282258	0.333000	0.325160	
738	0.330623	113	0.017699	149	0.704698	2.431976	738	0.330623	0.351000	0.325379	
738	0.326558	96	0.000000	166	0.602410	2.431976	738	0.326558	0.341000	0.325510	
758	0.307388	85	0.000000	157	0.707006	2.431976	758	0.307388	0.344000	0.325664	
719	0.326843	134	0.000000	147	0.673469	2.431976	719	0.326843	0.334000	0.325733	
652	0.331288	129	0.031008	219	0.712329	2.431976	652	0.331288	0.376000	0.326145	
761	0.339028	97	0.000000	142	0.753521	2.431976	761	0.339028	0.365000	0.326461	
746	0.273458	87	0.000000	167	0.700599	2.431976	746	0.273458	0.321000	0.326417	
730	0.298630	110	0.000000	160	0.662500	2.431976	730	0.298630	0.324000	0.326397	
757	0.315720	121	0.000000	122	0.729508	2.431976	757	0.315720	0.328000	0.326410	
701	0.353780	117	0.034188	182	0.708791	2.431976	701	0.353780	0.381000	0.326840	
741	0.296896	95	0.021053	164	0.664634	2.431976	741	0.296896	0.331000	0.326872	
719	0.297636	114	0.000000	167	0.736527	2.431976	719	0.297636	0.337000	0.326951	
716	0.291899	118	0.000000	166	0.771084	2.431976	716	0.291899	0.337000	0.327028	
739	0.293640	104	0.000000	157	0.738854	2.431976	739	0.293640	0.333000	0.327074	
753	0.328021	109	0.000000	138	0.739130	2.431976	753	0.328021	0.349000	0.327240	
694	0.322767	110	0.018182	196	0.734694	2.431976	694	0.322767	0.370000	0.327561	
737	0.295794	112	0.000000	151	0.728477	2.431976	737	0.295794	0.328000	0.327565	
778	0.332905	80	0.000000	142	0.788732	2.431976	778	0.332905	0.371000	0.327886	
768	0.363281	103	0.000000	129	0.759690	2.431976	768	0.363281	0.377000	0.328248	
771	0.316472	98	0.040816	131	0.748092	2.431976	771	0.316472	0.346000	0.328377	
750	0.300000	106	0.000000	144	0.798611	2.431976	750	0.300000	0.340000	0.328461	
752	0.328457	102	0.019608	146	0.705479	2.431976	752	0.328457	0.352000	0.328631	
742	0.339623	123	0.016260	135	0.740741	2.431976	742	0.339623	0.354000	0.328812	
738	0.275068	126	0.031746	136	0.772059	2.431976	738	0.275068	0.312000	0.328693	
736	0.347826	109	0.000000	155	0.735484	2.431976	736	0.347826	0.370000	0.328984	
710	0.305634	129	0.031008	161	0.739130	2.431976	710	0.305634	0.340000	0.329061	
727	0.308116	113	0.000000	160	0.725000	2.431976	727	0.308116	0.340000	0.329137	
757	0.299868	110	0.036364	133	0.804511	2.431976	757	0.299868	0.338000	0.329198	
747	0.301205	116	0.017241	137	0.722628	2.431976	747	0.301205	0.326000	0.329176	
748	0.338235	101	0.000000	151	0.715232	2.431976	748	0.338235	0.361000	0.329392	
733	0.332879	118	0.000000	149	0.684564	2.431976	733	0.332879	0.346000	0.329505	
