Rate	83.33
Tree Move	16.67
Rate Tried	% Accepted	Tree Move Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
818	0.205379	182	0.780220	1.699248	818	0.205379	0.310000	0.280520	
842	0.198337	158	0.677215	1.699248	842	0.198337	0.274000	0.279977	
833	0.218487	167	0.832335	1.678894	833	0.218487	0.321000	0.283132	
818	0.190709	182	0.752747	1.678894	818	0.190709	0.293000	0.283837	
819	0.487179	181	0.756906	0.864287	819	0.487179	0.536000	0.300647	
849	0.440518	151	0.708609	1.024073	849	0.440518	0.481000	0.311918	
857	0.185531	143	0.818182	1.931286	857	0.185531	0.276000	0.309805	
825	0.275152	175	0.782857	1.527884	825	0.275152	0.364000	0.312816	
835	0.237126	165	0.739394	1.527884	835	0.237126	0.320000	0.313194	
813	0.230012	187	0.727273	1.527884	813	0.230012	0.323000	0.313684	
827	0.275695	173	0.768786	1.527884	827	0.275695	0.361000	0.315937	
822	0.271290	178	0.735955	1.527884	822	0.271290	0.354000	0.317667	
814	0.269042	186	0.774194	1.527884	814	0.269042	0.363000	0.319638	
822	0.257908	178	0.792135	1.527884	822	0.257908	0.353000	0.321028	
816	0.263480	184	0.809783	1.527884	816	0.263480	0.364000	0.322747	
825	0.253333	175	0.811429	1.527884	825	0.253333	0.351000	0.323834	
824	0.286408	176	0.789773	1.527884	824	0.286408	0.375000	0.325729	
830	0.243373	170	0.752941	1.527884	830	0.243373	0.330000	0.325881	
819	0.286935	181	0.801105	1.527884	819	0.286935	0.380000	0.327747	
826	0.237288	174	0.764368	1.527884	826	0.237288	0.329000	0.327789	
832	0.245192	168	0.779762	1.527884	832	0.245192	0.335000	0.328022	
827	0.279323	173	0.826590	1.527884	827	0.279323	0.374000	0.329458	
815	0.241718	185	0.794595	1.527884	815	0.241718	0.344000	0.329899	
828	0.230676	172	0.755814	1.527884	828	0.230676	0.321000	0.329637	
802	0.268080	198	0.767677	1.527884	802	0.268080	0.367000	0.330705	
832	0.233173	168	0.726190	1.527884	832	0.233173	0.316000	0.330296	
841	0.277051	159	0.767296	1.527884	841	0.277051	0.355000	0.330964	
800	0.222500	200	0.795000	1.527884	800	0.222500	0.337000	0.331123	
842	0.288599	158	0.778481	1.527884	842	0.288599	0.366000	0.332017	
836	0.263158	164	0.756098	1.527884	836	0.263158	0.344000	0.332317	
830	0.221687	170	0.564706	1.527884	830	0.221687	0.280000	0.331041	
820	0.243902	180	0.755556	1.527884	820	0.243902	0.336000	0.331159	
822	0.231144	178	0.713483	1.527884	822	0.231144	0.317000	0.330830	
838	0.264916	162	0.808642	1.527884	838	0.264916	0.353000	0.331333	
816	0.219363	184	0.657609	1.527884	816	0.219363	0.300000	0.330637	
837	0.242533	163	0.687117	1.527884	837	0.242533	0.315000	0.330297	
816	0.252451	184	0.673913	1.527884	816	0.252451	0.330000	0.330291	
811	0.258940	189	0.777778	1.527884	811	0.258940	0.357000	0.330847	
812	0.241379	188	0.797872	1.527884	812	0.241379	0.346000	0.331157	
824	0.259709	176	0.789773	1.527884	824	0.259709	0.353000	0.331593	
831	0.204573	169	0.828402	1.527884	831	0.204573	0.310000	0.331170	
819	0.231990	181	0.767956	1.527884	819	0.231990	0.329000	0.331128	
822	0.266423	178	0.696629	1.527884	822	0.266423	0.343000	0.331352	
835	0.251497	165	0.848485	1.527884	835	0.251497	0.350000	0.331698	
808	0.261139	192	0.750000	1.527884	808	0.261139	0.355000	0.332121	
850	0.264706	150	0.580000	1.527884	850	0.264706	0.312000	0.331762	
827	0.224909	173	0.745665	1.527884	827	0.224909	0.315000	0.331468	
824	0.231796	176	0.778409	1.527884	824	0.231796	0.328000	0.331408	
822	0.259124	178	0.792135	1.527884	822	0.259124	0.354000	0.331791	
831	0.227437	169	0.763314	1.527884	831	0.227437	0.318000	0.331561	
817	0.225214	183	0.841530	1.527884	817	0.225214	0.338000	0.331667	
