Rate	83.33
Tree Move	16.67
Rate Tried	% Accepted	Tree Move Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
823	0.227217	177	0.621469	1.648832	823	0.227217	0.297000	0.232615	
826	0.253027	174	0.637931	1.648832	826	0.253027	0.320000	0.239897	
832	0.293269	168	0.559524	1.648832	832	0.293269	0.338000	0.247443	
850	0.262353	150	0.653333	1.648832	850	0.262353	0.321000	0.252696	
824	0.235437	176	0.607955	1.648832	824	0.235437	0.301000	0.255916	
807	0.236679	193	0.621762	1.648832	807	0.236679	0.311000	0.259359	
807	0.236679	193	0.554404	1.648832	807	0.236679	0.298000	0.261632	
816	0.213235	184	0.603261	1.648832	816	0.213235	0.285000	0.262930	
820	0.226829	180	0.677778	1.648832	820	0.226829	0.308000	0.265302	
833	0.279712	167	0.580838	1.648832	833	0.279712	0.330000	0.268537	
810	0.265432	190	0.521053	1.648832	810	0.265432	0.314000	0.270701	
828	0.256039	172	0.680233	1.648832	828	0.256039	0.329000	0.273351	
819	0.236874	181	0.707182	1.648832	819	0.236874	0.322000	0.275466	
812	0.232759	188	0.675532	1.648832	812	0.232759	0.316000	0.277155	
814	0.256757	186	0.655914	1.648832	814	0.256757	0.331000	0.279309	
822	0.263990	178	0.533708	1.648832	822	0.263990	0.312000	0.280566	
810	0.290123	190	0.600000	1.648832	810	0.290123	0.349000	0.283101	
831	0.281588	169	0.633136	1.648832	831	0.281588	0.341000	0.285168	
834	0.279376	166	0.632530	1.648832	834	0.279376	0.338000	0.286990	
813	0.247232	187	0.636364	1.648832	813	0.247232	0.320000	0.288090	
809	0.259580	191	0.649215	1.648832	809	0.259580	0.334000	0.289571	
819	0.210012	181	0.646409	1.648832	819	0.210012	0.289000	0.289553	
820	0.234146	180	0.733333	1.648832	820	0.234146	0.324000	0.290597	
848	0.241745	152	0.585526	1.648832	848	0.241745	0.294000	0.290697	
790	0.246835	210	0.690476	1.648832	790	0.246835	0.340000	0.292106	
806	0.218362	194	0.649485	1.648832	806	0.218362	0.302000	0.292381	
824	0.256068	176	0.693182	1.648832	824	0.256068	0.333000	0.293479	
813	0.252153	187	0.631016	1.648832	813	0.252153	0.323000	0.294255	
831	0.256318	169	0.656805	1.648832	831	0.256318	0.324000	0.295018	
822	0.227494	178	0.707865	1.648832	822	0.227494	0.313000	0.295468	
823	0.232078	177	0.661017	1.648832	823	0.232078	0.308000	0.295773	
812	0.242611	188	0.627660	1.648832	812	0.242611	0.315000	0.296231	
859	0.254948	141	0.695035	1.648832	859	0.254948	0.317000	0.296714	
816	0.241422	184	0.679348	1.648832	816	0.241422	0.322000	0.297289	
821	0.255786	179	0.608939	1.648832	821	0.255786	0.319000	0.297771	
836	0.281100	164	0.646341	1.648832	836	0.281100	0.341000	0.298711	
803	0.247821	197	0.583756	1.648832	803	0.247821	0.314000	0.299036	
849	0.241461	151	0.682119	1.648832	849	0.241461	0.308000	0.299223	
819	0.258852	181	0.563536	1.648832	819	0.258852	0.314000	0.299524	
811	0.258940	189	0.613757	1.648832	811	0.258940	0.326000	0.300054	
822	0.266423	178	0.617978	1.648832	822	0.266423	0.329000	0.300622	
823	0.260024	177	0.581921	1.648832	823	0.260024	0.317000	0.300937	
822	0.246959	178	0.747191	1.648832	822	0.246959	0.336000	0.301598	
826	0.277240	174	0.540230	1.648832	826	0.277240	0.323000	0.301994	
833	0.242497	167	0.598802	1.648832	833	0.242497	0.302000	0.301995	
811	0.250308	189	0.613757	1.648832	811	0.250308	0.319000	0.302298	
822	0.253041	178	0.713483	1.648832	822	0.253041	0.335000	0.302872	
830	0.239759	170	0.617647	1.648832	830	0.239759	0.304000	0.302891	
853	0.247362	147	0.707483	1.648832	853	0.247362	0.315000	0.303097	
830	0.243373	170	0.705882	1.648832	830	0.243373	0.322000	0.303412	
829	0.215923	171	0.602339	1.648832	829	0.215923	0.282000	0.303061	
822	0.239659	178	0.685393	1.648832	822	0.239659	0.319000	0.303318	
836	0.261962	164	0.579268	1.648832	836	0.261962	0.314000	0.303487	
810	0.235802	190	0.673684	1.648832	810	0.235802	0.319000	0.303730	
827	0.243047	173	0.589595	1.648832	827	0.243047	0.303000	0.303718	
832	0.227163	168	0.636905	1.648832	832	0.227163	0.296000	0.303601	
824	0.266990	176	0.562500	1.648832	824	0.266990	0.319000	0.303831	
862	0.230858	138	0.615942	1.648832	862	0.230858	0.284000	0.303540	
812	0.256158	188	0.537234	1.648832	812	0.256158	0.309000	0.303619	
838	0.252983	162	0.604938	1.648832	838	0.252983	0.310000	0.303710	
808	0.236386	192	0.572917	1.648832	808	0.236386	0.301000	0.303672	
