Rate	83.33
Tree Move	16.67
Rate Tried	% Accepted	Tree Move Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
829	0.344994	171	0.695906	1.783017	829	0.344994	0.405000	0.372130	
826	0.276029	174	0.873563	1.783017	826	0.276029	0.380000	0.372281	
813	0.297663	187	0.721925	1.783017	813	0.297663	0.377000	0.372370	
816	0.286765	184	0.798913	1.783017	816	0.286765	0.381000	0.372530	
810	0.322222	190	0.778947	1.783017	810	0.322222	0.409000	0.373193	
826	0.286925	174	0.844828	1.783017	826	0.286925	0.384000	0.373386	
808	0.262376	192	0.802083	1.783017	808	0.262376	0.366000	0.373257	
815	0.347239	185	0.718919	1.783017	815	0.347239	0.416000	0.373994	
817	0.293758	183	0.819672	1.783017	817	0.293758	0.390000	0.374265	
840	0.302381	160	0.768750	1.783017	840	0.302381	0.377000	0.374310	
827	0.314389	173	0.716763	1.783017	827	0.314389	0.384000	0.374469	
814	0.305897	186	0.779570	1.783017	814	0.305897	0.394000	0.374784	
821	0.287454	179	0.793296	1.783017	821	0.287454	0.378000	0.374835	
828	0.295894	172	0.837209	1.783017	828	0.295894	0.389000	0.375057	
829	0.320869	171	0.742690	1.783017	829	0.320869	0.393000	0.375333	
830	0.320482	170	0.764706	1.783017	830	0.320482	0.396000	0.375646	
813	0.333333	187	0.684492	1.783017	813	0.333333	0.399000	0.375994	
830	0.295181	170	0.782353	1.783017	830	0.295181	0.378000	0.376024	
808	0.310644	192	0.744792	1.783017	808	0.310644	0.394000	0.376284	
816	0.280637	184	0.766304	1.783017	816	0.280637	0.370000	0.376195	
812	0.320197	188	0.744681	1.783017	812	0.320197	0.400000	0.376530	
824	0.297330	176	0.727273	1.783017	824	0.297330	0.373000	0.376481	
834	0.306954	166	0.740964	1.783017	834	0.306954	0.379000	0.376515	
849	0.305065	151	0.801325	1.783017	849	0.305065	0.380000	0.376562	
823	0.323208	177	0.779661	1.783017	823	0.323208	0.404000	0.376928	
805	0.310559	195	0.820513	1.783017	805	0.310559	0.410000	0.377363	
815	0.309202	185	0.745946	1.783017	815	0.309202	0.390000	0.377528	
835	0.269461	165	0.757576	1.783017	835	0.269461	0.350000	0.377175	
826	0.296610	174	0.752874	1.783017	826	0.296610	0.376000	0.377160	
812	0.296798	188	0.771277	1.783017	812	0.296798	0.386000	0.377270	
820	0.317073	180	0.666667	1.783017	820	0.317073	0.380000	0.377304	
826	0.289346	174	0.821839	1.783017	826	0.289346	0.382000	0.377361	
824	0.321602	176	0.744318	1.783017	824	0.321602	0.396000	0.377586	
824	0.321602	176	0.795455	1.783017	824	0.321602	0.405000	0.377912	
841	0.318668	159	0.748428	1.783017	841	0.318668	0.387000	0.378019	
831	0.302046	169	0.715976	1.783017	831	0.302046	0.372000	0.377949	
804	0.299751	196	0.760204	1.783017	804	0.299751	0.390000	0.378088	
829	0.287093	171	0.742690	1.783017	829	0.287093	0.365000	0.377939	
832	0.295673	168	0.773810	1.783017	832	0.295673	0.376000	0.377917	
833	0.307323	167	0.832335	1.783017	833	0.307323	0.395000	0.378107	
827	0.316808	173	0.780347	1.783017	827	0.316808	0.397000	0.378315	
827	0.305925	173	0.734104	1.783017	827	0.305925	0.380000	0.378333	
851	0.319624	149	0.798658	1.783017	851	0.319624	0.391000	0.378469	
825	0.264242	175	0.708571	1.783017	825	0.264242	0.342000	0.378081	
829	0.326900	171	0.830409	1.783017	829	0.326900	0.413000	0.378449	
826	0.268765	174	0.873563	1.783017	826	0.268765	0.374000	0.378402	
834	0.300959	166	0.777108	1.783017	834	0.300959	0.380000	0.378419	
