Steppingstone sampler:
        No Stones:                  100
        Start It:                   10050001
        It Per Stone:               1000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.975187	750	-0.790669	-0.790669
1	0.950747	750	-0.768093	-1.558762
2	0.926679	750	-0.754480	-2.313242
3	0.902980	750	-0.759975	-3.073217
4	0.879648	750	-0.740317	-3.813534
5	0.856682	750	-0.727374	-4.540908
6	0.834079	750	-0.731457	-5.272365
7	0.811838	750	-0.709454	-5.981819
8	0.789957	750	-0.700567	-6.682386
9	0.768433	750	-0.680947	-7.363333
10	0.747266	750	-0.687169	-8.050502
11	0.726452	750	-0.677963	-8.728465
12	0.705989	750	-0.658007	-9.386473
13	0.685877	750	-0.653031	-10.039503
14	0.666112	750	-0.633664	-10.673167
15	0.646693	750	-0.623855	-11.297022
16	0.627618	750	-0.614865	-11.911888
17	0.608884	750	-0.601442	-12.513330
18	0.590490	750	-0.610591	-13.123920
19	0.572433	750	-0.585110	-13.709030
20	0.554712	750	-0.575334	-14.284364
21	0.537324	750	-0.562775	-14.847139
22	0.520268	750	-0.556692	-15.403832
23	0.503540	750	-0.565876	-15.969707
24	0.487139	750	-0.533009	-16.502716
25	0.471063	750	-0.521848	-17.024564
26	0.455310	750	-0.522353	-17.546917
27	0.439877	750	-0.510949	-18.057866
28	0.424762	750	-0.499290	-18.557156
29	0.409963	750	-0.488651	-19.045807
30	0.395478	750	-0.487011	-19.532818
31	0.381305	750	-0.478069	-20.010887
32	0.367440	750	-0.473711	-20.484599
33	0.353883	750	-0.451758	-20.936357
34	0.340630	750	-0.452586	-21.388943
35	0.327680	750	-0.429193	-21.818137
36	0.315030	750	-0.430357	-22.248493
37	0.302677	750	-0.419817	-22.668310
38	0.290619	750	-0.417006	-23.085316
39	0.278855	750	-0.415085	-23.500401
40	0.267381	750	-0.391865	-23.892267
41	0.256195	750	-0.399122	-24.291388
42	0.245294	750	-0.388355	-24.679744
43	0.234677	750	-0.382388	-25.062132
44	0.224340	750	-0.364598	-25.426730
45	0.214281	750	-0.353303	-25.780032
46	0.204498	750	-0.352304	-26.132336
47	0.194988	750	-0.352286	-26.484623
48	0.185749	750	-0.336427	-26.821050
49	0.176777	750	-0.339126	-27.160176
50	0.168070	750	-0.321384	-27.481560
51	0.159626	750	-0.336957	-27.818517
52	0.151441	750	-0.299188	-28.117705
53	0.143514	750	-0.317033	-28.434738
54	0.135841	750	-0.304850	-28.739588
55	0.128420	750	-0.281357	-29.020945
56	0.121247	750	-0.289535	-29.310480
57	0.114320	750	-0.311961	-29.622441
58	0.107637	750	-0.270907	-29.893349
59	0.101193	750	-0.259901	-30.153250
60	0.094986	750	-0.265365	-30.418615
61	0.089014	750	-0.253282	-30.671897
62	0.083273	750	-0.241858	-30.913755
63	0.077760	750	-0.241381	-31.155136
64	0.072472	750	-0.221931	-31.377068
65	0.067406	750	-0.230668	-31.607736
66	0.062558	750	-0.213870	-31.821606
67	0.057926	750	-0.243960	-32.065566
68	0.053506	750	-0.222772	-32.288338
69	0.049295	750	-0.213394	-32.501731
70	0.045289	750	-0.206957	-32.708689
71	0.041485	750	-0.225979	-32.934668
72	0.037880	750	-0.201795	-33.136462
73	0.034469	750	-0.210203	-33.346666
74	0.031250	750	-0.200141	-33.546807
75	0.028218	750	-0.161092	-33.707899
76	0.025370	750	-0.169389	-33.877288
77	0.022702	750	-0.196936	-34.074224
78	0.020209	750	-0.179112	-34.253336
79	0.017889	750	-0.160790	-34.414126
80	0.015736	750	-0.154396	-34.568521
81	0.013746	750	-0.149949	-34.718470
82	0.011916	750	-0.140430	-34.858901
83	0.010240	750	-0.134367	-34.993267
84	0.008714	750	-0.125827	-35.119094
85	0.007334	750	-0.117126	-35.236220
86	0.006093	750	-0.112716	-35.348937
87	0.004988	750	-0.090250	-35.439187
88	0.004013	750	-0.085249	-35.524436
89	0.003162	750	-0.100882	-35.625318
90	0.002430	750	-0.074321	-35.699639
91	0.001810	750	-0.060375	-35.760014
92	0.001296	750	-0.060376	-35.820391
93	0.000882	750	-0.041704	-35.862094
94	0.000559	750	-0.033095	-35.895190
95	0.000320	750	-0.024209	-35.919399
96	0.000156	750	-0.020407	-35.939805
97	0.000057	750	-0.009487	-35.949292
98	0.000010	750	-0.004290	-35.953582
99	0.000000	750	-0.001241	-35.954823
Log marginal likelihood:	-35.954823
