Steppingstone sampler:
        No Stones:                  100
        Start It:                   10010001
        It Per Stone:               1000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.975187	750	-1.364374	-1.364374
1	0.950747	750	-1.335256	-2.699630
2	0.926679	750	-1.323288	-4.022918
3	0.902980	750	-1.307655	-5.330573
4	0.879648	750	-1.278772	-6.609345
5	0.856682	750	-1.270135	-7.879480
6	0.834079	750	-1.245039	-9.124520
7	0.811838	750	-1.218725	-10.343245
8	0.789957	750	-1.210266	-11.553511
9	0.768433	750	-1.172328	-12.725839
10	0.747266	750	-1.165341	-13.891179
11	0.726452	750	-1.159861	-15.051041
12	0.705989	750	-1.122812	-16.173853
13	0.685877	750	-1.105503	-17.279356
14	0.666112	750	-1.098483	-18.377839
15	0.646693	750	-1.087516	-19.465355
16	0.627618	750	-1.057349	-20.522704
17	0.608884	750	-1.056610	-21.579313
18	0.590490	750	-1.033746	-22.613059
19	0.572433	750	-1.004734	-23.617793
20	0.554712	750	-0.980099	-24.597892
21	0.537324	750	-0.968951	-25.566843
22	0.520268	750	-0.960673	-26.527516
23	0.503540	750	-0.945829	-27.473345
24	0.487139	750	-0.909195	-28.382540
25	0.471063	750	-0.896928	-29.279468
26	0.455310	750	-0.899221	-30.178689
27	0.439877	750	-0.866993	-31.045683
28	0.424762	750	-0.857634	-31.903316
29	0.409963	750	-0.841103	-32.744419
30	0.395478	750	-0.830953	-33.575372
31	0.381305	750	-0.807799	-34.383172
32	0.367440	750	-0.784548	-35.167719
33	0.353883	750	-0.777347	-35.945066
34	0.340630	750	-0.762078	-36.707144
35	0.327680	750	-0.747908	-37.455052
36	0.315030	750	-0.734558	-38.189610
37	0.302677	750	-0.719946	-38.909556
38	0.290619	750	-0.707276	-39.616831
39	0.278855	750	-0.681285	-40.298116
40	0.267381	750	-0.669574	-40.967691
41	0.256195	750	-0.657554	-41.625245
42	0.245294	750	-0.628474	-42.253719
43	0.234677	750	-0.622250	-42.875969
44	0.224340	750	-0.607184	-43.483153
45	0.214281	750	-0.597735	-44.080888
46	0.204498	750	-0.579541	-44.660429
47	0.194988	750	-0.566912	-45.227341
48	0.185749	750	-0.569053	-45.796394
49	0.176777	750	-0.533605	-46.329999
50	0.168070	750	-0.523160	-46.853159
51	0.159626	750	-0.512532	-47.365691
52	0.151441	750	-0.495504	-47.861195
53	0.143514	750	-0.476179	-48.337374
54	0.135841	750	-0.471203	-48.808578
55	0.128420	750	-0.448313	-49.256891
56	0.121247	750	-0.442519	-49.699410
57	0.114320	750	-0.426594	-50.126004
58	0.107637	750	-0.426613	-50.552617
59	0.101193	750	-0.410142	-50.962760
60	0.094986	750	-0.412559	-51.375319
61	0.089014	750	-0.384601	-51.759920
62	0.083273	750	-0.376166	-52.136086
63	0.077760	750	-0.347006	-52.483091
64	0.072472	750	-0.349327	-52.832419
65	0.067406	750	-0.334731	-53.167150
66	0.062558	750	-0.314284	-53.481434
67	0.057926	750	-0.311417	-53.792851
68	0.053506	750	-0.301244	-54.094094
69	0.049295	750	-0.291195	-54.385290
70	0.045289	750	-0.276542	-54.661831
71	0.041485	750	-0.283903	-54.945734
72	0.037880	750	-0.264425	-55.210160
73	0.034469	750	-0.249071	-55.459230
74	0.031250	750	-0.256785	-55.716015
75	0.028218	750	-0.237673	-55.953689
76	0.025370	750	-0.219896	-56.173585
77	0.022702	750	-0.218351	-56.391936
78	0.020209	750	-0.196219	-56.588155
79	0.017889	750	-0.188283	-56.776438
80	0.015736	750	-0.184402	-56.960840
81	0.013746	750	-0.156219	-57.117059
82	0.011916	750	-0.154121	-57.271179
83	0.010240	750	-0.130309	-57.401488
84	0.008714	750	-0.131241	-57.532729
85	0.007334	750	-0.129767	-57.662496
86	0.006093	750	-0.123942	-57.786438
87	0.004988	750	-0.105774	-57.892212
88	0.004013	750	-0.088837	-57.981048
89	0.003162	750	-0.074606	-58.055654
90	0.002430	750	-0.076361	-58.132015
91	0.001810	750	-0.064830	-58.196844
92	0.001296	750	-0.053475	-58.250319
93	0.000882	750	-0.042297	-58.292616
94	0.000559	750	-0.030121	-58.322737
95	0.000320	750	-0.023217	-58.345954
96	0.000156	750	-0.016386	-58.362340
97	0.000057	750	-0.009185	-58.371525
98	0.000010	750	-0.004225	-58.375749
99	0.000000	750	-0.000965	-58.376715
Log marginal likelihood:	-58.376715
