Rate	83.33
Tree Move	16.67
Rate Tried	% Accepted	Tree Move Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
864	0.349537	136	0.617647	1.300306	864	0.349537	0.386000	0.303427	
824	0.332524	176	0.670455	1.300306	824	0.332524	0.392000	0.310807	
826	0.312349	174	0.643678	1.300306	826	0.312349	0.370000	0.315360	
844	0.341232	156	0.730769	1.300306	844	0.341232	0.402000	0.321548	
850	0.327059	150	0.686667	1.300306	850	0.327059	0.381000	0.325512	
848	0.293632	152	0.703947	1.300306	848	0.293632	0.356000	0.327417	
868	0.328341	132	0.643939	1.300306	868	0.328341	0.370000	0.329922	
802	0.320449	198	0.530303	1.300306	802	0.320449	0.362000	0.331704	
847	0.314050	153	0.581699	1.300306	847	0.314050	0.355000	0.332930	
825	0.350303	175	0.645714	1.300306	825	0.350303	0.402000	0.336383	
854	0.338407	146	0.616438	1.300306	854	0.338407	0.379000	0.338412	
831	0.330927	169	0.650888	1.300306	831	0.330927	0.385000	0.340530	
858	0.307692	142	0.612676	1.300306	858	0.307692	0.351000	0.340985	
831	0.356197	169	0.627219	1.300306	831	0.356197	0.402000	0.343527	
817	0.307222	183	0.644809	1.300306	817	0.307222	0.369000	0.344546	
853	0.335287	147	0.700680	1.300306	853	0.335287	0.389000	0.346256	
826	0.326877	174	0.614943	1.300306	826	0.326877	0.377000	0.347395	
805	0.290683	195	0.764103	1.300306	805	0.290683	0.383000	0.348666	
841	0.347206	159	0.622642	1.300306	841	0.347206	0.391000	0.350126	
840	0.363095	160	0.656250	1.300306	840	0.363095	0.410000	0.352122	
855	0.335673	145	0.593103	1.300306	855	0.335673	0.373000	0.352795	
833	0.307323	167	0.664671	1.300306	833	0.307323	0.367000	0.353239	
815	0.360736	185	0.691892	1.300306	815	0.360736	0.422000	0.355323	
835	0.331737	165	0.551515	1.300306	835	0.331737	0.368000	0.355695	
822	0.304136	178	0.696629	1.300306	822	0.304136	0.374000	0.356218	
836	0.314593	164	0.646341	1.300306	836	0.314593	0.369000	0.356573	
842	0.336105	158	0.696203	1.300306	842	0.336105	0.393000	0.357558	
837	0.317802	163	0.601227	1.300306	837	0.317802	0.364000	0.357727	
831	0.330927	169	0.615385	1.300306	831	0.330927	0.379000	0.358273	
835	0.348503	165	0.721212	1.300306	835	0.348503	0.410000	0.359566	
824	0.351942	176	0.653409	1.300306	824	0.351942	0.405000	0.360674	
811	0.341554	189	0.582011	1.300306	811	0.341554	0.387000	0.361301	
828	0.359903	172	0.639535	1.300306	828	0.359903	0.408000	0.362387	
836	0.319378	164	0.628049	1.300306	836	0.319378	0.370000	0.362560	
826	0.363196	174	0.557471	1.300306	826	0.363196	0.397000	0.363325	
833	0.308523	167	0.646707	1.300306	833	0.308523	0.365000	0.363362	
844	0.351896	156	0.641026	1.300306	844	0.351896	0.397000	0.364077	
846	0.313239	154	0.558442	1.300306	846	0.313239	0.351000	0.363805	
853	0.320047	147	0.782313	1.300306	853	0.320047	0.388000	0.364299	
834	0.346523	166	0.626506	1.300306	834	0.346523	0.393000	0.364873	
846	0.364066	154	0.577922	1.300306	846	0.364066	0.397000	0.365503	
832	0.276442	168	0.690476	1.300306	832	0.276442	0.346000	0.365128	
832	0.330529	168	0.595238	1.300306	832	0.330529	0.375000	0.365314	
842	0.312352	158	0.645570	1.300306	842	0.312352	0.365000	0.365308	
843	0.355872	157	0.630573	1.300306	843	0.355872	0.399000	0.365921	
832	0.355769	168	0.690476	1.300306	832	0.355769	0.412000	0.366743	
829	0.328106	171	0.532164	1.300306	829	0.328106	0.363000	0.366678	
844	0.340047	156	0.730769	1.300306	844	0.340047	0.401000	0.367270	
825	0.324848	175	0.685714	1.300306	825	0.324848	0.388000	0.367621	
833	0.370948	167	0.508982	1.300306	833	0.370948	0.394000	0.368061	
849	0.369847	151	0.609272	1.300306	849	0.369847	0.406000	0.368682	
848	0.351415	152	0.618421	1.300306	848	0.351415	0.392000	0.369059	
