Rate	83.33
Tree Move	16.67
Rate Tried	% Accepted	Tree Move Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
841	0.247325	159	0.528302	1.540275	841	0.247325	0.292000	0.214526	
840	0.258333	160	0.581250	1.540275	840	0.258333	0.310000	0.222481	
835	0.197605	165	0.563636	1.540275	835	0.197605	0.258000	0.225213	
843	0.234875	157	0.579618	1.514923	843	0.234875	0.289000	0.229769	
820	0.269512	180	0.511111	1.514923	820	0.269512	0.313000	0.235318	
825	0.255758	175	0.582857	1.514923	825	0.255758	0.313000	0.240172	
845	0.236686	155	0.554839	1.514923	845	0.236686	0.286000	0.242868	
852	0.238263	148	0.702703	1.514923	852	0.238263	0.307000	0.246431	
824	0.245146	176	0.585227	1.514923	824	0.245146	0.305000	0.249513	
828	0.280193	172	0.563953	1.514923	828	0.280193	0.329000	0.253487	
823	0.206561	177	0.587571	1.514923	823	0.206561	0.274000	0.254464	
828	0.246377	172	0.534884	1.514923	828	0.246377	0.296000	0.256352	
820	0.214634	180	0.594444	1.514923	820	0.214634	0.283000	0.257511	
855	0.247953	145	0.655172	1.514923	855	0.247953	0.307000	0.259573	
831	0.227437	169	0.591716	1.514923	831	0.227437	0.289000	0.260750	
818	0.248166	182	0.582418	1.514923	818	0.248166	0.309000	0.262605	
823	0.208991	177	0.429379	1.514923	823	0.208991	0.248000	0.262064	
800	0.241250	200	0.665000	1.514923	800	0.241250	0.326000	0.264348	
831	0.263538	169	0.573964	1.514923	831	0.263538	0.316000	0.266129	
816	0.256127	184	0.565217	1.514923	816	0.256127	0.313000	0.267691	
833	0.228091	167	0.562874	1.514923	833	0.228091	0.284000	0.268217	
849	0.276796	151	0.642384	1.514923	849	0.276796	0.332000	0.270210	
829	0.266586	171	0.567251	1.514923	829	0.266586	0.318000	0.271658	
819	0.236874	181	0.552486	1.514923	819	0.236874	0.294000	0.272316	
837	0.225806	163	0.656442	1.514923	837	0.225806	0.296000	0.272992	
